price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
20-25k,Ford,Focus,1.5 EcoBoost,Red,40-50k,150-200hp,2018,Benzin,Gear type automatic,Kombi,Stoff,5.5-6.5f,50-65d
10-15k,Hyundai,i20,1.0 TGDI,Gray,40-50k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
25-30k,Peugeot,3008,1.6,Red,0-10k,150-200hp,2019,Benzin,Gear type automatic,SUV,Alcantara,5.5-6.5f,25-35d
0-10k,Citroen,C3,1.6 Blue-HDi,Gray,100k+,0-100hp,2016,Diesel,Gear type manual,Limousine,Stoff,0-4.5f,0-7d
10-15k,Hyundai,ix35,2.0 CRDi,Black,100k+,150-200hp,2015,Diesel,Gear type automatic,SUV,Leder,+6.5f,15-25d
10-15k,Opel,Corsa,1.4 Turbo,White,10-20k,0-100hp,2018,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,25-35d
20-25k,Mercedes-Benz,A-Klasse,A 250,Red,70-80k,200-250hp,2014,Benzin,Gear type automatic,Limousine,Leder,5.5-6.5f,35-50d
15-20k,Audi,A4,3.0 V6 TFSI,White,100k+,+250hp,2013,Benzin,Gear type automatic,Kombi,Alcantara,+6.5f,25-35d
15-20k,Opel,Crossland X,1.2,Red,20-30k,100-150hp,2017,Benzin,Gear type manual,SUV,Teilleder,4.5-5.5f,35-50d
10-15k,Fiat,500C,1.2,Gray,10-20k,0-100hp,2019,Benzin,Gear type manual,Cabrio,Teilleder,4.5-5.5f,100+
10-15k,Smart,fortwo,0.9 Turbo,Black,20-30k,100-150hp,2013,Benzin,Gear type automatic,Cabrio,Leder,4.5-5.5f,0-7d
20-25k,Mercedes-Benz,A-Klasse,A 200,Gray,40-50k,150-200hp,2019,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,65-80d
10-15k,Peugeot,208,1.2 e-VTi,Gray,40-50k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
25-30k,Hyundai,i30,2.0 TGDI,Blue,60-70k,+250hp,2018,Benzin,Gear type manual,Limousine,Teilleder,+6.5f,25-35d
15-20k,Ford,Focus,1.5 EcoBoost,Silver,90-100k,100-150hp,2018,Benzin,Gear type automatic,Kombi,Stoff,5.5-6.5f,7-15d
0-10k,Skoda,Citigo,1.0 MPI,White,30-40k,0-100hp,2013,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,100+
15-20k,Seat,Leon,1.4 TSI,White,80-90k,100-150hp,2016,Benzin,Gear type manual,Kombi,Alcantara,4.5-5.5f,7-15d
+30k,Volkswagen,T6 Multivan,2.0 TDI,Black,70-80k,100-150hp,2017,Diesel,Gear type automatic,Bus,Alcantara,5.5-6.5f,0-7d
10-15k,Volkswagen,Golf VII,1.2 TSI,Black,80-90k,100-150hp,2014,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,7-15d
10-15k,Skoda,Fabia,1.0 TSI,Silver,40-50k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,50-65d
0-10k,Renault,Twingo,1.0 SCe,Red,30-40k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,15-25d
10-15k,Kia,cee'd,1.6 TGDI,Gray,100k+,200-250hp,2015,Benzin,Gear type manual,Limousine,Teilleder,+6.5f,7-15d
15-20k,Dacia,Dokker,1.2 TCe,Gray,30-40k,100-150hp,2017,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,25-35d
10-15k,Dacia,Lodgy,1.6 SCe,Blue,40-50k,100-150hp,2017,Benzin,Gear type manual,Van,Stoff,5.5-6.5f,7-15d
15-20k,Skoda,Octavia,1.4 TSI,Gray,30-40k,100-150hp,2017,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,35-50d
15-20k,Smart,forfour,0.9 Turbo,Orange,20-30k,0-100hp,2019,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,35-50d
20-25k,Audi,A3,2.0 TDI,Black,70-80k,100-150hp,2018,Diesel,Gear type automatic,Limousine,Teilleder,4.5-5.5f,100+
20-25k,BMW,4er,420d Gran Coupé,Blue,60-70k,150-200hp,2015,Diesel,Gear type automatic,Coupe,Alcantara,0-4.5f,7-15d
15-20k,MINI,Cabrio,One,Black,60-70k,100-150hp,2016,Benzin,Gear type manual,Cabrio,Teilleder,4.5-5.5f,35-50d
15-20k,BMW,1er,116i,White,70-80k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,80-100d
15-20k,Nissan,Qashqai,1.6,White,40-50k,150-200hp,2016,Benzin,Gear type manual,SUV,Teilleder,5.5-6.5f,7-15d
0-10k,Nissan,Micra,1.2,Blue,0-10k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
15-20k,Skoda,Rapid,1.4 TSI,Gray,60-70k,100-150hp,2018,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,35-50d
20-25k,Mercedes-Benz,C-Klasse,C 180 CGI,White,100k+,150-200hp,2015,Benzin,Gear type manual,Limousine,Leder,4.5-5.5f,7-15d
10-15k,Kia,Rio,1.2,White,70-80k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,65-80d
25-30k,Skoda,Kamiq,1.5 TSI ACT,Gray,10-20k,100-150hp,2021,Benzin,Gear type automatic,SUV,Stoff,4.5-5.5f,15-25d
+30k,BMW,X3,xDrive 35i,White,60-70k,+250hp,2016,Benzin,Gear type automatic,SUV,Leder,+6.5f,7-15d
20-25k,BMW,5er,530d,Gray,100k+,+250hp,2015,Diesel,Gear type automatic,Kombi,Leder,4.5-5.5f,0-7d
15-20k,Seat,Leon,1.4 TSI,Gray,60-70k,100-150hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
10-15k,Ford,Focus,1.0 EcoBoost,Blue,90-100k,100-150hp,2016,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,35-50d
+30k,Ford,Puma,1.0 EcoBoost Mild-Hybrid,Gray,0-10k,150-200hp,2022,Benzin,Gear type automatic,SUV,Leder,+6.5f,35-50d
15-20k,BMW,X1,xDrive 20i,Blue,80-90k,150-200hp,2014,Benzin,Gear type automatic,SUV,Stoff,+6.5f,50-65d
10-15k,Ford,Tourneo,1.0 EcoBoost,Blue,70-80k,0-100hp,2017,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,7-15d
15-20k,Ford,EcoSport,1.0 EcoBoost,White,20-30k,100-150hp,2019,Benzin,Gear type automatic,SUV,Stoff,4.5-5.5f,100+
10-15k,Citroen,C3,1.2 e-THP,White,20-30k,100-150hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
10-15k,Volkswagen,Golf VII,1.4 TSI,White,90-100k,100-150hp,2013,Benzin,Gear type automatic,Kombi,Stoff,4.5-5.5f,7-15d
10-15k,BMW,1er,116i,White,100k+,100-150hp,2015,Benzin,Gear type manual,Limousine,Leder,5.5-6.5f,7-15d
15-20k,Toyota,C-HR,1.2 Turbo,Gray,40-50k,100-150hp,2017,Benzin,Gear type automatic,SUV,Leder,5.5-6.5f,7-15d
25-30k,Audi,A3,2.0 TFSI,Gray,30-40k,150-200hp,2017,Benzin,Gear type automatic,Limousine,Teilleder,5.5-6.5f,50-65d
10-15k,Fiat,500,1.2,Black,20-30k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Jeep,Renegade,1.3 TGDi,Black,30-40k,100-150hp,2019,Benzin,Gear type automatic,SUV,Stoff,5.5-6.5f,0-7d
+30k,Audi,A6,40 TDI,Black,20-30k,200-250hp,2018,Diesel,Gear type automatic,Kombi,Leder,4.5-5.5f,100+
20-25k,BMW,3er,330d GT,Red,90-100k,+250hp,2015,Diesel,Gear type automatic,Limousine,Stoff,4.5-5.5f,35-50d
15-20k,Ford,Fiesta,1.5 EcoBoost,White,50-60k,150-200hp,2019,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,35-50d
15-20k,Seat,Leon,1.4 TGI,White,40-50k,100-150hp,2018,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,7-15d
20-25k,Mitsubishi,ASX,2.0 MIVEC,Black,40-50k,100-150hp,2020,Benzin,Gear type automatic,SUV,Alcantara,+6.5f,35-50d
0-10k,Peugeot,208,1.2 e-VTi,Black,50-60k,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,7-15d
+30k,Mercedes-Benz,B-Klasse,B 250,Black,20-30k,200-250hp,2019,Benzin,Gear type automatic,Van,Teilleder,5.5-6.5f,65-80d
20-25k,BMW,2er,218d Gran Tourer,Gray,10-20k,100-150hp,2016,Diesel,Gear type automatic,Van,Leder,0-4.5f,25-35d
25-30k,Toyota,RAV 4,2.5 Hybrid,Black,40-50k,150-200hp,2017,Hybrid,Gear type automatic,SUV,Leder,4.5-5.5f,7-15d
15-20k,Mercedes-Benz,A-Klasse,A 180,Gray,80-90k,100-150hp,2015,Benzin,Gear type manual,Limousine,Teilleder,5.5-6.5f,100+
+30k,Seat,Leon,1.4 TSI e-HYBRID,Black,10-20k,200-250hp,2021,Hybrid,Gear type automatic,Kombi,Alcantara,0-4.5f,35-50d
15-20k,BMW,1er,118i,Gray,60-70k,100-150hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,15-25d
10-15k,Opel,Meriva,1.4 Turbo,White,70-80k,100-150hp,2016,Benzin,Gear type automatic,Van,Teilleder,+6.5f,0-7d
15-20k,Volkswagen,Golf VII,1.0 TSI,Gray,50-60k,100-150hp,2017,Benzin,Gear type automatic,Kombi,Stoff,4.5-5.5f,65-80d
15-20k,Peugeot,308,1.2 e-THP,Gray,20-30k,100-150hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
15-20k,Hyundai,Kona,1.0 TGDI,Gray,30-40k,100-150hp,2019,Benzin,Gear type manual,SUV,Stoff,4.5-5.5f,50-65d
10-15k,Audi,A1,1.4 TFSI,Silver,60-70k,100-150hp,2012,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
0-10k,Renault,Twingo,0.9 Energy,Red,30-40k,0-100hp,2014,Benzin,Gear type manual,Limousine,Teilleder,0-4.5f,80-100d
10-15k,Audi,A3,1.2 TFSI,Gray,80-90k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
0-10k,Renault,Twingo,0.9 Energy,Red,100k+,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
10-15k,Opel,Astra,1.4 Turbo,Black,70-80k,100-150hp,2014,Benzin,Gear type automatic,Kombi,Teilleder,5.5-6.5f,35-50d
15-20k,Skoda,Fabia,1.0 TSI,Black,20-30k,0-100hp,2020,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,15-25d
10-15k,Skoda,Fabia,1.0 MPI,Beige,70-80k,0-100hp,2018,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,25-35d
10-15k,Toyota,Yaris,1.5 Hybrid,White,40-50k,0-100hp,2013,Hybrid,Gear type automatic,Limousine,Stoff,0-4.5f,15-25d
20-25k,Volkswagen,Golf VII,2.0 TSI,Black,90-100k,200-250hp,2016,Benzin,Gear type automatic,Limousine,Leder,5.5-6.5f,0-7d
10-15k,Smart,forfour,1.0,Yellow,0-10k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Mazda,3,2.0,Black,20-30k,150-200hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,15-25d
20-25k,Volkswagen,Polo,1.0 TSI,White,20-30k,0-100hp,2021,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,0-7d
0-10k,Suzuki,Swift,1.6,Black,80-90k,100-150hp,2012,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,50-65d
+30k,Mercedes-Benz,C-Klasse,C 300 d,White,100k+,200-250hp,2019,Diesel,Gear type automatic,Kombi,Leder,4.5-5.5f,0-7d
10-15k,Kia,pro_cee'd,1.6 CRDi,Black,100k+,100-150hp,2016,Diesel,Gear type manual,Coupe,Stoff,0-4.5f,65-80d
25-30k,Citroen,Berlingo,1.5 Blue-HDi,Green,40-50k,100-150hp,2019,Diesel,Gear type manual,Van,Stoff,0-4.5f,15-25d
0-10k,Renault,Clio,1.2,Red,50-60k,0-100hp,2015,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,0-7d
10-15k,Skoda,Fabia,1.0 MPI,Black,10-20k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,15-25d
20-25k,Mitsubishi,Outlander,2.0,Black,40-50k,100-150hp,2018,Benzin,Gear type automatic,SUV,Stoff,5.5-6.5f,50-65d
15-20k,Fiat,500X,1.4 Turbo,Blue,70-80k,100-150hp,2017,Benzin,Gear type automatic,SUV,Teilleder,5.5-6.5f,80-100d
10-15k,Kia,cee'd,1.6 GDI,Black,50-60k,100-150hp,2014,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,65-80d
20-25k,MINI,MINI,Cooper,Orange,50-60k,100-150hp,2018,Benzin,Gear type automatic,Limousine,Leder,4.5-5.5f,100+
10-15k,Ford,Fiesta,1.1,Gray,20-30k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
20-25k,Skoda,Octavia,2.0 TSI,Black,40-50k,200-250hp,2018,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,0-7d
20-25k,Volkswagen,Golf VIII,1.5 TSI ACT,Gray,0-10k,100-150hp,2020,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,65-80d
10-15k,Opel,Crossland X,1.2,Blue,40-50k,100-150hp,2018,Benzin,Gear type manual,SUV,Stoff,4.5-5.5f,7-15d
25-30k,BMW,5er,520d,Gray,90-100k,150-200hp,2018,Diesel,Gear type automatic,Kombi,Teilleder,4.5-5.5f,7-15d
15-20k,Mazda,3,2.0,Black,20-30k,150-200hp,2016,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,35-50d
15-20k,Ford,Fiesta,1.0 EcoBoost,Gray,30-40k,100-150hp,2019,Benzin,Gear type manual,Kombi,Stoff,0-4.5f,100+
20-25k,Volkswagen,Touran,2.0 TDI,Gray,80-90k,100-150hp,2017,Diesel,Gear type automatic,Van,Stoff,4.5-5.5f,0-7d
0-10k,Renault,Twingo,1.0 SCe,Black,20-30k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,25-35d
15-20k,Toyota,RAV 4,2.0,Silver,10-20k,100-150hp,2014,Benzin,Gear type manual,SUV,Stoff,+6.5f,0-7d
0-10k,Opel,Adam,1.4,Gray,70-80k,0-100hp,2014,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,50-65d
20-25k,Volkswagen,Polo,2.0 TSI,White,50-60k,150-200hp,2020,Benzin,Gear type automatic,Limousine,Stoff,5.5-6.5f,50-65d
10-15k,Fiat,500,1.2,White,40-50k,0-100hp,2019,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,0-7d
20-25k,Peugeot,308,1.6 THP,White,60-70k,+250hp,2016,Benzin,Gear type manual,Limousine,Alcantara,5.5-6.5f,100+
+30k,BMW,3er,320d,Black,40-50k,150-200hp,2018,Diesel,Gear type automatic,Kombi,Leder,0-4.5f,35-50d
15-20k,MINI,MINI,One,Black,60-70k,100-150hp,2018,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,100+
15-20k,Opel,Insignia,2.0 CDTI,Gray,80-90k,150-200hp,2016,Diesel,Gear type automatic,Kombi,Stoff,4.5-5.5f,7-15d
+30k,Skoda,Kodiaq,1.5 TSI,Gray,10-20k,100-150hp,2019,Benzin,Gear type automatic,SUV,Stoff,+6.5f,50-65d
15-20k,Jeep,Renegade,1.4 M-Air,Yellow,60-70k,100-150hp,2016,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,25-35d
20-25k,Volkswagen,Sharan,2.0 TDI,Blue,100k+,150-200hp,2015,Diesel,Gear type manual,Van,Alcantara,4.5-5.5f,35-50d
15-20k,Suzuki,Vitara,1.6,Gray,40-50k,100-150hp,2017,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,35-50d
15-20k,Ford,Fiesta,1.0 EcoBoost,Red,40-50k,100-150hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,25-35d
15-20k,Ford,Focus,1.0 EcoBoost,White,50-60k,0-100hp,2018,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,35-50d
20-25k,Volkswagen,Arteon,2.0 TSI,Gray,60-70k,150-200hp,2017,Benzin,Gear type automatic,Limousine,Teilleder,5.5-6.5f,35-50d
10-15k,Hyundai,i20 Active,1.0 TDGI,Gray,60-70k,100-150hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
15-20k,Volkswagen,Golf VII Sportsvan,1.4 TSI,Black,70-80k,100-150hp,2016,Benzin,Gear type automatic,Van,Stoff,4.5-5.5f,7-15d
0-10k,Opel,Corsa,1.4,Blue,70-80k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
25-30k,Seat,Leon,1.5 eTSI ACT,Red,10-20k,100-150hp,2020,Benzin,Gear type automatic,Limousine,Teilleder,4.5-5.5f,0-7d
10-15k,Renault,Scenic,1.2 TCe Energy,White,100k+,100-150hp,2016,Benzin,Gear type manual,Van,Stoff,5.5-6.5f,25-35d
10-15k,Audi,A1,1.6 TDI,Black,100k+,100-150hp,2013,Diesel,Gear type manual,Limousine,Teilleder,0-4.5f,25-35d
15-20k,Ford,Fiesta,1.5 EcoBoost,White,40-50k,150-200hp,2018,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,0-7d
20-25k,Volkswagen,Passat,2.0 TDI,Gray,100k+,200-250hp,2015,Diesel,Gear type automatic,Kombi,Teilleder,4.5-5.5f,65-80d
15-20k,Volkswagen,Golf VII Sportsvan,1.4 TSI,Gray,30-40k,100-150hp,2016,Benzin,Gear type automatic,Van,Stoff,4.5-5.5f,50-65d
20-25k,Renault,Scenic,1.3 TCe,Black,40-50k,150-200hp,2019,Benzin,Gear type automatic,Van,Stoff,5.5-6.5f,7-15d
0-10k,Seat,Mii,1.0,Yellow,10-20k,0-100hp,2015,Benzin,Gear type automatic,Limousine,Stoff,0-4.5f,7-15d
15-20k,Nissan,Qashqai,1.2,Gray,60-70k,100-150hp,2018,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,35-50d
+30k,Mercedes-Benz,C-Klasse,C 200,White,30-40k,150-200hp,2019,Benzin,Gear type automatic,Kombi,Stoff,+6.5f,65-80d
20-25k,Audi,Q5,2.0 TFSI,White,100k+,200-250hp,2013,Benzin,Gear type automatic,SUV,Alcantara,+6.5f,25-35d
20-25k,Seat,Leon,2.0 TSI,Black,60-70k,+250hp,2017,Benzin,Gear type automatic,Coupe,Alcantara,+6.5f,35-50d
15-20k,Audi,A5 Sportback,2.0 TDI,White,90-100k,150-200hp,2014,Diesel,Gear type automatic,Kombi,Teilleder,4.5-5.5f,0-7d
10-15k,Smart,forfour,0.9 Turbo,Red,20-30k,0-100hp,2016,Benzin,Gear type automatic,Limousine,Leder,4.5-5.5f,15-25d
10-15k,Skoda,Superb,1.8 TSI,Gray,80-90k,150-200hp,2013,Benzin,Gear type automatic,Limousine,Leder,+6.5f,0-7d
20-25k,Ford,Mondeo,1.5 EcoBoost,Blue,10-20k,150-200hp,2019,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,15-25d
10-15k,Opel,Astra,1.4 Turbo,Red,100k+,100-150hp,2014,Benzin,Gear type automatic,Kombi,Teilleder,5.5-6.5f,15-25d
25-30k,Opel,Insignia Sports Tourer,2.0 CDTI,Black,40-50k,150-200hp,2021,Diesel,Gear type automatic,Kombi,Teilleder,0-4.5f,35-50d
10-15k,Audi,A1,1.4 TFSI,Black,90-100k,100-150hp,2014,Benzin,Gear type automatic,Limousine,Teilleder,4.5-5.5f,0-7d
+30k,Mercedes-Benz,C-Klasse,C 300,Black,40-50k,+250hp,2019,Benzin,Gear type automatic,Limousine,Leder,5.5-6.5f,25-35d
20-25k,Ford,Kuga,2.0 TDCi,Gray,60-70k,150-200hp,2017,Diesel,Gear type automatic,SUV,Alcantara,4.5-5.5f,80-100d
15-20k,Opel,Mokka X,1.4 Turbo,White,60-70k,100-150hp,2017,Benzin,Gear type manual,SUV,Teilleder,5.5-6.5f,25-35d
+30k,Audi,A4 Allroad,3.0 V6 TDI,Black,30-40k,+250hp,2016,Diesel,Gear type automatic,Kombi,Leder,4.5-5.5f,0-7d
15-20k,Hyundai,Tucson,1.7 CRDi,Black,50-60k,100-150hp,2016,Diesel,Gear type manual,SUV,Stoff,4.5-5.5f,65-80d
0-10k,Seat,Toledo,1.2 TSI,Black,80-90k,100-150hp,2014,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
10-15k,Volkswagen,Golf VII,1.4 TSI,Red,90-100k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,25-35d
15-20k,Dacia,Duster II,1.3 TCe,Blue,0-10k,100-150hp,2020,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,35-50d
15-20k,Audi,A5 Sportback,1.8 TFSI,White,50-60k,150-200hp,2013,Benzin,Gear type manual,Kombi,Teilleder,5.5-6.5f,15-25d
10-15k,Volkswagen,Passat,2.0 TDI,Black,100k+,100-150hp,2014,Diesel,Gear type manual,Kombi,Teilleder,4.5-5.5f,0-7d
20-25k,Hyundai,i30,2.0 TGDI,White,50-60k,+250hp,2019,Benzin,Gear type manual,Limousine,Teilleder,+6.5f,65-80d
0-10k,Nissan,Micra,1.2,Purple,50-60k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,25-35d
10-15k,BMW,1er,116i,Red,40-50k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,65-80d
0-10k,Renault,Clio,0.9 Energy,Red,100k+,0-100hp,2013,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,7-15d
15-20k,Honda,CR-V,1.6 DTEC,White,80-90k,100-150hp,2014,Diesel,Gear type manual,SUV,Alcantara,4.5-5.5f,100+
15-20k,Volkswagen,Caddy,1.6 TDI,Gray,90-100k,100-150hp,2014,Diesel,Gear type manual,Kombi,Stoff,5.5-6.5f,35-50d
0-10k,Hyundai,i20,1.4,Gray,20-30k,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
15-20k,MINI,MINI,One,Black,20-30k,100-150hp,2019,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,100+
25-30k,Hyundai,Kona,1.6 Hybrid,Red,0-10k,100-150hp,2021,Benzin,Gear type automatic,SUV,Leder,0-4.5f,65-80d
0-10k,Volkswagen,up!,1.0,White,40-50k,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
10-15k,Audi,A4,2.0 TDI,Black,100k+,150-200hp,2014,Diesel,Gear type automatic,Kombi,Alcantara,4.5-5.5f,0-7d
15-20k,Opel,Mokka X,1.4 Turbo,Black,40-50k,100-150hp,2017,Benzin,Gear type manual,SUV,Leder,5.5-6.5f,25-35d
10-15k,Opel,Astra K,1.6 CDTI DPF,Black,60-70k,100-150hp,2017,Diesel,Gear type manual,Kombi,Stoff,0-4.5f,0-7d
10-15k,Seat,Leon,1.4 TSI,Gray,100k+,100-150hp,2015,Benzin,Gear type manual,Kombi,Teilleder,4.5-5.5f,35-50d
15-20k,Nissan,X-Trail,1.6 dCi,White,80-90k,100-150hp,2015,Diesel,Gear type automatic,SUV,Stoff,4.5-5.5f,0-7d
10-15k,Audi,A1,1.0 TFSI,Black,80-90k,0-100hp,2016,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,25-35d
10-15k,Renault,Twingo,0.9 Energy,Black,40-50k,0-100hp,2018,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,25-35d
0-10k,Hyundai,i10,1.0,White,40-50k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Volkswagen,Tiguan,1.4 TSI,Gray,90-100k,100-150hp,2017,Benzin,Gear type automatic,SUV,Stoff,5.5-6.5f,65-80d
20-25k,Nissan,Qashqai,1.3 DIG-T,Blue,30-40k,150-200hp,2019,Benzin,Gear type automatic,SUV,Teilleder,4.5-5.5f,35-50d
10-15k,Renault,Twingo,1.0 SCe,White,0-10k,0-100hp,2019,Benzin,Gear type manual,Limousine,Stoff,0-4.5f,7-15d
0-10k,Ford,Ka+,1.2 Ti-VCT,Gray,60-70k,0-100hp,2016,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
15-20k,Fiat,Doblo,1.6 JTDM,Blue,80-90k,100-150hp,2019,Diesel,Gear type manual,Kombi,Stoff,5.5-6.5f,0-7d
10-15k,Renault,Clio,1.2 TCe,Gray,70-80k,100-150hp,2014,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,0-7d
20-25k,Ford,Grand Tourneo Connect,1.5 EcoBlue TDCi,Blue,50-60k,100-150hp,2018,Diesel,Gear type manual,Kombi,Leder,4.5-5.5f,0-7d
15-20k,Volkswagen,Golf VII,1.2 TSI,Black,50-60k,100-150hp,2016,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,25-35d
25-30k,Peugeot,3008,1.5 Blue-HDi,Gray,0-10k,100-150hp,2019,Diesel,Gear type automatic,SUV,Alcantara,0-4.5f,35-50d
10-15k,Smart,fortwo,0.9 Turbo,Black,80-90k,0-100hp,2016,Benzin,Gear type automatic,Coupe,Leder,0-4.5f,0-7d
15-20k,MINI,MINI,Cooper S,Black,70-80k,150-200hp,2015,Benzin,Gear type manual,Limousine,Leder,5.5-6.5f,25-35d
25-30k,Fiat,Talento,1.6 TwinTurbo Diesel Ecojet,White,30-40k,100-150hp,2019,Diesel,Gear type manual,Kombi,Stoff,5.5-6.5f,35-50d
15-20k,Volkswagen,Golf VII,2.0 TDI,Black,90-100k,150-200hp,2015,Diesel,Gear type automatic,Kombi,Leder,4.5-5.5f,25-35d
15-20k,Skoda,Fabia,1.4 TSI,White,50-60k,100-150hp,2018,Benzin,Gear type automatic,Kombi,Stoff,4.5-5.5f,50-65d
15-20k,Opel,Astra K,1.4 SIDI Turbo,Gray,40-50k,100-150hp,2019,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,25-35d
20-25k,Volkswagen,T-Cross,1.0 TSI,Green,20-30k,100-150hp,2020,Benzin,Gear type automatic,SUV,Stoff,4.5-5.5f,100+
25-30k,Volkswagen,Touran,1.6 TDI,Beige,10-20k,100-150hp,2018,Diesel,Gear type automatic,Van,Stoff,0-4.5f,50-65d
15-20k,Ford,Kuga,2.0 TDCi,Green,30-40k,100-150hp,2015,Diesel,Gear type automatic,SUV,Teilleder,4.5-5.5f,15-25d
15-20k,BMW,2er,216i Active Tourer,Gray,20-30k,100-150hp,2016,Benzin,Gear type manual,Van,Stoff,4.5-5.5f,35-50d
15-20k,Toyota,Prius,1.8,White,30-40k,0-100hp,2014,Hybrid,Gear type automatic,Limousine,Stoff,0-4.5f,7-15d
20-25k,Volkswagen,Passat,2.0 TDI,Red,40-50k,100-150hp,2017,Diesel,Gear type automatic,Kombi,Stoff,0-4.5f,7-15d
