price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
20-25k,Skoda,Octavia,2.0 TSI,Blue,40-50k,200-250hp,2017,Benzin,Gear type automatic,Limousine,Teilleder,5.5-6.5f,65-80d
15-20k,Volkswagen,Touran,1.4 TSI,Black,100k+,100-150hp,2015,Benzin,Gear type automatic,Van,Stoff,4.5-5.5f,7-15d
15-20k,Nissan,Qashqai,1.2,Gray,40-50k,100-150hp,2017,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,15-25d
10-15k,Volkswagen,Polo,1.0,Blue,40-50k,0-100hp,2016,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,15-25d
+30k,Volkswagen,Tiguan,2.0 TDI,Gray,40-50k,150-200hp,2017,Diesel,Gear type automatic,SUV,Stoff,5.5-6.5f,80-100d
10-15k,Ford,Focus,1.0 EcoBoost,Gray,90-100k,100-150hp,2015,Benzin,Gear type manual,Kombi,Stoff,4.5-5.5f,35-50d
25-30k,BMW,4er,430i Gran Coupé,Gray,40-50k,+250hp,2016,Benzin,Gear type automatic,Limousine,Alcantara,4.5-5.5f,7-15d
15-20k,Peugeot,308,2.0 Blue-HDi,Blue,40-50k,100-150hp,2015,Diesel,Gear type automatic,Kombi,Stoff,0-4.5f,7-15d
25-30k,Hyundai,i30,2.0 TGDI,Blue,20-30k,+250hp,2019,Benzin,Gear type manual,Limousine,Alcantara,+6.5f,80-100d
25-30k,Skoda,Karoq,1.5 TSI,Gray,30-40k,100-150hp,2019,Benzin,Gear type automatic,SUV,Stoff,5.5-6.5f,25-35d
15-20k,Nissan,Qashqai,1.6 dCi,Red,90-100k,100-150hp,2015,Diesel,Gear type manual,SUV,Teilleder,4.5-5.5f,65-80d
10-15k,Mazda,CX-5,2.2 Turbodiesel,White,100k+,150-200hp,2014,Diesel,Gear type manual,SUV,Leder,4.5-5.5f,7-15d
+30k,Mercedes-Benz,CLS-Klasse,CLS 350 d,Black,100k+,+250hp,2016,Diesel,Gear type automatic,Coupe,Leder,5.5-6.5f,15-25d
15-20k,Nissan,Qashqai,1.6,White,70-80k,150-200hp,2016,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,25-35d
20-25k,Volkswagen,Tiguan,2.0 TDI,Gray,90-100k,150-200hp,2015,Diesel,Gear type automatic,SUV,Stoff,5.5-6.5f,80-100d
25-30k,Volkswagen,Tiguan,2.0 TDI,Gray,80-90k,100-150hp,2018,Diesel,Gear type automatic,SUV,Stoff,4.5-5.5f,65-80d
10-15k,Dacia,Lodgy,1.2 TCe,Silver,20-30k,100-150hp,2014,Benzin,Gear type manual,Van,Leder,5.5-6.5f,0-7d
