company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
Weidendorfer Automobile GmbH,2,Small_buyer,1,9,6,157,2016,65264,24518,0,50,50,100,0,0,-250
MJC - AUTOMÓVEIS LDA,1,Small_buyer,1,10,2,110,2007,196805,2490,0,0,100,100,0,0,512
"PIERÓG TOMASZ P.U.H. ""TOMEX"" AUTO-HANDEL",20,Medium_buyer,6,5,6,116,2005,204002,2039,0,10,90,25,75,0,449
""" FIN CARS ""EOOD",1,Small_buyer,1,9,2,102,2009,237422,4235,0,0,100,0,100,0,-319
WebAutoBid s.r.o.,1,Small_buyer,1,9,3,110,2017,203937,5401,0,0,100,100,0,0,288
CAR FLORI- COMERCIO DE AUTOMOVEIS NOVOS E USADOS LDA,6,Small_buyer,3,8,4,125,2006,215711,1979,0,0,100,66,33,0,451
Lukáš Věříš,16,Medium_buyer,5,8,6,93,2007,179694,2496,0,0,100,37,62,0,418
TSIODRAS PANAG ATHANASIOS,1,Small_buyer,1,9,2,60,2016,109472,4894,0,0,100,0,100,0,1124
VRUBLEVYCH IVAN IVANOVYCH,1,Small_buyer,1,10,2,160,2011,318512,2250,0,100,0,100,0,0,247
H&C AUTO,2,Small_buyer,1,7,3,156,2010,134010,3955,0,0,100,50,50,0,-41
MPATAS PANAG ANASTASIOS,10,Small_buyer,4,1,7,90,2014,78383,6273,10,0,90,0,100,0,756
ASC Dessau GmbH,1,Small_buyer,1,10,3,110,2015,86064,8700,0,0,100,0,100,0,812
COLOMBARA FABIO,1,Small_buyer,1,10,2,70,2010,163549,1408,0,0,100,0,100,0,412
PACO BRAVO AUTOMOCION SLL,1,Small_buyer,1,10,3,90,2014,106551,9160,0,0,100,100,0,0,908
SAS POMPOM VEHICULE,1,Small_buyer,1,6,3,163,2002,78097,5300,0,100,0,0,100,0,313
MCM COOL AUTO S.R.L.,2,Small_buyer,1,7,3,139,2003,183787,3369,0,50,50,50,50,0,563
"HS Autohändler, Inh. Haji Al Omar",5,Small_buyer,3,6,5,100,2009,117012,4441,40,0,60,20,80,0,818
BC LINE,3,Small_buyer,2,8,9,403,2018,49755,45301,33,66,0,0,100,0,2048
CLS Autos 44,5,Small_buyer,3,8,9,326,2017,52652,35133,80,20,0,0,100,0,1319
LCH EXPERT SVS SRL,4,Small_buyer,2,8,6,151,2013,205467,9487,25,0,75,50,50,0,1303
GROUPE MARY - MARY AUTOMOBILES - LISIEUX - PEUGEOT,1,Small_buyer,1,10,4,130,2018,81434,16529,0,0,100,0,100,0,814
Pro Cars e.U.,2,Small_buyer,1,9,5,212,2015,133764,14507,50,50,0,50,50,0,-174
UAB ERVITRANS,3,Small_buyer,2,1,7,213,2017,143449,22016,0,66,33,100,0,0,861
"A3 Bus & Nutzfahrzeughandel, Inh. Muhamed Bastürk",5,Small_buyer,3,4,5,112,2009,168833,4712,0,20,80,100,0,0,604
AUTOHAUS ORNIG GMBH. & CO.KG,1,Small_buyer,1,9,5,212,2019,121323,31930,0,100,0,100,0,0,930
GARAGE JAROUSSAT,1,Small_buyer,1,10,2,100,2011,35345,3357,0,0,100,0,100,0,-140
Sławomir Gwiżdż CARS - TRANS. Mała Gastronomia,1,Small_buyer,1,9,3,190,2011,136588,6277,0,0,100,0,100,0,300
KĘSTUTIS ADOMAITIS,1,Small_buyer,1,9,2,130,2002,222110,2961,0,0,100,100,0,0,601
GARDENCAR - COMÉRCIO DE AUTOMÓVEIS UNIPESSOAL LDA,3,Small_buyer,2,8,7,128,2017,61190,19525,0,66,33,33,33,33,234
EBVBA GARAGE TRADING,4,Small_buyer,2,9,7,183,2017,41959,17677,0,0,100,0,100,0,1058
BULKAR PETKOV EOOD,1,Small_buyer,1,7,2,170,2008,346998,3558,0,100,0,100,0,0,277
REVEN NASTJA - CENTER VOZIL d.o.o.,1,Small_buyer,1,7,4,160,2018,131569,15600,100,0,0,100,0,0,551
Mercedes-Benz Theo Bähr GmbH,2,Small_buyer,1,10,7,170,2019,35207,27429,100,0,0,100,0,0,524
H3 meine Autowerkstatt GmbH & Co. KG,4,Small_buyer,2,4,6,133,2015,116423,11525,75,25,0,75,25,0,845
Fuglholt Biler ApS,1,Small_buyer,1,10,7,345,2022,18203,60000,0,100,0,0,0,100,1899
Trust Dearl Motors,4,Small_buyer,2,7,7,164,2016,114537,14844,25,25,50,25,75,0,983
Autohaus Graser GmbH,1,Small_buyer,1,9,5,192,2017,67836,20910,0,100,0,0,100,0,1496
Ernst Dello GmbH & Co. KG - Lübeck,16,Medium_buyer,5,8,10,134,2017,40600,15655,12,62,25,12,87,0,788
""" FL & ET Group "" SH.P.K.",3,Small_buyer,2,3,6,189,2014,218432,14947,100,0,0,100,0,0,1476
"Rheingau Cars, Inh. Hüsnü Tekeli",3,Small_buyer,2,7,9,346,2018,65367,57749,0,100,0,66,0,33,2348
HJM Mulder Auto's,9,Small_buyer,3,7,8,135,2014,84531,10993,0,0,100,0,100,0,982
"Automobile Benzstraße, Inh. Kudret Comak",11,Small_buyer,4,7,6,82,2008,117610,3197,36,18,45,0,100,0,521
GSI SRL,1,Small_buyer,1,6,2,170,2006,163789,2700,0,0,100,0,100,0,531
SPRL V.I.P. SYSTEM,3,Small_buyer,2,10,4,102,2010,104992,4785,0,0,100,0,100,0,131
"BIURO RACHUNKOWE ""TeKa"" ANETA ZANIKOWSKA",4,Small_buyer,2,8,4,103,2012,151801,3307,0,0,100,50,50,0,487
Bilar99e Oy,2,Small_buyer,1,10,5,91,2015,85494,14760,0,100,0,0,0,100,2125
"Erdo-Automobile, Inh. Suad Hadzi",2,Small_buyer,1,8,4,210,2007,331033,5420,0,50,50,100,0,0,-796
ACE AVTO d.o.o.,8,Small_buyer,3,1,11,450,2019,43968,94840,0,100,0,25,50,25,2257
"Alex Im & Export, Inh. Mohamed El-Sayed",2,Small_buyer,1,9,2,140,2004,174052,1927,0,100,0,50,50,0,407
"Bohnsack Autohandel, Inh. Holger Bohnsack",4,Small_buyer,2,5,5,111,2007,62758,6074,0,0,100,0,100,0,745
VAG-Specialist,2,Small_buyer,1,7,6,116,2017,44746,18329,50,50,0,0,50,50,1127
Pavel Malina,7,Small_buyer,3,5,5,137,2008,195673,4337,14,14,71,57,42,0,396
"Kfz-Handel Uttich, Inh. Thorsten Uttich",44,Medium_buyer,7,3,9,94,2007,51006,4707,0,11,88,0,100,0,703
OILTREND.HU Kft.,1,Small_buyer,1,7,4,180,2014,129152,14420,0,100,0,100,0,0,2028
Auto Direction s. r. o.,1,Small_buyer,1,10,4,180,2013,122725,11131,100,0,0,0,100,0,1417
CENTRAL GROUP S.R.L.S.,1,Small_buyer,1,9,5,180,2018,35187,26577,0,100,0,100,0,0,777
Eltex Slovakia s.r.o.,8,Small_buyer,3,6,8,158,2015,185508,11611,62,0,37,100,0,0,1009
MARATON CAR AG SRL,1,Small_buyer,1,9,2,150,2011,283430,4435,0,0,100,100,0,0,604
SYRROS GEORGIOS KONSTANTINOS,2,Small_buyer,1,6,4,102,2015,102150,5207,0,0,100,0,100,0,1020
Takete s.r.o.,18,Medium_buyer,5,7,3,147,1999,204227,513,0,44,55,0,100,0,72
Rantaperkiön Autotalo Oy,17,Medium_buyer,5,8,8,94,2009,121601,5076,0,47,52,0,58,41,747
JOAQUIM DUTHES,1,Small_buyer,1,7,4,101,2019,17124,12600,0,0,100,0,100,0,464
EASYCAR,6,Small_buyer,3,1,4,108,2005,159851,1771,0,16,83,0,100,0,445
SAS DIFFUSION AUTOMOBILES,2,Small_buyer,1,8,5,166,2015,49546,14387,0,50,50,0,100,0,1184
"SD Autohandel, Inh. Suayip Demircan",2,Small_buyer,1,6,2,127,2001,152745,527,0,50,50,50,50,0,122
Spinosauto Group Srl,1,Small_buyer,1,10,5,190,2018,154262,27450,100,0,0,100,0,0,800
VIASHAR EXPRESS Sp. z o.o.,2,Small_buyer,1,8,3,76,2004,214470,2796,0,50,50,0,50,50,422
Auto Meyer GmbH,1,Small_buyer,1,9,4,76,2018,9019,10300,0,0,100,0,100,0,416
Verda Trade Kft,1,Small_buyer,1,10,2,140,2006,242899,2490,0,0,100,100,0,0,250
KOZINA POSLOVANJE d.o.o.,1,Small_buyer,1,5,4,150,2014,150255,11170,0,0,100,100,0,0,180
AUTO TOP MEA COMPANY S.R.L.,16,Medium_buyer,5,5,9,137,2012,155364,9336,18,62,18,62,25,12,684
MI PROXIMO COCHE SL,1,Small_buyer,1,9,4,317,2016,97308,18200,0,100,0,0,100,0,449
"Fahrzeugagentur Mannheim, Inh. Sarantis Hatzis",49,Medium_buyer,8,1,9,96,2005,79131,2741,4,42,53,6,93,0,482
AUTOAPPENNINO SAS DI PALMIERI RENATA E C,1,Small_buyer,1,9,3,67,2018,14099,9442,0,0,100,0,100,0,398
EWELMAR Ewelina Czarnocka,1,Small_buyer,1,10,3,110,2016,165990,6830,100,0,0,100,0,0,307
Aleks Remer,15,Medium_buyer,5,7,8,175,2010,185813,6239,0,26,73,40,60,0,95
"Autohandel Galandarov, Inh. Ramin Galandarov",1,Small_buyer,1,8,3,185,2007,162620,5984,0,100,0,0,100,0,902
TODI TRADE d.o.o.,1,Small_buyer,1,7,4,177,2015,211461,14931,100,0,0,100,0,0,816
Autohaus Schäfer&Grimm GmbH,1,Small_buyer,1,6,3,72,2020,16332,9500,0,0,100,0,100,0,399
AUTOGRÁČ s.r.o.,15,Medium_buyer,5,5,9,135,2013,166083,9863,40,0,60,80,20,0,1185
Autobedrijf Avanti,1,Small_buyer,1,4,2,170,2011,102730,4608,0,0,100,0,100,0,643
HT Cars,3,Small_buyer,2,7,2,109,2000,232417,823,0,0,100,0,100,0,247
Ela Cars,1,Small_buyer,1,8,2,170,1998,239757,1207,0,0,100,0,100,0,264
ZS AUTOMOBILES,2,Small_buyer,1,7,4,200,2010,168006,6697,0,50,50,50,50,0,79
zone rouge,1,Small_buyer,1,5,2,230,2006,128697,4200,0,0,100,0,100,0,617
SILVER STAR LOGISTIK SRL,3,Small_buyer,2,4,4,130,2010,193886,3783,0,66,33,66,33,0,691
"Auto Center Schmidt, Inh. Rudolf Schmidt",9,Small_buyer,3,7,9,161,2012,65173,17989,22,44,33,66,33,0,137
"Autohaus Orléa, Inh. Ralph Orléa",3,Small_buyer,2,10,6,132,2016,51385,15111,0,33,66,0,66,33,871
"Sk Automobile, Inh. Sarmad Alshahwani",25,Medium_buyer,6,7,7,124,2003,129366,2602,4,72,24,0,100,0,222
"AVTOLIK, PRODAJA VOZIL, ENES KORAĆ S.P.",2,Small_buyer,1,10,6,190,2017,156346,19700,50,50,0,50,50,0,463
Autohaus Brandt GmbH,4,Small_buyer,2,10,9,190,2018,59612,31131,100,0,0,50,50,0,1009
"Jimmys Garage, Inh. Sinan Yildirim",5,Small_buyer,3,8,5,145,2010,113821,5136,0,40,60,20,80,0,137
P&M PARTNER MARIUSZ WOJCIECHOWSKI,21,Medium_buyer,6,4,8,141,2009,208461,4428,4,23,71,57,42,0,552
Schönfelder GmbH,1,Small_buyer,1,10,4,145,2021,61350,14500,0,0,100,0,100,0,407
HERMES IRENEUSZ MACIEJEWSKI,1,Small_buyer,1,8,3,105,2012,107048,5503,0,0,100,0,100,0,792
"H&M Automobile, Inh. Mohamad Jawich",1,Small_buyer,1,6,2,170,2006,255377,1796,0,100,0,0,100,0,312
Automarkt Radeberg GmbH,5,Small_buyer,3,8,6,160,2009,100436,9230,20,20,60,60,40,0,936
Makro GmbH & Co. KG,1,Small_buyer,1,10,9,385,2020,2938,151000,100,0,0,0,100,0,3116
EU SELECT CARS SRL,9,Small_buyer,3,7,7,136,2010,205607,6678,0,22,77,55,44,0,675
SARL SHERPA AUTO - SOCIETE HOUDANAISE D E,2,Small_buyer,1,8,4,73,2017,22304,5737,0,0,100,0,100,0,656
AUTO HANDEL Krzysztof Szulęcki,7,Small_buyer,3,8,7,152,2012,169962,7564,28,0,71,57,42,0,56
DANICAR Daniel Samson,2,Small_buyer,1,7,3,145,2008,218608,2765,0,0,100,50,50,0,367
Friedel & Kriegler Kfz GmbH,10,Small_buyer,4,6,9,131,2014,75409,11940,20,0,80,20,80,0,282
"Auto Mobile Landstuhl, Inh. Andreas Seng",4,Small_buyer,2,8,5,98,2011,103881,5308,0,0,100,25,75,0,385
Auto Palace Spořilov,13,Small_buyer,4,9,9,159,2015,128433,16898,46,15,38,61,38,0,1258
DZ AUTOS,3,Small_buyer,2,9,4,230,2005,204670,4930,0,100,0,33,66,0,368
OnlineAutoStore e.U.,2,Small_buyer,1,8,9,134,2020,12717,63037,0,100,0,50,0,50,1430
KOULOURIS MIHAIL ELEYTHERANTONIS,1,Small_buyer,1,8,3,135,2014,219351,6664,0,0,100,100,0,0,1291
AUTOSILVER,29,Medium_buyer,6,5,10,200,2009,99326,11639,3,37,58,41,58,0,1128
"Borchers Automobile, Inh. Andreas Borchers",19,Medium_buyer,5,5,5,164,2003,269502,1832,0,78,21,31,68,0,329
Fahrzeugtechnik Gackstatter GmbH,10,Small_buyer,4,7,9,135,2016,55048,16593,70,0,30,40,60,0,1092
AH Ford Wiemer GmbH,7,Small_buyer,3,9,7,109,2014,105820,7885,0,14,85,0,100,0,508
"Matthias Zech Automobile, Inh. Matthias Zech",1,Small_buyer,1,6,1,125,1995,168256,930,0,100,0,0,100,0,263
m7 Mainautomobil GmbH & Co. KG,10,Small_buyer,4,5,10,378,2015,82339,39008,20,80,0,20,80,0,1316
POLEAUTO,2,Small_buyer,1,7,5,155,2015,78476,11632,50,0,50,0,100,0,1200
ZHANA 45 EOOD,1,Small_buyer,1,7,7,530,2020,16412,64250,0,100,0,0,100,0,2140
Lackermann GmbH,6,Small_buyer,3,7,9,136,2018,27024,21470,33,16,50,16,83,0,1134
CADRUPO AUTOMOBILE SRL,1,Small_buyer,1,8,4,130,2016,70228,15035,0,0,100,100,0,0,535
Autohaus Klaus Koss GmbH,10,Small_buyer,4,7,9,143,2015,57571,17214,20,30,50,50,50,0,913
SARL FC IMPORT AUTO,3,Small_buyer,2,4,7,151,2007,164849,23150,33,33,33,100,0,0,1425
MGD Auto's,63,Top_buyer,8,1,12,157,2017,70772,19688,63,23,12,0,96,3,1186
Auto Zagato V.O.F.,1,Small_buyer,1,10,3,200,2011,81704,9188,0,0,100,0,100,0,910
NOKAS PIPAS AUTOMOVEIS LDA,1,Small_buyer,1,7,4,90,2017,64870,10009,100,0,0,100,0,0,0
Car’s & Co,1,Small_buyer,1,9,2,80,2008,76659,3435,0,0,100,100,0,0,451
AUTO PARTNER Maciej Guc,14,Small_buyer,4,3,4,92,2006,176488,1160,0,7,92,7,92,0,291
YANIS AUTO,1,Small_buyer,1,8,1,100,2003,194372,721,0,100,0,0,100,0,304
AUTO-FOCUS Tomasz Różycki,1,Small_buyer,1,9,2,280,2004,240771,3000,0,100,0,0,100,0,693
Miroslav Lízal,3,Small_buyer,2,7,3,74,2008,174087,1995,0,0,100,0,100,0,415
S-TRADE Grażyna Praszelik-Kocjan,6,Small_buyer,3,10,6,151,2011,239295,6240,16,0,83,100,0,0,817
MOSKALETS KOSTIANTYN,1,Small_buyer,1,9,5,95,2019,25191,22625,0,100,0,0,0,100,725
MOTPOL MARIUSZ POLKO,5,Small_buyer,3,10,5,147,2011,140119,6001,0,0,100,20,80,0,568
Brauckmann Service GmbH,1,Small_buyer,1,10,3,140,2005,81293,5049,0,100,0,100,0,0,699
AUTO CLEAN PARE-BRISE,1,Small_buyer,1,10,2,120,2010,225710,3390,0,0,100,0,100,0,436
JOSE MARIA NUNES MOREIRA,4,Small_buyer,2,10,5,128,2013,142679,8303,25,25,50,75,25,0,800
MAZURSKA GRUPA KAPITAŁOWA SP Z O.O.,1,Small_buyer,1,10,1,75,2003,159367,300,0,0,100,0,100,0,194
Andor Pirntke,1,Small_buyer,1,3,3,135,2006,454462,5129,0,100,0,100,0,0,768
TRADING MOTORS,1,Small_buyer,1,9,3,160,2010,52887,9359,100,0,0,0,100,0,1312
BORA AAB SH.P.K,2,Small_buyer,1,8,3,117,2015,232861,4681,100,0,0,100,0,0,300
MOON DRIVE d.o.o.,1,Small_buyer,1,5,2,75,2012,127553,3144,0,0,100,100,0,0,347
Autohaus Voigt GmbH,4,Small_buyer,2,9,7,157,2015,79099,16044,0,25,75,75,25,0,960
Autoparadies Lübeck GmbH,1,Small_buyer,1,10,2,150,2006,360976,1661,0,100,0,100,0,0,392
B. u. F. Follmann Automobile GbR,15,Medium_buyer,5,6,7,88,2009,97785,3673,0,0,100,0,100,0,609
VICENTE SOTO AUTOMOCION SL,3,Small_buyer,2,6,6,237,2015,134091,16555,0,33,66,66,33,0,-843
JORGE FERNANDO PEREIRA UNIPESSOAL LDA,3,Small_buyer,2,9,5,145,2012,128180,6891,0,0,100,33,66,0,1042
TRIMUS Mateusz Będzieszak,1,Small_buyer,1,10,2,70,2013,108433,3210,0,0,100,0,100,0,524
"Franck, Guy",3,Small_buyer,2,3,4,97,2011,85745,6150,0,0,100,0,100,0,649
Arabservice,1,Small_buyer,1,10,2,103,2007,127576,1196,0,0,100,0,100,0,240
Garage All-Round B.V.,3,Small_buyer,2,9,7,185,2018,47391,23103,0,100,0,0,100,0,833
Jeepservice BV,6,Small_buyer,3,5,10,237,2018,32809,42614,0,100,0,50,50,0,2193
MANTENIMIENTO TERRA Y JARDIN SLU,1,Small_buyer,1,5,2,147,2012,173462,4947,0,0,100,100,0,0,693
BUCCHERI ANNA MARIA,2,Small_buyer,1,9,2,57,2007,159440,1048,0,0,100,0,100,0,390
GASPEN CZ s.r.o.,18,Medium_buyer,5,4,8,132,2009,196982,4667,16,0,83,38,61,0,623
"Kfz Handel Ibic, Inh. Ivica Ibic",7,Small_buyer,3,8,6,179,2010,219140,5272,0,28,71,71,28,0,347
TKC-Styling Oy,5,Small_buyer,3,1,8,266,2014,137509,19542,20,80,0,40,40,20,657
AUTO STAINER SH.P.K,1,Small_buyer,1,8,3,115,2011,232115,5838,0,100,0,100,0,0,713
Jiří Bouchner,1,Small_buyer,1,10,3,200,2008,180546,6650,100,0,0,0,100,0,341
The Car House B.V.,2,Small_buyer,1,10,7,236,2017,60297,27473,50,0,50,0,100,0,1028
Autohaus Thun-Nord AG Steffisburg,1,Small_buyer,1,10,4,95,2021,11774,14401,0,0,100,0,100,0,1160
GS-AUTOMOBILE OÜ,2,Small_buyer,1,1,8,294,2019,45310,42700,0,100,0,0,50,50,1203
DOLISS 2008 EOOD,3,Small_buyer,2,7,4,141,2015,260626,6130,0,0,100,100,0,0,330
"DriveMe Car Sales, Inh. Semir Pepic",3,Small_buyer,2,10,9,263,2016,99452,36340,33,66,0,66,33,0,576
SERENITY CARS,4,Small_buyer,2,8,6,171,2009,80280,9749,0,25,75,25,75,0,-290
AUTOLUX SERVICES,13,Small_buyer,4,6,7,134,2012,197505,4880,7,7,84,92,7,0,783
MIGUEL GUILLEN LOPEZ,1,Small_buyer,1,10,4,150,2017,135669,11271,0,0,100,100,0,0,689
ATTRACTIVE CARS,1,Small_buyer,1,7,5,135,2019,50478,22455,100,0,0,100,0,0,624
"Autohaus Sauer, Inh. Torsten Heimer e. K.",2,Small_buyer,1,8,4,72,2016,26241,7823,0,0,100,0,100,0,152
CARZENTRUM GROUP S.R.L.,2,Small_buyer,1,9,5,110,2016,96042,13689,0,0,100,100,0,0,319
"H & S Autohandel, Inh. Said Hashimi",2,Small_buyer,1,10,5,205,2011,125266,13792,0,100,0,100,0,0,884
"MS-AUTOMOBILE, Inh. Mahmut Sinan Sabahoglu",3,Small_buyer,2,4,6,225,2012,213494,12215,0,33,66,100,0,0,1036
MICHAŁ KONDRATOWICZ,7,Small_buyer,3,1,3,139,2000,238792,966,0,57,42,28,71,0,348
JULIEN FOURNIE (GARAGE FOURNIE),1,Small_buyer,1,10,5,102,2017,87130,25521,0,0,100,100,0,0,521
GEORGANTZIDIS GEORGIOS KONSTANTINOS CARSITE,5,Small_buyer,3,8,5,86,2013,182593,4193,0,0,100,40,60,0,758
"Avtoline RV, prodaja rabljenih vozil, d.o.o.",1,Small_buyer,1,10,5,150,2018,105899,22897,0,0,100,100,0,0,497
SAS GARAGE JEAN PIERRE BROUSSOLLE,1,Small_buyer,1,9,3,170,2010,125281,8740,0,0,100,100,0,0,814
AUTOLIDER - Ltd.,1,Small_buyer,1,10,2,150,2005,191811,3393,0,0,100,0,100,0,562
AMP PIOTR PORZUCEK,5,Small_buyer,3,7,3,144,2009,211897,1728,0,20,80,40,60,0,0
SCORE 16 MOTORS,9,Small_buyer,3,6,7,162,2008,94639,8113,0,11,88,11,88,0,174
IONIQ AUTO KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,2,Small_buyer,1,4,4,95,2009,165525,6849,0,50,50,0,50,50,784
SASU ALL CARS,2,Small_buyer,1,6,2,81,2005,78856,1236,0,0,100,0,100,0,386
"KUPCZAK ZBIGNIEW FIRMA HANDLOWO USŁUGOWA ""SPRINT - CAR""",3,Small_buyer,2,8,2,80,2009,181629,1535,0,0,100,0,100,0,445
Mohamad Walid Awad,2,Small_buyer,1,5,2,106,2002,161222,1238,0,50,50,0,100,0,408
Tomáš Krajc,10,Small_buyer,4,3,5,119,2008,194294,3192,0,0,100,50,50,0,554
TOORAK TRADE KFT.,2,Small_buyer,1,10,4,168,2009,194517,8113,0,50,50,100,0,0,766
N-CAR ALEKSANDER NIETRZPIEL,3,Small_buyer,2,10,4,152,2012,171535,5983,33,0,66,33,66,0,595
LuCars Łukasz Sromecki,3,Small_buyer,2,9,4,88,2011,112676,4304,0,33,66,0,100,0,600
AUTO Kralovice s.r.o.,16,Medium_buyer,5,8,10,159,2012,197505,16937,0,6,93,93,6,0,897
Street Tuning Car Oy,1,Small_buyer,1,10,4,258,2014,162284,17075,0,100,0,100,0,0,1093
KRASANAKIS MICHAIL  ARTEMIOS,2,Small_buyer,1,10,4,115,2010,290600,5120,0,0,100,100,0,0,1107
LUXURY CARS d.o.o,6,Small_buyer,3,2,7,167,2014,168581,9888,0,33,66,100,0,0,773
KORMPOS LEONIDAS ASIMAKIS,3,Small_buyer,2,7,4,74,2015,59282,5782,0,0,100,0,100,0,775
SAVINIGARAGE DI SAVINI LUCA,5,Small_buyer,3,9,9,354,2007,129559,21191,0,80,20,0,100,0,698
ACN Autocenter Niederbayern GmbH,12,Small_buyer,4,5,10,210,2016,118537,21576,41,50,8,83,16,0,572
Kocsi-Park kft,15,Medium_buyer,5,3,11,356,2020,25413,47227,0,100,0,0,0,100,-1282
"S&R Kfz Meisterbetrieb, Inh. Rudolph Sascha",3,Small_buyer,2,7,2,110,2001,153516,827,0,0,100,0,100,0,288
"Autojuta, UAB",3,Small_buyer,2,9,9,305,2017,81009,36895,33,66,0,66,33,0,1617
Szabó és Lipóth Járműkereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,10,Small_buyer,4,6,6,126,2011,189646,4206,30,0,70,50,50,0,323
Techland BG LTD,1,Small_buyer,1,10,5,218,2019,18314,30047,0,100,0,0,0,100,1382
Hermansson Bil AB,14,Small_buyer,4,5,11,399,2019,21596,53188,0,100,0,0,0,100,1227
"A. und N. Schmidt, Inh. Alfred Schmidt, Norbert Schmidt",1,Small_buyer,1,10,5,150,2017,135335,21094,100,0,0,100,0,0,1792
EURL PELTRET NICOLAS,3,Small_buyer,2,6,5,92,2013,69363,7529,33,33,33,33,66,0,577
Sefkan Evin,1,Small_buyer,1,10,3,140,2012,108254,8137,0,0,100,100,0,0,627
V & G Automobiles Comm. V.,1,Small_buyer,1,6,7,340,2020,20908,50000,0,100,0,0,100,0,2737
SC AELIMSIG AUTO SRL,2,Small_buyer,1,9,2,65,2007,263374,749,0,0,100,0,100,0,294
AUTOBEDRIJF VERHULST,4,Small_buyer,2,3,6,124,2017,61407,12199,0,25,75,0,100,0,686
Autohaus Nissen GmbH,1,Small_buyer,1,10,3,125,2013,61835,7216,0,100,0,0,100,0,894
KAMARG GRZEGORZ SZUBA,10,Small_buyer,4,8,6,127,2011,182383,4305,10,10,80,30,70,0,605
A&L GRUPA SIA,3,Small_buyer,2,9,5,215,2011,259279,10010,66,33,0,100,0,0,704
SUNDGOVIA AUTOMOBILES,1,Small_buyer,1,8,2,185,2007,98915,4601,0,0,100,0,100,0,614
Kenderesi és Társai Kft.,1,Small_buyer,1,10,2,120,2011,135831,4450,0,0,100,0,100,0,296
"Elayla Motors, Inh. Adem Inanc",11,Small_buyer,4,8,4,77,2005,120078,1202,18,0,81,9,90,0,421
Vido - Nocsi Kft.,1,Small_buyer,1,10,2,140,2005,186209,1047,0,0,100,0,100,0,261
AUTOHAUS GLINICKE GMBH,14,Small_buyer,4,7,10,202,2019,33826,33308,57,28,14,50,42,7,1203
DIDUKH MYKOLA,2,Small_buyer,1,7,2,103,2002,169702,1042,0,0,100,0,100,0,140
Vaihtokaara Oy,6,Small_buyer,3,10,9,252,2020,13641,39209,0,100,0,0,0,100,1855
Johs. Meyer GmbH,22,Medium_buyer,6,5,9,93,2016,63149,7630,0,9,90,4,95,0,487
AMZ-Fahrzeugpflege Inh.Darko Zivkovic,2,Small_buyer,1,8,5,225,2010,148466,10928,50,50,0,50,50,0,898
Garage 58 Carsales,2,Small_buyer,1,7,7,253,2016,97488,28975,50,50,0,100,0,0,-1777
Freeroad B.V.,1,Small_buyer,1,6,4,121,2019,40797,17517,0,100,0,0,100,0,1948
VEENAUTO.NL V.O.F.,3,Small_buyer,2,9,7,147,2017,41331,20132,66,33,0,0,100,0,976
"AUTODADO GROUP, s.r.o.",4,Small_buyer,2,10,5,122,2012,137808,8435,25,50,25,25,75,0,340
"Auto Schmidt, Inh. Felix Schmidt",28,Medium_buyer,6,4,9,117,2010,112364,8736,25,0,75,46,53,0,997
Wessing Automotive (universeel jong),1,Small_buyer,1,9,4,317,2017,17466,18512,0,0,100,0,100,0,1185
BENJAMIN SANZ MOMPO,1,Small_buyer,1,9,5,150,2018,57441,23832,0,100,0,100,0,0,1044
Motorrad Martin GmbH,1,Small_buyer,1,10,5,313,2015,169339,21659,0,100,0,100,0,0,916
Václav Bulka,4,Small_buyer,2,1,4,120,2007,181866,2833,0,0,100,100,0,0,445
ÁDÁM ISTVÁN E.V.,1,Small_buyer,1,4,3,180,2009,133740,5665,0,0,100,0,100,0,345
Azatian dero,2,Small_buyer,1,6,2,76,2007,159814,704,0,0,100,0,100,0,112
Ebbigeal s. r. o.,1,Small_buyer,1,10,2,110,2014,273211,4775,0,0,100,100,0,0,869
SARL LA BELLE OCCASION,4,Small_buyer,2,1,5,91,2015,82020,6712,0,0,100,50,50,0,839
EB Automobile GmbH,5,Small_buyer,3,10,9,233,2018,41733,26427,40,40,20,20,80,0,-1820
"JT Automobile, Inh. Jasmin Tokmanovic",3,Small_buyer,2,7,3,129,2002,142348,2340,0,66,33,0,100,0,317
"Automobile Kiraz, Inh. Muhammed Kiraz",74,Top_buyer,9,2,10,124,2010,137716,5926,21,29,48,18,79,1,589
K. & M. EYTHYMIADI O.E,5,Small_buyer,3,7,6,74,2016,42654,7792,0,0,100,0,100,0,966
MICCAR Paweł Stępień,2,Small_buyer,1,8,2,110,2006,169222,2427,0,0,100,0,100,0,491
"ES automobile, Inh. Eray Sentürk",55,Top_buyer,8,3,7,107,2003,154652,1157,5,9,85,16,83,0,278
Autohaus Owschlag GmbH,8,Small_buyer,3,2,10,175,2018,29715,34126,0,37,62,50,37,12,1351
AK-MOTO Arkadiusz Sieniawski,26,Medium_buyer,6,6,5,134,2001,249847,862,0,15,84,11,88,0,268
MARLOOK PLUS s.r.o.,33,Medium_buyer,7,3,9,134,2009,148611,6710,3,15,81,51,48,0,775
