company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
Firma Usługowo-Handlowa EFEKT-MIR Milena Balbuza,1,Small_buyer,1,10,2,90,2009,120371,2650,0,0,100,0,100,0,252
TPN Tomasz Lachnik,14,Small_buyer,4,1,4,116,2003,250078,1034,0,0,100,42,57,0,294
BENJAMIM ARAUJO LDA,1,Small_buyer,1,10,4,72,2018,20354,10433,0,0,100,0,100,0,1254
Auto Krüger GmbH,5,Small_buyer,3,5,9,187,2019,21606,43727,20,60,20,100,0,0,2031
Piotr Homka,1,Small_buyer,1,10,2,140,2004,147534,1791,0,0,100,0,100,0,424
KOT YULIYA,1,Small_buyer,1,10,1,125,2002,225740,690,0,0,100,0,100,0,267
ZEMANDIA Kft.,1,Small_buyer,1,10,4,305,2001,183356,13000,0,100,0,0,100,0,476
DIACO AUTOMOBILE,4,Small_buyer,2,6,4,91,2008,102703,3934,0,25,75,25,75,0,526
AUTOHAUS NORDOST Inh. Henrik Elsholz,1,Small_buyer,1,3,5,150,2018,102102,22250,100,0,0,100,0,0,1342
Garage Moderne SA,1,Small_buyer,1,10,4,116,2018,37011,17159,0,0,100,100,0,0,1668
MM AUTO Łukasz Karpiński,7,Small_buyer,3,8,4,113,2006,157861,2447,0,14,85,0,100,0,350
D.M.I. LOGISTIC TRADER SRL,1,Small_buyer,1,8,5,255,2015,126812,23740,0,100,0,100,0,0,740
SAS AUTO-WISE.FR,53,Top_buyer,8,1,11,180,2013,62705,14563,16,13,69,5,94,0,1013
"""AUTO MAX"" G. GAJEWSKI GRZEGORZ GAJEWSKI",1,Small_buyer,1,10,2,150,1994,237492,1400,0,0,100,0,100,0,364
BESARDO KAPTELLI,3,Small_buyer,2,8,4,154,2008,321154,3342,0,66,33,100,0,0,438
MBK Błażej Kurdyś,15,Medium_buyer,5,8,5,106,2006,172342,1602,13,20,66,20,80,0,299
MMJ AUTO Monika Bryk,1,Small_buyer,1,10,3,150,2011,59178,8000,0,0,100,0,100,0,368
ITALCAMION SRL,1,Small_buyer,1,10,4,125,2014,236484,15000,0,0,100,100,0,0,-48
BIT LOGISZTIKA KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,Small_buyer,1,10,5,225,2018,122167,20500,0,100,0,0,0,100,200
DIEGO AUTO SPA DOOEL,9,Small_buyer,3,1,4,107,2005,225465,2151,0,0,100,100,0,0,538
Meijer Exclusives,1,Small_buyer,1,7,4,135,2015,20838,10601,0,0,100,0,100,0,422
ADDICT DRIVER,1,Small_buyer,1,6,3,185,2012,123247,9806,0,100,0,0,100,0,406
Demauto9,1,Small_buyer,1,10,4,230,2013,114145,17000,100,0,0,0,100,0,1192
M&B D.O.O.,1,Small_buyer,1,2,4,140,2017,62550,12813,0,0,100,0,100,0,763
"Garage Rado Mechelen, Bagrat Eremian",2,Small_buyer,1,6,4,166,2007,60177,8959,0,100,0,50,50,0,34
