stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
CK92291,15290,Mazda,CX-5,2.2 Turbodiesel,Diesel,10,10-11,15_20,2014,150,60726,Gear type manual,1035
FF96179,13126,Hyundai,i10,1.2,Benzin,5,4-5,10_15,2019,87,35761,Gear type automatic,1025
UX82314,37147,BMW,5er,530e,Hybrid,4,4-5,30+,2020,184,48574,Gear type automatic,1025
VZ83373,43450,Mercedes-Benz,E-Klasse,E 300,Benzin,5,4-5,30+,2019,245,31995,Gear type automatic,1008
ZY72437,16940,BMW,1er,116d,Diesel,5,4-5,15_20,2019,115,41625,Gear type manual,1025
RB58608,18290,Volkswagen,Golf VII,2.0 TDI,Diesel,9,8-9,15_20,2015,185,109542,Gear type automatic,1025
WX67413,26160,Seat,Leon,2.0 TSI,Benzin,4,4-5,25_30,2019,300,54626,duplex,1023
MD39527,14790,Seat,Leon,1.0 TSI,Benzin,6,6-7,10_15,2018,115,63715,Gear type manual,1025
JB18727,30490,Opel,Insignia Grand Sport,2.0 Turbo,Benzin,3,2-3,30+,2021,200,9430,Gear type automatic,1025
TE70030,10590,Fiat,500,1.2,Benzin,8,8-9,10_15,2016,70,39507,Gear type manual,8111
MX26980,11540,Skoda,Fabia,1.0 MPI,Benzin,5,4-5,10_15,2019,75,63497,Gear type manual,8111
BG45213,10460,Smart,fortwo,0.9 Turbo,Benzin,8,8-9,10_15,2016,90,58910,Gear type manual,8111
LL23143,8890,Hyundai,i10,1.0,Benzin,9,8-9,0_10,2015,67,44215,Gear type manual,1025
PJ12603,19591,Volkswagen,Golf VII,2.0 TFSI,Benzin,10,10-11,15_20,2014,230,102989,Gear type automatic,1025
KE09609,34090,Audi,TTS,2.0 TFSI,Benzin,7,6-7,30+,2017,310,92806,Gear type automatic,1008
FT83162,13750,Skoda,Yeti,1.4 TSI,Benzin,8,8-9,10_15,2016,125,109559,Gear type manual,1035
EA89512,11730,Dacia,Duster,1.6 SCe,Benzin,8,8-9,10_15,2016,115,6290,Gear type manual,1035
UZ67427,16936,BMW,2er,218i Active Tourer,Benzin,8,8-9,15_20,2016,135,37826,Gear type manual,1038
JP77207,9220,Opel,Karl,1.0,Benzin,7,6-7,0_10,2016,75,58769,Gear type manual,8111
JJ51241,18735,Audi,A3,2.0 TDI,Diesel,7,6-7,15_20,2017,150,99957,Gear type automatic,1025
SK97639,15999,Seat,Leon,2.0 TDI,Diesel,7,6-7,15_20,2017,185,111513,Gear type automatic,1008
YB33738,24616,Renault,Grand Scenic,1.3 TCe,Benzin,4,4-5,20_25,2020,159,72885,Gear type automatic,1038
AM99987,12695,Mercedes-Benz,A-Klasse,A 180,Benzin,9,8-9,10_15,2015,122,103639,Gear type manual,1025
BE85326,23874,Audi,Q3,2.0 TDI,Diesel,8,8-9,20_25,2016,185,28666,Gear type manual,1035
YA68754,23826,Opel,Insignia Grand Sport,1.6 SIDI Turbo,Benzin,6,6-7,20_25,2018,200,31693,Gear type manual,1025
VG82740,37000,Mercedes-Benz,E-Klasse,E 220 d,Diesel,4,4-5,30+,2019,195,109302,Gear type automatic,1008
ME35325,33286,Ford,Focus,2.3 EcoBoost,Benzin,6,6-7,30+,2017,350,53682,Gear type manual,1025
JZ90148,26990,Audi,A6 Allroad,3.0 V6 TDI,Diesel,10,10-11,25_30,2014,313,110764,Gear type automatic,1023
LZ00476,22020,BMW,3er,320i,Benzin,6,6-7,20_25,2018,185,107242,Gear type automatic,1023
PE42039,10090,Dacia,Sandero,0.9 TCE ,Benzin,8,8-9,10_15,2016,90,56030,Gear type manual,1025
JR80839,14790,Smart,fortwo,0.9 Turbo,Benzin,5,4-5,10_15,2018,90,60722,Gear type automatic,8111
BY21908,18590,Volkswagen,Golf VII,1.5 TSI,Benzin,5,4-5,15_20,2019,131,37967,Gear type manual,1025
RB52735,7990,Volkswagen,up!,1.0,Benzin,5,4-5,0_10,2019,60,101871,Gear type manual,8111
EE84034,22190,BMW,X1,xDrive 20d,Diesel,8,8-9,20_25,2015,190,90538,Gear type automatic,1035
LY10516,10990,Opel,Astra,1.6,Benzin,9,8-9,10_15,2015,115,61406,Gear type manual,1025
TJ67153,19390,Volkswagen,Passat,2.0 TDI,Diesel,7,6-7,15_20,2017,150,102917,Gear type automatic,1023
FR51366,17990,Volkswagen,Polo,1.0 TSI,Benzin,5,4-5,15_20,2019,95,38600,duplex,1025
WE65908,23840,Kia,XCeed,1.5 TGDI,Benzin,2,2-3,20_25,2022,160,8268,Gear type manual,1035
JB90822,12490,Hyundai,i30,1.4,Benzin,8,8-9,10_15,2016,100,29431,Gear type manual,1025
DG56951,11669,Skoda,Fabia,1.2 TSI,Benzin,10,10-11,10_15,2014,105,43529,Gear type automatic,8111
UP43182,38985,Mercedes-Benz,V-Klasse,V 220 d,Diesel,7,6-7,30+,2017,163,60134,Gear type automatic,1038
UC16873,14390,Renault,Captur,1.2 TCe,Benzin,9,8-9,10_15,2015,120,32067,Gear type automatic,1035
ZC52410,18960,Volkswagen,Golf VII,1.0 TSI,Benzin,5,4-5,15_20,2019,116,56113,Gear type automatic,1025
EF22426,40400,Land Rover,Range Rover Sport,3.0 SD V6,Diesel,7,6-7,30+,2017,305,96652,Gear type automatic,1035
AU57163,35490,Mercedes-Benz,C-Klasse,C 300,Benzin,4,4-5,30+,2020,259,33974,Gear type automatic,1023
TZ51492,47620,Audi,RS 3,2.5 TFSI,Benzin,4,4-5,30+,2020,400,24891,Gear type automatic,1025
BW56666,10711,Skoda,Rapid,1.2 TSI,Benzin,9,8-9,10_15,2014,105,60989,Gear type manual,1025
CP41975,18602,Audi,A3,1.6 TDI,Diesel,7,6-7,15_20,2017,110,85345,Gear type manual,1025
HS11980,14590,Skoda,Yeti,1.4 TSI,Benzin,8,8-9,10_15,2016,125,95554,Gear type manual,1035
GD25720,9147,Mitsubishi,Space,1.0,Benzin,4,4-5,0_10,2020,70,33983,Gear type manual,8111
YJ14615,11350,Skoda,Fabia,1.2 TSI,Benzin,9,8-9,10_15,2015,90,54797,Gear type manual,1023
BB04939,11490,Skoda,Rapid,1.6 TDI,Diesel,8,8-9,10_15,2016,115,107482,Gear type manual,1025
PL80572,10656,Renault,Clio,1.2,Benzin,6,6-7,10_15,2018,73,56648,Gear type manual,8111
JV00095,19240,Jeep,Renegade,1.4 M-Air,Benzin,8,8-9,15_20,2016,170,52354,Gear type automatic,1035
BB26138,9490,Renault,Clio,0.9 Energy,Benzin,8,8-9,0_10,2016,90,79051,Gear type manual,8111
TA44237,35490,Mercedes-Benz,C-Klasse,C 400,Benzin,5,4-5,30+,2019,333,100560,Gear type automatic,1025
ZX81778,14990,Audi,A1,1.0 TFSI,Benzin,9,8-9,10_15,2015,95,20051,Gear type manual,8111
DF75397,23090,Volkswagen,Sharan,2.0 TDI,Diesel,9,8-9,20_25,2015,150,94117,Gear type automatic,1038
SV55208,11270,Fiat,Tipo,1.4,Benzin,6,6-7,10_15,2018,95,51574,Gear type manual,1025
MV29490,10240,Fiat,500,1.2,Benzin,8,8-9,10_15,2016,70,63400,Gear type manual,8111
HH86758,12090,Renault,Twingo,0.9 TCe,Benzin,5,4-5,10_15,2019,92,5026,Gear type manual,8111
ZN30601,13050,Smart,fortwo,0.9 Turbo,Benzin,9,8-9,10_15,2015,90,62373,duplex,1008
XZ75583,39865,Mercedes-Benz,GLA-Klasse,GLA 250,Benzin,4,4-5,30+,2020,224,29132,Gear type automatic,1035
ZF46328,31310,Mercedes-Benz,A-Klasse,A 220,Benzin,5,4-5,30+,2019,190,30999,Gear type automatic,1025
NZ04055,14796,Smart,fortwo,0.9 Turbo,Benzin,7,6-7,10_15,2017,90,68052,duplex,1007
XG84493,14350,Smart,forfour,1.0,Benzin,6,6-7,10_15,2018,70,18251,duplex,1025
SU47583,24748,Audi,A4,40 TDI,Diesel,5,4-5,20_25,2019,190,94734,Gear type automatic,1023
SU92275,12000,Smart,fortwo,0.9 Turbo,Benzin,8,8-9,10_15,2016,90,44045,duplex,1008
JJ15009,17150,Volkswagen,Polo,1.0,Benzin,5,4-5,15_20,2019,80,8254,Gear type manual,1025
MW57505,15430,Opel,Astra K,1.4 SIDI Turbo,Benzin,6,6-7,15_20,2018,125,57655,Gear type manual,1023
NP76054,12530,Hyundai,i10,1.2,Benzin,5,4-5,10_15,2018,87,23044,Gear type manual,8111
ME88890,14890,Nissan,Qashqai,1.2,Benzin,7,6-7,10_15,2016,115,65273,Gear type manual,1035
SJ13108,26590,Mercedes-Benz,SLC-Klasse,SLC 180,Benzin,6,6-7,25_30,2018,155,53294,Gear type manual,1030
BJ35439,17694,BMW,3er,318d,Diesel,9,8-9,15_20,2015,150,106057,Gear type manual,1023
RV20787,38510,Volkswagen,Tiguan,1.5 TSI ACT,Benzin,2,2-3,30+,2022,150,32032,Gear type automatic,1035
FC65010,19999,Volkswagen,Polo,1.0 TSI,Benzin,4,4-5,15_20,2020,95,18997,Gear type automatic,8111
WY13345,20390,Opel,Insignia,2.0 CDTI,Diesel,6,6-7,20_25,2018,210,104615,Gear type automatic,1023
EL84288,18020,Audi,A4,2.0 TDI,Diesel,8,8-9,15_20,2016,150,101674,Gear type manual,1023
DV16774,22350,Audi,A4,2.0 TDI,Diesel,6,6-7,20_25,2018,150,88337,Gear type automatic,1023
CZ54406,18990,Audi,A4,2.0 TDI,Diesel,7,6-7,15_20,2017,150,109037,Gear type manual,1025
SY07957,18750,Ford,Focus,1.0 EcoBoost,Benzin,4,4-5,15_20,2019,125,36111,Gear type manual,1023
DX17921,14820,Ford,Kuga,1.5 EcoBoost,Benzin,6,6-7,10_15,2018,150,83057,Gear type manual,1035
PY35029,24130,Volkswagen,Polo,2.0 TSI,Benzin,4,4-5,20_25,2019,200,18228,duplex,1025
SV54166,17500,Volkswagen,Golf VII,1.5 TSI,Benzin,7,6-7,15_20,2017,150,107884,Gear type automatic,1023
RW93640,18020,MINI,MINI,Cooper,Benzin,5,4-5,15_20,2019,135,59716,Gear type manual,1025
GK71356,14210,Smart,forfour,0.9 Turbo,Benzin,6,6-7,10_15,2018,90,63375,duplex,1025
ME94869,19360,Audi,A1,1.8 TFSI,Benzin,8,8-9,15_20,2016,192,56048,Gear type automatic,8111
XH16638,11887,Skoda,Fabia,1.0 MPI,Benzin,5,4-5,10_15,2019,60,42673,Gear type manual,8111
XP11721,33930,Mercedes-Benz,E-Klasse,E 220 d,Diesel,6,6-7,30+,2018,195,109965,Gear type automatic,1008
DV84526,30970,Volkswagen,Tiguan Allspace,2.0 TDI,Diesel,4,4-5,30+,2019,150,54928,Gear type automatic,1035
VZ89148,29950,Mercedes-Benz,E-Klasse,E 200,Benzin,5,4-5,25_30,2019,185,51858,Gear type automatic,1023
AL88070,37490,Mercedes-Benz,C-Klasse,C 220 d,Diesel,4,4-5,30+,2020,194,44262,Gear type automatic,1008
GZ41431,15520,Smart,fortwo,0.9 Turbo,Benzin,6,6-7,15_20,2018,90,69863,Gear type automatic,8111
AT95869,13630,Opel,Adam,1.4,Benzin,5,4-5,10_15,2019,100,12124,Gear type manual,1025
DM95263,14260,Volkswagen,Polo,1.0,Benzin,6,6-7,10_15,2018,75,34402,Gear type manual,8111
EJ77936,22980,Volkswagen,Touran,1.5 TSI,Benzin,6,6-7,20_25,2018,150,70801,Gear type manual,1038
AE09717,10990,Renault,Twingo,0.9 Energy,Benzin,8,8-9,10_15,2016,90,56675,duplex,1025
DJ28343,18490,Dacia,Duster,1.3 TCe,Benzin,3,2-3,15_20,2021,131,30828,Gear type manual,1035
WB14702,24614,Dacia,Duster,1.3 TCe,Benzin,1,0-1,20_25,2023,150,9305,duplex,1035
YW60804,15380,Citroen,Berlingo,1.6 Blue-HDi,Diesel,7,6-7,15_20,2017,120,68394,Gear type manual,1035
GP44234,22690,Hyundai,Kona,1.6 TGDI,Benzin,5,4-5,20_25,2019,177,40871,Gear type automatic,1035
JW84920,22240,Mercedes-Benz,C-Klasse,C 200 d,Diesel,6,6-7,20_25,2018,150,104703,Gear type automatic,1023
GS35540,16750,Suzuki,Ignis,1.2 DualJet Mild-Hybrid,Benzin,3,2-3,15_20,2020,83,20983,Gear type manual,1025
JL29934,15069,Hyundai,i30,1.6 TGDI,Benzin,8,8-9,15_20,2016,185,100834,Gear type manual,1025
VS53662,18471,Hyundai,Tucson,1.6 TGDI,Benzin,6,6-7,15_20,2018,177,43016,Gear type manual,1035
SJ22651,12002,Peugeot,208,1.2 e-VTi,Benzin,7,6-7,10_15,2017,82,11821,Gear type manual,8111
JD79005,14144,Ssangyong,Tivoli,1.6,Benzin,5,4-5,10_15,2019,128,19538,Gear type manual,1035
AJ95637,20690,Mercedes-Benz,GLA-Klasse,GLA 200,Benzin,8,8-9,20_25,2016,155,67666,Gear type automatic,1035
HY96682,22761,Mercedes-Benz,C-Klasse,C 220 d,Diesel,7,6-7,20_25,2017,170,86164,Gear type automatic,1023
DW53032,9729,Renault,Twingo,0.9 Energy,Benzin,8,8-9,0_10,2016,90,56142,Gear type manual,1025
ME79761,14524,Mercedes-Benz,B-Klasse,B 180,Benzin,9,8-9,10_15,2015,122,94683,Gear type manual,1038
SR66938,17750,Volkswagen,Touran,1.6 TDI,Diesel,7,6-7,15_20,2017,115,100486,Gear type manual,1038
YC89719,15163,Volkswagen,Golf VII Sportsvan,1.2 TSI,Benzin,6,6-7,15_20,2017,110,46073,Gear type manual,1038
NA16011,9790,Hyundai,i20,1.2,Benzin,7,6-7,0_10,2016,75,46634,Gear type manual,1025
WK02019,9950,Hyundai,i20,1.2,Benzin,7,6-7,0_10,2016,75,35656,Gear type manual,8111
FE68627,17905,Mercedes-Benz,C-Klasse,C 200 d,Diesel,8,8-9,15_20,2016,135,91710,Gear type manual,1023
VU52532,19990,Ford,Tourneo Connect,1.5 EcoBlue TDCi,Diesel,6,6-7,15_20,2018,101,43691,Gear type manual,1038
AF63974,16790,BMW,2er,216d Active Tourer,Diesel,8,8-9,15_20,2015,115,55130,Gear type automatic,1038
NB39514,19999,Ford,Kuga,1.5 EcoBoost,Benzin,5,4-5,15_20,2019,150,25135,Gear type manual,1035
WU74189,39990,Mercedes-Benz,V-Klasse,V 250 d,Diesel,9,8-9,30+,2015,190,94110,Gear type automatic,1038
NN02410,12690,Fiat,500,1.2,Benzin,7,6-7,10_15,2017,70,30085,Gear type automatic,8111
KF95706,8415,Mitsubishi,Space,1.0,Benzin,6,6-7,0_10,2018,70,59667,Gear type manual,8111
KK75166,8149,Skoda,Citigo,1.0 MPI,Benzin,8,8-9,0_10,2016,60,63595,Gear type manual,8111
JJ27473,17146,Fiat,500L,1.4,Benzin,4,4-5,15_20,2019,95,6009,Gear type manual,1038
XA66997,12886,Ford,Fiesta,1.0 EcoBoost,Benzin,5,4-5,10_15,2019,100,74964,Gear type manual,8111
RN89148,21090,Peugeot,3008,1.2 e-THP / PureTech,Benzin,5,4-5,20_25,2018,130,50493,Gear type manual,1035
GY55535,15590,Volkswagen,Golf VII Sportsvan,1.4 TSI,Benzin,9,8-9,15_20,2015,125,45401,Gear type automatic,1038
HR03646,28850,Jaguar,E-Pace,P250,Benzin,5,4-5,25_30,2019,250,65591,Gear type automatic,1035
ZS00038,11490,Peugeot,2008,1.2 e-THP,Benzin,9,8-9,10_15,2015,110,79625,Gear type manual,1035
YN43731,47267,Volkswagen,T6 Multivan,2.0 TDI,Diesel,6,6-7,30+,2018,205,73791,Gear type automatic,1038
NF16841,22410,Hyundai,Tucson,1.6 TGDI,Benzin,5,4-5,20_25,2019,177,21305,Gear type manual,1035
BR99987,9660,Renault,Twingo,1.0 SCe,Benzin,7,6-7,0_10,2017,70,49533,Gear type manual,1025
HS33522,11890,Renault,Clio,0.9 TCe,Benzin,5,4-5,10_15,2018,76,16416,Gear type manual,8111
CB46237,12699,Volkswagen,Polo,1.2 TSI,Benzin,9,8-9,10_15,2014,90,33624,Gear type automatic,8111
KE63041,27240,BMW,X1,xDrive 25i,Benzin,8,8-9,25_30,2016,230,32827,Gear type automatic,1035
GS41228,16390,Smart,fortwo,0.9 Turbo,Benzin,6,6-7,15_20,2018,90,32295,Gear type automatic,8111
CY63879,24290,Volkswagen,Passat,1.8 TSI,Benzin,7,6-7,20_25,2017,180,58237,Gear type automatic,1023
AZ95731,18990,Ford,Puma,1.0 EcoBoost,Benzin,4,4-5,15_20,2019,125,56067,Gear type manual,1035
YS76311,23090,Volkswagen,Caddy,2.0 TDI,Diesel,4,4-5,20_25,2019,102,45411,Gear type manual,1038
XH25648,10980,Skoda,Fabia,1.2 TSI,Benzin,8,8-9,10_15,2016,90,70238,Gear type manual,1023
WX05914,9590,Smart,forfour,1.0,Benzin,10,10-11,0_10,2014,70,46912,Gear type manual,8111
ZG14377,8374,Opel,Adam,1.0,Benzin,9,8-9,0_10,2015,90,107331,Gear type manual,8111
HZ56383,23390,Skoda,Octavia,2.0 TDI,Diesel,5,4-5,20_25,2019,184,49595,Gear type automatic,1023
CC65733,17756,Ford,EcoSport,1.0 EcoBoost,Benzin,6,6-7,15_20,2018,140,25893,Gear type manual,1035
MH50542,13450,Opel,Mokka,1.4 Turbo,Benzin,8,8-9,10_15,2016,140,60504,Gear type manual,1035
TE50509,28018,Volkswagen,Touran,2.0 TDI,Diesel,4,4-5,25_30,2019,190,60846,Gear type automatic,1038
VX73479,14290,Opel,Astra K,1.4 SIDI Turbo,Benzin,5,4-5,10_15,2019,125,61354,Gear type manual,1025
HJ11081,25610,Mercedes-Benz,A-Klasse,A 250,Benzin,6,6-7,25_30,2018,225,73923,Gear type automatic,1025
SE24464,17490,Volkswagen,Caddy,1.4 TSI,Benzin,9,8-9,15_20,2015,125,98896,Gear type manual,1038
HW47324,39623,Mercedes-Benz,CLA-Klasse,CLA 35  Shooting Brake AMG,Benzin,4,4-5,30+,2020,306,78562,duplex,1023
EF45772,13960,Fiat,Tipo,1.4 Turbo,Benzin,5,4-5,10_15,2019,120,42761,Gear type manual,1025
YW69550,11161,Renault,Clio,0.9 Energy,Benzin,8,8-9,10_15,2016,90,70154,Gear type manual,1025
WK92796,10790,Ford,Fiesta,1.1,Benzin,7,6-7,10_15,2017,85,54493,Gear type manual,1025
AC09525,30383,Volkswagen,Tiguan,1.5 TSI ACT,Benzin,3,2-3,30+,2020,150,20258,Gear type automatic,1035
MK84652,16890,Ford,Focus,1.5 EcoBlue TDCi,Diesel,6,6-7,15_20,2018,120,87282,Gear type automatic,1025
TJ55110,11200,Seat,Ibiza,1.0,Benzin,7,6-7,10_15,2017,75,50402,Gear type manual,1025
XS04496,31245,Alfa Romeo,Stelvio,2.2 JTDM,Diesel,6,6-7,30+,2017,210,37511,Gear type automatic,1035
YJ50824,13800,Ford,Kuga,1.5 EcoBoost,Benzin,9,8-9,10_15,2015,150,109181,Gear type manual,1035
SP72651,31890,Mercedes-Benz,CLA-Klasse,CLA 45 AMG,Benzin,7,6-7,30+,2017,380,93761,duplex,1025
ZC61698,30190,Toyota,RAV 4,2.5 Hybrid,Hybrid,4,4-5,30+,2020,218,36038,Gear type automatic,1035
SV43803,12870,Volkswagen,Polo,1.2 TSI,Benzin,8,8-9,10_15,2015,90,25775,Gear type manual,1025
KN80595,16690,Nissan,Qashqai,1.6 dCi,Diesel,7,6-7,15_20,2017,130,108656,Gear type automatic,1035
WW54373,17900,Renault,Megane,1.3 TCe,Benzin,5,4-5,15_20,2019,140,49577,Gear type automatic,1025
TV80233,16490,Volkswagen,Polo,1.8 TSI,Benzin,9,8-9,15_20,2015,192,85843,duplex,1025
HF46146,12800,Opel,Mokka,1.4 Turbo,Benzin,9,8-9,10_15,2015,140,82340,Gear type automatic,1035
KB28852,14950,Volkswagen,Golf VII,1.6 TDI,Diesel,7,6-7,10_15,2017,115,101120,Gear type manual,1023
TR00430,20700,Ford,Focus,2.0 EcoBoost,Benzin,6,6-7,20_25,2018,250,58049,Gear type manual,1023
BN98296,40905,Volkswagen,T6 Multivan,2.0 TDI,Diesel,7,6-7,30+,2017,205,100129,duplex,1006
WM64521,25420,Seat,Ateca,1.5 TSI,Benzin,5,4-5,25_30,2019,150,41816,duplex,1035
SY43427,16320,Opel,Corsa,1.2,Benzin,3,2-3,15_20,2021,101,46619,Gear type manual,1025
JC69629,11450,Volkswagen,Polo,1.0,Benzin,9,8-9,10_15,2014,75,33574,Gear type manual,1025
LU75207,26870,Kia,pro_cee'd,1.6 TGDI,Benzin,4,4-5,25_30,2020,205,51595,Gear type automatic,1023
CJ99890,14471,Volkswagen,Golf VII Sportsvan,1.4 TSI,Benzin,9,8-9,10_15,2015,125,76429,Gear type manual,1038
NS09136,17990,Seat,Arona,1.0 TSI,Benzin,5,4-5,15_20,2019,95,33526,Gear type manual,1035
GA68143,21990,Volkswagen,Golf VII,1.5 TSI,Benzin,6,6-7,20_25,2018,150,47669,Gear type automatic,1023
SD92114,34727,Mercedes-Benz,E-Klasse,E 200,Benzin,6,6-7,30+,2018,185,78765,Gear type automatic,1008
JK46738,36899,Volkswagen,T6 Kombi,2.0 TDI,Diesel,3,2-3,30+,2021,110,55430,Gear type manual,1038
JA69819,19782,Peugeot,3008,1.5 Blue-HDi,Diesel,6,6-7,15_20,2018,130,94676,Gear type manual,1035
MC27163,34350,Volkswagen,Golf VIII,2.0 TSI,Benzin,3,2-3,30+,2021,245,18688,Gear type automatic,1025
ED77577,21590,Ford,Kuga,2.0 TDCi,Diesel,6,6-7,20_25,2018,180,68345,Gear type automatic,1035
SR32723,8290,Toyota,AYGO,1.0,Benzin,9,8-9,0_10,2015,70,110075,Gear type manual,8111
SU32430,9520,Volkswagen,up!,1.0,Benzin,7,6-7,0_10,2016,60,32017,Gear type manual,1025
ST38169,18485,Volkswagen,Golf VII,1.5 TSI,Benzin,7,6-7,15_20,2017,150,67894,Gear type manual,1023
RU24624,26490,Mercedes-Benz,C-Klasse,C 180,Benzin,6,6-7,25_30,2017,155,53009,Gear type automatic,1008
PS54085,16990,Suzuki,Vitara,1.6 DDiS,Diesel,7,6-7,15_20,2015,120,14228,Gear type manual,1035
WX20044,10250,Renault,Clio,1.2,Benzin,6,6-7,10_15,2017,73,58698,Gear type manual,1023
ZK88995,18720,Audi,Q3,1.4 TFSI,Benzin,7,6-7,15_20,2017,125,80705,Gear type manual,1035
YD28047,23599,Nissan,Qashqai,1.3 DIG-T,Benzin,5,4-5,20_25,2019,159,12266,Gear type manual,1035
VS78781,9150,Ford,Fiesta,1.0,Benzin,7,6-7,0_10,2016,80,103526,Gear type manual,8111
WE44007,28950,Mercedes-Benz,E-Klasse,E 350 d,Diesel,8,8-9,25_30,2016,258,110031,Gear type automatic,1025
RG95518,13570,Skoda,Fabia,1.2 TSI,Benzin,7,6-7,10_15,2017,110,70319,Gear type manual,1023
ME47792,28750,BMW,X4,xDrive 35i,Benzin,7,6-7,25_30,2017,305,90846,Gear type automatic,1035
KS53272,13270,Citroen,C4 Cactus,1.2 e-THP,Benzin,6,6-7,10_15,2018,110,50477,Gear type manual,1035
FV66651,25090,Peugeot,3008,2.0 Blue-HDi,Diesel,5,4-5,25_30,2019,180,46925,Gear type automatic,1035
XT35238,9650,Citroen,C4,1.6 Blue-HDi,Diesel,8,8-9,0_10,2016,100,100575,Gear type manual,1025
VN55862,16150,Renault,Kadjar,1.3 TCe,Benzin,5,4-5,15_20,2018,140,83351,Gear type manual,1035
LD83740,14000,Skoda,Fabia,1.0 TSI,Benzin,5,4-5,10_15,2019,95,72492,Gear type manual,1023
ZN73043,28990,Seat,Tarraco,2.0 TDI,Diesel,5,4-5,25_30,2019,190,87340,duplex,1035
UB60894,17190,Ford,Kuga,1.5 EcoBoost,Benzin,5,4-5,15_20,2019,120,42589,Gear type manual,1035
BG89578,16990,Dacia,Sandero III,1.0 TCe,Benzin,3,2-3,15_20,2021,91,11013,Gear type automatic,8111
VF35877,13076,MINI,MINI,One,Benzin,10,10-11,10_15,2014,102,55472,Gear type automatic,1008
JH25774,12680,Seat,Leon,1.4 TSI,Benzin,9,8-9,10_15,2015,125,116951,Gear type manual,1023
ST19824,31540,Mercedes-Benz,A-Klasse,A 220,Benzin,4,4-5,30+,2019,190,57444,duplex,1025
FV13211,15990,Volkswagen,Golf VII,1.4 TSI,Benzin,8,8-9,15_20,2016,125,74073,Gear type manual,1025
DA55191,19990,Hyundai,Tucson,1.6 TGDI,Benzin,6,6-7,15_20,2017,177,51449,Gear type automatic,1035
TT21082,31500,BMW,1er,120i,Benzin,3,2-3,30+,2021,178,24204,Gear type automatic,1025
VC97818,15087,Mercedes-Benz,A-Klasse,A 180,Benzin,10,10-11,15_20,2014,122,97429,duplex,1025
SZ88279,16393,Citroen,DS5,2.0 Blue-HDi,Diesel,7,6-7,15_20,2017,180,99755,Gear type automatic,1025
DW24657,29490,Kia,pro_cee'd,1.6 TGDI,Benzin,3,2-3,25_30,2021,205,34316,Gear type automatic,1008
TN02298,12980,Seat,Ibiza,1.0 TSI,Benzin,7,6-7,10_15,2017,95,97482,Gear type manual,8111
TD67441,18010,Volkswagen,Golf VII,1.4 TSI,Benzin,9,8-9,15_20,2015,150,48004,Gear type automatic,1025
LA62084,10918,Opel,Corsa,1.4,Benzin,7,6-7,10_15,2017,90,70950,Gear type manual,8111
MR82671,26237,Mercedes-Benz,C-Klasse,C 180 CGI,Benzin,6,6-7,25_30,2018,155,32303,Gear type automatic,1025
JK06700,20532,MINI,Clubman,Cooper S,Benzin,7,6-7,20_25,2017,192,47935,Gear type manual,1023
KD43475,10867,Skoda,Citigo,1.0 MPI,Benzin,5,4-5,10_15,2019,75,54114,Gear type manual,8111
EU56145,8200,Volkswagen,up!,1.0,Benzin,9,8-9,0_10,2015,60,78329,Gear type manual,8111
MF31560,13560,Kia,Stonic,1.0 TGDI,Benzin,6,6-7,10_15,2017,120,101254,Gear type manual,1035
PD82621,14370,Volkswagen,Golf VII,1.6 TDI,Diesel,7,6-7,10_15,2017,115,102133,Gear type manual,1023
BR43013,18163,Seat,Arona,1.0 TSI,Benzin,5,4-5,15_20,2019,115,66249,Gear type automatic,1035
KK18671,18074,Hyundai,Tucson,1.6,Benzin,6,6-7,15_20,2018,132,39169,Gear type manual,1035
NZ75219,28390,Cupra,Ateca,2.0 TSI,Benzin,5,4-5,25_30,2019,300,63396,Gear type automatic,1035
PF23046,22616,Ford,Focus,1.5 EcoBoost,Benzin,4,4-5,20_25,2020,150,29726,Gear type automatic,1025
SY82465,12690,Volkswagen,Golf VII,1.6 TDI,Diesel,9,8-9,10_15,2015,110,111211,Gear type manual,1025
WP17451,16000,Skoda,Fabia,1.0 TSI,Benzin,7,6-7,15_20,2017,110,38331,Gear type automatic,1023
PX67240,23891,Skoda,Karoq,1.5 TSI,Benzin,5,4-5,20_25,2019,150,46600,Gear type manual,1035
UN19576,22704,Mercedes-Benz,C-Klasse,C 220 d,Diesel,10,10-11,20_25,2014,170,60986,Gear type automatic,1025
RW06522,18480,Opel,Zafira Tourer,2.0 CDTI,Diesel,7,6-7,15_20,2017,170,73640,Gear type manual,1038
RK87692,25655,Mercedes-Benz,E-Klasse,E 200,Benzin,6,6-7,25_30,2018,185,111405,Gear type automatic,1023
NU60473,31141,BMW,3er,340i,Benzin,6,6-7,30+,2018,325,79898,Gear type automatic,1023
GS18752,13853,Citroen,DS3,1.2 PureTech,Benzin,7,6-7,10_15,2017,110,57598,Gear type automatic,8111
NM10655,11990,Ford,Fiesta,1.0 EcoBoost,Benzin,7,6-7,10_15,2017,100,93834,Gear type manual,8111
RZ35071,35990,Land Rover,Discovery Sport,P250,Benzin,4,4-5,30+,2020,249,31840,Gear type automatic,1035
NP36812,16970,Nissan,Micra,1.0 IG-T,Benzin,3,2-3,15_20,2021,92,17328,Gear type automatic,8111
