stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
WD22095,13337,Smart,fortwo,1.0,Benzin,7,6-7,10_15,2017,70,21891,Gear type automatic,8111
HS74774,15890,Mazda,CX-3,2.0,Benzin,6,6-7,15_20,2017,120,22850,Gear type manual,1035
JH93678,22387,Nissan,Qashqai,1.3 DIG-T,Benzin,5,4-5,20_25,2018,159,49603,Gear type automatic,1035
FL88526,13465,BMW,1er,116i,Benzin,8,8-9,10_15,2016,110,69608,Gear type manual,8111
ZR65942,8990,Toyota,Yaris,1.0 VVT-i,Benzin,10,10-11,0_10,2014,70,65843,Gear type manual,8111
LH66581,18925,Ford,Focus,1.0 EcoBoost,Benzin,5,4-5,15_20,2019,125,29924,Gear type manual,1023
MP30632,8690,Citroen,C1,1.0 VTi,Benzin,9,8-9,0_10,2015,70,57346,Gear type manual,8111
HG06404,10014,Nissan,Micra,1.2,Benzin,10,10-11,10_15,2013,80,14398,Gear type automatic,8111
FG89321,10680,Opel,Astra,1.4 Turbo,Benzin,9,8-9,10_15,2015,140,110767,Gear type manual,1023
AV35282,29960,Mercedes-Benz,GLC-Klasse,GLC 250,Diesel,7,6-7,25_30,2017,205,93998,Gear type automatic,1035
YX65687,29312,BMW,X1,sDrive 20i,Benzin,4,4-5,25_30,2020,192,19056,Gear type automatic,1035
LG89446,15570,Nissan,Micra,1.0 IG-T,Benzin,4,4-5,15_20,2020,92,8849,Gear type manual,8111
DF59700,25100,Volkswagen,T-Roc,1.5 TSI,Benzin,5,4-5,25_30,2019,150,67939,Gear type automatic,1035
FX46294,25851,Skoda,Kodiaq,2.0 TDI,Diesel,7,6-7,25_30,2017,150,66939,Gear type manual,1035
FN29111,23483,Audi,Q3,2.0 TDI,Diesel,8,8-9,20_25,2016,185,103509,Gear type automatic,1035
ES29738,11990,Renault,Captur,0.9 Energy,Benzin,8,8-9,10_15,2015,90,18730,Gear type manual,1035
PA33638,22259,Volkswagen,T-Cross,1.0 TSI,Benzin,4,4-5,20_25,2019,116,16144,duplex,1035
KW57992,12490,Ford,Focus,1.5 EcoBoost,Benzin,8,8-9,10_15,2016,150,64835,Gear type manual,1025
WJ77322,25490,Opel,Insignia,2.0 SIDI Turbo,Benzin,6,6-7,25_30,2018,260,67978,Gear type automatic,1025
YF18850,16390,Volkswagen,Golf VII,1.4 TSI,Benzin,7,6-7,15_20,2017,125,76526,Gear type manual,1023
AT02501,38499,BMW,X3,xDrive 30d,Diesel,5,4-5,30+,2019,265,74414,Gear type automatic,1035
UT22768,10990,Skoda,Rapid,1.2 TSI,Benzin,9,8-9,10_15,2015,90,48915,Gear type manual,1025
CC59323,18090,Ford,Fiesta,1.0 EcoBoost,Benzin,5,4-5,15_20,2018,100,9339,Gear type automatic,8111
AD91981,15209,BMW,1er,118i,Benzin,8,8-9,15_20,2016,135,91748,Gear type manual,1025
BG16062,13930,Smart,forfour,1.0,Benzin,5,4-5,10_15,2019,70,38140,Gear type automatic,8111
AB34080,27990,BMW,5er,520d,Diesel,7,6-7,25_30,2017,190,80370,Gear type automatic,1023
ZS08875,23997,Volkswagen,Caddy,2.0 TDI,Diesel,5,4-5,20_25,2019,102,38891,Gear type manual,1038
UZ86172,14290,Skoda,Yeti,1.2 TSI,Benzin,8,8-9,10_15,2016,110,62407,Gear type manual,1035
GB79798,14491,Mercedes-Benz,A-Klasse,A 180,Benzin,10,10-11,10_15,2013,122,82819,Gear type manual,1025
JE15642,11990,Renault,Captur,1.2 TCe,Benzin,10,10-11,10_15,2014,120,64682,Gear type automatic,1035
SH47240,21345,Mitsubishi,ASX,2.0 MIVEC,Benzin,4,4-5,20_25,2020,150,51698,Gear type automatic,1035
RU54374,8965,Citroen,C4,1.6 Blue-HDi,Diesel,9,8-9,0_10,2015,100,94088,Gear type manual,1025
NA34475,12420,Ford,C-Max,1.6 EcoBoost,Benzin,10,10-11,10_15,2014,182,59141,Gear type manual,1038
JF89266,18990,BMW,3er,320i,Benzin,10,10-11,15_20,2014,185,118138,Gear type automatic,1023
YT97502,9290,Ford,Fiesta,1.25,Benzin,9,8-9,0_10,2015,82,71071,Gear type manual,8111
TK64231,13790,Smart,fortwo,1.0,Benzin,7,6-7,10_15,2017,70,14001,Gear type automatic,8111
NJ79087,23203,Seat,Leon,2.0 TSI,Benzin,5,4-5,20_25,2019,190,42309,Gear type automatic,1023
ZR05401,22083,Audi,A3,35 TFSI,Benzin,5,4-5,20_25,2019,150,41765,Gear type automatic,1025
FG11121,29690,Peugeot,3008,1.5 Blue-HDi,Diesel,3,2-3,25_30,2020,131,19399,Gear type automatic,1035
KD43276,15390,Dacia,Dokker,1.6 SCe,Benzin,6,6-7,15_20,2018,102,49033,Gear type manual,1038
BN17720,8798,Hyundai,ix20,1.4,Benzin,10,10-11,0_10,2014,90,80360,Gear type manual,1038
CV08488,10772,Skoda,Fabia,1.0 MPI,Benzin,6,6-7,10_15,2018,75,63576,Gear type manual,8111
CD24201,17100,Opel,Zafira Tourer,1.4 Turbo,Benzin,6,6-7,15_20,2018,140,99963,Gear type manual,1038
HW61046,22480,Ford,Focus,1.5 EcoBoost,Benzin,5,4-5,20_25,2019,182,35117,Gear type automatic,1025
XJ80793,22915,Mercedes-Benz,C-Klasse,C 250,Benzin,6,6-7,20_25,2018,210,109447,Gear type automatic,1023
DP34277,16600,Nissan,Juke,1.6,Benzin,7,6-7,15_20,2017,213,58015,Gear type automatic,1035
HP76410,20425,Volkswagen,Polo,2.0 TSI,Benzin,5,4-5,20_25,2019,200,77854,Gear type automatic,8111
VM44375,14990,Volkswagen,Golf VII,1.4 TSI,Benzin,9,8-9,10_15,2014,140,100651,Gear type automatic,1023
FP63742,8490,Peugeot,208,1.0 VTi,Benzin,9,8-9,0_10,2015,68,33869,Gear type manual,8111
CZ14725,16296,Jeep,Renegade,1.4 M-Air,Benzin,9,8-9,15_20,2014,140,46554,Gear type manual,1035
XF70915,26290,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 220,Benzin,6,6-7,25_30,2018,185,42423,Gear type automatic,1023
AB30960,10150,Toyota,AYGO,1.0,Benzin,6,6-7,10_15,2018,70,40823,Gear type manual,8111
TT58353,13227,Dacia,Duster,1.6 SCe,Benzin,6,6-7,10_15,2018,115,61179,Gear type manual,1035
NJ42253,17595,Opel,Mokka X,1.4 Turbo,Benzin,5,4-5,15_20,2018,140,46931,Gear type automatic,1035
YR65859,14990,Hyundai,i20,1.4,Benzin,6,6-7,10_15,2017,100,5721,Gear type automatic,8111
JW69232,9024,Mazda,2,1.3,Benzin,10,10-11,0_10,2013,85,36610,Gear type manual,8111
TG04933,9890,Opel,Corsa,1.4,Benzin,7,6-7,0_10,2017,90,41864,Gear type manual,8111
RZ78095,13560,Kia,Rio,1.0 TGDI,Benzin,6,6-7,10_15,2018,120,94003,Gear type manual,8111
HE91732,25490,Mercedes-Benz,C-Klasse,C 200 CGI,Benzin,6,6-7,25_30,2018,184,89546,Gear type automatic,1023
LW83372,20238,Audi,Q2,1.0 TFSI,Benzin,6,6-7,20_25,2018,115,59848,Gear type manual,1035
RR50465,16514,Ford,EcoSport,1.0 EcoBoost,Benzin,4,4-5,15_20,2020,125,65680,Gear type manual,1035
DY33678,16312,Opel,Astra K,1.6 SIDI Turbo,Benzin,6,6-7,15_20,2018,200,102297,Gear type automatic,1025
