dates,cars_sold_de,cars_online,avg_buyprice,bookmarks,opportunity
2021-06-08,28,1264,15145,547,1788
2021-06-09,33,1296,15105,514,1794
2021-06-10,19,1320,15252,521,1826
2021-06-11,22,1339,15298,343,1599
2021-06-12,16,1316,15335,350,1420
2021-06-13,12,1290,15344,568,1195
2021-06-14,30,1314,15445,525,2021
2021-06-15,27,1319,15488,433,1824
2021-06-16,25,1332,15611,435,1844
2021-06-17,26,1365,15558,388,1824
2021-06-18,23,1394,15650,487,1699
2021-06-19,17,1366,15703,843,1546
2021-06-20,7,1345,15732,623,1276
2021-06-21,29,1341,15667,714,1986
2021-06-22,36,1345,15820,528,1842
2021-06-23,27,1355,15897,552,1680
2021-06-24,24,1397,15894,533,1736
2021-06-25,26,1444,15878,633,1740
2021-06-26,20,1422,15955,592,1508
2021-06-27,6,1396,15910,678,1337
2021-06-28,30,1422,15908,686,2093
2021-06-29,31,1435,16038,794,1987
2021-06-30,24,1439,16114,585,1944
2021-07-01,33,1436,16184,677,1739
2021-07-02,33,1461,16252,622,1621
2021-07-03,18,1445,16258,487,1378
2021-07-04,6,1427,16250,661,1294
2021-07-05,36,1433,16325,551,1904
2021-07-06,30,1422,16424,677,1733
2021-07-07,32,1420,16518,570,1711
2021-07-08,25,1394,16438,574,1691
2021-07-09,26,1409,16515,442,1576
2021-07-10,16,1379,16514,548,1436
2021-07-11,11,1362,16562,630,1199
2021-07-12,31,1347,16633,597,1783
2021-07-13,35,1330,16690,574,1707
2021-07-14,36,1326,16705,792,1785
2021-07-15,31,1318,16666,517,1696
2021-07-16,31,1343,16585,555,1595
2021-07-17,22,1319,16646,726,1417
2021-07-18,11,1297,16698,735,1245
2021-07-19,30,1289,16758,607,1940
2021-07-20,34,1280,16732,581,1719
2021-07-21,27,1316,16632,475,1762
2021-07-22,30,1339,16721,779,1676
2021-07-23,25,1372,16691,716,1598
2021-07-24,21,1363,16728,540,1456
2021-07-25,11,1338,16784,871,1443
2021-07-26,27,1333,16869,785,1952
2021-07-27,24,1327,16933,687,1913
2021-07-28,31,1327,16949,696,1974
2021-07-29,23,1336,16959,700,1802
2021-07-30,33,1369,16980,542,1684
2021-07-31,19,1353,17083,816,1439
2021-08-01,11,1332,17105,776,1352
2021-08-02,29,1315,17083,832,2023
2021-08-03,39,1319,17182,722,1851
2021-08-04,38,1367,17190,726,1936
2021-08-05,30,1385,17146,807,1797
2021-08-06,32,1393,17226,705,1676
2021-08-07,28,1360,17352,835,1486
2021-08-08,11,1337,17345,997,1330
2021-08-09,32,1332,17374,680,1981
2021-08-10,35,1330,17481,956,1932
2021-08-11,32,1337,17550,566,1670
2021-08-12,22,1545,17117,736,1733
2021-08-13,30,1567,17130,507,1627
2021-08-14,30,1546,17169,618,1323
2021-08-15,11,1523,17212,905,1182
2021-08-16,39,1503,17292,896,2128
2021-08-17,33,1512,17429,774,2027
2021-08-18,29,1521,17428,960,2063
2021-08-19,23,1553,17378,757,2030
2021-08-20,28,1629,17443,722,1853
2021-08-21,14,1636,17468,702,1587
2021-08-22,17,1622,17471,923,1476
2021-08-23,38,1635,17562,845,2200
2021-08-24,32,1659,17556,829,2273
2021-08-25,27,1692,17686,578,2168
2021-08-26,41,1704,17775,1014,2184
2021-08-27,29,1730,17712,846,2102
2021-08-28,18,1729,17776,570,1725
2021-08-29,5,1721,17790,1096,1596
2021-08-30,39,1722,17721,812,2316
2021-08-31,36,1746,17704,791,2244
2021-09-01,39,1760,17755,695,2116
2021-09-02,26,1796,17588,671,2223
2021-09-03,38,1811,17498,609,2011
2021-09-04,19,1785,17539,674,1833
2021-09-05,15,1763,17572,820,1459
2021-09-06,46,1799,17555,776,2401
2021-09-07,47,1903,17686,951,2312
2021-09-08,37,1945,17721,737,2215
2021-09-09,40,2011,17450,833,2224
2021-09-10,53,2110,17488,906,2157
2021-09-11,29,2080,17537,981,1795
2021-09-12,12,2054,17550,1023,1502
2021-09-13,53,2056,17554,804,2402
2021-09-14,38,2034,17596,790,2374
2021-09-15,36,2059,17602,1087,2312
2021-09-16,37,2112,17550,778,2307
2021-09-17,47,2170,17482,830,2191
2021-09-18,31,2143,17563,824,1814
2021-09-19,15,2114,17603,932,1572
2021-09-20,51,2127,17570,1023,2492
2021-09-21,40,2167,17492,909,2356
2021-09-22,42,2195,17557,902,2245
2021-09-23,36,2217,17557,821,2296
2021-09-24,47,2257,17532,777,2102
2021-09-25,31,2233,17520,917,1915
2021-09-26,21,2202,17563,1027,1671
2021-09-27,40,2210,17549,834,2445
2021-09-28,51,2246,17547,1071,2388
2021-09-29,41,2287,17500,1004,2392
2021-09-30,36,2301,17479,722,2300
2021-10-01,37,2336,17459,870,2127
2021-10-02,34,2289,17516,704,2030
2021-10-03,31,2240,17614,1183,1615
2021-10-04,46,2282,17649,766,2417
2021-10-05,64,2299,17665,1064,2386
2021-10-06,47,2332,17760,1134,2394
2021-10-07,49,2410,17783,1031,2356
2021-10-08,52,2449,17660,1012,2248
2021-10-09,40,2402,17626,966,1894
2021-10-10,29,2358,17703,1468,1576
2021-10-11,58,2382,17727,1235,2498
2021-10-12,59,2416,17701,1311,2218
2021-10-13,55,2420,17699,1372,2399
2021-10-14,75,2436,17733,1197,2382
2021-10-15,45,2466,17655,1125,2246
2021-10-16,41,2414,17688,1649,1968
2021-10-17,21,2378,17707,1582,1732
2021-10-18,43,2363,17668,1121,2593
2021-10-19,57,2438,17676,1313,2421
2021-10-20,56,2588,17753,1322,2230
2021-10-21,56,2731,17715,1466,2425
2021-10-22,54,2839,17699,1357,2277
2021-10-23,47,2793,17737,1378,1918
2021-10-24,10,2763,17753,1475,1682
2021-10-25,67,2761,17763,1330,2502
2021-10-26,63,2763,17747,1694,2403
2021-10-27,68,2764,17798,1521,2451
2021-10-28,51,2755,17800,1535,2355
2021-10-29,60,2748,17784,1423,2167
2021-10-30,43,2698,17817,1935,2048
2021-10-31,27,2652,17832,1730,1796
2021-11-01,65,2658,17903,2209,2042
2021-11-02,75,2668,17973,1739,2636
2021-11-03,60,2733,17913,1754,2530
2021-11-04,65,2774,17920,1533,2631
2021-11-05,59,2827,17917,1526,2216
2021-11-06,47,2846,17991,1712,2035
2021-11-07,28,2800,18018,1771,1819
2021-11-08,68,2807,18031,1491,2521
2021-11-09,62,2823,18065,1523,2429
2021-11-10,70,2838,18013,1245,2422
2021-11-11,50,2869,18022,1361,2250
2021-11-12,56,2899,17951,1511,2324
