id,first_price,eligible_month,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
WJ78748,25610.0,January,DE,0,Audi,S1,2.0 TFSI,Red,2017,Limousine,Leder,7.1,55703,230,Benzin,manual,15
WF80211,23390.0,June,DE,0,Jeep,Renegade,1.4 M-Air,Black,2016,SUV,Leder,6.9,13538,170,Benzin,automatic,2
RC16656,45720.0,July,DE,0,Ford,Tourneo Custom,2.0 TDCi,Red,2020,Bus,Leder,6.7,16441,185,Diesel,automatic,15
ZB56025,32890.0,September,DE,0,Mercedes-Benz,A-Klasse,A 220 d,Black,2019,Limousine,Teilleder,4.2,72786,190,Diesel,automatic,88
ZX93144,18990.0,January,HU,0,Suzuki,SX4 S-Cross,1.4 BoosterJet,Brown,2017,SUV,Stoff,5.4,10207,140,Benzin,automatic,17
WY37006,9000.0,August,DE,0,Fiat,Panda,1.2,Black,2016,Limousine,Stoff,5.2,13252,70,Benzin,manual,19
AX59242,13060.0,August,DE,0,MINI,Countryman,Cooper D,Black,2013,SUV,Leder,5.6,113728,110,Diesel,automatic,3
MD78857,15800.0,July,DE,0,Renault,Talisman,1.6 dCi Energy,Black,2016,Limousine,Teilleder,3.9,97174,130,Diesel,manual,14
DP88746,16700.0,May,DE,0,BMW,X1,xDrive 18d,White,2014,SUV,Leder,5.4,78625,143,Diesel,automatic,43
KZ04638,20730.0,April,DE,0,Mercedes-Benz,GLA-Klasse,GLA 200,White,2016,SUV,Teilleder,5.8,67309,155,Benzin,manual,1
ZZ65456,15160.0,December,DE,0,Dacia,Duster II,1.6 SCe,White,2018,SUV,Leder,6.6,24737,115,Benzin,manual,3
DB59402,7700.0,September,DE,0,Renault,Twingo,1.0 SCe,White,2017,Limousine,Stoff,5,42214,70,Benzin,manual,44
YU38604,20000.0,November,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 220,Red,2015,Kombi,Teilleder,4.3,75223,177,Diesel,automatic,2
HD88844,14850.0,March,DE,0,Hyundai,i40,1.6,White,2016,Kombi,Stoff,6.1,91639,135,Benzin,manual,40
FL84894,16100.0,July,DE,0,Nissan,Qashqai,1.6 dCi,White,2015,SUV,Leder,5.1,59260,130,Diesel,manual,7
EX81655,19200.0,November,DE,0,Nissan,Qashqai,1.6 dCi,Gray,2016,SUV,Stoff,4.9,37078,130,Diesel,automatic,54
FL64926,23900.0,June,DE,0,Mercedes-Benz,GLA-Klasse,GLA 180,Silver,2018,SUV,Teilleder,6.8,13751,122,Benzin,automatic,30
KJ37765,24300.0,February,DE,0,Volkswagen,Passat,2.0 TDI,Red,2015,Kombi,Leder,5.1,52953,190,Diesel,automatic,81
RV06318,34990.0,January,DE,0,Volkswagen,Tiguan,2.0 TSI,Blue,2018,SUV,Stoff,7.7,24535,220,Benzin,automatic,77
ZN70731,8150.0,March,DE,0,Suzuki,Celerio,1.0,Gray,2014,Limousine,Stoff,4.3,37982,68,Benzin,manual,12
GC66170,17030.0,September,DE,0,Fiat,500C,1.2,White,2020,Cabrio,Leder,5.4,16086,69,Benzin,automatic,3
YP57264,14500.0,May,DE,0,Audi,A3,1.2 TFSI,Gray,2013,Limousine,Teilleder,4.9,68218,105,Benzin,manual,6
UR41042,22990.0,October,DE,0,Toyota,RAV 4,2.5 Hybrid,White,2016,SUV,Stoff,5.0,73125,197,Hybrid,automatic,13
YL38760,20790.0,March,DE,0,Audi,A3,1.4 TFSI,White,2015,Cabrio,Alcantara,4.9,43171,150,Benzin,manual,36
KY71044,23990.0,June,DE,0,Jeep,Compass,1.4 M-Air,Black,2017,SUV,Teilleder,6.9,72011,170,Benzin,automatic,3
RX88398,8890.0,June,DE,0,Volkswagen,Polo,1.2,Black,2012,Limousine,Stoff,5.5,48865,60,Benzin,manual,1
AY78175,25300.0,June,AT,0,Renault,Trafic,1.6 dCi Energy,Silver,2017,Kombi,Stoff,5.9,40671,145,Diesel,manual,53
KG98331,16640.0,April,DE,0,Nissan,Juke,1.6,Black,2019,SUV,Stoff,6.5,24861,113,Benzin,automatic,16
MN63794,19190.0,February,DE,0,Audi,Q2,1.6 TDI,Blue,2016,SUV,Stoff,4.4,91939,115,Diesel,manual,59
YN11475,17890.0,November,CZ,0,Kia,Sportage,1.6,Gray,2018,SUV,Stoff,6.7,34018,132,Benzin,manual,60
YP97528,10490.0,July,DE,0,Seat,Ibiza,1.0 TSI,White,2015,Limousine,Teilleder,4.2,35077,95,Benzin,manual,2
YU14883,25990.0,February,DE,0,Peugeot,3008,1.2 e-THP,Blue,2019,SUV,Stoff,5.2,22999,130,Benzin,automatic,40
VV41984,15360.0,April,DE,0,Volkswagen,Polo,1.2 TSI,White,2014,Limousine,Alcantara,5.3,58947,105,Benzin,automatic,80
YD04685,32700.0,August,DE,0,Mercedes-Benz,V-Klasse,V 200 d,White,2018,Bus,Stoff,6.5,29157,135,Diesel,manual,1
HK63362,13490.0,April,DE,0,Opel,Corsa,1.4,Black,2017,Limousine,Stoff,4.7,28857,90,Benzin,automatic,60
HW96868,23750.0,January,DE,0,Jeep,Compass,1.4 M-Air,Gray,2018,SUV,Teilleder,6.9,47627,170,Benzin,automatic,36
VY59680,11890.0,November,DE,0,Hyundai,i10,1.0,Gray,2016,Limousine,Stoff,4.7,5592,67,Benzin,automatic,8
LV44882,23830.0,December,DE,0,Volkswagen,T-Roc,1.6 TDI,Gray,2019,SUV,Stoff,4.4,50730,116,Diesel,manual,119
EZ04260,11390.0,September,DE,0,Citroen,C3,1.2 VTi,Black,2018,Limousine,Stoff,4.8,66741,82,Benzin,manual,6
VR04948,27780.0,November,DE,0,BMW,X3,xDrive 30d,Silver,2013,SUV,Leder,6.0,42002,258,Diesel,automatic,8
LY20820,30840.0,April,DE,0,Volkswagen,Passat,2.0 TDI,Gray,2017,Kombi,Teilleder,5.5,59989,240,Diesel,automatic,122
MV77529,18200.0,June,DE,0,Mazda,CX-3,2.0,Gray,2017,SUV,Teilleder,6.4,30497,150,Benzin,manual,63
GY23178,19990.0,January,DE,0,Hyundai,Kona,1.6 TGDI,Gray,2017,SUV,Leder,6.7,58961,177,Benzin,automatic,6
KH56255,11800.0,September,DE,0,Audi,A1,1.4 TFSI,Purple,2013,Limousine,Stoff,5.3,87070,122,Benzin,manual,49
LB85859,9400.0,July,DE,0,Smart,fortwo,0.9 Turbo,Gray,2015,Coupe,Leder,4.2,35720,90,Benzin,manual,22
