stock_number,retail_country,rating_scale,rates,make,model,mileage_cluster,mileage,horsepower,built_year,esp,fueltype,geartype,body_type
RN53275,DE,4,4- A little high,Citroen,DS3 Cabrio,100k+,106007,92,2014,8990.0,Diesel,Gear type manual,Cabrio
MG82995,BE,5,5- Too high,Volkswagen,Passat,100k+,132931,120,2016,13445.0,Diesel,Gear type manual,Kombi
SJ95125,PL,5,5- Too high,Peugeot,2008,100k+,138025,110,2016,11782.0,Benzin,Gear type automatic,SUV
NK88597,PL,4,4- A little high,Kia,Optima,100k+,116471,140,2018,17195.0,Diesel,duplex,Kombi
FP66789,DE,5,5- Too high,Audi,Q5,60-70k,63600,252,2018,38790.0,Benzin,Gear type automatic,SUV
DM00168,DE,5,5- Too high,Smart,fortwo,30-40k,37981,70,2017,10390.0,Benzin,Gear type manual,Coupe
YT48435,AT,5,5- Too high,Peugeot,3008,90-100k,97994,130,2018,19690.0,Benzin,Gear type manual,SUV
DL52528,IT,4,4- A little high,Renault,Captur,100k+,130605,90,2014,10999.0,Diesel,Gear type manual,SUV
GH46194,IT,1,1- Very Good,Mercedes-Benz,GLA-Klasse,100k+,126778,170,2014,21299.0,Diesel,duplex,SUV
XB77606,DE,5,5- Too high,Audi,A4,70-80k,74942,190,2017,27090.0,Benzin,Gear type automatic,Kombi
SV81912,DE,4,4- A little high,BMW,3er,60-70k,65020,185,2016,24990.0,Benzin,Gear type automatic,Kombi
JR26080,IT,4,4- A little high,Audi,A5 Sportback,100k+,124647,285,2018,30799.0,Diesel,Gear type automatic,Limousine
TC27221,DE,4,4- A little high,Mercedes-Benz,C-Klasse,20-30k,28948,122,2019,25990.0,Diesel,Gear type automatic,Kombi
EL85549,IT,5,5- Too high,Alfa Romeo,Stelvio,30-40k,36345,160,2019,25499.0,Diesel,Gear type automatic,SUV
PX00251,PL,3,3- Appropriate,Nissan,X-Trail,100k+,165947,130,2014,13755.0,Diesel,Gear type manual,SUV
VN12805,IT,4,4- A little high,Seat,Ateca,70-80k,71294,150,2017,18699.0,Diesel,Gear type manual,SUV
HM09122,DE,5,5- Too high,Mercedes-Benz,A-Klasse,30-40k,35991,136,2018,28850.0,Benzin,Gear type automatic,Limousine
RS78064,AT,5,5- Too high,Citroen,DS3 Cabrio,80-90k,85144,120,2017,13990.0,Diesel,Gear type manual,Cabrio
TC79858,BE,5,5- Too high,Volkswagen,Golf VII,60-70k,64481,116,2019,16859.0,Benzin,Gear type manual,Limousine
HN03498,DE,4,4- A little high,Hyundai,Kona,10-20k,14230,120,2021,19990.0,Benzin,Gear type automatic,SUV
VU88508,DE,1,1- Very Good,Audi,A3,100k+,108132,150,2016,17250.0,Benzin,Gear type manual,Limousine
BN34825,AT,2,2- Good,Ford,Focus,0-10k,8031,125,2016,15590.0,Benzin,Gear type automatic,Limousine
CD06844,IT,3,3- Appropriate,MINI,Countryman,100k+,116336,230,2017,25999.0,Benzin,Gear type automatic,SUV
JR12235,DE,5,5- Too high,Mercedes-Benz,GLA-Klasse,90-100k,99569,177,2016,21490.0,Diesel,Gear type automatic,SUV
MM73487,DE,4,4- A little high,Seat,Ateca,40-50k,43108,190,2016,26086.0,Diesel,Gear type automatic,SUV
NF69783,DE,5,5- Too high,Mercedes-Benz,SLC-Klasse,80-90k,85880,155,2018,27896.0,Benzin,Gear type automatic,Roadster
FE54996,DE,3,3- Appropriate,Mercedes-Benz,GLA-Klasse,30-40k,37781,122,2018,26820.0,Benzin,Gear type automatic,SUV
YL35754,DE,5,5- Too high,Jeep,Renegade,40-50k,49160,179,2019,24760.0,Benzin,Gear type automatic,SUV
FF69506,DE,4,4- A little high,Mercedes-Benz,GLC-Klasse,70-80k,79498,210,2018,40043.0,Benzin,Gear type automatic,Coupe
BX86225,IT,3,3- Appropriate,Alfa Romeo,MiTo,90-100k,98706,70,2015,8999.0,Benzin,Gear type manual,Limousine
LK73220,IT,3,3- Appropriate,Ford,Focus,10-20k,19074,125,2020,22699.0,Hybrid,Gear type manual,Limousine
GG39779,DE,4,4- A little high,Mercedes-Benz,CLA-Klasse,100k+,104573,135,2016,17890.0,Diesel,Gear type manual,Kombi
PH92316,IT,4,4- A little high,Jaguar,E-Pace,60-70k,65531,180,2018,30899.0,Diesel,Gear type automatic,SUV
DJ36038,DE,4,4- A little high,Nissan,Qashqai,10-20k,15875,158,2021,30150.0,Benzin,Gear type automatic,SUV
YB47351,DE,5,5- Too high,Volkswagen,Passat,70-80k,74903,150,2018,19690.0,Diesel,Gear type automatic,Kombi
JL75464,IT,5,5- Too high,BMW,X3,100k+,140124,185,2012,14099.0,Diesel,Gear type automatic,SUV
WY49765,DE,4,4- A little high,Volkswagen,Tiguan Allspace,70-80k,70249,190,2018,34990.0,Diesel,Gear type automatic,SUV
DS07025,DE,5,5- Too high,Cupra,Formentor,30-40k,37853,150,2021,32090.0,Benzin,Gear type automatic,SUV
UG71425,DE,4,4- A little high,Fiat,500,20-30k,25387,69,2020,15650.0,Benzin,Gear type automatic,Limousine
TK11091,BE,3,3- Appropriate,Toyota,Auris,100k+,120752,100,2018,17750.0,Hybrid,Gear type automatic,Limousine
DC49458,IT,2,2- Good,Fiat,Panda,20-30k,22424,69,2022,12999.0,Hybrid,Gear type manual,Limousine
DG84350,IT,4,4- A little high,Fiat,500L,80-90k,84357,95,2017,13099.0,Benzin,Gear type manual,Van
GP26739,PL,4,4- A little high,Suzuki,SX4,100k+,127465,120,2013,8821.0,Benzin,Gear type manual,SUV
BE31145,DE,5,5- Too high,Kia,cee'd,100k+,102415,135,2016,12943.0,Benzin,Gear type manual,Kombi
