id,first_price,eligible_month,eligible_date,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
SW15572,26490.0,November,2022-11,DE,0,Seat,Leon,2.0 TSI,Gray,2017,Limousine,Alcantara,6.8,29052,300,Benzin,automatic,39
CK94442,31070.0,December,2021-12,DE,0,Audi,Q2,2.0 TFSI,Yellow,2018,SUV,Leder,6.4,30160,190,Benzin,automatic,101
AX79281,29440.0,April,2022-04,DE,0,Seat,Ateca,1.5 TSI,Black,2019,SUV,Alcantara,5.7,34699,150,Benzin,automatic,93
PD72487,13400.0,June,2021-06,DE,0,Audi,A1,1.0 TFSI,Black,2015,Limousine,Stoff,4.4,37057,95,Benzin,manual,89
NJ04958,24900.0,October,2021-10,DE,1,Ford,Kuga,2.0 TDCi,Black,2017,SUV,Leder,5.2,11465,150,Diesel,automatic,8
VX23089,26490.0,September,2022-09,DE,0,Audi,A6,2.0 TDI,Black,2018,Kombi,Alcantara,4.7,90177,190,Diesel,automatic,56
TE86856,13490.0,February,2022-02,DE,0,Renault,Clio,1.0 SCe,Red,2019,Limousine,Stoff,5.2,10842,72,Benzin,manual,18
TA24271,8300.0,November,2021-11,DE,0,Opel,Adam,1.4,Blue,2014,Limousine,Stoff,5.5,87185,87,Benzin,manual,115
BS18912,16620.0,February,2023-02,DE,0,Opel,Crossland X,1.2,Silver,2019,SUV,Stoff,5.1,39893,130,Benzin,manual,7
RA75306,17710.0,June,2022-06,DE,0,Volkswagen,Golf VII,1.0 TSI,Gray,2018,Limousine,Stoff,4.8,25478,110,Benzin,manual,8
ES72600,19660.0,January,2022-01,DE,0,Audi,A4,2.0 TDI,Gray,2017,Kombi,Stoff,4.0,66933,122,Diesel,manual,10
FS71863,10490.0,October,2022-10,FR,0,Skoda,Fabia,1.2 TSI,Black,2016,Limousine,Stoff,4.6,51212,90,Benzin,manual,47
JX59613,27990.0,November,2022-11,DE,1,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 220,Black,2018,Kombi,Alcantara,6.7,59978,185,Benzin,automatic,22
FM32808,16850.0,November,2022-11,DE,0,Skoda,Fabia,1.4 TSI,White,2018,Kombi,Stoff,4.9,43299,125,Benzin,automatic,58
EY11071,12400.0,April,2021-04,DE,0,Volkswagen,up!,1.0,Black,2019,Limousine,Stoff,4.4,5600,60,Benzin,manual,88
UN23353,17200.0,November,2021-11,DE,1,Peugeot,308,2.0 Blue-HDi,Gray,2017,Kombi,Stoff,4.2,66500,150,Diesel,automatic,33
VZ30444,14890.0,November,2021-11,DE,0,Renault,Kadjar,1.6 dCi Energy,White,2016,SUV,Stoff,4.5,70603,130,Diesel,manual,39
PF55818,27660.0,March,2022-03,DE,0,Audi,Q3,2.0 TFSI,Black,2016,SUV,Stoff,7.2,65819,180,Benzin,automatic,8
YD77748,13890.0,August,2022-08,DE,0,Citroen,C3,1.2 e-THP,Red,2017,Limousine,Stoff,4.6,29941,110,Benzin,manual,80
TX69825,12840.0,March,2023-03,DE,0,Opel,Meriva,1.4 Turbo,Gray,2016,Van,Stoff,6.3,50088,140,Benzin,automatic,9
RT93966,25600.0,September,2021-09,DE,0,BMW,1er,118i,Blue,2019,Limousine,Teilleder,5.7,13955,140,Benzin,manual,80
SE56030,11490.0,January,2023-01,DE,0,Kia,Rio,1.2,Black,2017,Limousine,Stoff,4.8,44359,85,Benzin,manual,13
YP75494,24280.0,April,2022-04,DE,0,Volkswagen,T-Roc,1.5 TSI,White,2018,SUV,Stoff,5.3,33756,150,Benzin,manual,100
PE22054,16250.0,May,2023-05,DE,0,Volkswagen,Golf VII,1.4 TSI,Gray,2014,Limousine,Stoff,4.7,68985,150,Benzin,manual,49
CK21139,15580.0,June,2022-06,DE,0,Hyundai,i30,1.4 MPI,Black,2018,Limousine,Stoff,5.4,40391,99,Benzin,manual,34
PH38426,14700.0,May,2021-05,DE,0,Seat,Alhambra,2.0 TDI,Silver,2013,Van,Stoff,5.7,89787,140,Diesel,automatic,95
DK13611,14130.0,November,2022-11,DE,0,Ford,Fiesta,1.6 EcoBoost,Blue,2016,Limousine,Stoff,5.9,57121,182,Benzin,manual,31
GW54869,16290.0,September,2022-09,DE,0,Nissan,Juke,1.6,Gray,2017,SUV,Leder,6.0,60324,117,Benzin,automatic,53
HK05993,18990.0,October,2022-10,DE,0,Opel,Zafira Tourer,2.0 CDTI,Gray,2017,Van,Stoff,5.8,55957,130,Diesel,automatic,14
PV56920,10720.0,May,2022-05,DE,0,Ford,Fiesta,1.0,Black,2016,Limousine,Stoff,4.3,26454,80,Benzin,manual,79
FV71225,10800.0,September,2021-09,DE,0,Dacia,Sandero II,0.9 TCe,Blue,2018,Limousine,Stoff,5.1,33157,90,Benzin,manual,20
UV59008,17490.0,March,2022-03,PL,0,Skoda,Octavia,1.4 TSI,Blue,2017,Kombi,Stoff,5.3,81621,150,Benzin,manual,11
DT33678,24710.0,May,2022-05,RO,0,Seat,Leon,1.5 TSI,Black,2019,Kombi,Stoff,4.9,19006,150,Benzin,automatic,11
KE76367,18100.0,August,2021-08,DE,0,Seat,Leon,2.0 TDI,White,2017,Limousine,Teilleder,4.5,50253,150,Diesel,automatic,33
WW84399,16790.0,September,2022-09,DE,0,Audi,A1,1.0 TFSI,Black,2018,Limousine,Teilleder,4.4,32430,95,Benzin,manual,17
MB36686,24610.0,January,2022-01,DE,0,Seat,Ateca,1.4 TSI ACT,Brown,2018,SUV,Leder,5.3,67329,150,Benzin,automatic,31
YR18415,12100.0,December,2021-12,DE,0,Volkswagen,Golf VI,1.4 TSI,Beige,2012,Limousine,Stoff,6.0,61556,122,Benzin,automatic,15
XU85918,24880.0,January,2023-01,DE,0,Toyota,C-HR,1.8 Hybrid,Black,2020,SUV,Stoff,3.8,26570,122,Hybrid,automatic,51
KD42353,12790.0,November,2022-11,DE,0,Nissan,Juke,1.5 Turbodiesel,Gray,2015,SUV,Stoff,4.0,37248,110,Diesel,manual,29
TE80289,18590.0,November,2022-11,DE,0,BMW,1er,118i,Gray,2018,Limousine,Stoff,5.6,57080,135,Benzin,automatic,1
JX75363,9250.0,January,2022-01,DE,0,Peugeot,108,1.0 VTi,Black,2017,Limousine,Stoff,4.1,28878,70,Benzin,manual,51
FB97799,20000.0,June,2021-06,DE,0,Hyundai,i30,1.4 TDGI,Gray,2018,Limousine,Stoff,5.7,27566,140,Benzin,automatic,109
KK39685,23290.0,December,2022-12,DE,0,Jeep,Compass,1.4 M-Air,Black,2017,SUV,Leder,6.9,56647,170,Benzin,automatic,46
UK27663,20000.0,August,2021-08,DE,0,Volkswagen,Golf VII Sportsvan,1.5 TSI,Blue,2018,Van,Stoff,5.1,24415,130,Benzin,manual,94
HD00337,26340.0,February,2022-02,DE,0,Renault,Captur,1.6 E-Tech Hybrid,Blue,2020,SUV,Teilleder,5.4,3167,158,Hybrid,automatic,26
UW70765,51240.0,March,2022-03,DE,0,Audi,Q7,3.0 V6 TDI,Gray,2015,SUV,Leder,6.2,30716,218,Diesel,automatic,24
VU80370,14400.0,September,2021-09,DE,0,Kia,Carens,1.7 CRDi,Black,2016,Van,Leder,4.5,95398,140,Diesel,manual,19
CY06966,7000.0,August,2021-08,DE,0,Volkswagen,up!,1.0,White,2018,Limousine,Stoff,4.4,43387,60,Benzin,manual,8
SF12546,21100.0,July,2021-07,DE,0,Jaguar,XE,20d,Black,2017,Limousine,Leder,4.2,96973,180,Diesel,automatic,13
HD57076,13990.0,January,2023-01,DE,0,Renault,Captur,1.2 TCe,Brown,2016,SUV,Leder,5.4,76331,118,Benzin,automatic,26
GD93544,7990.0,May,2023-05,DE,0,Volkswagen,up!,1.0,Black,2015,Limousine,Stoff,4.5,109987,60,Benzin,manual,48
VN75369,13040.0,December,2021-12,DE,0,Volkswagen,Golf VII,1.6 TDI,Black,2013,Limousine,Stoff,4.8,106100,110,Diesel,manual,125
KL02816,14490.0,August,2022-08,DE,0,Citroen,C3,1.2 VTi,Green,2019,Limousine,Stoff,4.4,10969,82,Benzin,manual,99
UH10543,9460.0,January,2023-01,DE,0,Seat,Leon,1.2 TSI,White,2015,Coupe,Alcantara,5.9,102614,110,Benzin,manual,1
NY91113,39390.0,December,2022-12,HR,0,Ford,Tourneo Custom,2.0 TDCi,White,2019,Bus,Stoff,6.7,66865,185,Diesel,automatic,48
DG46355,15290.0,December,2022-12,DE,0,Seat,Ibiza,1.0 TSI,Red,2018,Limousine,Stoff,4.7,24152,115,Benzin,manual,32
TH79633,25400.0,September,2021-09,DE,0,BMW,X1,xDrive 20i,White,2015,SUV,Leder,6.3,33434,192,Benzin,automatic,25
ZH31325,14350.0,March,2022-03,DE,0,Opel,Astra K,1.4 SIDI Turbo,Black,2015,Limousine,Stoff,4.9,80277,125,Benzin,manual,118
EC42784,17480.0,November,2022-11,CZ,0,Hyundai,i30,1.4 TGDI,Red,2019,Kombi,Stoff,5.9,29245,140,Benzin,manual,50
UW17061,12090.0,September,2022-09,DE,0,Smart,fortwo,0.9 Turbo,Black,2015,Coupe,Stoff,4.1,35094,90,Benzin,automatic,2
BP02505,14930.0,March,2022-03,DE,0,Renault,Megane,1.3 TCe,White,2019,Limousine,Stoff,5.4,22962,116,Benzin,manual,140
PW63055,17500.0,November,2021-11,DE,0,BMW,3er,320d,Black,2014,Limousine,Leder,4.5,100548,185,Diesel,automatic,69
MX49809,21910.0,March,2022-03,DE,0,Volkswagen,Polo,2.0 TSI,Black,2018,Limousine,Stoff,5.9,30055,200,Benzin,automatic,110
MA51362,10800.0,January,2022-01,DE,0,Opel,Karl,1.0,Red,2017,Limousine,Stoff,4.5,12068,75,Benzin,manual,19
UC19058,39250.0,May,2022-05,DE,0,Volkswagen,T6 Multivan,2.0 TDI,White,2017,Bus,Stoff,6.2,69382,150,Diesel,manual,14
UR77925,11200.0,November,2021-11,DE,0,Skoda,Citigo,1.0 MPI,Red,2017,Limousine,Stoff,4.4,16785,75,Benzin,manual,9
SS18749,12590.0,April,2023-04,DE,0,Opel,Astra K,1.4 SIDI Turbo,Brown,2016,Limousine,Stoff,5.4,76132,125,Benzin,manual,47
CS75714,15410.0,March,2022-03,DE,0,Seat,Ibiza,1.0 TSI,Gray,2017,Limousine,Stoff,4.7,52680,115,Benzin,manual,4
GF52108,18790.0,March,2023-03,DE,0,Ford,Kuga,1.5 EcoBoost,White,2019,SUV,Stoff,7.0,37525,150,Benzin,manual,42
ZZ83192,14000.0,August,2022-08,DE,0,Opel,Astra K,1.6 CDTI,Gray,2017,Kombi,Stoff,3.8,83171,135,Diesel,manual,62
YE68609,7290.0,March,2023-03,DE,0,Mitsubishi,Space Star,1.0,White,2017,Limousine,Stoff,4.2,30665,70,Benzin,manual,18
GG51055,7990.0,February,2023-02,AT,0,Hyundai,i20,1.2,Black,2014,Limousine,Stoff,4.9,63316,85,Benzin,manual,6
RG34501,32070.0,December,2021-12,DE,0,Volkswagen,Arteon,2.0 TDI,Black,2017,Limousine,Leder,5.9,48056,240,Diesel,automatic,50
KF57189,17490.0,April,2022-04,DE,0,Audi,A3 Limousine,1.4 TFSI,Gray,2013,Limousine,Stoff,4.7,99276,140,Benzin,automatic,11
SK77558,13600.0,December,2022-12,HR,0,Seat,Ibiza,1.0 TSI,Gray,2019,Limousine,Stoff,5.0,46022,80,Benzin,manual,18
EB37175,8420.0,January,2022-01,DE,0,Seat,Ibiza,1.2 TSI,Black,2012,Limousine,Stoff,55.3,54593,105,Benzin,manual,4
LL14197,16990.0,December,2022-12,DE,0,Audi,A1,1.0 TFSI,Black,2018,Limousine,Stoff,4.4,39190,95,Benzin,automatic,14
VY75905,15900.0,June,2021-06,DE,0,Seat,Leon,1.4 TSI,Blue,2015,Limousine,Alcantara,4.7,78113,150,Benzin,automatic,100
RJ31212,20790.0,September,2022-09,DE,0,Mercedes-Benz,C-Klasse,C 220 d,Gray,2014,Kombi,Teilleder,4.3,113735,170,Diesel,automatic,47
DN83258,24390.0,February,2023-02,DE,0,Volkswagen,Touran,1.4 TSI,Gray,2018,Van,Alcantara,5.4,103501,150,Benzin,automatic,36
BK71827,15390.0,February,2023-02,DE,0,Ford,Fiesta,1.0 EcoBoost,Gold,2018,Limousine,Stoff,5.2,45296,100,Benzin,automatic,4
EK06490,18960.0,November,2021-11,DE,0,Volkswagen,Golf VII,2.0 TDI,Black,2017,Limousine,Stoff,4.3,75200,150,Diesel,automatic,32
GR93046,24990.0,July,2022-07,DE,0,BMW,X1,xDrive 20d,Black,2017,SUV,Leder,4.9,105904,190,Diesel,automatic,27
VB54874,26990.0,September,2022-09,DE,0,Volkswagen,Golf VII,2.0 TSI,Gray,2019,Limousine,Stoff,6.2,40197,245,Benzin,automatic,96
ZS84558,12290.0,May,2023-05,DE,0,Volkswagen,Polo,1.4 TDI,Black,2017,Limousine,Stoff,3.7,68493,90,Diesel,manual,38
KV92137,13160.0,June,2022-06,DE,0,Volkswagen,Polo,1.2 TSI,Blue,2015,Limousine,Stoff,4.7,58427,90,Benzin,manual,21
GL00970,10750.0,July,2022-07,DE,0,BMW,1er,114i,Black,2013,Limousine,Stoff,5.7,99950,102,Benzin,manual,13
