ids,price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
AM10977,27238.0,425,2020,37749,1058,6.2,6,376,178,4,4,1,97,43
AM82120,16501.0,790,2019,41311,1055,5.0,5,53,30,1,8,1,39,32
AP22604,23600.0,720,2019,37744,1057,5.9,10,168,67,2,10,1,69,20
AP50028,27390.0,905,2019,43421,1055,4.0,2,238,272,2,4,2,62,54
AR91687,13750.0,060,2012,91484,1055,5.4,2,32,88,2,5,1,45,10
AT20210,15990.0,194,2018,64271,1055,6.4,12,131,48,1,8,1,46,57
AT26955,11950.0,650,2018,59902,1055,5.6,6,111,74,1,12,1,21,28
AT94519,24790.0,905,2018,31788,1055,5.1,6,238,93,2,4,1,62,2
AU41674,8190.0,190,2015,13810,1055,4.1,10,73,34,1,12,1,7,43
AV49955,13490.0,905,2013,66477,1055,6.5,4,317,93,1,8,1,45,42
AV71127,14990.0,285,2017,97306,1057,6.3,6,166,113,1,10,1,62,61
AW91610,18900.0,790,2018,35906,1058,4.8,2,205,93,1,5,1,62,35
AX58077,10290.0,905,2017,59975,1055,5.0,12,243,8,1,5,1,2,9
BC70909,21990.0,570,2016,94097,1057,5.8,2,152,536,2,8,1,66,44
BC95452,13890.0,905,2014,69263,1055,6.2,4,138,93,1,2,1,45,68
BF73957,11390.0,800,2014,97833,1055,3.8,4,230,177,1,4,2,32,15
BH24477,11990.0,580,2014,97554,1055,5.7,6,93,502,1,2,1,45,60
BJ12847,12290.0,790,2014,86305,1057,5.2,6,205,93,1,3,1,55,2
BP86230,16248.0,580,2015,69218,1056,4.8,7,210,502,2,5,1,53,4
BT53452,17690.0,190,2016,84049,1056,4.4,4,80,230,2,10,2,62,5
BZ25401,11990.0,190,2018,35419,1055,5.0,2,74,55,1,5,1,15,21
BZ89954,13190.0,650,2017,51545,1057,5.8,2,111,99,1,5,1,62,3
BZ98618,15490.0,285,2017,28316,1055,5.3,12,326,13,1,10,1,28,29
CA29314,23290.0,905,2016,116434,1055,5.7,10,317,272,2,8,2,62,6
CA63925,13915.0,130,2013,46837,1055,4.4,2,4,217,1,5,2,57,37
CB95921,16990.0,560,2018,19916,1055,4.2,2,378,6,2,2,1,21,36
CB96715,24990.0,910,2018,78351,1057,6.2,12,363,103,1,8,1,66,113
CF15747,13635.0,720,2019,4823,1057,4.7,2,336,5,1,12,1,23,34
CG16069,20790.0,130,2019,54097,1055,5.9,6,4,218,1,5,1,53,88
CK73230,20150.0,285,2019,61395,1055,6.5,2,221,113,1,4,1,72,38
CL17285,10690.0,190,2017,59382,1055,4.7,7,74,55,1,5,1,15,48
CL24623,22490.0,285,2019,30961,1055,7.9,6,221,241,1,4,2,62,107
CP57161,25990.0,130,2016,38101,1057,6.3,2,357,645,2,8,1,88,95
CV26488,17790.0,800,2016,41241,1055,5.8,12,372,93,2,8,1,46,6
CV96957,24153.0,910,2016,99583,1056,5.7,12,364,305,2,8,2,87,2
CW05291,13190.0,910,2015,92431,1055,5.5,6,338,260,1,5,1,45,42
CW25122,13949.0,720,2016,71131,1057,5.7,10,191,49,1,8,1,50,20
CW95149,18162.0,060,2019,98909,1055,4.0,6,34,368,2,5,2,40,14
