ids,price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
EX29272,17110.0,130,2016,68009,1055,5.7,10,4,221,1,5,1,77,44
FB61732,18123.0,830,2017,78837,1057,5.5,6,349,75,2,8,1,55,6
FC08828,22540.0,905,2019,76200,1055,4.7,3,323,272,1,10,2,62,36
FF19875,20290.0,790,2018,29984,1055,5.0,10,53,30,2,8,1,39,28
FF27821,19590.0,905,2018,107267,1055,4.7,2,238,272,2,4,2,62,5
FF41498,10990.0,650,2015,38955,1055,5.1,12,111,99,1,12,1,28,10
FF83305,10450.0,345,2016,21156,1057,4.9,12,379,41,1,12,1,20,13
FH32384,6478.0,285,2015,76109,1055,4.9,6,189,41,1,12,1,7,20
FH39704,12650.0,860,2019,44361,1055,4.1,12,45,8,2,12,1,9,44
FL18809,28990.0,570,2013,65005,1056,6.9,10,87,495,2,5,1,150,28
FM42395,19990.0,800,2016,101940,1056,4.8,12,230,272,2,4,2,84,26
FM58823,12990.0,720,2019,14226,1057,4.7,7,336,5,1,12,1,23,23
FP52020,12088.0,285,2017,63651,1055,4.3,10,145,13,1,5,1,28,4
FS91452,31990.0,425,2018,44290,1056,6.2,6,292,289,2,8,2,94,120
FU86467,37390.0,130,2016,54581,1056,8.6,2,360,578,2,8,1,150,64
FV49131,39484.0,285,2019,70683,1055,6.7,6,327,268,2,10,2,84,73
FW19605,21390.0,570,2014,111514,1056,4.3,6,71,473,2,4,2,73,7
FW41037,11190.0,650,2015,20521,1055,5.1,6,111,99,1,5,1,28,86
FX98046,15890.0,130,2013,67780,1055,8.4,6,357,638,2,8,1,62,25
GG05237,15773.0,650,2018,92898,1055,5.6,12,57,84,2,4,1,62,18
GH58123,12690.0,560,2016,33935,1055,5.2,12,377,6,2,12,1,21,76
GL14674,17990.0,285,2020,31307,1055,4.0,6,145,14,1,12,1,46,27
GL88958,21990.0,130,2016,62929,1056,4.0,3,14,374,2,5,2,62,34
GN93273,23750.0,190,2019,18936,1055,5.4,6,68,56,1,10,1,35,49
GV12270,9790.0,670,2017,39394,1055,4.8,12,8,57,1,5,1,15,3
GW65059,11765.0,800,2017,80291,1055,4.4,3,268,30,1,5,1,24,40
GZ40039,6369.0,905,2015,84016,1055,4.5,10,388,8,1,12,1,2,6
GZ50262,18390.0,905,2018,31895,1055,5.0,6,243,30,2,5,1,24,86
GZ53673,24367.0,060,2018,30810,1057,5.2,2,34,125,2,5,1,62,4
HA32719,15639.0,830,2018,62733,1055,5.6,13,302,75,1,12,1,55,49
HB39056,22500.0,285,2020,14991,1057,6.1,3,145,113,1,12,1,94,57
HD58952,10490.0,590,2018,6111,1055,4.2,8,294,8,1,5,1,7,39
HE53130,18988.0,280,2019,68113,1057,5.0,7,21,159,2,8,2,43,24
HE68906,33990.0,130,2016,68203,1056,6.0,2,360,652,2,8,2,139,37
HG67975,18700.0,905,2016,107504,1055,5.6,2,323,93,1,10,1,62,56
DD53417,10333.0,860,2018,16807,1055,4.1,12,45,8,1,5,1,7,21
DG95042,20756.0,905,2016,89598,1056,4.8,2,163,272,2,4,2,84,34
DJ76550,11490.0,280,2017,36048,1057,5.9,10,17,41,1,12,1,7,48
DL19721,24490.0,905,2018,35346,1055,5.3,3,304,124,1,8,1,62,24
DL25607,16990.0,285,2019,43066,1055,5.7,11,72,13,1,10,1,46,32
DL77541,11990.0,345,2014,80551,1057,5.5,6,382,144,2,5,2,35,9
DP86981,10172.0,800,2018,11037,1055,4.4,6,103,18,1,12,1,2,19
DR09161,24090.0,905,2016,80364,1055,4.7,2,323,272,2,10,2,62,35
DS37115,19490.0,905,2016,62489,1055,6.3,12,163,278,2,5,1,107,60
DU19331,13690.0,285,2018,52801,1055,4.3,12,145,13,1,12,1,28,51
DU21863,13990.0,650,2017,86863,1055,4.3,2,57,8,1,5,1,32,43
DU69649,19990.0,345,2017,39522,1055,3.4,12,175,138,2,5,5,31,2
DZ13408,17990.0,720,2020,24238,1055,5.7,3,213,67,1,4,1,55,59
DZ66741,17450.0,285,2019,58065,1055,5.6,6,146,13,1,4,1,46,31
EA49054,17590.0,190,2019,38405,1055,5.2,11,75,56,1,8,1,50,74
ED07933,16890.0,225,2016,59959,1055,6.2,7,356,138,1,8,1,71,64
EE10255,16390.0,130,2018,60048,1055,4.0,3,4,215,1,5,2,39,53
EF06996,24890.0,650,2019,42934,1055,5.6,6,179,231,2,4,2,73,85
EH82234,10990.0,800,2013,92959,1055,5.4,12,268,52,1,4,1,32,52
EL80175,24950.0,790,2019,25923,1058,5.5,2,58,124,1,8,1,62,36
EN42665,22590.0,550,2019,18987,1055,5.6,3,10,224,2,5,1,45,42
EN65577,22790.0,800,2017,82913,1057,6.2,2,230,278,2,4,1,107,77
EN67964,16850.0,905,2017,13637,1055,4.6,6,243,30,2,12,1,24,4
FA05189,13241.0,720,2017,39618,1055,5.9,2,191,49,1,8,1,50,3
FB27993,19750.0,570,2019,24953,1055,4.6,10,102,209,1,4,2,40,15
FC10761,14950.0,190,2018,73545,1055,5.3,10,79,56,2,8,1,35,12
FD79059,17990.0,060,2014,100803,1055,5.3,2,41,358,1,4,2,98,4
FF71752,10490.0,670,2019,42598,1055,4.1,3,2,34,1,5,1,9,73
FJ46517,40790.0,905,2016,67219,1055,6.1,12,308,272,2,10,2,62,30
FK16745,25990.0,800,2017,69739,1056,6.3,2,300,278,2,4,1,107,10
FP01107,12397.0,650,2015,50333,1057,5.6,2,55,99,1,4,1,43,48
FS81841,17590.0,060,2015,83397,1055,4.7,12,35,88,1,5,1,62,30
FT18811,33999.0,905,2018,45049,1055,5.9,6,318,272,2,8,2,87,50
FT22060,26790.0,800,2021,9624,1055,4.9,6,192,125,2,8,1,62,102
FT36240,7996.0,285,2015,63075,1055,5.2,12,145,58,1,5,1,2,3
FU84034,20990.0,905,2018,33944,1058,5.0,2,163,93,2,5,1,62,75
FV92420,11690.0,130,2013,111505,1055,5.5,12,4,216,1,5,1,53,6
FW74514,22481.0,790,2017,97498,1058,5.3,6,58,272,2,8,2,87,42
FW80633,17490.0,800,2016,113265,1055,4.5,3,230,272,1,4,2,62,70
FX73410,19490.0,800,2015,99216,1057,4.8,2,230,272,2,4,2,84,21
GA31492,14798.0,905,2018,67956,1055,4.8,6,163,30,1,5,1,18,19
GA48826,19290.0,340,2016,113912,1056,5.1,2,89,149,1,8,2,70,18
GB49183,14990.0,285,2020,23955,1055,4.1,3,145,13,1,5,1,24,37
GC53695,24690.0,345,2018,52319,1056,7.6,12,335,178,2,8,1,77,3
GF42413,25990.0,345,2021,29830,1055,4.1,2,198,145,2,8,2,54,91
GG43984,17950.0,670,2016,58659,1057,6.0,6,11,182,2,8,1,72,34
GG47380,14190.0,905,2016,89524,1057,3.9,3,163,177,1,4,2,35,54
GM22095,10300.0,720,2016,77695,1055,6.2,12,289,41,1,10,1,39,32
GM96987,22990.0,130,2020,4371,1055,5.7,6,4,218,1,5,1,55,47
GN40135,17690.0,650,2019,21971,1055,4.7,6,113,41,1,8,1,50,64
GP74867,7990.0,670,2015,61506,1055,4.3,6,8,34,1,5,1,5,97
GS57012,10290.0,280,2014,39703,1057,4.2,3,17,3,1,5,1,32,58
GT80612,21900.0,130,2016,75414,1056,4.4,2,9,337,1,2,2,87,88
GT89979,30690.0,130,2017,64781,1056,6.3,6,357,648,2,8,1,111,124
GV50345,45590.0,060,2017,61402,1058,8.5,3,282,360,2,8,1,149,84
GV59960,13990.0,720,2018,91484,1055,3.7,2,213,133,1,4,2,35,17
DX56224,16990.0,800,2021,6726,1055,4.5,3,144,30,1,5,1,24,15
DY49383,20590.0,060,2014,103204,1057,7.2,12,310,274,2,3,1,101,32
DY89112,27380.0,060,2018,62690,1055,5.9,2,39,274,2,5,1,87,35
EG09590,18578.0,130,2018,45602,1055,5.6,2,4,218,2,5,1,53,15
EH91016,12390.0,905,2014,79597,1055,3.9,6,163,177,1,4,2,32,43
EJ13608,25490.0,425,2020,24059,1057,6.5,13,366,178,2,8,1,97,53
EK41397,15971.0,390,2014,94641,1056,5.3,2,101,248,1,8,2,55,2
EL02176,22790.0,550,2017,23565,1056,6.6,2,211,224,1,2,1,70,48
EL53521,19990.0,650,2020,17955,1057,4.5,6,57,54,1,4,1,51,30
EN17463,8990.0,720,2017,38044,1055,5.0,2,336,21,1,5,1,7,4
EV55703,17790.0,060,2016,38769,1055,4.8,2,34,27,1,5,1,39,2
EX51314,27990.0,800,2018,85204,1058,4.9,12,196,272,2,8,2,62,39
FA38506,19990.0,670,2019,31333,1057,5.5,2,6,56,2,8,1,35,43
FC88766,13999.0,225,2016,101457,1055,5.6,2,257,41,1,8,1,39,31
FD10481,16280.0,720,2018,33812,1057,5.9,2,191,48,1,8,1,51,14
FE21517,25890.0,570,2018,57966,1057,5.6,6,87,614,2,4,1,66,82
FF73299,9770.0,905,2015,54778,1055,5.1,2,243,8,1,12,1,11,3
FG79151,10774.0,194,2018,22058,1055,5.2,3,208,21,1,4,1,10,23
FG92285,19600.0,905,2017,93764,1055,4.3,11,238,272,2,4,2,62,11
FH00328,21990.0,800,2016,72935,1057,4.6,6,230,272,1,4,2,84,15
FJ77163,21199.0,720,2018,50526,1057,5.5,12,168,69,2,10,1,71,53
FJ90729,11690.0,905,2013,73062,1055,6.3,6,238,93,1,5,1,45,43
FK23390,7990.0,905,2016,89346,1055,4.6,12,388,8,1,5,1,11,8
FK83457,18490.0,550,2018,44032,1055,5.9,10,90,224,1,8,1,43,85
FR89622,17490.0,345,2016,47003,1056,6.9,3,344,178,1,3,1,84,66
FS53931,13990.0,860,2020,8172,1055,4.6,12,370,8,1,5,1,9,16
FY80423,10890.0,560,2016,69579,1055,5.0,12,377,8,2,12,1,7,11
FZ24470,24190.0,130,2015,90631,1056,5.0,12,15,401,2,2,2,84,11
GA65472,23690.0,720,2018,42879,1056,5.5,2,168,69,2,10,1,71,6
GA83358,10290.0,425,2018,23792,1055,4.4,6,241,8,1,5,1,4,77
GB79592,23590.0,130,2018,69348,1056,5.9,2,4,221,2,5,1,84,26
GC71543,25330.0,060,2018,43109,1055,5.7,2,36,88,2,4,1,62,24
GG32141,25990.0,285,2018,49650,1055,5.2,2,169,112,2,10,2,43,17
GK80635,13190.0,790,2016,114174,1057,6.5,12,205,93,1,3,1,46,51
GN01961,16990.0,285,2018,50236,1055,6.3,6,200,113,1,8,1,43,20
GR03842,28590.0,905,2019,32866,1055,6.2,3,163,278,2,5,1,119,42
GS10815,36150.0,345,2021,9892,1055,8.4,6,382,259,2,5,1,131,61
GS50451,26250.0,570,2018,33127,1057,5.0,2,71,465,2,5,1,66,21
GV17942,27490.0,060,2015,86041,1058,5.3,6,41,359,2,4,2,106,73
GV54951,11190.0,905,2015,37209,1055,5.1,3,243,8,1,5,1,11,45
GX45443,18490.0,910,2019,50139,1055,4.6,3,338,236,1,5,2,43,35
GX97535,23990.0,790,2017,93532,1055,6.5,6,48,93,1,10,1,62,45
GY91747,18162.0,130,2012,92959,1056,6.9,11,359,645,2,8,1,84,48
HA76199,32301.0,910,2020,33520,1056,6.0,2,273,225,2,5,1,92,4
HB43981,28550.0,060,2021,7061,1055,5.0,6,33,395,1,5,1,62,47
HC47014,21590.0,425,2018,47311,1056,4.2,10,376,144,2,4,2,53,80
HD69953,18990.0,650,2019,16266,1055,4.2,12,57,107,2,5,2,45,77
HD77390,15495.0,280,2015,105394,1056,7.3,2,150,253,2,10,2,73,2
HD92810,13990.0,790,2016,76979,1058,5.8,3,205,93,1,3,1,62,31
HE25922,17990.0,720,2016,52973,1057,4.4,6,315,186,2,5,2,70,35
HG05681,18758.0,905,2018,86349,1055,4.4,6,163,272,2,4,2,62,23
HJ59628,19838.0,790,2014,92094,1058,6.6,2,205,278,2,5,1,131,52
HJ94246,16990.0,905,2016,17358,1055,5.0,3,164,52,2,10,1,35,6
HM76367,20990.0,060,2018,46960,1055,4.6,6,34,272,2,5,2,62,23
HN32757,22490.0,820,2019,2832,1055,6.9,2,369,138,2,8,1,39,119
HR11076,14483.0,190,2017,48671,1055,4.6,2,74,56,1,5,1,35,109
EC27760,8390.0,670,2012,51928,1055,4.7,4,8,55,1,5,1,15,117
EE17047,16690.0,650,2017,27411,1055,6.2,6,220,99,2,8,1,55,2
EH33332,7590.0,800,2016,66545,1055,4.5,10,103,18,1,5,1,2,95
EJ37006,18990.0,830,2017,32323,1055,7.3,6,185,59,2,8,1,18,27
ER38544,17490.0,190,2017,61741,1055,4.1,2,80,230,1,10,2,62,13
ES04055,33953.0,800,2018,53645,1058,7.3,12,196,278,2,8,1,80,17
ES84533,45390.0,570,2020,12631,1057,1.6,2,152,541,2,8,5,106,100
EU54463,10590.0,194,2018,72623,1055,5.1,3,285,5,1,5,1,21,21
EW26834,13613.0,570,2014,91729,1055,4.1,2,62,453,1,10,2,35,15
EY40772,7790.0,790,2016,29175,1055,4.4,6,217,8,1,5,1,2,11
EY97043,35913.0,130,2019,41705,1056,4.2,7,14,377,2,5,2,87,51
EZ65314,21291.0,650,2018,62042,1055,6.9,6,375,231,2,10,2,73,44
FC24631,21690.0,060,2019,20956,1055,5.1,6,34,369,1,5,1,40,32
FC68484,39990.0,790,2021,13228,1058,7.1,6,48,93,2,10,1,62,103
FC87872,12090.0,720,2017,35635,1055,5.1,2,96,4,1,8,1,21,21
FE42914,32990.0,130,2016,59908,1056,7.3,12,360,569,2,8,1,119,33
FE76224,12490.0,285,2017,64957,1055,4.7,12,145,38,1,5,1,18,112
FF13123,21490.0,790,2017,29395,1058,5.8,2,205,202,2,5,1,80,6
FG02994,23990.0,800,2017,80238,1055,4.9,6,230,272,2,4,2,84,61
FG20036,8190.0,650,2016,60605,1055,4.3,12,194,8,1,5,1,11,61
FH70641,15990.0,670,2018,48402,1057,4.4,6,6,56,1,8,1,35,32
FH84897,20490.0,345,2019,38862,1055,6.3,6,198,178,2,8,1,77,22
FH96861,16490.0,905,2014,50247,1056,5.2,3,164,93,2,10,1,46,19
FJ02807,22490.0,130,2017,115660,1056,4.6,6,25,421,2,4,2,87,54
FJ25380,12990.0,225,2017,89050,1056,4.8,6,216,3,1,12,1,21,69
FU28316,16242.0,280,2021,15609,1057,4.1,6,19,19,1,2,1,7,37
FU91871,46590.0,130,2017,84744,1056,6.9,2,362,654,2,8,2,139,109
FV88072,10490.0,720,2015,101663,1056,5.6,2,213,283,1,3,2,71,37
FZ33143,20577.0,790,2020,45680,1057,5.1,6,205,124,2,5,1,62,47
FZ43033,24690.0,060,2014,96977,1055,4.6,2,41,358,2,4,2,139,45
GD44389,8900.0,194,2017,50953,1055,5.2,12,285,8,1,5,1,10,42
GE18205,13990.0,905,2013,72017,1055,6.5,2,317,93,1,8,1,45,28
GG57367,14944.0,425,2016,118897,1057,7.4,2,387,178,1,5,1,98,22
GK00106,9990.0,720,2017,27759,1055,5.6,10,105,41,1,5,1,10,14
GL07829,42480.0,905,2015,106159,1056,6.6,2,308,272,2,10,2,98,38
GL29301,24490.0,570,2015,75595,1058,7.0,2,156,563,2,8,2,98,11
GN04515,18990.0,905,2018,56530,1055,4.3,6,163,272,1,4,2,62,62
GN49573,12990.0,720,2018,19229,1057,5.0,6,105,3,1,12,1,21,3
GN99711,18990.0,650,2018,34929,1057,7.1,3,220,99,2,8,1,55,80
GP33188,21490.0,790,2018,22213,1056,4.9,6,205,124,2,4,1,62,13
GT58275,36190.0,570,2018,44575,1057,7.1,12,132,510,2,4,1,84,61
GT91243,25235.0,060,2017,82080,1055,4.7,2,41,272,2,4,2,87,12
GU34835,16100.0,060,2017,61507,1055,5.2,12,32,88,1,5,1,46,21
GV25841,15149.0,905,2014,57388,1055,5.2,6,163,93,1,5,1,46,48
GX64291,12190.0,190,2016,90131,1055,4.1,6,68,141,1,10,2,28,5
GY44022,12750.0,194,2016,51790,1055,5.6,3,207,48,1,10,1,39,35
GZ09786,25490.0,800,2020,28308,1055,4.8,6,230,125,1,4,1,62,81
HB56593,15190.0,425,2019,24744,1056,5.9,10,241,41,2,5,1,18,3
HB78444,13950.0,905,2015,91276,1058,4.8,3,243,93,1,12,1,62,24
HC86675,7750.0,905,2014,66978,1055,5.5,6,243,41,1,5,1,7,2
HD02810,49990.0,235,2021,2758,1056,1.6,3,123,151,2,5,5,109,70
HD87245,26490.0,060,2018,26174,1055,1.5,6,34,90,2,5,5,62,40
HD88844,14850.0,345,2016,91639,1055,6.1,12,384,138,1,4,1,53,40
HG08195,20690.0,860,2018,1401,1057,3.9,6,59,197,2,5,5,28,13
HH08211,15130.0,905,2016,60152,1055,4.9,6,163,52,1,5,1,35,26
HJ49592,10481.0,285,2017,59830,1055,5.2,6,145,58,1,5,1,15,88
KV89762,12490.0,860,2018,35019,1055,5.0,10,370,110,1,12,1,35,15
KX67131,30990.0,390,2020,11995,1056,5.8,12,109,65,2,8,1,62,48
KY22166,25190.0,570,2016,49980,1057,5.3,10,71,467,2,5,1,84,35
LA37753,26555.0,060,2017,57446,1057,5.5,6,252,89,2,8,1,62,57
LA60970,29955.0,590,2020,10588,1055,1.8,10,233,588,2,8,5,53,37
LA87409,20034.0,345,2018,44273,1056,3.4,3,175,138,2,5,5,31,7
LB95930,31490.0,425,2018,75135,1056,10.6,6,298,365,2,5,1,153,30
LF52288,25290.0,570,2019,107882,1056,4.7,2,71,473,2,4,2,90,11
LL02001,6990.0,800,2014,112062,1055,4.7,10,103,18,1,5,1,11,39
LN71428,15090.0,280,2021,14039,1057,4.1,6,17,19,1,5,1,7,17
LP45511,14490.0,905,2013,96521,1058,5.0,6,163,93,2,5,1,45,5
LU30923,14550.0,905,2018,43362,1055,4.4,1,243,30,1,5,1,24,93
LX27218,29615.0,570,2017,49272,1057,5.3,12,71,467,2,5,1,84,50
LY87885,11490.0,905,2017,35162,1055,4.4,2,388,30,1,5,1,21,11
MB52086,27611.0,060,2017,112995,1058,5.7,6,42,359,2,4,2,106,34
MF62775,8990.0,560,2014,39454,1055,4.2,12,378,8,2,5,1,7,12
MF84107,20490.0,570,2014,23069,1057,5.4,9,87,487,2,5,1,45,2
MG78886,14602.0,860,2018,102395,1055,3.6,12,370,114,2,5,5,11,21
ML42906,11550.0,905,2014,101853,1055,3.8,11,163,177,1,5,2,32,31
MM36044,16985.0,550,2017,61317,1056,4.8,6,10,300,2,5,2,62,6
MS84872,25320.0,800,2019,38658,1055,5.6,6,195,124,2,8,1,62,52
MT39173,15790.0,285,2018,25532,1055,4.3,10,145,13,1,5,1,28,64
MT77884,19990.0,345,2019,8146,1055,6.5,6,385,138,2,10,1,46,104
MT95286,35500.0,130,2018,19465,1055,2.1,2,25,426,2,5,5,84,123
MU09459,27830.0,060,2015,62054,1058,5.7,2,255,272,2,8,2,87,20
MU60708,30990.0,570,2019,91564,1057,4.7,12,71,473,2,4,2,90,74
MU99915,8517.0,650,2016,39417,1055,4.3,6,194,8,1,12,1,11,40
MV34554,30490.0,905,2018,62660,1057,5.2,1,291,272,2,10,2,62,70
MV76519,40490.0,130,2018,59606,1056,6.9,6,25,432,2,5,1,146,9
MW27715,16490.0,560,2018,25670,1056,5.3,2,378,6,2,2,1,21,6
MX78789,9435.0,670,2017,67036,1055,4.8,12,8,57,1,12,1,15,30
MY80268,20490.0,390,2018,69038,1056,4.6,6,269,160,2,8,2,43,149
MY85332,28690.0,590,2020,16727,1058,6.7,6,233,249,2,8,1,62,12
MZ11351,9070.0,285,2015,73492,1055,4.9,6,63,13,1,10,1,28,38
MZ58858,25090.0,425,2017,29036,1056,7.5,2,296,178,2,8,1,77,47
NA20175,35790.0,570,2020,15770,1057,5.7,2,152,536,2,8,1,71,68
NA78333,28790.0,570,2018,69281,1057,4.2,7,132,513,2,4,2,62,34
NB58200,23290.0,590,2018,65308,1056,5.8,6,233,292,2,8,2,62,35
NE32798,20510.0,285,2017,55695,1057,4.9,2,221,268,2,4,2,80,21
NF84564,10990.0,225,2016,119033,1057,5.1,12,229,41,2,10,1,26,39
NG22789,20190.0,720,2019,25172,1057,5.8,10,213,67,2,5,1,69,58
NG29816,16390.0,790,2017,31994,1058,4.9,10,53,30,1,8,1,24,33
NJ63646,15289.0,905,2015,111958,1057,4.1,2,163,272,1,5,2,62,20
NP49265,19338.0,340,2016,31732,1057,5.4,6,173,103,2,8,1,50,29
NS30068,11490.0,800,2017,25107,1055,4.3,6,144,30,1,5,1,24,16
NS63303,17590.0,285,2016,75528,1057,4.7,11,200,268,1,8,2,62,79
NT62905,26990.0,670,2018,23292,1057,5.1,12,18,56,1,8,1,50,29
NV57686,16980.0,130,2015,90562,1056,4.4,3,9,338,2,10,2,87,27
PA95476,48534.0,905,2019,63024,1058,8.1,2,308,272,2,10,2,93,17
PB20106,16310.0,905,2015,102197,1055,5.4,6,323,52,1,10,1,35,3
PB97714,15490.0,060,2015,100850,1055,5.3,2,35,88,1,5,1,46,97
PC69249,23290.0,800,2018,43263,1055,4.5,2,230,272,2,5,2,84,6
PD04987,20890.0,130,2016,71139,1055,5.1,6,357,638,2,8,1,53,81
PE66945,42396.0,130,2021,16081,1056,1.9,12,357,647,2,8,5,107,63
PE77751,13290.0,285,2017,22553,1055,4.3,2,145,13,1,12,1,28,10
PF08516,12790.0,670,2015,36237,1057,4.7,12,6,56,1,8,1,35,31
AA75971,10990.0,905,2013,68263,1055,6.5,2,161,93,1,5,1,45,23
AA80410,9890.0,590,2019,36232,1055,4.2,10,295,8,1,12,1,8,56
AB51462,10030.0,905,2019,42422,1055,4.2,12,388,8,1,5,1,2,6
AC10213,6490.0,194,2017,91572,1055,5.2,3,285,8,1,5,1,10,10
AC15198,12474.0,285,2015,73220,1055,4.8,2,146,13,1,4,1,46,28
AD15890,25290.0,060,2019,53115,1055,6.1,6,36,395,1,4,1,62,60
AD39615,11369.0,190,2015,8957,1055,4.3,6,74,57,2,12,1,15,15
AE34943,19790.0,060,2014,97598,1057,5.1,12,39,272,2,5,2,77,3
AE77633,27950.0,905,2018,34280,1055,6.3,3,163,278,2,5,1,119,97
AK35237,12390.0,130,2013,68792,1055,5.8,2,4,218,1,5,1,73,14
AL52706,13480.0,650,2019,108772,1055,4.8,6,57,142,2,4,2,53,3
AM02812,29790.0,905,2016,57913,1055,1.7,6,238,79,2,4,5,106,53
AN94053,13490.0,285,2015,41840,1055,5.4,6,326,13,1,10,1,28,120
AT96040,15170.0,390,2016,71158,1055,4.4,13,269,160,1,8,2,43,41
AW58145,13950.0,280,2017,85479,1055,6.0,12,21,152,1,8,1,35,19
AX33694,15290.0,905,2018,23582,1055,4.4,6,243,30,1,5,1,24,92
AY27115,16790.0,860,2017,27712,1055,3.6,13,370,114,2,5,5,11,43
AZ71558,16190.0,910,2016,69537,1055,4.0,3,338,237,2,5,2,62,3
BD46805,13190.0,194,2017,57383,1055,6.1,3,130,48,1,8,1,46,30
BG15239,19990.0,345,2019,21935,1055,6.9,12,335,138,1,8,1,52,40
BN44491,18990.0,790,2020,46319,1055,5.0,12,53,30,2,8,1,39,25
BP09091,10690.0,190,2017,54340,1055,4.9,12,74,45,1,5,1,5,3
BS01558,14290.0,720,2016,38581,1057,3.9,10,96,133,1,8,2,35,15
BS12794,36990.0,790,2017,17062,1058,7.3,6,48,278,2,10,1,107,66
BW50044,28490.0,040,2017,61079,1056,7.0,2,297,280,2,8,1,94,31
BW60867,8490.0,790,2015,89289,1055,4.3,7,176,52,1,5,1,35,10
BX44826,9490.0,860,2016,84457,1055,4.2,12,45,8,2,12,1,7,24
BX67969,19790.0,790,2016,52434,1058,5.1,12,58,272,1,8,2,62,53
BX74215,21480.0,280,2016,43873,1055,6.4,12,151,309,1,8,2,80,33
CB41265,14449.0,190,2017,73527,1057,3.8,2,77,141,2,5,2,43,16
CB49021,14830.0,905,2018,80616,1055,5.0,6,164,30,1,10,1,35,61
CD00714,28990.0,860,2020,30975,1058,4.0,6,70,246,2,8,5,83,38
CH74032,9390.0,720,2018,61460,1055,5.5,12,336,21,1,5,1,7,83
CJ30830,17490.0,345,2018,34250,1055,6.3,4,335,138,1,8,1,52,56
CK66459,9290.0,650,2015,51367,1055,5.2,6,111,74,1,12,1,21,17
CU91905,14220.0,905,2016,70842,1055,4.0,6,163,177,1,5,2,35,27
CU94069,9774.0,345,2016,32025,1055,5.1,12,380,41,1,12,1,11,13
CW53847,21420.0,225,2016,18810,1056,4.9,2,257,185,2,8,2,50,46
CX27490,20790.0,130,2014,99827,1056,5.1,4,14,385,2,4,2,123,9
CX54178,9490.0,670,2017,89617,1055,4.7,2,8,45,1,12,1,5,43
CY68438,23950.0,130,2018,15680,1055,6.1,6,9,334,1,2,1,53,42
DA86893,7790.0,280,2015,45462,1055,5.2,12,236,41,1,12,1,7,81
DD40459,13790.0,194,2018,12034,1055,5.1,4,285,5,2,5,1,21,10
DD52681,11390.0,905,2014,106552,1055,4.9,2,163,52,1,5,1,32,23
DG79755,39200.0,130,2016,59673,1056,6.9,11,361,650,2,8,2,123,138
DK93671,15695.0,280,2021,4727,1057,4.1,6,17,19,1,12,1,7,33
DL38895,9890.0,650,2015,95404,1057,6.4,12,55,99,1,4,1,55,9
DN25408,10190.0,720,2017,43141,1055,5.6,12,105,41,1,12,1,10,25
DN25512,21890.0,570,2017,42785,1057,6.7,11,62,458,2,10,1,84,2
DP48154,16850.0,650,2016,85726,1055,7.2,12,375,166,2,10,1,73,35
DW03349,13990.0,720,2015,76947,1055,5.6,6,191,49,1,8,1,50,70
DY14248,28850.0,905,2018,80738,1055,4.7,6,323,272,2,10,2,87,71
DZ34884,6711.0,285,2014,31627,1055,4.9,6,189,41,1,5,1,7,55
DZ75470,19290.0,130,2017,73134,1055,4.1,6,14,374,2,4,2,62,12
EB61891,11950.0,650,2013,86925,1057,5.9,6,219,99,1,8,1,55,10
ED21511,11990.0,425,2016,29408,1055,5.0,6,271,74,1,5,1,35,29
EJ43018,23490.0,905,2019,41349,1057,4.9,6,303,30,2,8,1,40,86
EM31162,19990.0,060,2017,89281,1055,5.8,2,32,201,2,12,1,88,49
EN49755,8190.0,860,2015,41626,1055,4.1,12,45,8,1,5,1,7,69
EP54920,22728.0,905,2018,51179,1055,5.9,10,94,93,1,10,1,46,29
ES18377,22590.0,425,2016,50592,1056,6.3,12,296,232,2,8,2,84,25
EU10979,31990.0,060,2018,58123,1057,4.2,2,38,272,2,3,2,87,53
EX41976,26650.0,905,2018,47017,1055,6.3,11,163,278,2,5,1,119,80
EX43289,9572.0,650,2016,78863,1056,4.2,10,47,8,1,12,1,21,29
EY42203,21790.0,910,2015,118137,1056,5.2,6,364,305,2,8,2,87,10
EY54252,32010.0,487,2019,33102,1056,4.3,6,337,628,2,8,5,78,10
FB29521,12190.0,560,2017,69709,1055,4.3,11,378,8,2,2,1,7,36
FC75057,10000.0,280,2017,62593,1055,5.7,12,319,74,1,5,1,24,31
FD36241,12790.0,194,2017,35819,1055,3.8,3,285,131,2,5,2,21,15
FD58544,18890.0,060,2015,65015,1055,4.9,6,34,88,2,5,1,46,29
FE21099,26390.0,570,2016,97522,1057,3.9,6,132,515,2,5,2,91,34
FE35047,26390.0,130,2016,72510,1055,5.5,12,15,404,2,3,1,84,36
FH91399,12500.0,130,2015,118375,1055,5.6,2,4,216,1,5,1,53,50
FL13791,10990.0,580,2015,96166,1055,4.6,7,210,584,1,12,1,30,19
FM54360,45590.0,800,2019,27665,1058,6.4,2,196,228,2,8,2,115,100
FN87599,25890.0,425,2019,25266,1057,6.2,3,387,178,2,4,1,98,47
FT68520,8690.0,670,2014,13482,1055,4.3,6,8,34,1,5,1,5,72
FV28936,23990.0,060,2018,25022,1055,4.8,2,252,368,2,8,2,40,20
FW06048,9790.0,285,2014,60053,1055,4.9,11,63,13,1,10,1,28,10
