id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_offline,time_online_to_reserve_
HN32757,23380.0,May,109.8,2.056,4.8,0.95,DE,0,Subaru,XV,1.6,Black,2019,SUV,Stoff,6,3000,115,Benzin,automatic,0,180,5,2,1,0,9.547884552312233,2.8591341423417513,0.4412922269596589,9,119
GR01465,13070.0,March,116.1,1.743,7.6,2.38,DE,0,Volkswagen,Golf VII,1.2 TSI,Gray,2015,Limousine,Stoff,4,100944,110,Benzin,manual,8,114,5,2,0,0,23.247566515249837,6.190136275146009,1.164828033744322,0,28
AZ76045,14500.0,July,110.3,1.979,5.3,1.08,DE,0,Ford,EcoSport,1.0 EcoBoost,White,2017,SUV,Teilleder,5,59116,125,Benzin,manual,6,125,5,2,0,1,8.313415685147946,2.8681413386957773,0.4336397586900316,53,104
MR31945,20490.0,August,110.7,1.928,5.7,1.03,DE,0,Volkswagen,Tiguan,2.0 TDI,Gray,2015,SUV,Stoff,5,49527,150,Diesel,automatic,9,150,5,4,0,1,7.601013758146271,3.2173787110789283,0.499637943519189,0,6
GS79806,11850.0,January,114.3,1.853,7.4,2.19,DE,0,Mazda,3,2.2 Turbodiesel,Gray,2014,Limousine,Stoff,4,110611,150,Diesel,manual,4,107,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,18,16
YX87468,12790.0,September,112.7,2.168,6.2,1.8,DE,0,Smart,fortwo,0.9 Turbo,Red,2016,Coupe,Leder,4,27660,90,Benzin,automatic,8,96,2,2,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,0,55
DW49096,15490.0,November,113.7,2.118,6.7,2.07,DE,0,Volkswagen,Golf VII,1.0 TSI,Red,2017,Limousine,Stoff,4,50334,85,Benzin,manual,3,111,5,2,1,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,44
SZ69617,21650.0,May,109.8,2.056,4.8,0.95,DE,0,Volkswagen,Golf VII Sportsvan,1.5 TSI,Blue,2018,Van,Stoff,5,23604,130,Benzin,manual,2,118,5,1,0,0,9.547884552312233,2.8591341423417513,0.4412922269596589,9,106
NT41123,36990.0,March,116.1,1.743,7.6,2.38,DE,0,Volvo,XC 90,2.0 D5,Gray,2016,SUV,Leder,5,107980,225,Diesel,automatic,7,152,7,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,0,36
BN36316,25390.0,June,109.8,1.976,4.6,1.45,DE,0,Mazda,3,2.0,Black,2019,Limousine,Leder,4,18844,179,Benzin,manual,0,127,5,2,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,0,46
FV68469,12190.0,September,112.7,2.168,6.2,1.8,DE,0,Volkswagen,Golf VII,1.2 TSI,White,2014,Limousine,Stoff,4,91256,105,Benzin,manual,7,114,5,2,1,1,8.734654422426292,3.4179152569679396,0.5590462381182536,0,26
XD96948,28290.0,July,110.3,1.979,5.3,1.08,DE,0,Volkswagen,T-Roc,2.0 TDI,White,2019,SUV,Leder,5,54546,150,Diesel,automatic,1,176,5,1,0,0,8.313415685147946,2.8681413386957773,0.4336397586900316,0,75
PG53904,17550.0,May,109.8,2.056,4.8,0.95,DE,0,BMW,X1,xDrive 18d,Gray,2015,SUV,Stoff,5,83191,143,Diesel,automatic,3,143,5,2,0,1,9.547884552312233,2.8591341423417513,0.4412922269596589,0,57
KS28190,12500.0,August,110.7,1.928,5.7,1.03,DE,0,Mazda,2,1.5,Gray,2015,Limousine,Stoff,4,46468,90,Benzin,manual,3,105,5,1,0,1,7.601013758146271,3.2173787110789283,0.499637943519189,0,61
UE72780,39760.0,March,116.1,1.743,7.6,2.38,DE,1,Volvo,XC 40,2.0 B4,White,2021,SUV,Alcantara,7,19878,197,Benzin,automatic,2,178,5,1,1,0,23.247566515249837,6.190136275146009,1.164828033744322,2,39
ZV10403,15990.0,January,114.3,1.853,7.4,2.19,DE,0,Nissan,Qashqai,1.2,White,2016,SUV,Stoff,5,38237,115,Benzin,manual,1,129,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,0,19
XP50623,25990.0,April,116.6,1.686,6.9,2.36,DE,1,Volkswagen,Sharan,2.0 TDI,Blue,2015,Van,Alcantara,5,95971,185,Diesel,automatic,8,139,7,3,1,1,20.16995932597327,4.833527019174898,0.9976757699012202,0,15
NR30994,15400.0,May,109.8,2.056,4.8,0.95,DE,0,Audi,A1,1.4 TDI,White,2017,Limousine,Stoff,3,63854,90,Diesel,manual,0,94,4,2,0,1,9.547884552312233,2.8591341423417513,0.4412922269596589,4,97
VX54632,20390.0,March,116.1,1.743,7.6,2.38,DE,0,BMW,2er,220d Active Tourer,Black,2016,Van,Stoff,4,93096,190,Diesel,automatic,5,124,5,2,1,0,23.247566515249837,6.190136275146009,1.164828033744322,0,38
FH94907,19190.0,May,116.5,1.632,6.8,2.34,DE,0,Suzuki,Jimny,1.3,Brown,2017,SUV,Stoff,7,13449,85,Benzin,manual,5,162,2,1,0,0,19.620833333333334,4.6975,0.9302777777777778,0,31
EW47742,11800.0,July,110.3,1.979,5.3,1.08,DE,0,Smart,fortwo,0.9 Turbo,Black,2016,Coupe,Stoff,4,67543,90,Benzin,automatic,3,96,2,1,0,0,8.313415685147946,2.8681413386957773,0.4336397586900316,15,23
ST56615,12690.0,August,110.7,1.928,5.7,1.03,DE,0,Volkswagen,Polo,1.0 TSI,Gray,2015,Limousine,Stoff,4,57788,110,Benzin,manual,6,99,5,2,0,0,7.601013758146271,3.2173787110789283,0.499637943519189,0,56
TM32733,11990.0,January,114.3,1.853,7.4,2.19,BG,0,Hyundai,i10,1.2,Gray,2018,Limousine,Stoff,4,36125,87,Benzin,manual,2,114,5,2,1,0,23.331088362068964,6.615571120689655,0.9832974137931034,0,39
LC00359,11790.0,September,112.7,2.168,6.2,1.8,DE,0,Kia,Picanto,1.2,White,2020,Limousine,Stoff,5,31122,85,Benzin,manual,4,128,5,2,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,21,20
WB16270,12770.0,November,113.7,2.118,6.7,2.07,DE,0,Ford,Fiesta,1.1,Red,2019,Limousine,Stoff,5,31156,85,Benzin,manual,21,135,5,1,0,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,46
VL18286,27090.0,November,113.7,2.118,6.7,2.07,DE,0,Audi,A4,1.4 TFSI,White,2017,Kombi,Leder,5,55190,150,Benzin,automatic,0,131,5,2,0,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,12
JP90847,16490.0,March,116.1,1.743,7.6,2.38,DE,0,Mazda,CX-5,2.2 Turbodiesel,Black,2015,SUV,Leder,5,103068,175,Diesel,manual,10,136,5,1,0,1,23.247566515249837,6.190136275146009,1.164828033744322,0,40
ZS93886,9650.0,January,114.3,1.853,7.4,2.19,DE,0,Opel,Adam,1.0,Black,2014,Limousine,Teilleder,4,89872,90,Benzin,manual,8,99,4,3,1,0,23.331088362068964,6.615571120689655,0.9832974137931034,0,28
PK16365,9500.0,September,112.7,2.168,6.2,1.8,DE,0,Dacia,Dokker,1.6,Blue,2015,Kombi,Stoff,7,88979,83,Benzin,manual,13,168,5,2,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,77,31
PB62571,9820.0,May,109.8,2.056,4.8,0.95,DE,0,Opel,Adam,1.4,Black,2014,Limousine,Stoff,5,59658,100,Benzin,manual,4,125,4,2,1,0,9.547884552312233,2.8591341423417513,0.4412922269596589,0,49
YD75512,35610.0,June,109.8,1.976,4.6,1.45,DE,0,Mercedes-Benz,E-Klasse,E 200,Blue,2018,Limousine,Teilleder,6,37019,185,Benzin,automatic,8,172,5,2,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,17,30
FY81193,28990.0,March,116.1,1.743,7.6,2.38,AT,0,Skoda,Kodiaq,2.0 TDI,Silver,2018,SUV,Teilleder,5,61845,190,Diesel,automatic,2,150,5,3,1,0,23.247566515249837,6.190136275146009,1.164828033744322,0,37
AH53024,7800.0,November,113.7,2.118,6.7,2.07,DE,1,Mitsubishi,Space,1.0,Red,2016,Limousine,Stoff,4,36750,70,Benzin,manual,13,96,5,1,1,0,15.36795655125594,4.93346911065852,0.7361393980538583,3,5
GU88377,23490.0,August,110.7,1.928,5.7,1.03,DE,0,Skoda,Octavia,2.0 TSI,Gray,2016,Kombi,Teilleder,6,65858,220,Benzin,automatic,7,147,5,1,1,0,7.601013758146271,3.2173787110789283,0.499637943519189,0,25
RA88000,19590.0,April,116.6,1.686,6.9,2.36,DE,0,Skoda,Octavia,2.0 TDI,White,2015,Kombi,Leder,4,88842,185,Diesel,automatic,9,126,5,2,1,1,20.16995932597327,4.833527019174898,0.9976757699012202,0,39
LA26711,21500.0,July,110.3,1.979,5.3,1.08,DE,0,BMW,X1,sDrive 18i,Gray,2016,SUV,Stoff,5,25370,135,Benzin,automatic,3,124,5,2,0,0,8.313415685147946,2.8681413386957773,0.4336397586900316,0,28
GV49436,22240.0,May,109.8,2.056,4.8,0.95,DE,0,BMW,1er,120d,White,2017,Limousine,Stoff,4,63653,190,Diesel,automatic,5,109,5,2,0,1,9.547884552312233,2.8591341423417513,0.4412922269596589,3,109
UB09401,15490.0,January,114.3,1.853,7.4,2.19,DE,0,Audi,A3 Limousine,1.4 TFSI,Gray,2014,Limousine,Stoff,4,91116,140,Benzin,manual,3,111,5,3,0,1,23.331088362068964,6.615571120689655,0.9832974137931034,12,37
NK94755,16780.0,June,109.8,1.976,4.6,1.45,DE,0,Kia,Picanto,1.2,Gray,2019,Limousine,Teilleder,5,16044,85,Benzin,automatic,2,151,5,2,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,9,68
DE81239,18750.0,November,113.7,2.118,6.7,2.07,DE,0,Mazda,CX-5,2.2 Turbodiesel,Blue,2016,SUV,Leder,5,104121,175,Diesel,automatic,6,144,5,3,1,0,15.36795655125594,4.93346911065852,0.7361393980538583,13,29
KS66774,15610.0,March,116.1,1.743,7.6,2.38,DE,0,Audi,A4,2.0 TDI,Black,2014,Kombi,Stoff,4,34499,135,Diesel,manual,3,109,5,2,1,1,23.247566515249837,6.190136275146009,1.164828033744322,0,38
VN30943,20490.0,April,116.6,1.686,6.9,2.36,DE,0,BMW,1er,118i,White,2018,Limousine,Leder,5,53108,135,Benzin,manual,3,172,5,2,0,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,46
YJ38991,18510.0,May,109.8,2.056,4.8,0.95,DE,0,Toyota,C-HR,1.2 Turbo,White,2018,SUV,Stoff,6,21210,115,Benzin,manual,5,154,5,2,1,0,9.547884552312233,2.8591341423417513,0.4412922269596589,0,35
CX83419,10080.0,June,109.8,1.976,4.6,1.45,DE,0,Skoda,Fabia,1.0 MPI,Red,2016,Limousine,Stoff,4,80727,75,Benzin,manual,16,108,5,3,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,6,61
NT85032,17890.0,August,110.7,1.928,5.7,1.03,DE,0,Ford,Fiesta,1.0 EcoBoost,Gray,2018,Kombi,Stoff,6,22018,101,Benzin,automatic,7,159,5,2,0,0,7.601013758146271,3.2173787110789283,0.499637943519189,0,14
CF11499,38490.0,November,113.7,2.118,6.7,2.07,DE,0,Toyota,ProAce Verso,2.0 D-4D,Brown,2018,Bus,Stoff,5,22516,177,Diesel,automatic,9,192,8,3,0,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,9
XT69947,12780.0,July,110.3,1.979,5.3,1.08,DE,0,Hyundai,i10,1.0,Blue,2020,Limousine,Stoff,4,6338,67,Benzin,manual,0,110,4,2,1,0,8.313415685147946,2.8681413386957773,0.4336397586900316,6,74
TR46254,23590.0,March,116.1,1.743,7.6,2.38,DE,0,Peugeot,Rifter,1.2 e-THP,White,2019,Bus,Stoff,5,29841,110,Benzin,manual,4,179,5,2,1,0,23.247566515249837,6.190136275146009,1.164828033744322,0,54
RJ78601,33990.0,April,116.6,1.686,6.9,2.36,DE,1,BMW,3er,320d,Gray,2020,Kombi,Alcantara,4,98945,190,Diesel,automatic,2,148,5,1,1,0,20.16995932597327,4.833527019174898,0.9976757699012202,0,63
AJ26201,33330.0,January,114.3,1.853,7.4,2.19,DE,0,BMW,4er,430d Gran Coupé,White,2018,Coupe,Alcantara,5,55860,258,Diesel,automatic,1,192,5,2,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,18,28
DT32566,8120.0,May,109.8,2.056,4.8,0.95,DE,0,Peugeot,208,1.2 VTi,White,2013,Limousine,Stoff,4,84245,82,Benzin,manual,2,104,5,2,0,0,9.547884552312233,2.8591341423417513,0.4412922269596589,12,76
KD36418,13990.0,November,113.7,2.118,6.7,2.07,DE,0,Seat,Arona,1.0 TSI,Red,2018,SUV,Stoff,4,87764,95,Benzin,manual,13,111,5,2,1,1,15.36795655125594,4.93346911065852,0.7361393980538583,0,29
