id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
CF67718,31474,Alfa Romeo,Giulia,2.0 Turbo,Gray,2019,Limousine,Alcantara,39763,280,1,0,1,0,27
BV67391,16258,Skoda,Octavia,1.5 TSI,Black,2019,Kombi,Teilleder,50485,150,1,0,1,0,54
HP40013,11703,Mazda,CX-5,2.2 Turbodiesel,Brown,2015,SUV,Stoff,108911,150,0,1,1,0,26
LL20919,22335,Audi,TT,2.0 TFSI,Gray,2014,Coupe,Alcantara,83557,230,1,0,1,0,11
MW41116,4339,Renault,Twingo,1.0 SCe,Gray,2016,Limousine,Stoff,99622,70,1,0,0,1,25
GZ61188,17545,Volkswagen,Passat,1.4 TSI,Gray,2018,Kombi,Alcantara,80083,150,1,0,0,1,32
EP77687,6679,Hyundai,i20,1.2,Blue,2016,Limousine,Stoff,50861,75,1,0,0,1,35
MR21169,20200,Jeep,Renegade,1.4 M-Air,Black,2018,SUV,Stoff,23040,170,1,0,1,0,44
CC62348,7500,Opel,Meriva,1.4 Turbo,White,2015,Van,Stoff,73159,120,1,0,0,1,57
BL11436,21061,BMW,5er,520d,Black,2018,Kombi,Leder,110588,190,0,1,1,0,50
BR68696,14853,Audi,A1,1.4 TFSI,Gray,2017,Limousine,Stoff,20141,125,1,0,1,0,39
CZ79551,10107,Volkswagen,Golf VII,1.2 TSI,Gray,2016,Limousine,Stoff,94622,85,1,0,0,1,79
CJ48307,6999,Fiat,500,0.9,Blue,2014,Limousine,Stoff,41343,105,1,0,0,1,49
KS24180,19961,Ford,Kuga,1.5 EcoBoost,White,2019,SUV,Teilleder,32577,150,1,0,1,0,4
FC53447,20542,Kia,pro_cee'd,1.6 TGDI,Gray,2019,Coupe,Alcantara,44825,205,1,0,0,1,98
GC46501,16768,Volkswagen,Tiguan,2.0 TDI,Black,2015,SUV,Leder,74720,150,0,1,1,0,35
EP74342,18330,Audi,A4,35 TDI,Black,2018,Kombi,Stoff,105779,150,0,1,1,0,31
FZ82531,17273,Volkswagen,Golf VII,1.4 TSI,White,2017,Limousine,Stoff,26288,125,1,0,1,0,83
GK53277,6758,Kia,Venga,1.6,White,2012,Van,Stoff,65983,125,1,0,0,1,99
MT66168,13222,Ford,Fiesta,1.0 EcoBoost,Gray,2018,Limousine,Stoff,25719,125,1,0,0,1,13
AL56176,6583,Smart,fortwo,1.0,Black,2016,Coupe,Stoff,45212,70,1,0,0,1,32
VZ27800,6286,Volkswagen,up!,1.0,Gray,2013,Limousine,Stoff,30622,75,1,0,0,1,94
GL57041,11007,Ford,Focus,1.0 EcoBoost,Silver,2017,Kombi,Stoff,38163,100,1,0,0,1,41
AE26490,14600,Hyundai,Tucson,1.6,Blue,2018,SUV,Stoff,61972,132,1,0,0,1,40
AB54993,9400,Ford,Fiesta,1.1,Gray,2018,Limousine,Stoff,70281,85,1,0,0,1,82
EF60795,14910,Volkswagen,Passat,1.4 TSI,Gray,2018,Kombi,Stoff,93104,150,1,0,0,1,40
HK50025,10408,Volkswagen,Golf VII,1.2 TSI,Gray,2015,Limousine,Stoff,59299,110,1,0,0,1,53
ST95892,8700,MINI,MINI,One,White,2014,Limousine,Stoff,65246,75,1,0,0,1,74
