id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,damages,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_online_to_reserve_
WU28787,25990.0,September,112.7,2.168,6.2,1.8,DE,0,Mercedes-Benz,C-Klasse,C 300,Blue,2016,Kombi,Teilleder,6,62065,245,Benzin,automatic,30,36,149,5,2,1,1,8.734654422426292,3.4179152569679396,0.5590462381182536,84
BU26849,21810.0,May,116.5,1.632,6.8,2.34,DE,0,Ford,Focus,1.5 EcoBoost,Gray,2019,Kombi,Teilleder,4,42430,150,Benzin,manual,0,0,112,5,1,0,0,19.620833333333334,4.697222222222222,0.9302777777777778,6
AA68230,12000.0,February,115.2,1.813,7.0,2.37,DE,0,Peugeot,2008,1.2 VTi,White,2016,SUV,Stoff,4,53994,82,Benzin,manual,1,3,114,5,2,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,28
BN89794,10260.0,January,114.3,1.853,7.4,2.19,DE,0,Mitsubishi,Space Star,1.2,Purple,2017,Limousine,Stoff,4,37605,80,Benzin,manual,12,13,100,5,3,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,31
BR92577,12990.0,April,116.6,1.686,6.9,2.36,DE,0,Ford,C-Max,1.6 EcoBoost,Black,2014,Van,Teilleder,6,69299,150,Benzin,manual,1,3,149,7,3,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,8
WW39766,14000.0,February,115.2,1.813,7.0,2.37,DE,0,Renault,Megane,1.2 TCe,Gray,2017,Kombi,Stoff,5,96785,132,Benzin,manual,8,8,120,5,2,1,0,23.243038844963905,6.263320728772774,0.9532485390168443,80
TC19148,10000.0,May,116.5,1.632,6.8,2.34,DE,0,Opel,Corsa,1.4 Turbo,Red,2016,Limousine,Stoff,5,62342,100,Benzin,manual,0,3,122,5,1,0,0,19.620833333333334,4.697222222222222,0.9302777777777778,40
VL22787,20300.0,March,116.1,1.743,7.6,2.38,DE,0,Volkswagen,Tiguan,2.0 TDI,White,2015,SUV,Alcantara,5,93099,185,Diesel,automatic,5,7,150,5,2,1,0,23.247566515249837,6.190136275146009,1.164828033744322,39
MM97291,13390.0,February,115.2,1.813,7.0,2.37,DE,1,Volkswagen,Golf VII,1.4 TSI,Blue,2016,Kombi,Stoff,5,113399,125,Benzin,manual,6,7,123,5,1,1,1,23.243038844963905,6.263320728772774,0.9532485390168443,30
ZZ30443,14470.0,March,116.1,1.743,7.6,2.38,DE,0,Renault,Clio,1.0 TCe,Blue,2019,Limousine,Teilleder,4,43020,101,Benzin,manual,0,2,118,5,2,1,0,23.247566515249837,6.190136275146009,1.164828033744322,28
FZ46362,26990.0,January,114.3,1.853,7.4,2.19,DE,0,Toyota,RAV 4,2.5 Hybrid,Silver,2018,SUV,Stoff,2,39909,197,Hybrid,automatic,1,2,141,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,2
