dates,cars_sold_de,cars_online_de,avg_buyprice_de,bookmarks_de,opportunity_de,purchases_de,published_de
2021-01-01,6,1182,11382,400,177,0,0
2021-01-02,14,1160,11351,347,219,14,0
2021-01-03,5,1142,11355,461,198,0,0
2021-01-04,26,1132,11428,422,261,29,16
2021-01-05,25,1134,11499,387,268,12,14
2021-01-06,20,1142,11576,590,240,13,20
2021-01-07,20,1132,11617,362,259,5,16
2021-01-08,26,1124,11608,274,247,17,16
2021-01-09,15,1094,11568,421,205,13,0
2021-01-10,5,1080,11530,518,208,0,0
2021-01-11,27,1100,11526,446,267,20,25
2021-01-12,23,1124,11503,419,242,25,25
2021-01-13,29,1131,11559,268,238,20,28
2021-01-14,22,1144,11693,286,260,21,30
2021-01-15,23,1151,11656,350,226,29,35
2021-01-16,13,1130,11669,393,197,8,0
2021-01-17,6,1117,11684,550,207,0,0
2021-01-18,26,1113,11782,392,300,22,29
2021-01-19,27,1120,11791,459,259,17,32
2021-01-20,26,1131,11782,331,245,22,30
2021-01-21,20,1148,11894,340,260,16,29
2021-01-22,13,1169,11851,393,245,28,34
2021-01-23,17,1143,11820,536,233,14,0
2021-01-24,8,1128,11837,517,206,0,0
2021-01-25,21,1122,11888,491,294,22,23
2021-01-26,14,1100,11797,333,264,25,26
2021-01-27,22,1122,11744,351,276,22,39
2021-01-28,27,1148,11810,395,258,26,26
2021-01-29,39,1140,11821,697,275,31,29
2021-01-30,13,1114,11796,506,241,37,0
2021-01-31,15,1090,11759,503,218,0,0
2021-02-01,31,1088,11728,421,299,31,29
2021-02-02,28,1089,11628,430,279,26,28
2021-02-03,25,1112,11612,431,334,35,28
2021-02-04,28,1113,11657,544,296,26,35
2021-02-05,30,1127,11839,453,259,28,34
2021-02-06,16,1104,11843,587,251,27,0
2021-02-07,6,1085,11823,450,238,0,0
2021-02-08,34,1073,11782,540,262,28,26
2021-02-09,30,1063,11817,426,264,22,18
2021-02-10,21,1079,11797,468,245,24,32
2021-02-11,22,1099,11813,346,272,30,35
2021-02-12,21,1114,11759,360,263,31,35
2021-02-13,23,1085,11808,499,229,21,0
2021-02-14,10,1060,11832,568,225,0,0
2021-02-15,26,1057,11831,489,287,23,32
2021-02-16,17,1065,11819,445,271,25,26
2021-02-17,23,1083,11881,458,256,34,32
2021-02-18,20,1102,11948,398,236,26,36
2021-02-19,42,1115,11950,259,267,41,45
2021-02-20,14,1087,11896,400,235,28,0
2021-02-21,12,1063,11911,458,210,0,0
2021-02-22,30,1083,11939,409,332,32,44
2021-02-23,21,1077,12009,441,280,34,21
2021-02-24,33,1068,11968,431,275,28,42
2021-02-25,27,1118,12095,327,257,31,50
2021-02-26,35,1134,12165,411,263,26,41
2021-02-27,20,1103,12220,579,244,19,0
2021-02-28,17,1076,12209,591,264,0,0
2021-03-01,36,1070,12229,454,290,38,34
2021-03-02,30,1087,12211,327,204,22,51
2021-03-03,32,1089,12318,405,185,31,39
2021-03-04,33,1100,12363,542,185,29,34
2021-03-05,22,1111,12399,356,245,14,36
2021-03-06,23,1081,12429,544,252,14,0
2021-03-07,9,1060,12442,627,313,0,0
2021-03-08,30,1013,12482,455,282,26,0
2021-03-09,28,1048,12552,419,280,33,51
2021-03-10,22,1074,12554,360,279,26,51
2021-03-11,26,1103,12695,358,268,18,46
2021-03-12,22,1127,12795,531,320,40,39
2021-03-13,19,1086,12854,688,267,0,0
2021-03-14,10,1058,12879,697,271,0,0
2021-03-15,25,1055,12845,370,313,28,29
2021-03-16,18,1066,12842,549,290,32,27
2021-03-17,36,1084,12891,510,288,30,49
2021-03-18,22,1097,13023,495,285,17,36
2021-03-19,24,1115,13128,382,334,34,33
2021-03-20,14,1092,13132,523,248,16,0
2021-03-21,8,1075,13170,631,228,0,0
2021-03-22,31,1064,13204,408,325,42,27
2021-03-23,20,1083,13190,392,247,37,33
2021-03-24,23,1103,13204,643,265,27,34
2021-03-25,17,1105,13144,507,239,25,19
2021-03-26,23,1136,13227,403,246,24,37
2021-03-27,13,1100,13194,546,248,2,0
2021-03-28,8,1087,13156,479,175,0,0
2021-03-29,18,1087,13317,403,260,23,21
2021-03-30,17,1112,13608,380,236,20,21
2021-03-31,29,1097,13678,501,192,24,19
2021-04-01,16,1104,13792,372,218,32,33
2021-04-02,3,1103,13878,525,193,0,0
2021-04-03,15,1061,13746,395,193,25,0
2021-04-04,5,1044,13796,579,195,0,0
2021-04-05,8,1025,13794,626,231,0,0
2021-04-06,28,1009,13853,646,298,43,29
2021-04-07,24,1029,14042,330,281,37,20
2021-04-08,22,1047,14192,277,255,39,33
2021-04-09,30,1062,14261,364,276,29,34
