company,cars_bought,type_buyer,frequency,recency,monetary,share_low_hp,share_medium_hp,share_high_hp,share_old_,share_m_age,share_recent_,share_low_mileage,share_medium_mileage,share_high_mileage,share_less_5k,share_5k_10k_,share_over_10k_,profit_per_car
WEST PARK AUTO Ltd.,1,Small_buyer,1,7,4,0,0,1,0,1,0,0,1,0,0,0,1,1983
Automobile Hamdan UG,3,Small_buyer,2,10,5,1,0,0,0,0.666666667,0.333333333,0.333333333,0.666666667,0,0,0.666666667,0.333333333,876
AutoKultur Kessel GmbH,1,Small_buyer,1,10,3,0,0,1,1,0,0,1,0,0,0,1,0,-624
RN MOTOR SALAMANCA SL,2,Small_buyer,1,7,6,0,0,1,0,1,0,0.5,0.5,0,0,0,1,-1657.5
Kim Ejlertsen Biler ApS,2,Small_buyer,1,9,7,0.5,0,0.5,0,0,1,1,0,0,0,0,1,2630.5
Sefedin Gerxhalija,2,Small_buyer,1,9,5,0,1,0,0,1,0,0,0.5,0.5,0,0.5,0.5,-158.5
"F.W. Kochs, Inh. Franz-Willi Kochs",7,Small_buyer,3,6,7,1,0,0,0.142857143,0.428571429,0.428571429,1,0,0,0.285714286,0.571428571,0.142857143,620.1428571
"Autohaus Lierenfeld, Inh. Artem Bader",84,Top_buyer,9,1,12,0.261904762,0.452380952,0.285714286,0.178571429,0.761904762,0.05952381,0.404761905,0.547619048,0.047619048,0.083333333,0.380952381,0.535714286,1301.690476
PRESTIGE CARS PIOTR RASPOPIN,1,Small_buyer,1,10,2,0,1,0,0,1,0,0,1,0,1,0,0,608
FORD RETHEL,3,Small_buyer,2,8,9,0,0,1,0,0,1,1,0,0,0,0,1,1557
VÉRTES AUTÓÜGYNÖKSÉG KFT.,15,Medium_buyer,5,7,9,1,0,0,0,0.866666667,0.133333333,0.533333333,0.466666667,0,0.133333333,0.6,0.266666667,842
MY NEW CAR,2,Small_buyer,1,6,5,0.5,0.5,0,0,1,0,0.5,0.5,0,0,0.5,0.5,870
Mehmet Can,1,Small_buyer,1,9,2,1,0,0,0,1,0,0,1,0,1,0,0,568
"ArTmz Automobile, Inh. Filiz Tahmaz",10,Small_buyer,4,6,6,0.7,0,0.3,0.3,0.7,0,0.1,0.9,0,0.4,0.6,0,-318.9
AUTOMOBIELBEDRIJF VAN EKRIS MIJDRECHT B.V.,10,Small_buyer,4,7,9,0.8,0.1,0.1,0,0.1,0.9,0.9,0.1,0,0,0,1,1344.9
RENATA ŚLUSARCZYK CARRENA,1,Small_buyer,1,7,3,0,1,0,0,1,0,0,0,1,0,1,0,346
Václav Juhanyák,2,Small_buyer,1,8,3,1,0,0,0.5,0.5,0,0,0,1,1,0,0,545
MASTER FLOWER S.R.L.,1,Small_buyer,1,5,3,0,1,0,0,1,0,0,1,0,0,1,0,356
Jumbo Garage GmbH,1,Small_buyer,1,7,4,1,0,0,1,0,0,0,0,1,0,0,1,512
Dubenko Serhii,19,Medium_buyer,5,4,7,0.894736842,0.105263158,0,0.263157895,0.736842105,0,0,0.578947368,0.421052632,1,0,0,254.7368421
AUTOMECLIS COMERCIO DE AUTOMOVEIS SA,1,Small_buyer,1,10,3,1,0,0,0,0,1,1,0,0,0,1,0,-1350
GUIDOLIN SERVICE CAR SRL,8,Small_buyer,3,6,8,1,0,0,0,0.375,0.625,1,0,0,0.125,0.5,0.375,644.875
AQUITAINE NEGOCE AUTO,5,Small_buyer,3,3,7,0.6,0.2,0.2,0,1,0,0.4,0.6,0,0.2,0.6,0.2,675.2
GRUP SIGMA DOCTOR GSM SRL,1,Small_buyer,1,3,2,0,1,0,1,0,0,0,0,1,1,0,0,281
AGNIESZKA AMBROZIK SKLEP SPOŻYWCZO-PRZEMYSŁOWY,3,Small_buyer,2,9,2,1,0,0,1,0,0,0,0.666666667,0.333333333,1,0,0,273.3333333
SVINARCHUK VIKTOR,2,Small_buyer,1,1,3,1,0,0,0.5,0.5,0,0,0,1,1,0,0,533
MAKHOVSKYI VLADYSLAV,2,Small_buyer,1,8,2,1,0,0,1,0,0,0.5,0.5,0,1,0,0,67.5
"Autohaus Meister Ehrich, Inh. Kai Ehrich",3,Small_buyer,2,10,5,1,0,0,0,0.666666667,0.333333333,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,408
"AL-SA, Inh. Alex Safronow",22,Medium_buyer,6,5,6,0.5,0.363636364,0.136363636,0.909090909,0.090909091,0,0.136363636,0.454545455,0.409090909,0.909090909,0.090909091,0,43.27272727
"Bolcar, Kris Bols",1,Small_buyer,1,10,4,1,0,0,0,1,0,1,0,0,0,0,1,393
"Sinicar, Inh. Mihael Nad",5,Small_buyer,3,7,4,0.8,0,0.2,0.6,0.4,0,0.2,0.8,0,1,0,0,353.8
KUP GO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7,Small_buyer,3,6,5,0.714285714,0.285714286,0,0.142857143,0.714285714,0.142857143,0,0.571428571,0.428571429,0.571428571,0.428571429,0,697.1428571
Falot motorcars,1,Small_buyer,1,7,4,1,0,0,0,0,1,1,0,0,0,0,1,564
EDUARDO JORGE RAIMUNDO COSTA,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,1,0,1,0,0,541
LP AUTO DI DE BORTOLI LORENZO E GIROTTO PIETRO SNC,16,Medium_buyer,5,3,7,1,0,0,0,1,0,0.6875,0.3125,0,1,0,0,626.1875
"REAL AUTOMOBILE, Kürsat Güler",1,Small_buyer,1,9,2,1,0,0,1,0,0,0,1,0,1,0,0,240
EWRO-CAR ROMAN IDZIKOWSKI,2,Small_buyer,1,7,4,0,1,0,0,1,0,0,0.5,0.5,0,1,0,299
Autohaus Hirsch,1,Small_buyer,1,5,4,1,0,0,0,0,1,1,0,0,0,0,1,1206
SUPER CARS,13,Small_buyer,4,7,7,0.846153846,0.153846154,0,0.153846154,0.846153846,0,0.846153846,0.153846154,0,0.692307692,0.076923077,0.230769231,411.8461538
David Topor,8,Small_buyer,3,6,4,0.375,0.625,0,1,0,0,0,0.25,0.75,1,0,0,98.25
MILTON SILVA UNIPESSOAL LDA,2,Small_buyer,1,6,6,1,0,0,0,0,1,1,0,0,0,0,1,761
SVEA SIA,1,Small_buyer,1,7,4,1,0,0,0,0,1,1,0,0,0,0,1,529
"""AUTO HANDEL ŁOJEŚ"" Barbara Joanna Łojewska",4,Small_buyer,2,7,2,1,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,231.5
"Fischer Automobile, Inh. Cathrin Fischer",2,Small_buyer,1,9,5,0.5,0,0.5,0,1,0,1,0,0,0,0.5,0.5,1040
"Maja Automobile, Inh. Alyas Kalash",11,Small_buyer,4,3,8,0.818181818,0.181818182,0,0,0.909090909,0.090909091,0.727272727,0.272727273,0,0,1,0,49.18181818
AUTO-HANDEL Tadeusz Wyszomirski,1,Small_buyer,1,9,3,1,0,0,0,1,0,0,0,1,0,1,0,361
TRĘBACZ RAFAŁ Auto-Handel Giga-Pol,28,Medium_buyer,6,3,9,0.678571429,0.321428571,0,0.071428571,0.857142857,0.071428571,0.035714286,0.857142857,0.107142857,0.714285714,0.214285714,0.071428571,489.8214286
"Solocar, Inh. Ilona Christine Sztucki",1,Small_buyer,1,10,6,0,0,1,0,0,1,0,1,0,0,0,1,1243
AVTO PLAC TANEVSKI AVTOMOBILI Bitola,2,Small_buyer,1,2,2,1,0,0,0.5,0.5,0,0,0,1,1,0,0,544
Laurens Vaysse Auto,3,Small_buyer,2,10,6,1,0,0,0,0.333333333,0.666666667,1,0,0,0,0,1,1100.333333
SPID GLASS Sebastian Baklarz,12,Small_buyer,4,7,4,0.666666667,0.333333333,0,0.916666667,0.083333333,0,0,0.166666667,0.833333333,1,0,0,400.25
GUTIERREZISAN SL,1,Small_buyer,1,10,4,1,0,0,0,0,1,1,0,0,0,0,1,455
Autohaus Sürth GmbH,2,Small_buyer,1,5,5,1,0,0,0,0,1,1,0,0,0,0,1,806.5
seb auto service,1,Small_buyer,1,7,2,0,1,0,1,0,0,0,0,1,1,0,0,196
NORD CAR PERFORMANCE S.R.L.,1,Small_buyer,1,10,5,0,1,0,0,0,1,1,0,0,0,0,1,550
"A&O CarCenter, Inh. Khadija Mohamed Ibrahim",3,Small_buyer,2,8,2,1,0,0,0.666666667,0.333333333,0,0,1,0,1,0,0,377
GADGEWICO 76 SL,1,Small_buyer,1,1,6,0,0,1,0,0,1,1,0,0,0,0,1,1050
MF-cars Center Oy,7,Small_buyer,3,10,8,0,0.857142857,0.142857143,0.285714286,0.714285714,0,0,0.428571429,0.571428571,0.142857143,0.285714286,0.571428571,652
AUTO OSKAR KAMILA TOMASIK,3,Small_buyer,2,9,6,0.666666667,0.333333333,0,0,0.333333333,0.666666667,0.333333333,0.666666667,0,0,0.333333333,0.666666667,366.6666667
ALEJANDRO ELBAL SEGURA,3,Small_buyer,2,8,5,0.333333333,0.666666667,0,0,1,0,0,0.333333333,0.666666667,0,0.666666667,0.333333333,832.6666667
AIS Dresden GmbH,3,Small_buyer,2,6,7,0.666666667,0.333333333,0,0,0,1,1,0,0,0,0,1,877.6666667
KURMAN VADYM OLEKSANDROVYCH,40,Medium_buyer,7,1,9,0.975,0,0.025,0.35,0.6,0.05,0.05,0.225,0.725,0.925,0.025,0.05,504.25
TAKAKIS GEORGIOS BASILEOS,3,Small_buyer,2,7,4,1,0,0,0,0.666666667,0.333333333,0.333333333,0.666666667,0,0.666666667,0.333333333,0,553
JUHÁSZ PÉTER JÁNOS  E.V.,2,Small_buyer,1,10,3,1,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,643.5
Auto Line SH.P.K.,11,Small_buyer,4,2,7,1,0,0,0,0.909090909,0.090909091,0,0.363636364,0.636363636,0.363636364,0.636363636,0,614.5454545
VRANIČAR d.o.o.,2,Small_buyer,1,4,7,1,0,0,0,0,1,1,0,0,0,0,1,795
Autoservice Huisman,3,Small_buyer,2,4,6,0,1,0,0,1,0,0,1,0,0.333333333,0,0.666666667,634.6666667
Auto Horn e.K.,10,Small_buyer,4,5,8,1,0,0,0,1,0,0.8,0.2,0,0.1,0.7,0.2,900.8
DANDY CAR DI ALOISI GIANLUCA,1,Small_buyer,1,9,4,1,0,0,0,0,1,0,1,0,0,0,1,423
KFZ - Schmied GmbH,14,Small_buyer,4,7,9,1,0,0,0,0.071428571,0.928571429,0.928571429,0,0.071428571,0,0.285714286,0.714285714,1024.642857
SAŠAPROMET vl. Saša Kireta,13,Small_buyer,4,2,7,0.692307692,0.307692308,0,0,1,0,0,0.615384615,0.384615385,0.615384615,0.384615385,0,761.3076923
YP Automotive,2,Small_buyer,1,7,6,0,0,1,0,1,0,0.5,0.5,0,0,0,1,-1791
Sas BMK AUTOCOLOR,18,Medium_buyer,5,6,9,0.944444444,0.055555556,0,0.055555556,0.777777778,0.166666667,0.888888889,0.055555556,0.055555556,0.222222222,0.666666667,0.111111111,823.0555556
Carhalle OÜ,1,Small_buyer,1,10,3,0,1,0,0,1,0,0,1,0,0,1,0,-1606
LESS IS GREEN UNIPESSOAL LDA,1,Small_buyer,1,8,6,0,1,0,0,0,1,1,0,0,0,0,1,1243
"Lüner Taxi, Inh. Firat Aydin",2,Small_buyer,1,9,2,0.5,0.5,0,1,0,0,0,0.5,0.5,1,0,0,319.5
"Autohaus Rhein-Erft, Inh. Mansur Rasul",27,Medium_buyer,6,2,8,0.444444444,0.444444444,0.111111111,0.777777778,0.222222222,0,0.074074074,0.592592593,0.333333333,0.851851852,0.111111111,0.037037037,4.592592593
UAB Karvainas,10,Small_buyer,4,6,6,0.5,0.5,0,0,1,0,0,0.1,0.9,0.5,0.5,0,918.3
Martin Křivka,1,Small_buyer,1,9,4,0,1,0,0,1,0,0,1,0,0,0,1,774
TOMASETTO MIRCO,10,Small_buyer,4,7,6,1,0,0,1,0,0,0.1,0.8,0.1,0.9,0.1,0,-72.3
"mmautomobilebln, Inh. Mohammed Ismail",1,Small_buyer,1,10,2,1,0,0,1,0,0,0,1,0,1,0,0,357
Autohaus Warncke GmbH,7,Small_buyer,3,9,9,1,0,0,0,0,1,1,0,0,0,0,1,1390.285714
HUGO MIGUEL MARQUES DA CUNHA,1,Small_buyer,1,9,4,0,1,0,0,1,0,0,0,1,0,0,1,652
EDALAZ AUTOMOBILE S.R.L.,1,Small_buyer,1,10,1,1,0,0,1,0,0,0,0,1,1,0,0,-517
TF CARS ApS,6,Small_buyer,3,8,9,0.333333333,0.333333333,0.333333333,0,0,1,1,0,0,0,0,1,941.6666667
"Autocenter Königsbrunn, Inh. Hasan Gülcan",1,Small_buyer,1,9,5,0,1,0,0,0,1,1,0,0,0,0,1,-2841
Autohaus Huber GmbH,4,Small_buyer,2,10,8,1,0,0,0,0,1,1,0,0,0,0,1,200
TECNOMOTOR S.R.L,3,Small_buyer,2,8,7,1,0,0,0,0,1,1,0,0,0,0,1,200
Autobedrijf Legemaate,1,Small_buyer,1,10,4,0,1,0,0,1,0,0,1,0,0,0,1,393
AUTOMOBILS MAS SL,1,Small_buyer,1,9,4,1,0,0,0,0,1,1,0,0,0,0,1,403
JAROSŁAW WRĄBEL JAR-CAR,1,Small_buyer,1,6,1,1,0,0,1,0,0,0,0,1,1,0,0,122
Lux Connection Export sarl,1,Small_buyer,1,7,4,1,0,0,0,0,1,0,1,0,0,0,1,547
Autohaus Kerner Gmbh,1,Small_buyer,1,10,4,1,0,0,0,0,1,1,0,0,0,0,1,1071
SMART AUTO PIT S.R.L.,2,Small_buyer,1,9,3,1,0,0,0,1,0,0,0.5,0.5,1,0,0,316.5
UAB Dinelta,2,Small_buyer,1,6,4,0.5,0,0.5,0,1,0,0,0,1,0.5,0.5,0,609
"RS-Automobile, Inh. Rolf Sporleder",23,Medium_buyer,6,3,10,0.173913043,0.173913043,0.652173913,0.47826087,0.434782609,0.086956522,0.826086957,0.173913043,0,0,0.173913043,0.826086957,277.1304348
F.H.U Avant Import-Export,4,Small_buyer,2,7,2,0.5,0.5,0,0.75,0.25,0,0,0.75,0.25,1,0,0,-217.25
Intersari SPRL,5,Small_buyer,3,3,3,0.8,0.2,0,1,0,0,0,0.8,0.2,1,0,0,374.2
BND UNLIMITED ENGINEERING SL,1,Small_buyer,1,9,4,0,0,1,0,0,1,0,1,0,0,0,1,419
Next-level,2,Small_buyer,1,10,2,1,0,0,0.5,0.5,0,0,1,0,1,0,0,345
SONERS AUTO EOOD,5,Small_buyer,3,5,5,0.8,0.2,0,0,0.2,0.8,0.8,0.2,0,0.2,0.8,0,323.8
Vergin Colour Technology UG (haftungsbeschränkt),1,Small_buyer,1,1,3,0,1,0,0,1,0,0,1,0,0,1,0,675
AutoPort Andrzej Piwek,4,Small_buyer,2,1,3,1,0,0,0.75,0.25,0,0,0,1,1,0,0,454.5
Idée Neuve Automobiles,16,Medium_buyer,5,6,7,1,0,0,0,1,0,1,0,0,0.75,0.25,0,651.9375
"2-Radgarge Göttingen, Inh. Michael Schröder",1,Small_buyer,1,10,7,0,0,1,1,0,0,1,0,0,0,0,1,1971
AUTO BONGERS V.O.F.,9,Small_buyer,3,6,8,0.777777778,0.222222222,0,0,1,0,0.555555556,0.444444444,0,0,0.666666667,0.333333333,326.8888889
"Autohaus Bent Petersen, Inh. Bent Petersen",1,Small_buyer,1,10,4,1,0,0,0,0,1,1,0,0,0,0,1,521
M cars,1,Small_buyer,1,4,1,1,0,0,1,0,0,0,1,0,1,0,0,243
"Grischa Noller KFZ Vermittlung, Inh. Grischa Noller",4,Small_buyer,2,1,3,1,0,0,1,0,0,0,1,0,1,0,0,480.5
SAS GARAGE DU CENTRE,1,Small_buyer,1,8,1,1,0,0,1,0,0,0,1,0,1,0,0,228
Delta Auto Oy,6,Small_buyer,3,10,9,0.666666667,0,0.333333333,0,0,1,1,0,0,0,0,1,1531
"A+T Automobile, Inh. Denis Aleksandrovic Aksakov",6,Small_buyer,3,8,5,1,0,0,0,1,0,0.666666667,0.333333333,0,0.833333333,0.166666667,0,268.3333333
WAMICAR.COM GMBH,2,Small_buyer,1,10,5,1,0,0,0,0,1,1,0,0,0,0.5,0.5,-306.5
Carma Car ApS,4,Small_buyer,2,9,9,0.25,0.25,0.5,0,0,1,0.75,0.25,0,0,0,1,4149.5
Shayna Automobile Inh. Pajman Kanani,12,Small_buyer,4,6,5,0.25,0.75,0,0.666666667,0.333333333,0,0.166666667,0.333333333,0.5,1,0,0,531.3333333
Jakob Lauff GmbH & Co. KG,1,Small_buyer,1,10,4,1,0,0,0,0,1,1,0,0,0,0,1,695
AUTO-PARK RATH - DÜSSELDORF,3,Small_buyer,2,9,6,0.666666667,0.333333333,0,0,0.333333333,0.666666667,1,0,0,0,0,1,1018.666667
"Tsalouchos Car export, Inh. Christos Tsalouchos",5,Small_buyer,3,2,2,1,0,0,1,0,0,0,1,0,1,0,0,89.6
Ford Bunse GmbH,2,Small_buyer,1,9,6,0.5,0,0.5,0.5,0,0.5,1,0,0,0,0.5,0.5,1461.5
"Haag-Automobile, Inh. Filomena Pizzuti",1,Small_buyer,1,6,3,1,0,0,0,0,1,0,1,0,0,1,0,1031
NDC EXCLUSIV AUTO S.R.L.,3,Small_buyer,2,10,3,0.666666667,0.333333333,0,0,1,0,0,0,1,1,0,0,488.3333333
AUTOAPPENNINO SAS DI PALMIERI RENATA E C,1,Small_buyer,1,9,3,1,0,0,0,0,1,1,0,0,0,1,0,398
EWELMAR Ewelina Czarnocka,1,Small_buyer,1,10,3,1,0,0,0,0,1,0,1,0,0,1,0,307
Aleks Remer,15,Medium_buyer,5,7,8,0.466666667,0.466666667,0.066666667,0.066666667,0.866666667,0.066666667,0,0.666666667,0.333333333,0.466666667,0.466666667,0.066666667,95.73333333
"Autohandel Galandarov, Inh. Ramin Galandarov",1,Small_buyer,1,8,3,0,1,0,1,0,0,0,1,0,0,1,0,902
TODI TRADE d.o.o.,1,Small_buyer,1,7,4,0,1,0,0,1,0,0,0,1,0,0,1,816
Autohaus Schäfer&Grimm GmbH,1,Small_buyer,1,6,3,1,0,0,0,0,1,1,0,0,0,1,0,399
AUTOGRÁČ s.r.o.,15,Medium_buyer,5,5,9,0.866666667,0.133333333,0,0,0.666666667,0.333333333,0.133333333,0.666666667,0.2,0.2,0.4,0.4,1185.533333
Autobedrijf Avanti,1,Small_buyer,1,4,2,0,1,0,0,1,0,0,1,0,1,0,0,643
HT Cars,3,Small_buyer,2,7,2,1,0,0,1,0,0,0,0.333333333,0.666666667,1,0,0,247.3333333
Ela Cars,1,Small_buyer,1,8,2,0,1,0,1,0,0,0,0,1,1,0,0,264
ZS AUTOMOBILES,2,Small_buyer,1,7,4,0.5,0,0.5,0,1,0,0,0.5,0.5,0.5,0,0.5,79
zone rouge,1,Small_buyer,1,5,2,0,1,0,1,0,0,0,1,0,1,0,0,617
SILVER STAR LOGISTIK SRL,3,Small_buyer,2,4,4,1,0,0,0,1,0,0,0.666666667,0.333333333,1,0,0,691.3333333
"Auto Center Schmidt, Inh. Rudolf Schmidt",9,Small_buyer,3,7,9,0.555555556,0.444444444,0,0.111111111,0,0.888888889,0.888888889,0.111111111,0,0,0,1,137.4444444
"Autohaus Orléa, Inh. Ralph Orléa",3,Small_buyer,2,10,6,1,0,0,0,0.666666667,0.333333333,1,0,0,0,0.666666667,0.333333333,871.3333333
Verda Trade Kft,1,Small_buyer,1,10,2,1,0,0,1,0,0,0,0,1,1,0,0,250
KOZINA POSLOVANJE d.o.o.,1,Small_buyer,1,5,4,1,0,0,0,1,0,0,1,0,0,0,1,180
AUTO TOP MEA COMPANY S.R.L.,16,Medium_buyer,5,5,9,0.6875,0.3125,0,0,0.875,0.125,0.1875,0.5,0.3125,0.1875,0.6875,0.125,684.8125
MI PROXIMO COCHE SL,1,Small_buyer,1,9,4,0,0,1,0,0,1,1,0,0,0,0,1,449
"Fahrzeugagentur Mannheim, Inh. Sarantis Hatzis",49,Medium_buyer,8,1,9,0.93877551,0.06122449,0,0.836734694,0.163265306,0,0.734693878,0.244897959,0.020408163,0.93877551,0.06122449,0,482.5918367
SILVER AUTÓ TRADE Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,Small_buyer,1,10,3,0,1,0,0,1,0,0,1,0,0,1,0,749
UM AUTOCENTER GMBH,2,Small_buyer,1,7,6,0,1,0,0,0,1,0.5,0.5,0,0,0,1,1216
PEDRO PAREJO BANDA,1,Small_buyer,1,10,5,0,0,1,0,1,0,0,1,0,0,0,1,680
JESUS MARTINEZ CRUCIS,1,Small_buyer,1,10,3,0,1,0,0,1,0,0,1,0,0,1,0,1310
Autohaus Kapust GmbH,27,Medium_buyer,6,6,10,0.777777778,0.222222222,0,0,0.222222222,0.777777778,1,0,0,0,0.148148148,0.851851852,1220.259259
NOWIF 2015 SL,3,Small_buyer,2,9,7,0.666666667,0.333333333,0,0,0,1,1,0,0,0,0,1,733
ALFA MED SRL,3,Small_buyer,2,9,3,1,0,0,1,0,0,0,0,1,1,0,0,337
ABDELKARIM ZAAROURI BOUAGAD,1,Small_buyer,1,7,2,0,1,0,1,0,0,0,0,1,1,0,0,904
AUTO MELODIE,1,Small_buyer,1,7,4,0,0,1,0,1,0,0,1,0,0,0,1,366
Sa-Sa Racing Car Kereskedelmi Korlátolt Felelősségű Társaság,19,Medium_buyer,5,3,6,0.789473684,0.210526316,0,0.421052632,0.578947368,0,0,0.315789474,0.684210526,1,0,0,496.3684211
AUTO XXL DI NICOLAE,3,Small_buyer,2,10,4,1,0,0,0,1,0,0,0,1,0,1,0,642
PK Automobile GmbH,2,Small_buyer,1,10,4,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,1,0,619.5
Milad Automobile,1,Small_buyer,1,10,4,0,1,0,0,1,0,0,1,0,0,0,1,993
Hermann Krachler,1,Small_buyer,1,10,4,1,0,0,0,1,0,0,1,0,0,0,1,881
BIRINÉ CSEH BERNADETT E.V,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,1,0,1,0,0,398
FLAVIA SAMPAIO,1,Small_buyer,1,4,3,1,0,0,0,1,0,0,0,1,0,1,0,808
"Automarkt Roth, Inh. Yagmur Köylüoglu",1,Small_buyer,1,10,4,0,1,0,0,1,0,0,1,0,0,0,1,169
"Autohaus Moray, Inh. Murat Moray",17,Medium_buyer,5,3,10,0.411764706,0.588235294,0,0.058823529,0.529411765,0.411764706,0.352941176,0.647058824,0,0.058823529,0.294117647,0.647058824,939.2352941
MAZURSKA GRUPA KAPITAŁOWA SP Z O.O.,1,Small_buyer,1,10,1,1,0,0,1,0,0,0,1,0,1,0,0,194
Andor Pirntke,1,Small_buyer,1,3,3,1,0,0,1,0,0,0,0,1,0,1,0,768
TRADING MOTORS,1,Small_buyer,1,9,3,0,1,0,0,1,0,1,0,0,0,1,0,1312
BORA AAB SH.P.K,2,Small_buyer,1,8,3,1,0,0,0,0.5,0.5,0,0,1,0.5,0.5,0,300.5
MOON DRIVE d.o.o.,1,Small_buyer,1,5,2,1,0,0,0,1,0,0,1,0,1,0,0,347
Autohaus Voigt GmbH,4,Small_buyer,2,9,7,0.5,0.5,0,0,0.25,0.75,1,0,0,0,0.25,0.75,960.5
Autoparadies Lübeck GmbH,1,Small_buyer,1,10,2,1,0,0,1,0,0,0,0,1,1,0,0,392
B. u. F. Follmann Automobile GbR,15,Medium_buyer,5,6,7,1,0,0,0.2,0.8,0,0.6,0.4,0,1,0,0,609.2666667
VICENTE SOTO AUTOMOCION SL,3,Small_buyer,2,6,6,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,0,1,0,0,0.333333333,0.666666667,-843.3333333
JORGE FERNANDO PEREIRA UNIPESSOAL LDA,3,Small_buyer,2,9,5,0.666666667,0.333333333,0,0,1,0,0,1,0,0,1,0,1042.666667
Auto Zagato V.O.F.,1,Small_buyer,1,10,3,0,1,0,0,1,0,1,0,0,0,1,0,910
NOKAS PIPAS AUTOMOVEIS LDA,1,Small_buyer,1,7,4,1,0,0,0,0,1,1,0,0,0,0,1,0
Car’s & Co,1,Small_buyer,1,9,2,1,0,0,0,1,0,1,0,0,1,0,0,451
AUTO PARTNER Maciej Guc,14,Small_buyer,4,3,4,0.928571429,0.071428571,0,0.642857143,0.357142857,0,0,0.714285714,0.285714286,1,0,0,291.2142857
TRIMUS Mateusz Będzieszak,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,1,0,1,0,0,524
"Franck, Guy",3,Small_buyer,2,3,4,1,0,0,0,1,0,0.333333333,0.666666667,0,0,1,0,649
Arabservice,1,Small_buyer,1,10,2,1,0,0,1,0,0,0,1,0,1,0,0,240
MASCIOLI TIZIANO,1,Small_buyer,1,7,2,1,0,0,1,0,0,0,1,0,1,0,0,253
Gebrauchtwagenhaus Wittlich OHG,1,Small_buyer,1,10,5,1,0,0,0,0,1,1,0,0,0,0,1,1157
A.D.R. MOTORSPORT S.A.S. DI A. DAZZAN & C.,2,Small_buyer,1,9,9,0,0,1,0.5,0,0.5,0.5,0.5,0,0,0,1,2333.5
JIM AUTO D.O.O.,4,Small_buyer,2,7,4,1,0,0,0,1,0,0.25,0.75,0,0.75,0.25,0,690.5
CASA,1,Small_buyer,1,10,1,1,0,0,1,0,0,1,0,0,1,0,0,96
TR Premium Cars,1,Small_buyer,1,8,6,0,0,1,0,0,1,1,0,0,0,0,1,-7939
AUTODIAG 19,1,Small_buyer,1,10,4,0,0,1,0,1,0,0,1,0,0,0,1,505
"KellmerCars, Inh. Philip Kellmer",2,Small_buyer,1,9,4,1,0,0,0,1,0,0.5,0.5,0,0.5,0.5,0,919.5
GROUPE GUEUDET - AUTOMOBILE DE L’ALLIANCE - ST QUENTIN - NISSAN,25,Medium_buyer,6,3,11,0.24,0.44,0.32,0,0.32,0.68,0.88,0.12,0,0,0,1,965.52
Merz + Renz GmbH + Co. KG,11,Small_buyer,4,9,10,0.181818182,0.818181818,0,0,0,1,1,0,0,0,0,1,1165.727273
"KFZ-Nibler, Inh. Michael Nibler",1,Small_buyer,1,10,3,0,1,0,1,0,0,0,0,1,0,1,0,298
AutoArenA-Star GmbH,1,Small_buyer,1,5,4,0,1,0,0,0,1,0,0,1,0,0,1,1823
BOGAR AUTOMOBILE,26,Medium_buyer,6,4,10,0.538461538,0.461538462,0,0.038461538,0.269230769,0.692307692,0.307692308,0.461538462,0.230769231,0.115384615,0.076923077,0.807692308,579.7692308
Tomáš Tetiva,1,Small_buyer,1,10,2,1,0,0,1,0,0,0,0,1,1,0,0,897
DIEGO PASCUAL ESPINA MUÑOZ,6,Small_buyer,3,9,7,1,0,0,0,1,0,0.333333333,0.666666667,0,0,0.666666667,0.333333333,663.3333333
Vladimír Nedvěd,3,Small_buyer,2,10,4,0.666666667,0.333333333,0,0,1,0,0,0.333333333,0.666666667,0,1,0,1012.666667
KMGLASS,1,Small_buyer,1,10,4,0,0,1,0,1,0,0,0,1,0,0,1,1065
*Be Happy* Bogdan Ryfka,3,Small_buyer,2,9,3,1,0,0,0,1,0,0,0.666666667,0.333333333,1,0,0,625
RX3 DYNAMI SL,3,Small_buyer,2,5,4,1,0,0,0,0,1,0.666666667,0.333333333,0,0,1,0,691
KOVÁCSNÉ CSUR JUDIT E.V.,9,Small_buyer,3,3,4,1,0,0,0.444444444,0.555555556,0,0,0.888888889,0.111111111,1,0,0,431.8888889
RX Mobil Kft.,27,Medium_buyer,6,5,8,0.185185185,0.777777778,0.037037037,0.37037037,0.62962963,0,0,0.666666667,0.333333333,0.814814815,0.148148148,0.037037037,366.2222222
Autohaus Schmitt GmbH,4,Small_buyer,2,7,7,1,0,0,0,0.75,0.25,1,0,0,0,0.25,0.75,957.25
MARBONSAI SRL,4,Small_buyer,2,9,4,1,0,0,0,1,0,0,1,0,1,0,0,447.75
