company,cars_bought,type_buyer,frequency,recency,monetary,share_low_hp,share_medium_hp,share_high_hp,share_old_,share_m_age,share_recent_,share_low_mileage,share_medium_mileage,share_high_mileage,share_less_5k,share_5k_10k_,share_over_10k_,profit_per_car
MNR Consulting Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,4,Small_buyer,2,3,5,0,1,0,0.25,0.75,0,0,0.75,0.25,0.25,0.75,0,567
STERGIOU KONSTANTINOS EVAGGELOS,4,Small_buyer,2,6,5,1,0,0,0,0.75,0.25,0.75,0.25,0,0,1,0,878.25
AUTO DISCOUNT 38,1,Small_buyer,1,4,4,1,0,0,0,0,1,1,0,0,0,0,1,499
"Żuk Piotr, - PHU""SMART""",6,Small_buyer,3,7,5,0.833333333,0.166666667,0,0.333333333,0.666666667,0,0,0.166666667,0.833333333,0.666666667,0.333333333,0,589.6666667
AUTOSTILE S.R.L.,3,Small_buyer,2,9,6,1,0,0,0,0.333333333,0.666666667,0.333333333,0.666666667,0,0,0.333333333,0.666666667,1233.333333
AUTO CZERY Malwina Czeredys,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,0,1,1,0,0,545
JNL IDEAL AUTO S.R.L.,1,Small_buyer,1,9,2,0,1,0,0,1,0,0,0,1,1,0,0,1473
SAS EBV Motors,37,Medium_buyer,7,5,12,0.081081081,0.378378378,0.540540541,0,0.540540541,0.459459459,0.72972973,0.27027027,0,0,0,1,1733.918919
CAR LAND PLUS SRL,2,Small_buyer,1,7,6,0,1,0,0,0,1,1,0,0,0,0,1,200
EDYMAR EUROSPEED SRL,7,Small_buyer,3,7,6,0.714285714,0.285714286,0,0,1,0,0,0.142857143,0.857142857,0.285714286,0.714285714,0,401.2857143
AUTO BILLON ETERORRYTHMI ETAIREIA||AUTO BILLON EE,12,Small_buyer,4,3,7,1,0,0,0,1,0,0,1,0,0.333333333,0.666666667,0,586.0833333
Igor Car Hungary Korlátolt Felelősségű Társaság,7,Small_buyer,3,6,4,0.285714286,0.428571429,0.285714286,0.714285714,0.285714286,0,0.142857143,0.571428571,0.285714286,1,0,0,38.57142857
F.H.U. MOTO-GARDINERY ART. MICHAŁ ZADYLAK,1,Small_buyer,1,9,1,1,0,0,1,0,0,0,0,1,1,0,0,-44
Etelä-Pohjanmaan Osuuskauppa,12,Small_buyer,4,9,11,0.083333333,0.25,0.666666667,0,0,1,1,0,0,0,0,1,2055.75
Martin Mejstřík,7,Small_buyer,3,7,6,0.142857143,0.571428571,0.285714286,0.428571429,0.428571429,0.142857143,0,0.142857143,0.857142857,0.714285714,0.142857143,0.142857143,504.4285714
"NORD CARS, Inh. Kamer Turanli",3,Small_buyer,2,8,5,1,0,0,0,0.666666667,0.333333333,1,0,0,0,1,0,464.6666667
AUTO Češnovice s.r.o.,3,Small_buyer,2,10,4,1,0,0,0,1,0,0,1,0,1,0,0,348.3333333
Gürsu Özfidan,1,Small_buyer,1,9,1,0,1,0,1,0,0,0,1,0,1,0,0,0
Bjarne Nielsen A/S - Herning,2,Small_buyer,1,10,9,0,0,1,0,0,1,1,0,0,0,0,1,1815.5
KAMU s.r.o.,1,Small_buyer,1,10,3,1,0,0,0,0,1,0,1,0,0,1,0,799
AUTO-POMPA J.D.O.O.,1,Small_buyer,1,8,2,1,0,0,0,1,0,0,1,0,1,0,0,911
4GT EWA TUROWSKA,3,Small_buyer,2,8,5,0,1,0,0,1,0,0,1,0,0.333333333,0.333333333,0.333333333,340
"PAPKO Plzeň, spol. s r. o.",1,Small_buyer,1,10,1,0,1,0,1,0,0,0,0,1,1,0,0,300
TOP CAR DI COLAZZILLI PAOLA,7,Small_buyer,3,4,8,0.714285714,0.285714286,0,0,0.714285714,0.285714286,0.428571429,0.571428571,0,0.142857143,0.142857143,0.714285714,507.2857143
FHU GOMA Maciej Stankowski,39,Medium_buyer,7,4,9,0.923076923,0.076923077,0,0.333333333,0.666666667,0,0,0.435897436,0.564102564,0.846153846,0.153846154,0,395.4615385
"CLK AUTOMOBILE, Inh. Abdurrahman Colak",38,Medium_buyer,7,1,5,1,0,0,1,0,0,0.052631579,0.605263158,0.342105263,1,0,0,199.5526316
RUMEN-77  EOOD,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,1,0,1,0,0,593
"SKC Soulutions, Inh. Sebastian Kreßner",1,Small_buyer,1,8,4,1,0,0,0,0,1,0,1,0,0,0,1,1016
SUCESSO PRINCIPAL LDA,1,Small_buyer,1,9,3,1,0,0,0,0,1,1,0,0,0,1,0,995
"Autoservice Titz, Inh. Eduard Titz",3,Small_buyer,2,9,2,1,0,0,1,0,0,0,1,0,1,0,0,172.3333333
BOXCONTAINER Sp. z o.o.,1,Small_buyer,1,10,2,0,1,0,1,0,0,0,0,1,1,0,0,364
AUTO-TIM Paweł Pawelec,3,Small_buyer,2,10,4,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,1,0,0,-1092.666667
Procarservice,5,Small_buyer,3,4,5,1,0,0,0,1,0,0.4,0.6,0,0.8,0.2,0,578
ZELARO KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,Small_buyer,1,8,3,1,0,0,0,1,0,0,0,1,0,1,0,340
ADCAR Adrian Izak,1,Small_buyer,1,10,2,0,1,0,1,0,0,0,1,0,1,0,0,448
VARABIEV MOTORS S.R.L.,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,0,1,1,0,0,764
Emil Szmajda,2,Small_buyer,1,7,4,1,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,331
"Autoholding, Inh. Lütfiye Kiremit",3,Small_buyer,2,3,3,1,0,0,0.333333333,0.666666667,0,0,0.666666667,0.333333333,1,0,0,343.6666667
"Fame Car, Inh. Fatih Bulut",9,Small_buyer,3,8,4,1,0,0,0.555555556,0.444444444,0,0.333333333,0.666666667,0,1,0,0,177.6666667
HOFAUTO SIA,3,Small_buyer,2,10,5,0,0.333333333,0.666666667,0,1,0,0,0,1,0,0.666666667,0.333333333,1516.666667
"BURDA PIOTR SKLEP DLA PLASTYKÓW ""MATEJKO""",4,Small_buyer,2,3,6,0.75,0.25,0,0.25,0.5,0.25,0.75,0.25,0,0.5,0.25,0.25,405.25
JESUS ANGEL GIL LOMBARDERO,1,Small_buyer,1,10,5,0,1,0,0,0,1,1,0,0,0,0,1,1626
GOOD DEAL AUTO,1,Small_buyer,1,10,3,1,0,0,1,0,0,1,0,0,0,1,0,1246
"Route 25, Inh. Yasin Erhan",3,Small_buyer,2,8,2,1,0,0,0.666666667,0.333333333,0,0,1,0,1,0,0,366.3333333
INKATEX INVERSIONES SL,2,Small_buyer,1,10,7,0,0,1,0,0,1,0,1,0,0,0,1,553.5
JONKMAN BEDRIJFSWAGENS BV,1,Small_buyer,1,10,3,1,0,0,0,1,0,1,0,0,0,1,0,295
"Khan-Automobile, Inh. Ziad Ali-Khan",6,Small_buyer,3,8,6,0.666666667,0.166666667,0.166666667,0.333333333,0.5,0.166666667,0,1,0,0.666666667,0,0.333333333,-403
AUTOMOTION DG d.o.o.,2,Small_buyer,1,9,5,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,1,-1646
DI MAIO MARIASOLE,1,Small_buyer,1,10,2,1,0,0,0,1,0,0,1,0,1,0,0,476
FINDCAR S.R.L.,9,Small_buyer,3,4,9,0.111111111,0.444444444,0.444444444,0.222222222,0.222222222,0.555555556,0.777777778,0.222222222,0,0,0,1,623
MOBILCAR EOOD,1,Small_buyer,1,9,4,0,1,0,0,0,1,1,0,0,0,0,1,456
KERLINE-CAR KERESKEDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,10,Small_buyer,4,9,6,1,0,0,0.1,0.8,0.1,0.1,0.7,0.2,0.8,0.1,0.1,627.1
AUTA SZCZYTNO-MAZURSKA PUSZCZA ŁUKASZ ZIELIŃSKI,1,Small_buyer,1,4,2,1,0,0,1,0,0,0,0,1,1,0,0,274
Kocsi-Csemege KFT,9,Small_buyer,3,6,6,0.777777778,0.222222222,0,0.333333333,0.666666667,0,0,0.111111111,0.888888889,0.666666667,0.333333333,0,210.6666667
"FIRMA ""WAT"" TOMASZ MATUSCZYK",22,Medium_buyer,6,2,7,0.954545455,0.045454545,0,0.363636364,0.636363636,0,0,0.681818182,0.318181818,0.909090909,0.090909091,0,324.4545455
K-mobil Inh. Tobias Kuttig,6,Small_buyer,3,3,7,1,0,0,0,0.5,0.5,0.666666667,0.333333333,0,0,0.333333333,0.666666667,657.1666667
BELO FRAZÃO MOTORS LDA,2,Small_buyer,1,1,6,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1,1050
AUTOMOVILES MERINO SL,1,Small_buyer,1,10,4,1,0,0,0,1,0,0,1,0,0,0,1,1167
VITOS-CARS ROBERT WITOS,1,Small_buyer,1,10,1,1,0,0,1,0,0,0,0,1,1,0,0,171
SORCAR SOC OFICINAS E REPRESENTACOES AUTOMOVEIS LDA,1,Small_buyer,1,9,2,1,0,0,0,1,0,0,1,0,1,0,0,310
Torpedo Garage Südwest GmbH,1,Small_buyer,1,10,5,0,0,1,0,0,1,1,0,0,0,0,1,824
"Kunz Automobile, Inh. Roman Kunz",2,Small_buyer,1,10,3,1,0,0,0,1,0,0.5,0.5,0,1,0,0,379.5
Autohaus Falter GmbH,17,Medium_buyer,5,9,11,0.058823529,0.588235294,0.352941176,0,0,1,1,0,0,0,0,1,1208.647059
TIRIAC AUTO SRL BUCURESTI - PUNCT DE LUCRU BRASOV,6,Small_buyer,3,8,9,0.5,0.333333333,0.166666667,0,0.333333333,0.666666667,0.5,0.333333333,0.166666667,0,0.166666667,0.833333333,401.6666667
Boom occasion center BV,5,Small_buyer,3,2,9,0.6,0.2,0.2,0,0,1,0.6,0.4,0,0,0,1,1277.4
OEIRASCAR OCRS LDA,6,Small_buyer,3,9,5,1,0,0,0,1,0,0.333333333,0.666666667,0,0.666666667,0.333333333,0,432.5
GROUPE GUEUDET - SAGAS - SENLIS - NISSAN,5,Small_buyer,3,8,9,0.4,0.4,0.2,0,0.2,0.8,1,0,0,0,0.2,0.8,969
CLEANING COMPANY SERVICE,1,Small_buyer,1,9,2,0,1,0,0,1,0,0,0,1,1,0,0,614
"Goldreichautomobile, Inh. Michael Fecken",3,Small_buyer,2,1,4,0.666666667,0.333333333,0,0.666666667,0,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0,0.333333333,577
AURES Holdings a.s.,149,Top_buyer,9,4,12,0.644295302,0.355704698,0,0.013422819,0.838926174,0.147651007,0.053691275,0.637583893,0.308724832,0.060402685,0.55704698,0.382550336,865.9328859
G & A Motors bvba,2,Small_buyer,1,9,5,1,0,0,0,0,1,1,0,0,0,0,1,1509
"Autohaus Gebhard, Inh.  Bernd Gebhard",7,Small_buyer,3,3,5,0.857142857,0.142857143,0,0.714285714,0.285714286,0,0.142857143,0.428571429,0.428571429,0.571428571,0.428571429,0,-205.1428571
GROCHOWSKI HENRYK FORNIX,1,Small_buyer,1,10,2,0,1,0,0,1,0,0,0,1,1,0,0,596
Autobedrijf van der Putten,1,Small_buyer,1,7,5,1,0,0,0,0,1,1,0,0,0,0,1,724
Weidendorfer Automobile GmbH,2,Small_buyer,1,9,6,0.5,0.5,0,0,0,1,1,0,0,0,0,1,-250
MJC - AUTOMÓVEIS LDA,1,Small_buyer,1,10,2,1,0,0,1,0,0,0,1,0,1,0,0,512
