dates,cars_sold_de,cars_online_de,avg_buyprice_de,bookmarks_de,opportunity_de
2021-06-16,25,1332,15611,435,320
2021-06-17,26,1365,15558,388,267
2021-06-18,23,1394,15650,487,262
2021-06-19,17,1366,15703,843,282
2021-06-20,7,1345,15732,623,226
2021-06-21,29,1341,15667,714,338
2021-06-22,36,1345,15820,528,305
2021-06-23,27,1355,15897,552,287
2021-06-24,24,1397,15894,533,316
2021-06-25,26,1444,15878,633,307
2021-06-26,20,1422,15955,592,237
2021-06-27,6,1396,15910,678,248
2021-06-28,30,1422,15908,686,339
2021-06-29,31,1435,16038,794,337
2021-06-30,24,1439,16114,585,342
2021-07-01,33,1436,16184,677,344
2021-07-02,33,1461,16252,622,302
2021-07-03,18,1445,16258,487,246
2021-07-04,6,1427,16250,661,226
2021-07-05,36,1433,16325,551,368
2021-07-06,30,1422,16424,677,334
2021-07-07,32,1420,16518,570,297
2021-07-08,25,1394,16438,574,294
2021-07-09,26,1409,16515,442,320
2021-07-10,16,1379,16514,548,248
2021-07-11,11,1362,16562,630,221
2021-07-12,31,1347,16633,597,320
2021-07-13,35,1330,16690,574,265
2021-07-14,36,1326,16705,792,353
2021-07-15,31,1318,16666,517,290
2021-07-16,31,1343,16585,555,274
2021-07-17,22,1319,16646,726,263
2021-07-18,11,1297,16698,735,250
2021-07-19,30,1289,16758,607,309
2021-07-20,34,1280,16732,581,303
2021-07-21,27,1316,16632,475,290
2021-07-22,30,1339,16721,779,292
2021-07-23,25,1372,16691,716,267
2021-07-24,21,1363,16728,540,248
2021-07-25,11,1338,16784,871,274
2021-07-26,27,1333,16869,785,345
2021-07-27,24,1327,16933,687,336
2021-07-28,31,1327,16949,696,332
2021-07-29,23,1336,16959,700,286
2021-07-30,33,1369,16980,542,276
2021-07-31,19,1353,17083,816,242
2021-08-01,11,1332,17105,776,253
2021-08-02,29,1315,17083,832,343
2021-08-03,39,1319,17182,722,326
2021-08-04,38,1367,17190,726,343
2021-08-05,30,1385,17146,807,309
2021-08-06,32,1393,17226,705,316
2021-08-07,28,1360,17352,835,284
2021-08-08,11,1337,17345,997,269
2021-08-09,32,1332,17374,680,333
2021-08-10,35,1330,17481,956,296
2021-08-11,32,1337,17550,566,244
2021-08-12,22,1545,17117,736,284
2021-08-13,30,1567,17130,507,311
2021-08-14,30,1546,17169,618,298
2021-08-15,11,1523,17212,905,263
2021-08-16,39,1503,17292,896,398
2021-08-17,33,1512,17429,774,345
2021-08-18,29,1521,17428,960,347
2021-08-19,23,1553,17378,757,335
2021-08-20,28,1629,17443,722,321
2021-08-21,14,1636,17468,702,267
2021-08-22,17,1622,17471,923,293
2021-08-23,38,1635,17562,845,344
2021-08-24,32,1659,17556,829,370
2021-08-25,27,1692,17686,578,339
2021-08-26,41,1704,17775,1014,318
2021-08-27,29,1730,17712,846,344
2021-08-28,18,1729,17776,570,287
2021-08-29,5,1721,17790,1096,289
2021-08-30,39,1722,17721,812,377
2021-08-31,36,1746,17704,791,357
2021-09-01,39,1760,17755,695,336
2021-09-02,26,1796,17588,671,333
2021-09-03,38,1811,17498,609,358
2021-09-04,19,1785,17539,674,272
2021-09-05,15,1763,17572,820,254
2021-09-06,46,1799,17555,776,356
2021-09-07,47,1903,17686,951,433
2021-09-08,37,1945,17721,737,369
2021-09-09,40,2011,17450,833,402
2021-09-10,53,2110,17488,906,389
2021-09-11,29,2080,17537,981,354
2021-09-12,12,2054,17550,1023,295
2021-09-13,53,2056,17554,804,426
2021-09-14,38,2034,17596,790,420
2021-09-15,36,2059,17602,1087,398
2021-09-16,37,2112,17550,778,431
2021-09-17,47,2170,17482,830,422
2021-09-18,31,2143,17563,824,351
2021-09-19,15,2114,17603,932,323
2021-09-20,51,2127,17570,1023,473
2021-09-21,40,2167,17492,909,491
2021-09-22,42,2195,17557,902,429
2021-09-23,36,2217,17557,821,424
2021-09-24,47,2257,17532,777,424
2021-09-25,31,2233,17520,917,378
2021-09-26,21,2202,17563,1027,362
2021-09-27,40,2210,17549,834,442
2021-09-28,51,2246,17547,1071,474
2021-09-29,41,2287,17500,1004,482
2021-09-30,36,2301,17479,722,529
2021-10-01,37,2336,17459,870,485
2021-10-02,34,2289,17516,704,450
2021-10-03,31,2240,17614,1183,366
2021-10-04,46,2282,17649,766,497
2021-10-05,64,2299,17665,1064,554
2021-10-06,47,2332,17760,1134,561
2021-10-07,49,2410,17783,1031,482
2021-10-08,52,2449,17660,1012,513
2021-10-09,40,2402,17626,966,426
2021-10-10,29,2358,17703,1468,381
2021-10-11,58,2382,17727,1235,590
2021-10-12,59,2416,17701,1311,546
2021-10-13,55,2420,17699,1372,550
2021-10-14,75,2436,17733,1197,620
2021-10-15,45,2466,17655,1125,566
2021-10-16,41,2414,17688,1649,488
2021-10-17,21,2378,17707,1582,459
2021-10-18,43,2363,17668,1121,581
2021-10-19,57,2438,17676,1313,586
2021-10-20,56,2588,17753,1322,540
2021-10-21,56,2731,17715,1466,636
2021-10-22,54,2839,17699,1357,619
2021-10-23,47,2793,17737,1378,476
2021-10-24,10,2763,17753,1475,482
2021-10-25,67,2761,17763,1330,644
2021-10-26,63,2763,17747,1694,703
2021-10-27,68,2764,17798,1521,686
2021-10-28,51,2755,17800,1535,649
2021-10-29,60,2748,17784,1423,567
2021-10-30,43,2698,17817,1935,521
2021-10-31,27,2652,17832,1730,489
2021-11-01,65,2658,17903,2209,652
2021-11-02,75,2668,17973,1739,696
2021-11-03,60,2733,17913,1754,669
2021-11-04,65,2774,17920,1533,672
2021-11-05,59,2827,17917,1526,585
2021-11-06,47,2846,17991,1712,517
2021-11-07,28,2800,18018,1771,556
2021-11-08,68,2807,18031,1491,780
2021-11-09,62,2823,18065,1523,657
2021-11-10,70,2838,18013,1245,667
2021-11-11,50,2869,18022,1361,575
2021-11-12,56,2899,17951,1511,615
2021-11-13,53,2871,18025,1912,586
2021-11-14,25,2830,18077,2059,515
2021-11-15,74,2799,18158,1559,655
2021-11-16,65,2795,18198,1759,655
2021-11-17,62,2830,18181,1414,646
2021-11-18,64,2830,18209,1145,625
2021-11-19,46,2871,18241,1536,585
2021-11-20,34,2892,18280,1519,500
2021-11-21,26,2855,18344,1779,509
2021-11-22,67,2881,18403,1915,656
2021-11-23,70,2913,18420,1546,564
2021-11-24,64,2952,18412,1561,624
2021-11-25,56,2984,18386,1834,645
2021-11-26,44,3036,18411,1357,565
2021-11-27,54,3008,18483,1530,488
2021-11-28,21,2974,18533,1696,456
2021-11-29,68,2979,18517,1559,630
2021-11-30,66,3025,18549,1492,594
2021-12-01,48,3031,18560,1410,635
2021-12-02,58,3076,18621,1417,568
2021-12-03,46,3103,18624,1303,568
2021-12-04,40,3105,18668,1837,484
2021-12-05,30,3069,18715,1929,591
2021-12-06,57,3033,18751,1593,682
2021-12-07,59,3032,18771,1856,665
2021-12-08,61,3034,18806,1815,685
2021-12-09,44,3125,18669,2019,612
2021-12-10,60,3158,18639,1486,615
2021-12-11,41,3161,18692,1996,555
2021-12-12,26,3129,18719,1966,519
2021-12-13,64,3063,18798,1606,692
2021-12-14,49,3108,18838,1612,615
2021-12-15,61,3209,18884,1584,594
2021-12-16,58,3242,18914,1450,605
2021-12-17,34,3309,18886,1633,557
2021-12-18,36,3315,18906,1547,513
2021-12-19,20,3306,18953,1878,491
2021-12-20,52,3287,19024,1188,628
2021-12-21,51,3320,18977,1434,576
2021-12-22,33,3394,18960,1621,586
2021-12-23,31,3414,18967,1385,530
2021-12-24,26,3393,18970,1012,400
2021-12-25,13,3374,18990,1693,427
2021-12-26,18,3346,19009,1813,482
2021-12-27,47,3318,19049,1982,740
2021-12-28,62,3354,19095,2158,742
2021-12-29,59,3324,19132,2403,733
2021-12-30,63,3363,19216,1926,718
2021-12-31,24,3333,19202,1360,471
2022-01-01,17,3312,19223,1857,392
