company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
Xhevat Shehaj,1,Small_buyer,1,8,2,105,2005,201892,2050,0,0,100,100,0,0,750
MB MOTO s. r. o.,1,Small_buyer,1,5,2,115,2009,129335,4977,0,0,100,0,100,0,375
COMPOSCAR SC,5,Small_buyer,3,2,7,113,2015,114731,11292,0,20,80,60,40,0,750
AUTO OSKAR KAMILA TOMASIK,3,Small_buyer,2,9,6,158,2016,138561,13014,0,0,100,100,0,0,375
ALEJANDRO ELBAL SEGURA,3,Small_buyer,2,8,5,174,2010,263692,8371,0,33,66,100,0,0,750
AIS Dresden GmbH,3,Small_buyer,2,6,7,108,2018,33111,19875,0,66,33,33,33,33,750
KURMAN VADYM OLEKSANDROVYCH,40,Medium_buyer,7,1,9,109,2009,236980,3246,2,5,92,27,67,5,750
MICHAŁ KONDRATOWICZ,7,Small_buyer,3,1,3,139,2000,238792,966,0,57,42,28,71,0,375
JULIEN FOURNIE (GARAGE FOURNIE),1,Small_buyer,1,10,5,102,2017,87130,25521,0,0,100,100,0,0,750
F.H.U Avant Import-Export,4,Small_buyer,2,7,2,148,2005,174528,1172,0,0,100,25,75,0,-125
Intersari SPRL,5,Small_buyer,3,3,3,138,2005,153060,1970,0,0,100,0,100,0,375
BND UNLIMITED ENGINEERING SL,1,Small_buyer,1,9,4,265,2016,106498,15550,0,0,100,0,100,0,375
Next-level,2,Small_buyer,1,10,2,67,2006,183827,1080,0,0,100,0,100,0,375
SONERS AUTO EOOD,5,Small_buyer,3,5,5,110,2018,38453,6814,0,60,40,0,100,0,375
Vergin Colour Technology UG (haftungsbeschränkt),1,Small_buyer,1,1,3,160,2010,123627,5151,0,0,100,0,100,0,750
"Rheingau Cars, Inh. Hüsnü Tekeli",3,Small_buyer,2,7,9,346,2018,65367,57749,0,100,0,66,0,33,1500
HJM Mulder Auto's,9,Small_buyer,3,7,8,135,2014,84531,10993,0,0,100,0,100,0,750
"Automobile Benzstraße, Inh. Kudret Comak",11,Small_buyer,4,7,6,82,2008,117610,3197,36,18,45,0,100,0,750
GSI SRL,1,Small_buyer,1,6,2,170,2006,163789,2700,0,0,100,0,100,0,750
SPRL V.I.P. SYSTEM,3,Small_buyer,2,10,4,102,2010,104992,4785,0,0,100,0,100,0,125
Petr Bošek,5,Small_buyer,3,6,3,76,2008,232402,1113,0,0,100,0,100,0,375
"Tabak Automobile, Inh. Deniz Tabak",4,Small_buyer,2,7,4,158,2005,220181,3007,0,25,75,50,50,0,125
FASHION CARS ROMA S.R.L.S. A SOCIO UNICO,3,Small_buyer,2,10,5,126,2012,123767,8402,0,0,100,0,100,0,375
MARCIO FREITAS - COMERCIO DE AUTOMOVEIS UNIPESSOAL LDA,3,Small_buyer,2,9,4,124,2011,142126,5956,0,0,100,66,33,0,750
Tomas Varga,2,Small_buyer,1,6,4,185,2013,207575,8350,0,0,100,100,0,0,750
"Auto Frazzetta, Inh. Manuela Frazzetta",1,Small_buyer,1,8,4,140,2015,66753,10700,0,0,100,0,100,0,750
Autobedrijf Bert Hardeman,1,Small_buyer,1,10,5,225,2018,42793,22241,0,100,0,0,0,100,1250
HMBM CARS - COMERCIO AUTOMOVEL UNIPESSOAL LDA,1,Small_buyer,1,10,4,82,2020,13630,13300,0,100,0,0,0,100,375
Auto Lami Group SH.P.K.,1,Small_buyer,1,9,5,150,2020,16916,23140,100,0,0,100,0,0,750
PAWEŁ DUDEK AUTO-PLUS,13,Small_buyer,4,3,7,102,2011,137717,5084,7,23,69,23,76,0,750
MOTOR MECHA SA,1,Small_buyer,1,9,2,95,2010,62746,4090,0,100,0,0,100,0,750
Fuglholt Biler ApS,1,Small_buyer,1,10,7,345,2022,18203,60000,0,100,0,0,0,100,1500
Trust Dearl Motors,4,Small_buyer,2,7,7,164,2016,114537,14844,25,25,50,25,75,0,750
Autohaus Graser GmbH,1,Small_buyer,1,9,5,192,2017,67836,20910,0,100,0,0,100,0,1250
Ernst Dello GmbH & Co. KG - Lübeck,16,Medium_buyer,5,8,10,134,2017,40600,15655,12,62,25,12,87,0,750
""" FL & ET Group "" SH.P.K.",3,Small_buyer,2,3,6,189,2014,218432,14947,100,0,0,100,0,0,1250
"E.R.cars, s.r.o.",1,Small_buyer,1,4,5,239,2019,174768,26307,100,0,0,100,0,0,750
G.O.D. AUTOMOBILE SRL,4,Small_buyer,2,10,4,135,2011,197444,4195,0,0,100,0,100,0,375
GARAGE DE LA MAIRIE,3,Small_buyer,2,8,4,109,2011,92726,4239,0,0,100,33,66,0,750
DE CABRIOHOEVE V.O.F.,2,Small_buyer,1,9,5,160,2013,68908,15225,0,0,100,0,100,0,1250
LKW Thewalt GbR,4,Small_buyer,2,1,5,147,2010,293765,5997,0,0,100,100,0,0,750
"Hafner Automobile, Inh. Gennadij Hafner",27,Medium_buyer,6,7,3,101,1998,236093,366,0,3,96,3,96,0,125
Autobedrijf MMK Tilburg,4,Small_buyer,2,5,5,102,2013,114879,7166,0,0,100,0,100,0,1250
"Carès, James Dryepondt",2,Small_buyer,1,8,7,190,2019,68077,34536,0,100,0,0,0,100,1500
"Kfz-Service Heilig, Inh. Timo Heilig",2,Small_buyer,1,8,2,250,2006,250695,1707,50,0,50,0,100,0,-375
Viktor Dušek,44,Medium_buyer,7,1,10,115,2012,154350,7124,11,2,86,59,40,0,750
VAG-Specialist,2,Small_buyer,1,7,6,116,2017,44746,18329,50,50,0,0,50,50,1250
Pavel Malina,7,Small_buyer,3,5,5,137,2008,195673,4337,14,14,71,57,42,0,375
"Kfz-Handel Uttich, Inh. Thorsten Uttich",44,Medium_buyer,7,3,9,94,2007,51006,4707,0,11,88,0,100,0,750
Autosalon ''Maan'' Kurtović j.d.o.o.,1,Small_buyer,1,8,5,163,2016,177412,25994,0,100,0,100,0,0,750
Auto Verheij,1,Small_buyer,1,9,6,252,2021,64858,42377,0,100,0,0,100,0,750
"OZ Automobile, Inh. Mehmet Osanmaz",13,Small_buyer,4,5,7,111,2008,155917,5239,0,7,92,100,0,0,750
VILAND 07 LTD,6,Small_buyer,3,5,6,256,2009,328734,8081,0,100,0,83,16,0,750
AUTOSERENA OCASION DE CASTUERA SL,3,Small_buyer,2,10,4,136,2010,148216,5275,0,0,100,66,33,0,750
Vihdin Autotalo Oy,2,Small_buyer,1,10,7,188,2021,20824,28605,0,100,0,0,0,100,750
Procar Daniel Konarski,4,Small_buyer,2,8,4,136,2011,146418,4799,0,25,75,75,25,0,750
