company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
Matthias Buchwald e.U.,1,Small_buyer,1,7,6,400,2019,71683,41575,100,0,0,0,100,0,1500
"Auto Jung, Inh. Tarek Khirdja",1,Small_buyer,1,7,4,95,2020,25147,13200,0,100,0,0,0,100,375
Atlantis Automobile e.K.,9,Small_buyer,3,1,9,177,2014,102743,17907,22,55,22,77,22,0,125
"Auto Quick Kfz-Service An- und Verkauf von Gebrauchtwagen, Inh. Giuseppe Nicoletti",1,Small_buyer,1,10,2,145,2007,121056,3530,0,0,100,0,100,0,375
Zeisberg Corse GmbH,1,Small_buyer,1,6,5,163,2020,58522,26490,0,0,100,100,0,0,125
"H&A - Automobile, Inh. Kamerran Anur Hassan",1,Small_buyer,1,10,2,80,2007,130465,2600,100,0,0,0,100,0,375
PERFEKT AUTO Bartłomiej Pyszyński,9,Small_buyer,3,5,5,147,2000,217118,3291,0,55,44,44,55,0,375
"Carport, Inh. Aihan Seladin",1,Small_buyer,1,7,3,205,2013,339650,7600,0,100,0,100,0,0,125
Autoservice Strohmenger GmbH,1,Small_buyer,1,10,4,150,2017,98468,16753,100,0,0,100,0,0,375
Car-Praxis Kft.,34,Medium_buyer,7,2,7,103,2008,201500,2136,0,0,100,17,82,0,375
KODY AUTO s. r. o.,2,Small_buyer,1,7,2,94,2006,147776,2211,0,50,50,0,100,0,750
HRYN VADYM,3,Small_buyer,2,6,4,109,2004,284589,4176,33,0,66,66,33,0,125
AUTO-RANDULA s.r.o.,28,Medium_buyer,6,1,9,104,2010,136079,4693,7,0,92,10,89,0,375
EPIC AUTO S.R.L.,2,Small_buyer,1,6,6,245,2017,95907,20112,100,0,0,50,50,0,750
EURL IPTRANS AUTO,31,Medium_buyer,7,2,9,94,2012,87146,7099,0,22,77,0,77,22,750
"Sendel e.K., Inh. Marco Sendel",4,Small_buyer,2,8,5,97,2014,105791,6089,0,0,100,0,100,0,125
JAVIER DELGADO GOMEZ,1,Small_buyer,1,6,4,185,2016,155104,13371,0,0,100,100,0,0,1250
"GMC Kfz, Inh. Crina-Valentina Minascurta",1,Small_buyer,1,9,1,58,2000,195832,303,0,0,100,0,100,0,125
LAZZARINI AUTOMOBILI S.N.C. DI CLAUDIO E MASSIMO LAZZARINI,1,Small_buyer,1,6,3,90,2015,22014,8548,0,0,100,100,0,0,750
"Autohof Kirchlengern, Inh. Dennis Demuth",21,Medium_buyer,6,9,7,141,2006,156423,2686,4,52,42,14,85,0,125
"P.H.U. ""KAR"" Wojciechowski Karol",2,Small_buyer,1,10,3,135,2012,177209,4578,50,0,50,100,0,0,750
BEHOME ESTUDIO SL,2,Small_buyer,1,9,5,135,2015,74576,11441,50,50,0,100,0,0,750
JOSE LUIS MOLINA MOLINA,3,Small_buyer,2,9,5,114,2013,192281,8028,33,0,66,100,0,0,375
Viktor Parvicki,3,Small_buyer,2,8,3,143,2007,289416,2316,0,33,66,66,33,0,750
Kragt auto's,5,Small_buyer,3,5,5,136,2013,114704,6121,0,0,100,0,100,0,750
"Karosserie und Lackinstandsetzung Thomas Ruf, Inh. Thomas Ruf",5,Small_buyer,3,8,7,133,2017,72327,12254,0,20,80,40,60,0,-750
Till-Autó Autókereskedelmi Kft.,23,Medium_buyer,6,5,8,102,2010,135216,4326,0,0,100,8,91,0,750
AUTÓ BAGI Kft.,1,Small_buyer,1,10,2,120,2008,127491,2570,0,0,100,0,100,0,750
MARO Auto's,2,Small_buyer,1,10,2,70,2012,117071,2306,0,0,100,0,100,0,375
"Yildiz Automobile, Inh. Ferhat Yildiz",8,Small_buyer,3,6,4,115,2006,160765,2083,0,0,100,0,100,0,375
Adi Automobile,1,Small_buyer,1,10,4,150,2015,109110,13335,0,0,100,0,100,0,750
Direct Auto Kopen B.V.,2,Small_buyer,1,9,5,170,2017,74608,15784,100,0,0,0,100,0,1250
S.A.R.L N.A PRESTIGE,2,Small_buyer,1,7,4,178,2010,199551,5016,50,50,0,50,50,0,375
Autohaus Alt GmbH,1,Small_buyer,1,8,4,120,2021,2550,18866,100,0,0,0,100,0,1250
PORVOO CONSULTING OY,1,Small_buyer,1,2,4,210,2014,129426,11550,100,0,0,0,100,0,125
SAS AUVERGNE CENTRAL AUTO,3,Small_buyer,2,8,9,305,2015,41739,46616,100,0,0,0,100,0,1500
Auto Barendrecht,10,Small_buyer,4,9,8,61,2015,62810,8219,0,100,0,0,0,100,750
CAR-pe Diem    Inh. Andrea Klotz,6,Small_buyer,3,3,7,113,2014,88042,8632,0,16,83,33,66,0,750
PEDRO TIAGO SANTOS MENDES,4,Small_buyer,2,7,4,81,2008,88148,4195,0,50,50,0,100,0,750
Select Automobiles,2,Small_buyer,1,10,3,111,2012,121229,4718,0,0,100,0,100,0,375
GRAND CARS IMPORT S.R.L.,13,Small_buyer,4,4,7,157,2008,242562,3920,0,38,61,69,30,0,375
Autobedrijf Zwijnenberg,1,Small_buyer,1,9,7,320,2021,8052,57065,0,100,0,0,0,100,750
VLASTA-MBK d.o.o.,1,Small_buyer,1,7,2,70,2007,154434,1638,0,0,100,0,100,0,375
BULGARI LTD,2,Small_buyer,1,4,1,101,2005,223368,389,0,0,100,50,50,0,125
GROUPE FABRE - AUTOMOBILE SERVICE 12 - ONET LE CHATEAU - VW SEAT SUZUKI,1,Small_buyer,1,10,5,200,2019,33519,22040,100,0,0,0,100,0,750
"Autohaus Kizil, Inh. Osman Kizil",3,Small_buyer,2,3,6,144,2012,138777,13659,66,33,0,33,66,0,375
Karpiuk Andrii,3,Small_buyer,2,4,3,135,2007,229364,2291,33,0,66,33,66,0,375
"Autohaus Schwarz, Inh. Mark Schwarz",11,Small_buyer,4,7,7,110,2007,76813,5957,0,100,0,9,90,0,750
Allexpo s.r.o.,2,Small_buyer,1,8,3,105,2010,209188,4095,50,0,50,100,0,0,750
MAIETTO MAURO,2,Small_buyer,1,10,2,193,1998,200152,1419,0,50,50,0,100,0,375
HUEXPO TRADE KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,Small_buyer,1,3,4,245,2018,188448,17350,100,0,0,0,100,0,1250
UAB Edauto,2,Small_buyer,1,8,5,165,2014,294209,10966,50,0,50,100,0,0,750
Khmiz Evgeny Individual entrepreneur,5,Small_buyer,3,4,3,109,2009,250624,1764,0,0,100,40,60,0,375
faya auto,1,Small_buyer,1,10,3,100,2017,278129,5091,0,0,100,100,0,0,750
ABIRUT ENERGI MOTOR SRL,1,Small_buyer,1,9,1,60,2008,240900,894,0,0,100,0,100,0,750
"MY Werkstatt, Inh. Mehtap Yatkin",1,Small_buyer,1,3,2,143,2004,247110,1558,0,0,100,0,100,0,375
"MYNEWIDHEA ECOLOGICAL SOLUTIONS, LDA",2,Small_buyer,1,4,5,135,2015,187862,11383,0,0,100,100,0,0,750
OÜ UPA,1,Small_buyer,1,9,2,218,2005,219129,2560,0,0,100,0,100,0,375
Daminas storitve in trgovina d.o.o.,1,Small_buyer,1,4,5,272,2017,132019,22739,100,0,0,100,0,0,1250
SARL A P AUTO,29,Medium_buyer,6,5,11,286,2014,66281,25415,51,24,24,13,86,0,1500
L.C. AUTOMOBILES,15,Medium_buyer,5,6,10,295,2013,80201,32626,46,40,13,46,53,0,1250
AUTONELY IMPORTS S.R.L.,3,Small_buyer,2,7,4,147,2011,272689,6106,33,0,66,100,0,0,375
bianquis automobile,1,Small_buyer,1,10,2,95,2012,101640,4627,0,0,100,0,100,0,1250
"Bozkurt Automobile, Inh. Kamil Bozkurt",18,Medium_buyer,5,1,7,178,2002,180021,3889,0,22,77,5,94,0,750
"Autohandel Schmidt, Inh. Helmuth Schmidt",8,Small_buyer,3,7,7,121,2014,55888,9192,12,25,62,0,100,0,750
Good Life C-AR-T Kft,25,Medium_buyer,6,7,9,120,2013,107284,8032,0,8,92,0,100,0,750
STEMA AUTO LTD,1,Small_buyer,1,6,3,140,2012,411642,5110,0,0,100,100,0,0,750
SŁAWOMIR RUDNICKI RUDMANS,2,Small_buyer,1,4,2,121,2005,199082,2005,0,0,100,50,50,0,750
"Automobile Ingolstadt, Inh. Enver Altunoglu",18,Medium_buyer,5,5,6,128,2004,203849,2241,5,22,72,55,44,0,125
Autoschade Maasdonk B.V.,1,Small_buyer,1,10,3,125,2015,88756,6599,0,0,100,0,100,0,375
ÁD-OSZ Technology Kft.,1,Small_buyer,1,3,3,130,2011,248267,5750,0,0,100,100,0,0,750
DSU ARKADIUSZ KIONA,1,Small_buyer,1,10,3,163,2011,190775,5111,0,100,0,100,0,0,750
WILCZEK Sylwia Wilczyńska,1,Small_buyer,1,7,2,102,2002,151506,1174,0,0,100,0,100,0,375
CAS Cars And Service GmbH & Co. KG,1,Small_buyer,1,7,2,75,2000,0,1250,0,0,100,0,100,0,375
Alessio Aramini,2,Small_buyer,1,7,2,66,2004,77660,817,0,0,100,0,100,0,375
"AM Mobile, Inh. Andre Milde",1,Small_buyer,1,9,2,200,2008,196523,3900,0,0,100,0,100,0,375
Verwaal Mobility,1,Small_buyer,1,7,5,218,2021,15967,31598,100,0,0,0,0,100,1250
"AVTO BINE, prodaja vozil, Albin Ličina, s.p",11,Small_buyer,4,5,8,185,2014,248176,8807,27,36,36,90,9,0,750
"Autohandel Simon Höffer, Inh. Simon Höffer",5,Small_buyer,3,7,3,79,2004,111493,1833,0,0,100,0,100,0,375
"SE Automobile, Inh. Emir Secic",1,Small_buyer,1,5,1,60,1998,143996,280,0,0,100,0,100,0,125
SILVER CAR,11,Small_buyer,4,3,7,109,2008,118646,5695,9,9,81,63,27,9,750
LIVIJA j.d.o.o.,9,Small_buyer,3,4,5,116,2010,181919,3695,0,0,100,100,0,0,750
N KAPLANIS KAI SIA OE,1,Small_buyer,1,10,3,120,2014,110113,6371,0,0,100,0,100,0,750
"Auto Gashi, Inh. Muhamet Gashi",1,Small_buyer,1,10,2,140,2008,132023,2757,0,0,100,0,100,0,125
"Automaxs, Inh. Ulf Hörning",3,Small_buyer,2,7,4,137,2010,208355,5859,0,0,100,66,33,0,750
AUTO ROMAR B.V.,6,Small_buyer,3,3,9,150,2019,32109,21466,16,50,33,0,50,50,750
Miroslav Vojtěch,1,Small_buyer,1,9,3,140,2011,104475,8235,100,0,0,0,100,0,750
Bookholt Automobiel,3,Small_buyer,2,7,7,258,2014,115840,19137,0,100,0,0,66,33,750
Car-Trade Helmut Klein & Rolf Hinnen; KlG,2,Small_buyer,1,7,5,102,2020,12314,16850,0,0,100,0,100,0,375
"Auto Centrum Moegeldorf, Inh. Caranovic Djordje",27,Medium_buyer,6,3,10,130,2018,33577,15990,22,3,74,11,88,0,1250
Werner Dreyer Kraftfahrzeuge GmbH,2,Small_buyer,1,10,7,183,2017,38404,30183,0,100,0,50,0,50,1250
"Campo Automobile, Inh. Manuel Campo",1,Small_buyer,1,10,4,122,2013,64930,12359,100,0,0,0,100,0,750
KAR -AUTO Karol Walkowicz,19,Medium_buyer,5,7,7,164,2007,222433,3652,0,21,78,73,26,0,750
LOWE S.R.L.S.,2,Small_buyer,1,8,3,146,2008,245330,4693,0,50,50,50,50,0,750
"Meßner Automobile, Inh. Swen Meßner",2,Small_buyer,1,6,4,121,2011,109231,7235,0,0,100,50,50,0,-125
DTE INTERACTIV CARS S.R.L.,2,Small_buyer,1,7,3,104,2012,355202,4867,50,0,50,50,0,50,375
DM automobili d.o.o.,7,Small_buyer,3,6,4,111,2010,221516,1716,0,0,100,85,14,0,375
M C AUTOS,7,Small_buyer,3,3,9,313,2009,135328,21098,28,42,28,28,71,0,750
AUTO SMIF 70 SRL,2,Small_buyer,1,6,4,137,2013,199927,6710,50,0,50,50,50,0,375
ALTEX AUTO S.R.L.,13,Small_buyer,4,6,9,110,2016,105715,10547,15,0,84,53,46,0,375
"DANIEL WOLSKI P.P.H.U. ""DAWO""",6,Small_buyer,3,7,5,114,2011,154307,4250,0,0,100,16,83,0,375
KUMA MOTORS S.R.L.S,36,Medium_buyer,7,5,11,157,2014,71134,15067,25,13,61,5,91,2,375
LILIANA MAIA UNIPESSOAL LDA,4,Small_buyer,2,10,5,169,2011,213917,6746,0,75,25,100,0,0,750
Autopark Schmidt GmbH,33,Medium_buyer,7,6,9,123,2011,130117,5754,15,15,69,48,51,0,375
ARON CARS SL,6,Small_buyer,3,8,7,122,2013,122911,8976,0,0,100,100,0,0,750
Karon Consulting Oy,1,Small_buyer,1,10,5,340,2017,114161,26843,0,100,0,0,100,0,750
UAB Ridara,1,Small_buyer,1,7,2,140,2005,229693,1496,0,0,100,0,100,0,375
TECHNIK D.O.O.,1,Small_buyer,1,8,3,140,2012,137396,5500,0,0,100,0,100,0,375
Easyloc SA,1,Small_buyer,1,8,4,125,2018,63069,15426,0,0,100,100,0,0,1500
Zolati Euroauto Kft.,3,Small_buyer,2,8,4,128,2010,177370,4263,0,0,100,0,100,0,750
"Autogalerie Wegener, Inh. Dorian Wegener",9,Small_buyer,3,8,7,203,2006,199007,6492,0,66,33,11,88,0,750
"""BATO TRANS"" LTD",1,Small_buyer,1,10,2,90,2006,368256,1514,0,0,100,100,0,0,750
"Autocenter-Herrenberg, Inh. Timur Mustafa",1,Small_buyer,1,10,2,102,2006,148980,2835,0,0,100,0,100,0,750
ABEL GARCIA GARCIA,3,Small_buyer,2,9,6,181,2014,160833,14816,33,33,33,100,0,0,-750
PÉS ASSENTES NA TERRA LDA,1,Small_buyer,1,9,3,135,2013,191887,8695,0,0,100,100,0,0,750
GO trans s.r.o.,2,Small_buyer,1,8,3,120,2008,127764,4005,0,0,100,0,100,0,750
Auto Edition,3,Small_buyer,2,10,6,92,2016,60721,12100,0,33,66,0,100,0,1250
AFOI PAPACHRISTOU OE,4,Small_buyer,2,6,6,125,2016,135969,9704,0,0,100,75,25,0,750
CLEAN PROG,5,Small_buyer,3,8,7,220,2013,199500,12465,40,60,0,80,20,0,1250
"GP-Autoservice & US-Car Parts, Inh. Gernot Plitt",7,Small_buyer,3,5,6,172,2004,117840,6690,0,42,57,14,85,0,750
AS KAPAC D.O.O.,2,Small_buyer,1,7,5,170,2015,166286,10294,0,50,50,100,0,0,750
Angelo Todaro (@HOME CONSULTING),8,Small_buyer,3,10,9,119,2019,42978,17849,75,12,12,12,87,0,125
SAS GARAGE DES PINS,1,Small_buyer,1,10,5,150,2021,39439,25688,100,0,0,100,0,0,750
Ford Bunse GmbH,2,Small_buyer,1,9,6,190,2010,69454,17507,0,50,50,0,100,0,1250
"Haag-Automobile, Inh. Filomena Pizzuti",1,Small_buyer,1,6,3,120,2017,121353,9782,100,0,0,100,0,0,1250
NDC EXCLUSIV AUTO S.R.L.,3,Small_buyer,2,10,3,125,2011,287142,3218,0,0,100,100,0,0,375
Autozentrum Wolter GmbH,1,Small_buyer,1,7,3,71,2018,27833,9835,0,0,100,0,100,0,750
"Kruck Automobile, Inh. Klaus Kruck",2,Small_buyer,1,7,2,99,2005,141899,1078,0,0,100,0,100,0,375
"An- und Verkauf von gebrauchten KFZ, Inh. Sami Nazzal",2,Small_buyer,1,9,3,132,2006,132698,4972,0,100,0,0,100,0,750
Autohaus Arberg MB GmbH,1,Small_buyer,1,10,2,68,2008,131873,2066,0,0,100,0,100,0,750
JSCars SRL,1,Small_buyer,1,10,4,90,2018,44989,10746,0,0,100,0,100,0,375
NATIONAL STREET CARS,1,Small_buyer,1,10,6,306,2020,11706,44000,0,100,0,0,100,0,1250
ADVF,2,Small_buyer,1,7,5,210,2012,114388,11579,0,50,50,0,100,0,750
Autohaus Sürth GmbH,2,Small_buyer,1,5,5,105,2019,18444,14670,0,0,100,0,100,0,750
seb auto service,1,Small_buyer,1,7,2,192,2002,202714,1947,0,0,100,0,100,0,125
NORD CAR PERFORMANCE S.R.L.,1,Small_buyer,1,10,5,230,2019,78586,28800,0,100,0,100,0,0,750
"A&O CarCenter, Inh. Khadija Mohamed Ibrahim",3,Small_buyer,2,8,2,90,2003,140195,1493,0,0,100,0,100,0,375
GADGEWICO 76 SL,1,Small_buyer,1,1,6,408,2017,80403,36050,0,100,0,0,0,100,1250
"Borchers Automobile, Inh. Andreas Borchers",19,Medium_buyer,5,5,5,164,2003,269502,1832,0,78,21,31,68,0,375
Fahrzeugtechnik Gackstatter GmbH,10,Small_buyer,4,7,9,135,2016,55048,16593,70,0,30,40,60,0,1250
AH Ford Wiemer GmbH,7,Small_buyer,3,9,7,109,2014,105820,7885,0,14,85,0,100,0,750
"Matthias Zech Automobile, Inh. Matthias Zech",1,Small_buyer,1,6,1,125,1995,168256,930,0,100,0,0,100,0,375
m7 Mainautomobil GmbH & Co. KG,10,Small_buyer,4,5,10,378,2015,82339,39008,20,80,0,20,80,0,1250
Autohaus Nouvertné am Wasserturm GmbH & Co. KG,2,Small_buyer,1,9,7,210,2019,27982,37300,50,50,0,50,50,0,1500
MECANE,1,Small_buyer,1,8,7,510,2019,15547,67960,0,100,0,0,100,0,1500
FIRMA HANDLOWO-USŁUGOWA PROCAR JERZY JUREK,3,Small_buyer,2,1,3,78,2009,157771,2053,0,0,100,0,100,0,375
SILVER AUTÓ TRADE Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,Small_buyer,1,10,3,160,2014,138569,7233,0,0,100,100,0,0,750
UM AUTOCENTER GMBH,2,Small_buyer,1,7,6,181,2016,61053,17859,50,50,0,0,100,0,1250
PEDRO PAREJO BANDA,1,Small_buyer,1,10,5,313,2014,167486,20028,0,100,0,100,0,0,750
JESUS MARTINEZ CRUCIS,1,Small_buyer,1,10,3,205,2008,154693,6905,0,0,100,100,0,0,1250
Autohaus Kapust GmbH,27,Medium_buyer,6,6,10,132,2016,41622,15836,77,18,3,7,92,0,1250
Ginter Automobile,1,Small_buyer,1,10,5,258,2015,135465,22177,0,100,0,100,0,0,750
EXTREME TOUR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,4,Small_buyer,2,8,4,115,2012,317287,4079,0,0,100,100,0,0,750
LE PARTENAIRE AUTOMOBILE,5,Small_buyer,3,9,4,68,2009,72309,3228,0,0,100,0,100,0,750
SELL-RENT & SOLD-SRS,94,Top_buyer,9,1,12,116,2011,90845,11169,13,10,75,14,85,0,750
A+L Autó és utánfutó Kft.,7,Small_buyer,3,1,3,78,2006,118936,1304,0,0,100,0,100,0,375
Neuwirth Petr,4,Small_buyer,2,10,6,130,2012,189520,9156,0,0,100,100,0,0,375
Drive Unique,5,Small_buyer,3,3,9,198,2017,34038,21267,20,40,40,0,100,0,750
FILOMENA MARIA PEREIRA BARROSO,1,Small_buyer,1,9,2,105,2014,163947,4252,0,0,100,0,100,0,375
USŁUGI TRANSPORTOWE GÓRI TRANS GÓRSKI KAMIL,2,Small_buyer,1,10,2,91,2009,176938,1923,0,0,100,0,100,0,375
K&H Consulting and Business s.r.o.,1,Small_buyer,1,9,2,85,2009,178178,2826,0,0,100,0,100,0,750
KFZ-Technik Dietz u. Storck GmbH,3,Small_buyer,2,9,5,131,2014,78876,11223,0,0,100,0,100,0,750
SASU FLORENA AUTO,1,Small_buyer,1,8,5,204,2021,12405,34500,100,0,0,0,0,100,-1500
PINTO E CASTRO REPARAÇÕES LDA,2,Small_buyer,1,9,3,90,2015,109029,4795,0,0,100,50,50,0,750
Auto Snelservice,2,Small_buyer,1,8,3,82,2010,109364,3593,0,0,100,0,100,0,375
VAG CLASSIC CARS,2,Small_buyer,1,7,2,60,2005,135829,1913,0,0,100,0,100,0,750
"nova luxury, Inh. Anas Aatefallah",2,Small_buyer,1,10,4,128,2010,124091,8824,100,0,0,50,50,0,750
"Autohaus FOCUS, Inh. Abdullah Göktepe",1,Small_buyer,1,9,7,612,2019,61308,73700,0,100,0,0,100,0,1500
Car Service Erkens GmbH,13,Small_buyer,4,4,9,131,2014,82633,11202,0,7,92,15,84,0,750
OTTOCARS S.R.L.,5,Small_buyer,3,10,5,141,2011,196253,6665,40,0,60,80,20,0,375
Milan Kadeřávek,3,Small_buyer,2,9,6,124,2009,132724,11912,0,0,100,66,33,0,750
MB JEprekyba,2,Small_buyer,1,5,2,161,2007,308761,1394,0,50,50,100,0,0,375
AUTO VIP - SOCIETA' A RESPONSABILITA' LIMITATA,4,Small_buyer,2,5,6,98,2014,88540,10017,0,0,100,75,25,0,750
DzV Auto SIA,1,Small_buyer,1,9,3,160,2012,134273,9947,0,0,100,0,100,0,1250
JO BE RA MOTORS UNIPESSOAL LDA,1,Small_buyer,1,7,9,639,2019,102455,124950,0,100,0,0,100,0,1500
"VB Fahrzeug- u. Reisemobiltechnik, Inh. Vitaliy Brodsky",1,Small_buyer,1,6,2,68,2011,147959,1927,0,0,100,100,0,0,375
IO COURTAGE,9,Small_buyer,3,3,9,192,2014,70347,13664,55,33,11,0,100,0,750
"Vitali Podluschni Handel, Inh. Vitali Podluschni",2,Small_buyer,1,5,7,179,2017,111064,25835,0,50,50,100,0,0,1500
"AUTO KOMIS GWAREK SPÓŁKA CYWILNA P. KORCZYŃSKA, M. KULESZA",8,Small_buyer,3,7,4,103,2008,176919,2324,12,12,75,12,87,0,375
Mgnauto,4,Small_buyer,2,6,9,356,2016,61170,33457,25,75,0,25,75,0,-1500
CH Automobile GmbH,1,Small_buyer,1,7,3,68,2018,37962,7450,0,0,100,0,0,100,750
Gadeberg Auto ApS,3,Small_buyer,2,5,9,257,2019,16886,70234,0,66,33,0,33,66,1250
SPRL WEBCAR,55,Top_buyer,8,6,10,101,2009,108866,4657,1,10,87,1,98,0,750
KOUKLIAKOS THEODOROS IOANNIS,1,Small_buyer,1,10,3,170,2015,133315,7529,0,0,100,100,0,0,750
AUTORICCA S.A.S. DI ANTONELLO RICCA E C.,18,Medium_buyer,5,4,9,77,2016,53695,7212,5,0,94,11,88,0,750
JC AUTO SERVICE,3,Small_buyer,2,10,5,123,2015,83773,10064,33,33,33,100,0,0,375
"Aybars Automobile, Inh. Hasan Aybars",8,Small_buyer,3,3,4,93,2006,123040,1304,50,0,50,0,100,0,375
F.T.G. Automotive,4,Small_buyer,2,3,8,168,2018,78357,20291,50,50,0,0,50,50,1250
Schlögl & Partner Autohaus GmbH,3,Small_buyer,2,7,7,135,2019,26702,19713,0,33,66,33,66,0,1250
"NH-Cars, Harichi, Naoile",1,Small_buyer,1,10,5,245,2017,85258,22018,100,0,0,0,100,0,1250
Autohaus Paul Vertriebs-GmbH & Co. KG,4,Small_buyer,2,8,7,194,2016,59959,17951,0,50,50,0,100,0,1250
"Autogalerie Börner, Inh. Andre Börner",3,Small_buyer,2,9,5,122,2008,134684,8274,0,33,66,66,33,0,750
"Autohaus Koesters, Inh. Stephan Koesters",10,Small_buyer,4,7,7,133,2010,93774,6439,0,60,40,10,90,0,750
M.I.C. Automotive,3,Small_buyer,2,8,7,341,2009,115031,16874,0,100,0,0,100,0,750
"KFZ-Handel Aichinger  An und Verkauf von Gebraucht und Neu Fahrzeugen, Inh. Alexander Aichinger",1,Small_buyer,1,9,5,325,2018,166958,29101,0,100,0,100,0,0,1250
FIRMA HANDLOWO - USŁUGOWA EWA ZARZYCKA,5,Small_buyer,3,2,4,128,2008,151159,2741,0,20,80,20,80,0,125
Auto-Zentrum Grathwohl & Friebel GmbH,3,Small_buyer,2,10,6,125,2017,26999,14077,0,0,100,0,100,0,750
"MG Automobile, Inh. Mato Gudelj",6,Small_buyer,3,9,9,261,2015,127646,22003,33,66,0,50,50,0,750
CARANGA KERESKEDELMI ÉS SZOLGÁLTATÓ KFT,1,Small_buyer,1,9,3,147,2012,100217,8756,0,100,0,0,100,0,750
AUTO SERWIS RENO-MA Sylwester Łabędź,14,Small_buyer,4,2,5,116,2006,217680,1838,0,0,100,42,57,0,375
Nipponcar Kft.,2,Small_buyer,1,7,2,87,2005,126968,1019,0,0,100,0,100,0,-375
"TST Remarketing & Fleet Operation, Inh. Thomas Stangel",2,Small_buyer,1,3,5,105,2017,65504,14500,0,100,0,50,0,50,750
SERGIO PAULO DA COSTA OLIVEIRA,10,Small_buyer,4,8,6,132,2008,186012,4425,0,10,90,40,60,0,750
TEHNO SERV SRL,4,Small_buyer,2,4,5,121,2013,193878,6012,25,25,50,75,25,0,750
SPECIALCARS Kamil Kornas,1,Small_buyer,1,6,3,101,2021,20802,9400,0,100,0,0,100,0,375
Prisma Cars,1,Small_buyer,1,8,4,150,2019,74147,15742,0,0,100,0,100,0,1500
SANTUCCI*LUCA,2,Small_buyer,1,8,2,60,2006,127614,996,0,0,100,0,100,0,375
YVANO GARAGE,3,Small_buyer,2,5,2,89,2005,107358,1339,0,0,100,0,100,0,125
"Garage Scheepers, Frans Scheepers",1,Small_buyer,1,9,4,95,2019,22620,17500,0,100,0,0,0,100,750
"""MOTO LIDER"" SPÓŁKA CYWILNA Z.WRÓBLEWSKI, B.MALICZKOWSKI",1,Small_buyer,1,1,3,150,2015,164873,7821,0,0,100,100,0,0,375
Act Distribution Sas,1,Small_buyer,1,9,2,110,2005,61744,2373,0,0,100,0,100,0,375
VP Automobile,8,Small_buyer,3,4,4,124,2005,165838,2201,12,37,50,37,62,0,125
Autoservice Nuenen,7,Small_buyer,3,6,8,213,2009,127140,10986,14,57,28,0,100,0,1250
Robin Nováček,1,Small_buyer,1,6,3,105,2011,111651,5100,0,0,100,0,100,0,375
Marcin Bębenek KOMIS SAMOCHODOWY MARPEX,9,Small_buyer,3,5,5,101,2010,172654,3292,0,0,100,11,88,0,375
DMITRIJ KALIAKIN,1,Small_buyer,1,10,1,255,2000,120860,760,0,100,0,0,100,0,125
Arselan Bhar,7,Small_buyer,3,7,3,118,2005,193067,1123,0,28,71,85,14,0,375
KAROL IGNUT,1,Small_buyer,1,10,2,218,2005,170271,2700,0,100,0,0,100,0,375
"Autohof Unger, Inh. Gina Unger",5,Small_buyer,3,9,5,145,2007,106220,6722,0,0,100,40,60,0,375
STATHIS STILIANOS MICHAIL | | STATHIS SN,4,Small_buyer,2,9,5,103,2015,110512,5841,0,0,100,25,75,0,375
Bleeker & de Jong GmbH,1,Small_buyer,1,10,7,510,2021,1843,65000,0,100,0,0,100,0,1500
"Dornmüller Automobile, Inh. Christian Dornmüller",1,Small_buyer,1,6,4,150,2016,74274,10900,0,0,100,100,0,0,-750
Vogl & Co Leibnitz GmbH,47,Medium_buyer,8,4,11,124,2019,37689,17733,31,8,59,44,55,0,750
LUTZ AUTOMOBILE S.A.,2,Small_buyer,1,10,5,181,2011,236112,10751,0,50,50,100,0,0,1250
ROMUALD PERRIN,1,Small_buyer,1,10,4,102,1997,175591,12500,0,0,100,100,0,0,375
Xachik Cars,4,Small_buyer,2,5,5,102,2012,94358,5383,0,0,100,0,100,0,375
LIRAS PAVLOS THEODOROS,1,Small_buyer,1,10,4,85,2018,109234,10100,0,0,100,100,0,0,750
Vakgarage Vlaardingen,1,Small_buyer,1,4,5,310,2019,55602,28666,0,100,0,0,100,0,125
K AUTOMOBILES,4,Small_buyer,2,4,9,335,2017,66388,38373,50,50,0,25,75,0,1250
Food Market Societa' A Responsabilita' Limitata Semplificata,11,Small_buyer,4,7,9,103,2016,129475,11560,36,0,63,36,54,9,750
Hanauer-Autobörse GbR,18,Medium_buyer,5,3,6,97,2007,135333,2244,0,0,100,16,83,0,750
Autopark Rendsburg GmbH,6,Small_buyer,3,7,8,167,2014,191592,15644,16,66,16,100,0,0,750
MEGMENTELEK KFT,9,Small_buyer,3,6,3,133,2005,206151,834,11,44,44,66,33,0,375
FAS MOTORS,1,Small_buyer,1,5,3,90,2016,45346,7560,0,0,100,0,100,0,1500
