op_id,country,success,time_to_close,views,impressions
OP02379894,DE,0,72,1,1
OP02385926,DE,0,143,2,7
OP02352449,DE,0,16,3,0
OP02289593,DE,0,273,1,0
OP02333521,FR,0,2,1,1
OP02398172,PL,0,383,2,7
OP02435409,BE,0,22,3,1
OP02327249,ES,1,4,3,1
OP02361686,IT,0,149,1,0
OP02420675,DE,0,290,29,107
OP02356891,DE,0,50,3,5
OP02278836,BE,0,25,4,0
OP02375182,DE,1,59,5,0
OP02435839,FR,1,24,2,0
OP02367380,ES,0,1,1,0
OP02409067,DE,1,4,3,4
OP02360837,ES,0,198,1,0
OP02462700,DE,1,47,3,0
OP02287045,DE,1,28,3,0
OP02338386,DE,0,135,1,2
OP02306032,FR,1,13,1,0
OP02419377,IT,1,14,2,0
OP02367846,DE,0,426,1,8
OP02395322,IT,0,474,6,16
OP02279648,PL,0,220,4,0
OP02317180,FR,0,119,2,0
OP02345569,DE,1,81,5,5
OP02409909,FR,0,329,1,0
OP02389058,PL,0,174,3,8
OP02398951,DE,0,49,1,0
OP02304203,PL,0,23,1,0
OP02342879,IT,0,147,1,1
OP02369573,IT,0,80,2,0
OP02394544,BE,0,23,2,2
OP02313506,DE,1,200,4,0
OP02468982,DE,0,74,2,4
OP02392225,FR,1,292,2,0
OP02469504,DE,0,80,1,0
OP02320917,IT,0,101,4,1
OP02456841,IT,1,46,2,1
OP02273622,DE,0,96,4,0
OP02279688,DE,0,73,2,0
OP02362504,AT,0,96,4,0
OP02348114,SE,0,8,2,0
OP02390827,IT,1,2,1,0
OP02281698,FR,0,166,1,0
OP02454465,DE,0,50,2,0
OP02459043,IT,1,53,2,3
OP02361882,ES,0,672,14,7
OP02364124,DE,1,18,4,6
OP02398626,SE,1,72,2,3
OP02403075,FR,0,6,13,0
OP02454669,IT,0,25,6,0
OP02395740,DE,0,231,1,0
OP02408134,ES,1,104,1,1
OP02396713,DE,0,99,5,4
OP02371240,SE,0,68,10,0
OP02373603,IT,0,221,5,4
OP02303514,DE,0,46,3,0
OP02321575,DE,1,71,1,0
OP02399792,IT,0,123,4,1
OP02444221,ES,1,25,37,0
OP02388622,ES,0,266,1,0
OP02398682,AT,1,43,9,1
OP02428783,ES,0,217,1,0
OP02314840,DE,1,121,6,3
OP02369083,IT,0,22,1,1
OP02376101,DE,1,45,6,5
OP02276849,DE,0,167,1,0
OP02305379,IT,0,151,1,2
OP02394144,AT,0,68,5,4
OP02409559,FR,0,72,8,7
OP02398470,ES,1,24,3,1
OP02301599,IT,0,221,1,0
OP02329055,DE,1,21,2,1
OP02474268,FR,1,48,2,0
OP02306155,DE,0,52,2,0
OP02423005,AT,0,53,1,0
OP02436406,FR,0,65,7,2
OP02301089,SE,0,47,1,0
OP02276906,DE,0,22,3,0
OP02274599,DE,0,73,1,0
OP02445091,ES,0,197,2,2
OP02369216,DE,1,80,3,6
OP02452304,ES,1,11,2,0
OP02320942,BE,0,28,1,0
OP02340083,FR,0,0,1,0
OP02432273,DE,0,166,6,1
OP02387783,DE,0,40,4,0
OP02334385,IT,0,142,1,1
OP02281551,AT,0,212,5,0
OP02352770,PL,1,12,1,0
OP02382471,ES,0,266,1,0
OP02328974,IT,1,23,1,0
OP02354921,SE,0,51,1,2
OP02421600,DE,1,71,3,1
OP02300793,AT,0,7,3,0
OP02377339,DE,0,93,1,1
OP02280125,NL,0,20,7,0
OP02302906,NL,1,74,3,0
OP02328087,DE,0,70,1,0
OP02279682,IT,1,194,2,0
OP02388750,DE,0,124,7,0
OP02454283,DE,1,40,1,0
OP02308412,ES,1,69,3,0
OP02407932,IT,0,168,2,2
OP02422240,IT,0,66,2,1
OP02392456,FR,0,3,1,1
OP02368512,ES,0,262,7,2
OP02290219,DE,0,650,5,8
OP02374133,DE,0,216,4,0
OP02344834,FR,1,69,9,5
OP02427698,DE,1,29,2,4
OP02314564,IT,0,263,4,3
OP02285576,FR,1,210,1,0
OP02303449,AT,0,93,4,0
OP02338736,BE,0,1,1,0
OP02375804,DE,0,216,1,5
OP02404992,PL,1,46,3,0
OP02327875,DE,0,31,3,3
OP02390026,BE,1,28,15,3
OP02352993,BE,1,83,1,1
OP02347035,AT,0,101,2,0
OP02406625,DE,1,17,5,1
OP02357048,DE,0,33,15,5
OP02289650,IT,0,290,8,0
OP02299631,DE,0,69,18,0
OP02289012,DE,0,114,2,0
OP02358415,ES,0,389,1,0
OP02307527,IT,0,199,1,4
OP02281497,PL,0,22,2,0
OP02275599,IT,0,49,1,0
OP02365404,ES,0,492,3,0
OP02279323,FR,0,198,1,0
OP02359724,DE,0,111,27,1
OP02314394,DE,0,2,1,0
OP02453526,IT,0,42,13,14
OP02266847,DE,0,145,8,0
OP02432057,DE,1,16,1,1
OP02369836,IT,0,409,6,17
OP02293697,DE,0,54,1,0
OP02396467,ES,0,465,1,0
OP02316633,DE,0,51,1,0
OP02375217,ES,0,364,1,0
OP02392692,SE,0,102,4,2
OP02389002,IT,0,4,5,0
OP02292614,BE,1,159,6,0
OP02388753,ES,1,9,2,0
OP02291057,FR,0,0,1,0
OP02354336,DE,0,172,3,0
OP02451583,DE,0,76,1,0
OP02270064,DE,0,117,2,0
OP02446791,DE,0,67,6,0
OP02448890,SE,1,63,3,3
OP02412465,DE,0,79,1,0
OP02300196,DE,0,72,1,0
OP02429352,ES,0,1,2,1
OP02296463,FR,0,49,2,0
OP02381818,DE,1,42,1,0
OP02304910,IT,0,217,1,1
OP02333852,IT,0,19,4,4
OP02321243,DE,0,52,2,0
OP02330063,FR,0,138,2,12
OP02381796,AT,0,21,2,2
OP02284086,DE,0,142,1,0
OP02419107,ES,0,189,1,10
OP02305811,FR,0,35,1,0
OP02399143,IT,0,118,1,0
OP02407841,IT,0,270,2,0
OP02339738,DE,0,242,13,0
OP02269553,DE,0,242,5,0
OP02376601,DE,0,75,6,8
OP02318968,AT,0,138,5,2
OP02376825,DE,0,30,4,1
OP02458676,DE,0,52,7,0
OP02396675,DE,0,73,2,1
OP02420387,FR,0,199,2,3
OP02402631,PL,0,11,1,3
OP02386662,PL,0,17,1,2
OP02329924,DE,1,93,11,0
OP02344478,PL,0,97,8,0
OP02340369,ES,0,117,36,1
OP02406920,ES,0,188,5,3
OP02387960,FR,1,45,6,0
OP02401081,DE,0,104,1,1
OP02363698,IT,0,283,1,1
OP02288248,DE,0,143,2,0
OP02365641,FR,0,6,1,0
OP02422572,PL,1,96,1,0
OP02267359,BE,0,97,1,0
OP02404888,ES,1,77,16,10
OP02410572,IT,1,12,7,0
OP02309637,DE,0,97,10,2
OP02300517,ES,1,14,2,0
OP02290095,DE,0,21,8,0
OP02410295,DE,0,161,2,1
OP02373381,DE,0,251,1,0
OP02279708,NL,0,28,1,0
OP02279992,DE,0,139,1,0
OP02476700,IT,1,24,15,2
OP02338561,DE,0,83,8,0
OP02272534,DE,0,101,4,0
OP02275559,ES,1,34,5,0
OP02331859,DE,1,5,4,0
OP02294077,BE,1,48,10,0
OP02281009,FR,0,26,3,0
OP02304852,IT,0,9,14,0
OP02376858,IT,0,331,10,5
OP02341404,PL,0,163,5,4
OP02307219,DE,0,212,1,1
OP02305689,NL,0,130,1,2
OP02284114,IT,0,69,2,0
OP02445447,ES,1,74,10,6
OP02343094,IT,0,72,7,13
OP02351551,DE,0,163,1,1
OP02409385,BE,0,67,3,3
OP02395643,IT,0,165,2,0
OP02383722,FR,0,223,1,2
OP02443300,IT,1,52,4,3
OP02398612,DE,1,48,2,3
OP02340039,PL,0,74,10,1
OP02303576,FR,0,42,2,0
OP02424406,DE,0,73,6,1
OP02435261,DE,0,67,1,0
OP02316407,DE,0,301,1,0
OP02428090,ES,0,10,1,0
OP02295780,IT,0,334,11,1
OP02414542,DE,1,40,4,2
OP02418889,NL,0,143,4,0
OP02363024,DE,0,336,1,1
OP02304116,IT,0,138,1,0
OP02315468,DE,0,164,10,16
OP02338285,DE,0,18,1,2
OP02296012,ES,0,123,6,0
OP02399747,DE,1,7,4,0
OP02345121,IT,0,94,12,0
OP02270761,ES,1,101,1,0
OP02428308,FR,0,67,2,0
OP02459696,BE,0,141,16,9
OP02336571,IT,0,148,6,4
OP02431607,IT,0,96,13,14
OP02360093,DE,0,139,2,0
OP02339301,AT,0,123,4,1
OP02388716,ES,0,536,13,5
OP02400763,DE,1,102,3,1
OP02466804,NL,1,73,3,1
OP02439025,IT,0,72,3,7
OP02345782,IT,0,128,1,0
OP02326974,DE,0,12,2,1
OP02294002,FR,0,2,6,0
OP02365118,BE,0,78,2,0
OP02401935,ES,0,203,2,0
OP02449401,DE,1,80,5,0
OP02295223,PL,0,40,1,0
OP02467971,PL,0,21,2,3
OP02346859,IT,0,47,11,3
OP02288680,BE,0,120,2,0
OP02347362,IT,0,407,14,0
OP02268187,AT,1,3,1,0
OP02327123,ES,0,79,1,0
OP02375775,DE,0,170,2,6
OP02332568,NL,1,51,8,4
OP02322873,BE,0,3,2,1
OP02356576,NL,0,46,1,0
OP02410686,IT,0,64,1,0
OP02332353,FR,1,165,1,0
OP02343644,IT,0,55,1,0
OP02330138,PL,0,350,5,0
OP02291880,IT,1,4,4,0
OP02315238,NL,1,119,2,2
OP02370687,DE,0,69,1,0
OP02442567,DE,0,96,7,0
OP02441162,DE,0,142,5,3
OP02425149,IT,0,68,1,1
OP02324354,ES,0,99,20,5
OP02313977,DE,0,90,6,10
OP02364942,BE,0,103,7,5
OP02432984,DE,0,18,1,0
OP02303430,NL,0,71,5,0
OP02283944,IT,1,20,4,0
OP02377528,FR,0,217,10,10
OP02376342,IT,0,244,1,0
OP02423595,FR,0,98,4,0
OP02283583,PL,0,5,1,0
OP02340066,DE,0,96,5,0
OP02270819,DE,0,239,4,0
OP02329475,ES,0,220,2,0
OP02457085,ES,0,48,1,0
OP02397368,DE,0,72,1,0
OP02376413,DE,0,50,22,0
OP02348760,BE,0,51,6,1
OP02304878,DE,0,89,1,0
OP02300162,ES,0,262,4,3
OP02346437,IT,1,25,21,7
OP02366753,DE,1,93,3,0
OP02456636,SE,0,50,1,4
OP02465058,DE,1,37,10,0
OP02311345,BE,0,93,1,0
OP02463619,IT,1,120,15,3
OP02363290,IT,0,480,2,24
OP02350627,IT,0,171,1,2
OP02405077,DE,1,20,2,1
OP02313551,FR,0,30,3,1
OP02445465,ES,0,2,2,0
OP02282387,BE,0,148,9,0
OP02431457,IT,0,237,2,0
OP02345486,PL,0,118,13,3
OP02419074,ES,1,15,3,1
OP02298591,DE,0,70,1,0
OP02322340,DE,0,197,3,1
OP02338242,ES,1,52,3,1
OP02340993,ES,0,290,1,1
OP02282524,ES,1,322,1,0
OP02402533,ES,0,74,8,0
OP02381731,IT,0,215,5,8
OP02306779,BE,1,22,1,0
OP02401454,ES,0,9,2,2
OP02444560,IT,0,46,1,1
OP02340112,IT,0,343,10,3
OP02295205,IT,0,194,3,0
OP02274818,DE,1,46,3,0
OP02434654,FR,1,28,1,0
OP02372847,BE,0,52,1,1
OP02292981,DE,0,32,3,0
OP02344774,BE,0,53,1,1
OP02465541,DE,1,27,3,0
OP02407589,DE,0,152,12,1
OP02338164,DE,1,93,8,6
OP02392023,ES,1,302,10,0
OP02313756,SE,1,81,3,0
OP02275149,NL,1,18,2,0
OP02277123,DE,1,25,6,0
OP02283795,IT,0,197,6,0
OP02361360,IT,0,28,1,1
OP02400942,AT,0,80,1,0
OP02293025,ES,0,240,19,0
OP02278424,DE,0,49,2,0
OP02280243,NL,0,24,1,0
OP02366538,DE,0,68,13,6
OP02372696,SE,0,27,2,0
OP02400890,NL,1,46,5,0
OP02313336,DE,0,2,2,0
OP02375879,IT,0,31,5,0
OP02453120,PL,0,7,1,0
OP02362087,IT,0,125,5,0
OP02299025,DE,0,22,2,0
OP02371782,IT,0,381,6,16
OP02475785,IT,1,43,4,0
OP02420641,DE,1,101,5,2
OP02362565,FR,1,4,1,2
OP02447912,SE,1,90,2,0
OP02445267,PL,0,12,1,0
OP02383609,IT,0,25,4,1
OP02298991,ES,0,367,4,0
OP02283143,DE,0,26,14,0
OP02284031,ES,1,21,4,0
OP02317170,SE,0,29,3,7
OP02297471,FR,1,186,8,6
OP02386956,IT,0,407,2,0
OP02270151,DE,0,105,2,0
OP02354173,BE,1,241,1,1
OP02412931,DE,0,167,1,1
OP02289957,DE,1,17,3,0
OP02363394,DE,0,259,3,3
OP02440874,FR,0,17,2,0
OP02354098,SE,1,3,3,1
OP02343079,PL,0,102,1,2
OP02333763,AT,0,116,3,0
OP02378752,IT,0,72,3,2
OP02304822,IT,0,195,1,1
OP02340798,AT,0,24,1,0
OP02300504,PL,0,22,1,0
OP02338701,ES,0,249,2,2
OP02373058,IT,0,31,1,0
OP02417259,ES,0,289,1,0
OP02392604,ES,0,146,4,4
OP02334044,DE,0,449,2,7
OP02271380,ES,1,137,3,0
OP02288353,FR,1,95,2,0
OP02385692,ES,1,46,3,0
OP02393800,BE,0,75,3,0
OP02300788,ES,0,429,1,2
OP02373841,ES,0,251,5,7
OP02384179,ES,0,285,13,8
OP02374947,SE,0,98,1,2
OP02416864,ES,0,199,3,0
OP02427542,SE,0,50,2,1
OP02366324,SE,0,151,13,11
OP02344164,DE,1,48,21,0
OP02410501,DE,1,41,4,2
OP02419326,FR,0,247,3,3
OP02405509,DE,0,91,1,2
OP02358844,DE,1,120,10,7
OP02305263,DE,0,28,4,0
OP02286063,ES,0,269,1,0
OP02296438,FR,0,79,1,0
OP02435218,PL,0,49,9,4
OP02327777,DE,0,99,1,11
OP02368002,IT,0,165,2,3
OP02322901,ES,0,30,3,1
OP02303192,BE,0,23,2,0
OP02280643,SE,1,22,1,0
OP02409564,ES,1,168,1,7
OP02375341,DE,0,50,2,0
OP02275801,ES,0,26,1,0
OP02306018,DE,0,168,11,5
OP02335903,BE,0,23,10,13
OP02408750,NL,0,75,1,2
OP02335388,DE,0,146,1,1
OP02464899,DE,0,111,1,0
OP02382260,FR,0,166,3,1
OP02387631,AT,0,29,1,0
OP02276922,DE,0,168,1,0
OP02447775,AT,0,167,1,2
OP02388471,IT,1,11,1,1
OP02379342,SE,0,102,1,0
OP02406431,DE,0,87,1,0
OP02470358,DE,0,70,1,2
OP02357785,IT,0,217,1,5
OP02329844,DE,0,45,1,2
OP02314468,DE,0,78,1,1
OP02428130,NL,0,74,2,0
OP02367445,IT,1,502,20,6
OP02276747,IT,0,21,1,0
OP02460157,DE,1,4,1,1
OP02298443,FR,0,0,3,0
OP02380057,DE,0,96,1,1
OP02373109,IT,0,51,1,2
OP02308992,SE,0,31,2,0
OP02434797,IT,0,29,1,0
OP02324738,SE,1,21,3,0
OP02445380,BE,1,73,10,17
OP02345931,DE,0,27,9,2
OP02350027,ES,1,56,3,1
OP02313317,FR,0,9,1,3
OP02355555,ES,0,506,1,0
OP02392507,ES,0,2,7,1
OP02405299,ES,1,4,1,1
OP02315545,BE,1,66,1,0
OP02291578,DE,0,93,3,0
OP02348186,DE,1,384,8,0
OP02282360,DE,0,149,5,0
OP02445927,DE,1,2,4,1
OP02340711,DE,1,4,2,0
OP02278694,NL,0,50,3,0
OP02325817,DE,1,19,1,1
OP02357065,IT,0,52,2,0
OP02398321,BE,0,139,1,3
OP02416664,IT,0,2,1,9
OP02304426,DE,1,211,13,0
OP02394257,IT,1,4,3,3
OP02390388,BE,0,29,4,3
OP02415324,IT,1,5,1,0
OP02425222,PL,1,2,2,0
OP02290530,DE,1,123,14,0
OP02334118,IT,0,315,2,0
OP02299489,DE,0,306,1,0
OP02268538,DE,0,263,8,0
OP02280478,FR,0,17,3,0
OP02383694,SE,0,50,1,0
OP02429244,PL,0,6,2,0
OP02404528,DE,0,2,2,0
OP02399113,IT,1,44,2,2
OP02466527,FR,1,8,1,0
OP02439463,FR,0,1,1,0
OP02389478,IT,0,25,3,0
OP02416352,DE,0,173,2,0
OP02266271,FR,0,346,6,0
OP02338342,FR,0,5,1,0
OP02385602,FR,0,5,1,0
OP02350444,IT,0,221,6,3
OP02418747,DE,1,17,10,6
OP02355966,DE,0,70,5,0
OP02391137,DE,0,119,3,0
OP02298149,PL,1,6,1,0
OP02268446,DE,1,25,3,0
OP02372152,DE,0,78,3,4
OP02297882,DE,0,265,1,0
OP02470730,IT,1,1,1,1
OP02375556,IT,0,103,1,0
OP02426519,IT,0,73,4,1
OP02306405,IT,0,79,2,0
OP02329340,IT,1,18,4,1
OP02268694,BE,0,94,1,0
OP02340836,FR,0,238,3,2
OP02299519,IT,0,576,2,4
OP02374246,IT,0,28,1,1
OP02291931,DE,0,91,2,0
OP02274312,DE,1,42,2,0
OP02430314,DE,0,49,2,0
OP02416755,DE,0,271,3,0
OP02308065,DE,1,20,3,0
OP02275428,DE,0,196,21,0
OP02452064,DE,1,54,15,0
OP02405123,DE,0,331,10,0
OP02443750,SE,0,141,1,0
OP02352734,BE,0,23,1,0
OP02454906,DE,0,105,2,1
OP02423682,DE,0,98,1,5
OP02352870,ES,0,4,1,0
OP02328988,AT,0,71,6,3
OP02334688,ES,0,357,5,1
