id,price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
TH34339,price_15_20k,Ford,Kuga,2.0 TDCi,Red,100k+,horsepower_150_200hp,2016,Diesel,Gear type automatic,SUV,Teilleder,fuel_consumption_2_,sold_7_15d
YS53422,price_15_20k,Dacia,Dokker,1.3 TCe,White,10-20k,horsepower_100_150hp,2020,Benzin,Gear type manual,Van,Stoff,fuel_consumption_3_,sold_50_65d
LF10579,price_over30k,BMW,X6,xDrive 40d,Black,50-60k,horsepower_over250hp,2018,Diesel,Gear type automatic,SUV,Leder,fuel_consumption_4_,sold_65_80d
PS12763,price_15_20k,Opel,Grandland X,2.0 CDTI,Gray,100k+,horsepower_150_200hp,2018,Diesel,Gear type automatic,SUV,Leder,fuel_consumption_2_,sold_0-7d
FY80423,price_10_15k,Smart,forfour,1.0,White,60-70k,horsepower_0_100hp,2016,Benzin,Gear type automatic,Limousine,Stoff,fuel_consumption_2_,sold_7_15d
SN59522,price_15_20k,Jeep,Renegade,1.4 M-Air,Black,60-70k,horsepower_100_150hp,2014,Benzin,Gear type manual,SUV,Stoff,fuel_consumption_3_,sold_25_35d
RY05289,price_20_25k,Mercedes-Benz,GLA-Klasse,GLA 180,Black,10-20k,horsepower_100_150hp,2017,Benzin,Gear type manual,SUV,Leder,fuel_consumption_3_,sold_25_35d
JE57987,price_0_10k,Volkswagen,Polo,1.2 TSI,Black,100k+,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_7_15d
ZF44535,price_10_15k,Dacia,Duster II,1.5 Blue dCi,Gray,90-100k,horsepower_100_150hp,2018,Diesel,Gear type manual,SUV,Stoff,fuel_consumption_2_,sold_15_25d
JP03869,price_0_10k,Renault,Clio,1.2,White,40-50k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_3_,sold_25_35d
RK94869,price_15_20k,Ford,Kuga,1.5 EcoBoost,Gray,30-40k,horsepower_100_150hp,2016,Benzin,Gear type manual,SUV,Stoff,fuel_consumption_3_,sold_7_15d
ZG33255,price_25_30k,Land Rover,Evoque,2.0 Td4,Brown,40-50k,horsepower_100_150hp,2017,Diesel,Gear type automatic,SUV,Leder,fuel_consumption_2_,sold_25_35d
RC72463,price_20_25k,Mercedes-Benz,CLA-Klasse,CLA 180,Gray,20-30k,horsepower_100_150hp,2019,Benzin,Gear type manual,Limousine,Teilleder,fuel_consumption_4_,sold_35_50d
ZT05456,price_10_15k,Citroen,C4,1.6 Blue-HDi,Red,50-60k,horsepower_100_150hp,2015,Diesel,Gear type automatic,Limousine,Teilleder,fuel_consumption_1_,sold_7_15d
