month,cars_reserved_pl,bookmarks_pl
2021-01-01,0.44894651539708263,1.7293354943273906
2021-02-01,0.4432809773123909,1.6422338568935428
2021-03-01,0.46915584415584416,6.047077922077922
2021-04-01,0.4463087248322148,5.912751677852349
2021-05-01,0.4091580502215657,4.558345642540621
2021-06-01,0.3592964824120603,3.548994974874372
2021-07-01,0.3849056603773585,4.869182389937107
2021-08-01,0.4094052558782849,6.838174273858921
2021-09-01,0.3956916099773243,4.202947845804989
2021-10-01,0.3230897009966777,2.703488372093023
2021-11-01,0.24278215223097113,3.2158792650918637
2021-12-01,0.16712328767123288,3.1391780821917807
2022-01-01,0.18056217246307765,3.9414006669842783
2022-02-01,0.18343949044585986,2.805944798301486
2022-03-01,0.18500986193293886,2.874161735700197
2022-04-01,0.20452604611443212,3.4508966695132366
2022-05-01,0.256857855361596,4.03291770573566
2022-06-01,0.31610337972166996,4.467859509609013
2022-07-01,0.3081674673987646,4.7089910775566235
2022-08-01,0.3174825174825175,3.7825174825174823
2022-09-01,0.3021060275962237,3.663035584604212
2022-10-01,0.32263242375601925,5.544943820224719
2022-11-01,0.2623224728487886,6.334168755221387
2022-12-01,0.20588235294117646,5.488390092879257
2023-01-01,0.32927756653992396,8.134600760456273
2023-02-01,0.3883129123468426,7.8350612629594725
2023-03-01,0.49810366624525915,10.715549936788875
2023-04-01,0.4010989010989011,11.137362637362637
2023-05-01,0.38666666666666666,10.007619047619048
2023-06-01,0.32150313152400833,8.832985386221294
2023-07-01,0.27223230490018147,7.368421052631579
