id,make,model,hp_cluster,age_cluster,mileage_cluster,sell_price,time_to_sell,ppu_cluster,buyer_id
1241109355,Opel,Mokka,100-150hp,4-6years,100k+,9700,+45,<-1k,2701553
1246134775,Audi,A6,150-200hp,6-8years,100k+,15181,8-15,0_0.5k,51334
1244248811,Isuzu,D-MAX,150-200hp,4-6years,60-70k,23600,0-1,1-1.5k,25272
1247621055,Mercedes-Benz,V-Klasse,150-200hp,2-4years,100k+,46934,0-1,1-1.5k,6263560
1239469473,Mazda,CX-5,150-200hp,8-10years,100k+,11934,30-45,1-1.5k,1522792
1247082509,Nissan,Qashqai,150-200hp,0-2years,20-30k,21900,0-1,0.5-1k,54027
1246778217,Volkswagen,T-Roc,100-150hp,0-2years,10-20k,19740,0-1,1.5-2k,27649
1247159745,Peugeot,206,0-100hp,12-15years,100k+,1283,8-15,0_0.5k,278101
1246985245,Volkswagen,Polo,0-100hp,15+years,100k+,540,0-1,0_0.5k,25202
1247791957,Jaguar,F-TYPE,300+hp,6-8years,70-80k,33936,0-1,2k+,645411
1242250259,Ford,Focus,0-100hp,8-10years,100k+,2950,+45,-1_0k,5943303
1246055907,BMW,3er,100-150hp,15+years,100k+,815,0-1,0_0.5k,840211
1246978836,BMW,1er,100-150hp,6-8years,90-100k,9906,0-1,0.5-1k,6339643
1248685829,Volkswagen,Golf V,100-150hp,15+years,100k+,2818,0-1,0.5-1k,3425883
1245885684,Jeep,Compass,150-200hp,4-6years,80-90k,17748,30-45,<-1k,1578542
1247121925,Ford,C-Max,100-150hp,6-8years,70-80k,4803,0-1,0_0.5k,336441
1234670709,Ford,Focus,100-150hp,15+years,100k+,1586,0-1,0_0.5k,5239373
1229355672,Fiat,Panda,0-100hp,12-15years,100k+,1364,0-1,0_0.5k,6217758
1246233576,Lancia,Musa,0-100hp,15+years,100k+,414,30-45,-1_0k,6333209
1247599563,Mitsubishi,ASX,100-150hp,10-12years,100k+,5500,0-1,0.5-1k,6287925
1247490282,Chevrolet,Cruze,100-150hp,10-12years,100k+,2711,0-1,0.5-1k,6121022
1247764606,Fiat,Panda,0-100hp,12-15years,100k+,957,2-4,0_0.5k,6178846
1245883585,Seat,Altea,100-150hp,8-10years,90-100k,4599,0-1,0.5-1k,14088
1246890639,BMW,5er,150-200hp,10-12years,100k+,7585,8-15,0_0.5k,6283157
1209275720,Opel,Corsa,0-100hp,15+years,100k+,770,8-15,0_0.5k,6398674
1246993381,Mercedes-Benz,E-Klasse,150-200hp,10-12years,100k+,6700,8-15,0.5-1k,2481183
1225992797,Mercedes-Benz,C-Klasse,150-200hp,10-12years,100k+,10064,2-4,0.5-1k,5002153
1247412316,Ford,Ka,0-100hp,12-15years,90-100k,2000,0-1,0_0.5k,6177373
1241107049,Hyundai,IONIQ,100-150hp,2-4years,30-40k,18100,+45,<-1k,173731
1245302424,Alfa Romeo,Alfa 156,100-150hp,15+years,100k+,748,2-4,0_0.5k,6379557
1247085998,BMW,X3,100-150hp,12-15years,100k+,4668,0-1,0.5-1k,2015371
1247383089,Volkswagen,Polo,0-100hp,10-12years,50-60k,6445,0-1,0.5-1k,2924403
1247745052,Opel,Astra,100-150hp,15+years,90-100k,1458,0-1,0_0.5k,2918
1247361162,Mercedes-Benz,C-Klasse,150-200hp,15+years,90-100k,6050,0-1,0_0.5k,19424
1247934711,BMW,3er,150-200hp,10-12years,100k+,5731,0-1,1-1.5k,1050351
1247267233,Audi,S8,300+hp,4-6years,100k+,38901,15-30,1.5-2k,81186
1242688444,Kia,Carnival,150-200hp,12-15years,100k+,1254,0-1,0_0.5k,6282214
1246248095,Hyundai,ix35,100-150hp,10-12years,100k+,5213,0-1,0.5-1k,162011
1248311947,Volkswagen,Golf VII,200-250hp,8-10years,70-80k,17032,0-1,1-1.5k,4651843
1247543917,Volkswagen,Tiguan,100-150hp,10-12years,100k+,5071,2-4,0.5-1k,6174351
1247674821,Dacia,Duster,100-150hp,10-12years,100k+,5700,0-1,0.5-1k,6287925
1244373562,Opel,Crossland X,100-150hp,2-4years,70-80k,10339,+45,<-1k,22120
1246335850,Opel,Meriva,0-100hp,15+years,50-60k,2001,4-8,0_0.5k,82215
1247122112,Hyundai,i10,0-100hp,12-15years,60-70k,2660,0-1,0.5-1k,132486
1247884404,Volkswagen,Passat,100-150hp,10-12years,100k+,4618,0-1,1-1.5k,75418
1248310077,Opel,Vivaro,100-150hp,0-2years,0-10k,22688,0-1,0.5-1k,407602
1244347760,Ford,S-Max,150-200hp,10-12years,100k+,7087,2-4,0.5-1k,4882253
1247618419,Opel,Meriva,0-100hp,15+years,100k+,1383,0-1,0.5-1k,82385
1242789831,Volkswagen,Golf VIII,100-150hp,0-2years,0-10k,24500,0-1,0.5-1k,83611
1243166120,Skoda,Roomster,0-100hp,8-10years,90-100k,5600,4-8,0.5-1k,5226083
1245391157,Skoda,Yeti,100-150hp,6-8years,40-50k,13551,15-30,0.5-1k,18906
1239908096,Volkswagen,Passat,250-300hp,10-12years,100k+,8514,+45,<-1k,36202
1247459547,Volkswagen,Sharan,150-200hp,10-12years,100k+,11737,0-1,1.5-2k,724651
1248185622,Seat,Exeo,100-150hp,8-10years,100k+,5600,0-1,0_0.5k,2710373
1247761643,Volkswagen,T5 Multivan,150-200hp,15+years,100k+,6521,15-30,0_0.5k,5971233
1245090070,Mercedes-Benz,A-Klasse,100-150hp,15+years,50-60k,1846,4-8,0_0.5k,6132479
1248379483,Audi,A3,100-150hp,12-15years,100k+,5514,2-4,0.5-1k,621
1241445825,Ford,Focus,200-250hp,8-10years,100k+,6160,+45,<-1k,811971
1247431718,Mercedes-Benz,Sprinter,100-150hp,4-6years,90-100k,20791,0-1,1-1.5k,524441
1245475817,Opel,Corsa,0-100hp,10-12years,60-70k,4437,4-8,0.5-1k,1031481
1245839149,Skoda,Enyaq,250-300hp,0-2years,0-10k,56684,15-30,1-1.5k,4941663
1238203364,Volkswagen,Touareg,250-300hp,0-2years,40-50k,46103,+45,<-1k,38194
1246658217,Hyundai,ix35,100-150hp,8-10years,100k+,7700,0-1,0_0.5k,3182073
1247495172,Mercedes-Benz,C-Klasse,100-150hp,15+years,100k+,4550,0-1,0.5-1k,19424
1243773558,Mercedes-Benz,SL-Klasse,300+hp,15+years,100k+,11702,15-30,0.5-1k,2458843
1245703792,Seat,Leon,100-150hp,6-8years,100k+,6506,15-30,0.5-1k,671691
1219288137,Mitsubishi,Lancer,100-150hp,10-12years,100k+,4488,2-4,0_0.5k,2682783
1245553932,Kia,Sportage,100-150hp,10-12years,100k+,3655,+45,0_0.5k,51254
1243768241,Suzuki,Swift,0-100hp,12-15years,100k+,1876,0-1,0.5-1k,185201
1247013825,Renault,Clio,0-100hp,8-10years,100k+,5450,0-1,1-1.5k,150914
