id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,benzin,diesel,hybrid,automatic,manual,time_online_to_reserve_
AM46881,10102,DE,0,Skoda,Fabia,1.0 MPI,Red,2018,Limousine,Stoff,4.8,9937,75,1,0,0,0,1,25
RB25814,9165,DE,0,Ford,Focus,1.5 TDCi,Black,2018,Kombi,Stoff,3.8,102305,120,0,1,0,0,1,41
KW42873,11007,DE,0,Ford,B-Max,1.6 Ti-VCT,Blue,2016,Van,Stoff,6.4,29037,105,1,0,0,1,0,71
TR89071,7700,DE,0,Volkswagen,Polo,1.0,Gray,2015,Limousine,Stoff,5.0,45686,60,1,0,0,0,1,1
PA09379,41065,DE,0,Mercedes-Benz,V-Klasse,V 250 d,White,2016,Bus,Leder,6.7,65938,190,0,1,0,1,0,1
ZJ66843,13336,AT,0,Seat,Leon,1.4 TSI,Black,2017,Limousine,Alcantara,4.8,59712,150,1,0,0,0,1,14
ZM13645,18115,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 180,Black,2016,Kombi,Teilleder,5.5,59888,122,1,0,0,0,1,62
ZP74518,20253,DE,0,Hyundai,i30,2.0 TGDI,Black,2019,Limousine,Stoff,7.8,33483,275,1,0,0,0,1,28
ZJ66829,18500,DE,0,Volkswagen,Golf VII,1.4 TSI,Green,2017,Limousine,Alcantara,5.0,8040,125,1,0,0,1,0,91
HK88770,24302,DE,0,Jaguar,E-Pace,P250,Black,2018,SUV,Leder,7.7,56549,250,1,0,0,1,0,26
JF16093,6667,DE,0,Renault,Clio,1.2,White,2015,Limousine,Stoff,5.6,44736,73,1,0,0,0,1,23
JS74356,10014,DE,0,Volkswagen,Passat,2.0 TDI,White,2012,Kombi,Stoff,5.3,74927,140,0,1,0,0,1,32
JB40554,15820,DE,0,Audi,A4,2.0 TFSI,Gray,2016,Limousine,Stoff,5.4,100753,190,1,0,0,1,0,21
GY03764,10886,SK,0,Volkswagen,Polo,1.0,White,2019,Limousine,Stoff,4.8,12515,80,1,0,0,0,1,31
MB36998,14645,DE,0,Mazda,3,2.0,Black,2017,Limousine,Stoff,5.8,49495,165,1,0,0,0,1,46
WC28891,17179,DE,0,Mercedes-Benz,A-Klasse,A 180,Gray,2017,Limousine,Teilleder,5.5,32741,122,1,0,0,0,1,15
XY32246,15430,DE,0,Mazda,CX-5,2.2 Turbodiesel,Gray,2017,SUV,Leder,5.5,105238,175,0,1,0,1,0,42
XZ72925,9500,DE,0,Volkswagen,Golf VII,1.4 TSI,Gray,2013,Limousine,Stoff,5.2,114657,122,1,0,0,0,1,86
WB36895,30603,DE,0,BMW,5er,540i,White,2018,Kombi,Leder,7.8,55342,340,1,0,0,1,0,13
VR04604,24145,DE,0,Seat,Alhambra,1.4 TSI,Silver,2019,Van,Stoff,6.5,55197,150,1,0,0,0,1,37
WV06289,21053,DE,0,Mercedes-Benz,GLA-Klasse,GLA 180,Red,2019,SUV,Teilleder,6.9,13918,122,1,0,0,0,1,38
