id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
ZZ16389,12279,DE,0,Mercedes-Benz,B-Klasse,B 180,Gray,2012,Van,Leder,5.9,56734,122,Benzin,automatic,44
YZ59231,16800,DE,0,Audi,Q2,1.0 TFSI,Black,2017,SUV,Stoff,5.1,30840,115,Benzin,manual,11
CG79746,16616,DE,0,Skoda,Octavia,1.8 TSI,Gray,2016,Kombi,Teilleder,5.9,40385,180,Benzin,manual,5
SU00702,34197,DE,0,Volkswagen,T6 Multivan,2.0 TDI,Gray,2016,Bus,Alcantara,6.3,100078,205,Diesel,automatic,4
PE22054,12372,DE,0,Volkswagen,Golf VII,1.4 TSI,Gray,2014,Limousine,Stoff,4.7,68985,150,Benzin,manual,50
TL27202,23012,DE,0,Mercedes-Benz,C-Klasse,C 180 CGI,Gray,2018,Limousine,Teilleder,5.0,51346,155,Benzin,automatic,60
NX48098,17207,DE,0,Ford,Kuga,2.0 TDCi,Black,2015,SUV,Teilleder,5.2,71831,180,Diesel,automatic,10
TR18913,22079,DE,0,Volkswagen,T-Roc,1.5 TSI,Blue,2018,SUV,Leder,5.3,40450,150,Benzin,automatic,133
CJ93912,9441,DE,0,Skoda,Fabia,1.0 MPI,Green,2018,Kombi,Stoff,4.8,31663,75,Benzin,manual,17
RD98577,13396,NL,0,Kia,Sportage,2.0 GDI,Black,2015,SUV,Leder,8.5,51900,165,Benzin,automatic,39
CU08358,8415,DE,0,Smart,forfour,1.0,Black,2017,Limousine,Leder,5.2,24932,70,Benzin,manual,59
RD42210,7034,DE,0,Skoda,Fabia,1.0 MPI,Green,2017,Limousine,Stoff,4.8,37123,60,Benzin,manual,22
DC37995,14619,DE,0,Audi,A3,1.8 TFSI,White,2013,Limousine,Teilleder,4.4,116510,180,Benzin,automatic,15
DA17546,19668,DE,0,Audi,Q5,2.0 TDI,White,2015,SUV,Stoff,5.7,112551,190,Diesel,automatic,2
KV56179,16207,DE,0,BMW,2er,220d Active Tourer,Black,2016,Van,Stoff,4.6,57156,190,Diesel,automatic,68
JC94514,22575,DE,0,Volkswagen,Touran,1.4 TSI,Gray,2018,Van,Stoff,5.4,25703,150,Benzin,automatic,1
KR97747,24218,DE,1,Mercedes-Benz,C-Klasse,C 200 d,Gray,2020,Limousine,Teilleder,4.7,65843,160,Diesel,automatic,12
KV73159,7722,DE,0,Ford,Fiesta,1.1,Blue,2018,Limousine,Stoff,5.0,42255,70,Benzin,manual,57
SZ95015,33666,DE,0,Mercedes-Benz,E-Klasse,E 200,Black,2020,Limousine,Teilleder,6.1,13930,211,Benzin,automatic,47
UM64180,28324,DE,0,Mercedes-Benz,E-Klasse,E 350 d,Gray,2017,Kombi,Leder,5.1,80339,258,Diesel,automatic,33
JB99476,12176,DE,0,Mercedes-Benz,A-Klasse,A 180,White,2014,Limousine,Stoff,5.5,85291,122,Benzin,manual,118
TL92406,8749,DE,0,Volkswagen,Tiguan,1.4 TSI,Red,2014,SUV,Stoff,6.5,94708,122,Benzin,manual,12
PM89976,14390,DE,0,Ford,C-Max,1.5 EcoBoost,Blue,2018,Van,Stoff,6.1,30086,150,Benzin,manual,37
EV29190,22643,DE,0,Opel,Vivaro,1.6 CDTI,Brown,2019,Bus,Stoff,6.1,50222,120,Diesel,manual,15
EY32648,27854,DE,0,Mercedes-Benz,A-Klasse,A 250,White,2018,Limousine,Teilleder,6.2,38263,225,Benzin,automatic,83
EM56077,19343,DE,0,Volkswagen,Caddy,2.0 TDI,Blue,2017,Van,Teilleder,5.4,113373,150,Diesel,automatic,5
FJ25380,9756,DE,0,Nissan,Micra,0.9,Gray,2017,Limousine,Leder,4.8,89050,90,Benzin,manual,69
EN94473,9191,DE,0,Volkswagen,Golf VII Sportsvan,1.4 TSI,Red,2014,Van,Alcantara,5.4,104512,125,Benzin,manual,65
NM70060,17650,DE,0,Ford,Focus,2.0 EcoBoost,Black,2016,Limousine,Teilleder,6.8,51035,250,Benzin,manual,50
PV64874,17517,DE,0,Audi,A5 Sportsback,2.0 TFSI,Gray,2013,Kombi,Teilleder,6.6,64345,225,Benzin,automatic,6
PC72961,26605,DE,0,Volkswagen,Tiguan,1.4 TSI,White,2018,SUV,Stoff,6.1,34262,150,Benzin,automatic,118
HX74478,30592,DE,0,Volkswagen,Golf,2.0 TSI,Gray,2019,Limousine,Alcantara,6.7,19960,290,Benzin,automatic,44
KJ96060,14952,FR,0,Dacia,Dokker,1.3 TCe,Gray,2019,Van,Stoff,6.1,27426,131,Benzin,manual,32
EZ84751,14197,DE,0,Renault,Captur,1.2 TCe Energy,Green,2018,SUV,Stoff,5.5,22509,118,Benzin,automatic,20
EX18679,9993,DE,0,Ford,Grand C-Max,2.0 TDCi,Gray,2015,Van,Teilleder,4.6,109142,150,Diesel,manual,4
NM16054,17000,DE,1,BMW,1er,120i,Gray,2017,Limousine,Stoff,5.5,109427,185,Benzin,automatic,86
KG73169,15891,DE,0,Volkswagen,Golf VII,1.4 TSI,Black,2017,Limousine,Stoff,5.0,90372,150,Benzin,automatic,115
CX92622,19003,DE,0,Mercedes-Benz,C-Klasse,C 200,Silver,2015,Limousine,Teilleder,5.3,116935,185,Benzin,automatic,1
ZM19224,8259,DE,0,Skoda,Fabia,1.0 MPI,Red,2018,Limousine,Stoff,4.7,14377,75,Benzin,manual,13
ZS80115,8876,DE,0,Toyota,AYGO,1.0,White,2016,Limousine,Stoff,4.2,12936,70,Benzin,automatic,14
YR29833,24233,DE,0,Suzuki,Jimny,1.5,Gray,2020,SUV,Stoff,7.5,20192,102,Benzin,manual,23
NZ86704,17319,DE,0,Audi,Q3,2.0 TFSI,Gray,2016,SUV,Stoff,7,68238,180,Benzin,automatic,27
ML99850,12300,DE,0,Skoda,Rapid,1.4 TSI,Red,2016,Limousine,Stoff,4.8,71293,125,Benzin,automatic,7
XZ38924,13393,DE,0,Fiat,500C,1.2,Blue,2020,Cabrio,Teilleder,5.4,15216,69,Benzin,automatic,22
YT11366,5020,DE,1,Volkswagen,up!,1.0,Black,2016,Limousine,Stoff,4.4,91832,60,Benzin,manual,3
XP18437,19613,DE,0,Audi,A1,30 TFSI,Black,2018,Kombi,Stoff,4.8,6883,116,Benzin,manual,43
WG47330,7418,DE,0,Renault,Twingo,1.0 SCe,Gray,2018,Limousine,Stoff,4.2,5375,70,Benzin,manual,1
CF40572,13435,DE,0,Mercedes-Benz,B-Klasse,B 200,Gray,2014,Van,Teilleder,5.9,21881,155,Benzin,manual,57
VF23061,18860,DE,0,Volkswagen,T-Roc,1.6 TDI,Gold,2019,SUV,Stoff,4.3,30367,116,Diesel,manual,58
VG70056,15495,DE,0,Skoda,Octavia,Combi 1.0 TSI,Black,2018,Kombi,Stoff,4.8,60570,115,Benzin,manual,31
VC58051,15000,DE,0,Hyundai,i20,1.0 TGDI,Blue,2020,Limousine,Stoff,5.1,11869,101,Benzin,manual,66
WX22086,18383,DE,0,Volkswagen,Passat,1.8 TSI,Brown,2016,Kombi,Stoff,5.8,76691,180,Benzin,automatic,65
VH74587,11679,DE,0,Ford,Fiesta,1.0 EcoBoost,Gray,2017,Limousine,Stoff,5.2,30842,100,Benzin,automatic,60
MA12279,20389,DE,0,BMW,X1,sDrive 20i,White,2017,SUV,Stoff,5.7,61877,192,Benzin,automatic,80
VL25812,21900,DE,0,Volkswagen,Caddy,2.0 TDI,Gray,2017,Van,Teilleder,5.0,40685,150,Diesel,manual,82
CK09114,19277,DE,0,Volkswagen,Touran,1.4 TSI,Black,2018,Van,Stoff,5.4,68484,150,Benzin,manual,2
VH82012,12826,DE,0,Volkswagen,Polo,1.0,White,2018,Limousine,Stoff,4.8,20860,80,Benzin,manual,14
WR03254,21680,DE,0,MINI,Countryman,Cooper S,Blue,2017,SUV,Teilleder,6.0,43704,192,Benzin,automatic,78
CG44427,4321,DE,0,Volkswagen,up!,1.0,White,2013,Limousine,Stoff,4.1,101093,60,Benzin,manual,12
DG18151,12316,DE,0,Kia,Venga,1.6,Red,2017,Van,Teilleder,6.5,23338,125,Benzin,automatic,55
TZ61026,19638,DE,0,Audi,A5 Sportback,2.0 TFSI,Gray,2015,Kombi,Teilleder,5.9,97032,230,Benzin,automatic,6
KJ35023,18849,DE,0,BMW,4er,420d Gran Coupé,Black,2015,Coupe,Leder,4.0,96050,190,Diesel,automatic,11
RZ16508,16895,DE,0,Volkswagen,Golf VII,1.4 GTE,White,2016,Limousine,Stoff,1.5,79611,150,Hybrid,automatic,54
UX53176,20429,DE,0,Kia,Sorento,2.2 CRDi,White,2016,SUV,Leder,6.7,94964,200,Diesel,automatic,26
SW08829,25455,DE,0,Mercedes-Benz,B-Klasse,B 180,Gray,2019,Van,Leder,5.6,12015,136,Benzin,automatic,50
BC25251,10000,DE,0,Toyota,Yaris,1.0,White,2020,Limousine,Stoff,5.0,18845,72,Benzin,manual,41
BX51696,31631,DE,0,Mercedes-Benz,GLC-Klasse,GLC 250 d,Blue,2017,SUV,Teilleder,5.0,81582,205,Diesel,automatic,77
BV98543,8404,DE,0,Fiat,500,1.2,Gray,2018,Limousine,Teilleder,5.2,45007,70,Benzin,manual,6
EL54505,17981,DE,0,Skoda,Octavia,2.0 TSI,Black,2015,Kombi,Leder,6.2,44538,220,Benzin,automatic,10
ET07985,6963,SI,0,Kia,cee'd,1.4,Gray,2013,Limousine,Stoff,6.0,67197,100,Benzin,manual,93
EL39266,24044,DE,0,BMW,X2,xDrive 20d,Black,2019,SUV,Stoff,4.7,29613,190,Diesel,automatic,3
FE92743,25449,DE,0,Audi,Q2,35 TFSI,Gray,2019,SUV,Teilleder,5.7,16771,150,Benzin,automatic,35
EN67105,18220,DE,0,Mazda,CX-3,2.0 Skyactiv-G,Gray,2020,SUV,Teilleder,6.0,7354,121,Benzin,automatic,10
EN20342,8068,DE,0,Fiat,Panda,1.2,White,2019,Limousine,Stoff,4.9,4224,70,Benzin,manual,50
EX67102,14900,DE,0,Ford,Fiesta,1.0 EcoBoost,Gray,2019,Kombi,Stoff,4.6,15495,101,Benzin,automatic,46
ES05994,13000,DE,0,Mazda,6,2.2 Turbodiesel,Black,2016,Kombi,Leder,4.9,109123,175,Diesel,automatic,8
SY23443,16061,PL,1,Skoda,Kamiq,1.0 TSI,Gray,2019,SUV,Stoff,5.1,57256,116,Benzin,manual,41
ST56615,8029,DE,0,Volkswagen,Polo,1.0 TSI,Gray,2015,Limousine,Stoff,4.3,57788,110,Benzin,manual,56
TH01962,33306,DE,0,Hyundai,Tucson,1.6 CRDi Mild-Hybrid,Black,2021,SUV,Leder,4.7,4419,136,Diesel,automatic,51
SF12546,18104,DE,0,Jaguar,XE,20d,Black,2017,Limousine,Leder,4.2,96973,180,Diesel,automatic,13
TA20805,35526,DE,1,Mercedes-Benz,CLA-Klasse,CLA 250,Gray,2019,Limousine,Teilleder,6.0,49174,224,Benzin,automatic,80
SY61934,12766,DE,0,Volkswagen,Golf VII Sportsvan,1.4 TSI,Gray,2015,Van,Stoff,5.2,87639,150,Benzin,automatic,14
SZ35119,21526,DE,0,Volkswagen,Passat,2.0 TDI,Brown,2018,Limousine,Stoff,4.6,69697,190,Diesel,automatic,34
ZZ04312,17069,DE,1,Opel,Grandland X,2.0 CDTI,White,2019,SUV,Leder,4.9,109038,177,Diesel,automatic,29
JP71027,12300,DE,0,Jeep,Renegade,1.4 M-Air,Yellow,2016,SUV,Leder,6.0,97644,140,Benzin,manual,1
YW64640,13400,DE,0,Volkswagen,Golf VII,1.0 TSI,Gray,2017,Limousine,Stoff,4.8,41556,110,Benzin,manual,34
YT17355,10503,DE,0,Fiat,500,1.2,Beige,2019,Limousine,Teilleder,5.4,4088,69,Benzin,automatic,1
XX66961,9000,DE,0,Ford,Focus,1.0 EcoBoost,Blue,2018,Kombi,Stoff,4.8,76307,100,Benzin,manual,33
ZG54230,7044,DE,0,Opel,Corsa,1.4,Gray,2015,Limousine,Stoff,5.2,74112,90,Benzin,manual,53
TL79047,5224,DE,0,Fiat,500,1.2,White,2013,Limousine,Leder,5.1,81610,70,Benzin,manual,2
NS08867,6411,DE,0,Peugeot,208,1.2 e-VTi,White,2016,Limousine,Stoff,4.8,50765,82,Benzin,manual,18
NS84650,16071,DE,0,BMW,3er,320d,Blue,2014,Limousine,Alcantara,4.5,81939,185,Diesel,automatic,4
NJ62939,39000,DE,0,Mercedes-Benz,A-Klasse,A 35 AMG,Yellow,2019,Limousine,Teilleder,7.3,19951,306,Benzin,automatic,116
NY81126,41386,DE,0,Mercedes-Benz,GLE-Klasse,GLE 350 d,Black,2017,SUV,Leder,7.5,56230,258,Diesel,automatic,33
LT70380,17850,DE,0,Volkswagen,Golf VII,1.5 TSI,Black,2018,Limousine,Stoff,4.9,31490,150,Benzin,automatic,46
NW80686,13574,DE,0,Hyundai,IONIQ,1.6,White,2017,Limousine,Leder,3.4,84129,104,Hybrid,automatic,17
MR79465,16934,DE,0,BMW,X1,sDrive 18i,Black,2017,SUV,Teilleder,5.1,56412,135,Benzin,manual,8
VE21772,19234,DE,0,BMW,5er,530d,Gray,2014,Kombi,Leder,5.3,107693,258,Diesel,automatic,37
VD62614,16607,DE,0,Renault,Kadjar,1.3 TCe,Black,2019,SUV,Teilleder,5.8,21040,140,Benzin,automatic,6
VG08317,15182,CZ,0,Hyundai,Tucson,1.6 TGDI,Gray,2015,SUV,Stoff,7.5,80250,177,Benzin,automatic,39
UN47912,25264,DE,1,MINI,Clubman,Cooper S,Black,2019,Kombi,Leder,6.2,45741,192,Benzin,automatic,20
WG70139,32916,DE,0,Volvo,XC 40,2.0 T5,Red,2018,SUV,Alcantara,7.1,31484,247,Benzin,automatic,12
PE81795,15593,DE,0,BMW,3er,320d GT,Black,2013,Limousine,Leder,5.1,80667,185,Diesel,automatic,4
JP33721,42500,DE,0,Audi,RS 3,2.5 TFSI,Black,2017,Limousine,Leder,8.4,21455,400,Benzin,automatic,156
JA72316,12000,DE,0,MINI,MINI,Cooper S,Black,2015,Limousine,Leder,5.8,76006,192,Benzin,manual,28
