dates,cars_sold,cars_online,avg_buyprice,bookmarks,opportunity
2023-03-13,46,1429,16283,2090,3054
2023-03-14,53,1463,16300,2234,2999
2023-03-15,54,1483,16273,2206,2850
2023-03-16,50,1504,16224,2114,2874
2023-03-17,48,1523,16138,1985,2766
2023-03-18,16,1583,16037,1985,2438
2023-03-19,0,1596,16042,2325,2135
2023-03-20,77,1515,16141,2683,2986
2023-03-21,80,1483,16202,2118,3050
2023-03-22,60,1494,16174,2093,2900
2023-03-23,55,1487,16030,2118,2728
2023-03-24,41,1573,15899,2029,2495
2023-03-25,10,1635,15736,2226,2273
2023-03-26,1,1657,15748,2004,2037
2023-03-27,76,1572,15791,2213,2876
2023-03-28,46,1586,15800,2160,2966
2023-03-29,67,1587,15839,2310,2791
2023-03-30,61,1581,15789,2238,2772
2023-03-31,53,1628,15660,1986,2682
2023-04-01,16,1703,15571,1907,2229
2023-04-02,0,1734,15564,2104,1963
2023-04-03,61,1672,15593,1857,2748
2023-04-04,57,1666,15506,1839,2603
2023-04-05,58,1668,15551,1920,2479
2023-04-06,47,1687,15488,1716,2228
2023-04-07,0,1755,15408,2510,2256
2023-04-08,24,1730,15434,1800,2000
2023-04-09,0,1751,15523,1546,1569
2023-04-10,0,1751,15523,2031,2053
2023-04-11,73,1676,15542,2092,2876
2023-04-12,74,1682,15375,2490,2857
2023-04-13,68,1699,15463,2269,2871
2023-04-14,60,1702,15493,2371,2571
2023-04-15,26,1752,15464,1919,2261
2023-04-16,0,1767,15504,2263,1994
2023-04-17,72,1702,15533,2241,2932
2023-04-18,63,1688,15407,2339,2771
2023-04-19,65,1676,15391,1885,2676
2023-04-20,78,1668,15323,1875,2631
2023-04-21,74,1733,15326,2149,2467
2023-04-22,21,1834,15206,1803,2141
2023-04-23,0,1872,15255,2171,1998
2023-04-24,78,1800,15292,2630,2921
2023-04-25,79,1789,15230,2855,2770
2023-04-26,73,1797,15197,2397,2784
2023-04-27,51,1842,15167,2375,2711
2023-04-28,66,1916,15305,2616,2696
2023-04-29,16,1985,15252,2279,2238
2023-04-30,0,1985,15248,2217,1841
2023-05-01,0,1985,15248,2289,2018
2023-05-02,75,1926,15284,2341,2772
2023-05-03,83,1885,15320,2520,2768
2023-05-04,53,1900,15266,2094,2681
2023-05-05,67,1899,15263,2223,2507
2023-05-06,20,1960,15231,2071,2153
2023-05-07,0,1988,15261,2303,1942
2023-05-08,93,1899,15265,2252,2848
2023-05-09,64,1870,15198,2279,2776
2023-05-10,54,1878,15125,2548,2821
2023-05-11,61,1883,15047,2068,2731
2023-05-12,59,1895,15014,2203,2604
2023-05-13,14,1966,14929,1758,2229
2023-05-14,0,2020,14966,2130,1933
2023-05-15,88,1939,14999,2277,2897
2023-05-16,52,1997,14861,2339,2879
2023-05-17,54,2026,14852,2082,2687
2023-05-18,0,2105,14814,2037,2553
2023-05-19,77,2024,14796,2036,2628
2023-05-20,8,2072,14774,1986,2251
2023-05-21,0,2081,14791,1844,1945
2023-05-22,73,2021,14744,2109,2924
2023-05-23,79,1987,14677,2282,2850
2023-05-24,52,1998,14567,2606,2781
2023-05-25,51,2032,14462,2129,2718
2023-05-26,46,2058,14444,1827,2432
2023-05-27,12,2102,14465,1718,2128
2023-05-28,0,2118,14460,1813,1708
2023-05-29,0,2118,14460,2108,2409
2023-05-30,91,2029,14420,2220,2723
2023-05-31,59,2057,14403,2038,2748
2023-06-01,52,2042,14357,1858,2429
2023-06-02,44,2066,14319,1809,2270
2023-06-03,17,2109,14283,1655,1979
2023-06-04,0,2142,14297,1872,1746
2023-06-05,67,2088,14246,2016,2647
2023-06-06,57,2104,14162,1761,2610
2023-06-07,68,2103,14141,1928,2433
2023-06-08,60,2130,14175,2194,2435
2023-06-09,44,2140,14229,1796,2396
2023-06-10,15,2216,14190,1327,1909
2023-06-11,0,2253,14199,1714,1876
2023-06-12,77,2188,14145,1838,2761
