week,share_opps,share_bookmarks,share_sold,share_contracts_signed
2020-01,0.7390946502057614,0.102880658436214,0.03786008230452675,0.08065843621399177
2020-02,0.8639291465378421,0.0966183574879227,0.0998389694041868,0.13285024154589373
2020-03,0.8580645161290322,0.2830645161290323,0.07741935483870968,0.1346774193548387
2020-04,0.7577639751552795,0.14751552795031056,0.07919254658385093,0.12267080745341614
2020-05,0.6405178979436406,0.16222391469916222,0.06473724295506474,0.10586443259710586
2020-06,0.5716374269005848,0.10307017543859649,0.06798245614035088,0.13084795321637427
2020-07,0.514978601997147,0.11340941512125535,0.06348074179743224,0.10057061340941512
2020-08,0.5306553911205074,0.12896405919661733,0.047216349541930935,0.09372797744890768
2020-09,0.5905405405405405,0.1,0.052702702702702706,0.10202702702702703
2020-10,0.6233850129198967,0.12209302325581395,0.043281653746770024,0.1182170542635659
2020-11,0.3968253968253968,0.05650793650793651,0.015873015873015872,0.08444444444444445
2020-12,0.2432619212163096,0.04906703524533518,0.003455425017277125,0.04561161022805805
2020-13,0.2204674668351232,0.08085912823752368,0.032849020846494,0.022109917877447885
2020-14,0.22289156626506024,0.11646586345381527,0.0214190093708166,0.03346720214190094
2020-15,0.27152777777777776,0.07083333333333333,0.017361111111111112,0.04583333333333333
2020-16,0.32696390658174096,0.03113941967445152,0.012738853503184714,0.040339702760084924
2020-17,0.341534008683068,0.04848046309696093,0.015918958031837915,0.055716353111432707
2020-18,0.4165424739195231,0.05141579731743666,0.023099850968703428,0.06333830104321908
2020-19,0.36469673405909797,0.07542768273716952,0.034992223950233284,0.04821150855365474
2020-20,0.41133004926108374,0.08784893267651889,0.03284072249589491,0.05747126436781609
2020-21,0.34196891191709844,0.06649395509499137,0.025906735751295335,0.04922279792746114
2020-22,0.3448581560283688,0.05851063829787234,0.0274822695035461,0.04698581560283688
2020-23,0.547641073080481,0.0971322849213691,0.0425531914893617,0.06475485661424607
2020-24,0.5463320463320464,0.09073359073359073,0.029922779922779922,0.06177606177606178
2020-25,0.5385375494071146,0.037549407114624504,0.040513833992094864,0.06620553359683795
2020-26,0.6683569979716024,0.18864097363083165,0.04766734279918864,0.07809330628803246
2020-27,0.824235807860262,0.11353711790393013,0.07314410480349345,0.11353711790393013
2020-28,0.7570303712035995,0.10798650168728909,0.0798650168728909,0.12148481439820022
2020-29,0.7817745803357314,0.13069544364508393,0.05875299760191847,0.09352517985611511
2020-30,0.9802631578947368,0.2026315789473684,0.08157894736842106,0.11973684210526316
2020-31,0.9959294436906377,0.18317503392130258,0.0773405698778833,0.10176390773405698
2020-32,0.8664072632944229,0.11413748378728923,0.07652399481193256,0.11673151750972763
2020-33,1.0133868808567603,0.24364123159303883,0.060240963855421686,0.11512717536813923
2020-34,0.9461152882205514,0.11528822055137844,0.08395989974937343,0.11904761904761904
2020-35,0.9711538461538461,0.19951923076923078,0.09375,0.13942307692307693
2020-36,0.8721624850657109,0.18399044205495818,0.06810035842293907,0.10752688172043011
2020-37,0.9229024943310657,0.15192743764172337,0.0782312925170068,0.1145124716553288
2020-38,0.8245033112582781,0.08388520971302428,0.08609271523178808,0.11810154525386314
2020-39,0.7540106951871658,0.16898395721925133,0.053475935828877004,0.0855614973262032
2020-40,0.7993795243019648,0.16339193381592554,0.0796277145811789,0.10548086866597725
2020-41,0.7939914163090128,0.1223175965665236,0.07618025751072961,0.09656652360515021
2020-42,0.7987551867219918,0.1950207468879668,0.06950207468879668,0.10269709543568464
2020-43,0.7738883632923368,0.2753074739829707,0.06433301797540208,0.09176915799432356
2020-44,0.8442028985507246,0.6811594202898551,0.06793478260869565,0.10416666666666667
2020-45,1.335930735930736,1.981818181818182,0.07705627705627706,0.14285714285714285
2020-46,1.2972270363951472,1.5329289428076256,0.07538994800693241,0.14731369150779897
2020-47,1.1260364842454396,0.373134328358209,0.06633499170812604,0.13018242122719734
2020-48,1.1341752170481452,1.4435674822415154,0.08602999210734018,0.1515390686661405
2020-49,1.1490494296577947,1.6129277566539924,0.08365019011406843,0.1505703422053232
2020-50,1.049490538573508,1.363901018922853,0.06695778748180495,0.1215429403202329
2020-51,0.9432878679109835,1.3747307968413496,0.05886575735821967,0.11701363962670495
2020-52,1.1031390134529149,2.367713004484305,0.053811659192825115,0.11434977578475336
2020-53,0.3217535153019024,0.5955334987593052,0.028949545078577336,0.04052936311000827
2021-01,1.236280487804878,2.262957317073171,0.08917682926829268,0.1638719512195122
2021-02,1.2696115765422695,2.0045696877380044,0.11271896420411272,0.178979436405179
2021-03,1.2843062926459439,2.1341925701288855,0.1106899166034875,0.17816527672479152
2021-04,1.3549618320610688,2.302290076335878,0.09312977099236641,0.17862595419847327
2021-05,1.4881226053639847,2.7065134099616857,0.1371647509578544,0.21992337164750958
2021-06,1.39921875,2.5546875,0.12421875,0.20703125
2021-07,1.3826291079812207,2.5172143974960877,0.10954616588419405,0.19327073552425664
2021-08,1.4233128834355828,2.089723926380368,0.13803680981595093,0.20322085889570551
2021-09,1.2471395881006866,2.5240274599542336,0.15560640732265446,0.2303585049580473
2021-10,1.4933852140077821,2.427237354085603,0.1245136186770428,0.1961089494163424
2021-11,1.563412759415834,2.951575710991545,0.11760184473481937,0.212913143735588
2021-12,1.4711388455538221,2.719188767550702,0.10764430577223089,0.19500780031201248
2021-13,1.2343260188087775,2.41692789968652,0.09717868338557993,0.18808777429467086
2021-14,1.3502871205906481,2.771123872026251,0.08613617719442165,0.18211648892534865
2021-15,1.4684975767366721,2.6567043618739903,0.10823909531502424,0.18659127625201938
