id,price_less_7k,price_7_10k,price_10_13k,price_13_16k,price_16_20k,price_20_25k,price_over_25k,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage_below_30k_,mileage_30_50k_,mileage_50_70k_,mileage_over_70k_,horsepower_below_100_,horsepower_100_150_,horsepower_150_200_,horsepower_200_250_,horsepower_over_250_,low_fuel_consumption,mid_low_fuel_consumption,mid_high_fuel_consumption,high_fuel_consumption,benzin,diesel,hybrid,automatic,manual,time_sell
ZX29188,0,1,0,0,0,0,0,Renault,Captur,0.9 Energy,Blue,2013,SUV,Stoff,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,25-35d
VE45757,0,0,0,0,1,0,0,Ford,Mondeo,2.0 EcoBoost SCTi,Gray,2018,Kombi,Stoff,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,35-50d
AL86421,0,0,1,0,0,0,0,Volkswagen,Golf VII,1.4 TSI,Black,2015,Kombi,Stoff,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,35-50d
PN96642,0,0,1,0,0,0,0,Toyota,Verso,1.8,Gray,2015,Van,Stoff,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0-7d
EA39390,0,0,0,0,1,0,0,Seat,Leon,2.0 TSI,Gray,2017,Limousine,Teilleder,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,35-50d
EG21369,0,0,0,1,0,0,0,Seat,Leon,2.0 TDI,Blue,2017,Limousine,Teilleder,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,100+
HT04810,0,1,0,0,0,0,0,Mercedes-Benz,C-Klasse,C 200 CDI,Gray,2013,Limousine,Teilleder,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0-7d
GC24925,0,0,0,1,0,0,0,Volkswagen,Touran,1.4 TSI,Red,2014,Van,Stoff,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0-7d
YB58121,0,0,0,0,0,1,0,Mercedes-Benz,E-Klasse,E 350 CGI,Black,2012,Coupe,Leder,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0-7d
UW72800,0,0,1,0,0,0,0,Volkswagen,Golf VII,1.0 TSI,White,2017,Kombi,Stoff,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
EA71841,0,0,0,1,0,0,0,Volkswagen,Golf VII,2.0 TDI,Black,2016,Limousine,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,100+
AL91777,0,0,0,1,0,0,0,BMW,2er,220i Active Tourer,Black,2016,Van,Leder,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0-7d
HF47239,0,0,0,1,0,0,0,Seat,Leon,1.8 TSI,White,2018,Kombi,Teilleder,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,7-15d
SR54668,0,0,0,0,1,0,0,Hyundai,Kona,1.6 TGDI,Gray,2018,SUV,Leder,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0-7d
FY34285,0,0,0,1,0,0,0,Mazda,CX-3,2.0,Brown,2016,SUV,Leder,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,35-50d
XV41888,1,0,0,0,0,0,0,Volkswagen,up!,1.0,Black,2013,Limousine,Leder,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
JZ17123,1,0,0,0,0,0,0,Smart,fortwo,1.0,Gray,2014,Coupe,Stoff,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,15-25d
GY50827,0,0,1,0,0,0,0,Volkswagen,Golf VII Sportsvan,1.4 TSI,Gray,2015,Van,Stoff,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
FR47708,1,0,0,0,0,0,0,Dacia,Dokker,1.6 SCe,White,2018,Kombi,Stoff,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,15-25d
AK15317,0,0,0,0,0,1,0,Skoda,Karoq,1.5 TSI,Blue,2019,SUV,Stoff,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,35-50d
JG00120,0,0,0,0,0,0,1,BMW,2er,M240i,Gray,2019,Coupe,Leder,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,50-65d
ES84533,0,0,0,0,0,0,1,Mercedes-Benz,GLA-Klasse,GLA 250e,Black,2020,SUV,Teilleder,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100+
VP81269,0,0,0,1,0,0,0,BMW,1er,116d,Gray,2016,Limousine,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,25-35d
GG68938,0,1,0,0,0,0,0,Seat,Leon,1.4 TSI,Black,2014,Limousine,Teilleder,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
JK10427,0,0,1,0,0,0,0,Volkswagen,Golf VII Sportsvan,1.2 TSI,Black,2015,Van,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
UL66586,0,1,0,0,0,0,0,Seat,Leon,2.0 TDI,Gray,2012,Limousine,Alcantara,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0-7d
WY22623,0,0,0,1,0,0,0,MINI,MINI,Cooper,Green,2017,Limousine,Teilleder,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
NN20726,0,0,0,0,0,0,1,Land Rover,Evoque,P160 Mild-Hybrid,Black,2021,SUV,Leder,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,80-100d
AG41545,0,0,0,0,0,0,1,Kia,pro_cee'd,1.6 TGDI,Gray,2021,Coupe,Leder,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0-7d
UW27854,0,0,0,1,0,0,0,Hyundai,i30,1.5,Gray,2020,Limousine,Stoff,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,50-65d
TD25065,0,0,0,1,0,0,0,BMW,3er,320i,Black,2016,Limousine,Stoff,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0-7d
PX52321,0,0,0,0,1,0,0,Mercedes-Benz,CLA-Klasse,CLA 180,Black,2018,Limousine,Teilleder,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,50-65d
WH07921,0,1,0,0,0,0,0,Renault,Captur,1.2 TCe,Blue,2014,SUV,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
AG62258,0,0,0,0,1,0,0,Honda,Civic,1.0 VTEC,Gray,2019,Limousine,Leder,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,65-80d
ZZ00744,0,1,0,0,0,0,0,Smart,fortwo,1.0,Black,2017,Coupe,Stoff,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,35-50d
US79734,0,0,0,1,0,0,0,Smart,fortwo,0.9 Turbo,Black,2019,Cabrio,Leder,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0-7d
AM48848,0,0,0,1,0,0,0,Volkswagen,Passat,1.4 TSI,Gray,2017,Kombi,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,50-65d
AU52574,0,0,0,1,0,0,0,Seat,Arona,1.6 TDI,Black,2018,SUV,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,80-100d
BG21115,0,0,0,0,1,0,0,Volkswagen,Passat,2.0 TDI,Black,2016,Kombi,Teilleder,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0-7d
ZS36513,0,0,1,0,0,0,0,Skoda,Yeti,1.2 TSI,Brown,2017,SUV,Stoff,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,80-100d
AG10599,0,0,0,0,0,1,0,Audi,A6,2.0 TFSI,Black,2016,Kombi,Leder,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0-7d
AA62393,0,0,0,0,1,0,0,Skoda,Octavia,2.0 TDI,Black,2018,Kombi,Alcantara,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,25-35d
MU21467,0,0,0,1,0,0,0,Ford,Kuga,2.0 TDCi,Gray,2016,SUV,Teilleder,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0-7d
VD53575,0,0,0,1,0,0,0,Mazda,3,2.0,Red,2018,Limousine,Stoff,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
AC45716,0,0,0,1,0,0,0,Volkswagen,Golf VII,2.0 TSI,Gray,2016,Limousine,Stoff,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,15-25d
MP92079,0,0,0,0,1,0,0,Volkswagen,Golf VII,1.8 TSI,Gray,2017,Kombi,Stoff,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,15-25d
EY33678,0,1,0,0,0,0,0,Ford,Grand C-Max,1.0 EcoBoost,Gray,2016,Van,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
NL59112,0,0,0,1,0,0,0,Mercedes-Benz,A-Klasse,A 180,Black,2016,Limousine,Teilleder,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0-7d
AC01840,0,0,0,1,0,0,0,BMW,2er,218d Gran Tourer,Blue,2016,Van,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0-7d
UR89937,1,0,0,0,0,0,0,Renault,Twingo,1.0 SCe,Blue,2016,Limousine,Stoff,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,7-15d
UY72160,1,0,0,0,0,0,0,Fiat,500,1.2,Black,2016,Limousine,Stoff,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
ZV39876,0,0,0,0,0,0,1,Mercedes-Benz,CLA-Klasse,CLA 250,Black,2019,Limousine,Alcantara,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,15-25d
FB19689,0,0,0,1,0,0,0,Suzuki,Vitara,1.6,Red,2015,SUV,Teilleder,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,35-50d
FX36676,1,0,0,0,0,0,0,Dacia,Sandero II,0.9 TCe,Red,2016,Limousine,Stoff,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
ZY52801,0,0,0,0,1,0,0,Volkswagen,Passat,2.0 TDI,Black,2015,Kombi,Alcantara,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,7-15d
KD42353,0,1,0,0,0,0,0,Nissan,Juke,1.5 Turbodiesel,Gray,2015,SUV,Stoff,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,25-35d
DK53332,1,0,0,0,0,0,0,Ford,C-Max,1.0 EcoBoost,Black,2014,Van,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,25-35d
XD97967,0,0,1,0,0,0,0,Renault,Twingo,0.9 Energy,Black,2018,Limousine,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
VS53483,1,0,0,0,0,0,0,Ford,Fiesta,1.0,Silver,2013,Limousine,Stoff,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,35-50d
TS96860,0,1,0,0,0,0,0,Opel,Corsa,1.4,Blue,2017,Limousine,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0-7d
DF41449,0,0,0,1,0,0,0,Ford,Fiesta,1.0 EcoBoost,Gray,2019,Kombi,Stoff,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
EH33332,1,0,0,0,0,0,0,Skoda,Citigo,1.0 MPI,Red,2016,Limousine,Stoff,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,80-100d
GS07376,0,1,0,0,0,0,0,Mazda,5,1.8,Gray,2014,Van,Stoff,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0-7d
AL60858,0,0,0,0,0,1,0,Ssangyong,Korando,1.5,White,2019,SUV,Leder,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,50-65d
LV44882,0,0,0,0,0,1,0,Volkswagen,T-Roc,1.6 TDI,Gray,2019,SUV,Stoff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,100+
YV04911,1,0,0,0,0,0,0,Opel,Meriva,1.4 Turbo,Gray,2012,Van,Teilleder,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0-7d
WR99634,0,0,1,0,0,0,0,Skoda,Octavia,2.0 TDI,Brown,2016,Kombi,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,35-50d
TZ73551,0,0,0,0,1,0,0,Ford,Kuga,1.5 EcoBoost,Blue,2018,SUV,Teilleder,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0-7d
VP44047,0,0,0,0,1,0,0,Nissan,Qashqai,1.3 DIG-T,Black,2019,SUV,Stoff,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0-7d
PE02765,0,0,1,0,0,0,0,Skoda,Octavia,1.6 TDI,Gray,2016,Kombi,Stoff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0-7d
TF58798,0,0,0,0,0,1,0,Audi,A1,40 TFSI,White,2019,Kombi,Teilleder,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0-7d
TF36336,0,0,1,0,0,0,0,BMW,2er,218d Gran Tourer,Gray,2016,Van,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0-7d
AT88840,0,0,0,0,1,0,0,Volkswagen,Golf VII,1.5 TSI,Black,2018,Limousine,Stoff,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,25-35d
SW34839,0,0,0,0,0,0,1,Volkswagen,Tiguan,2.0 TDI,Black,2016,SUV,Stoff,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0-7d
BZ90549,0,0,0,1,0,0,0,Hyundai,Tucson,1.6,Gray,2016,SUV,Stoff,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,15-25d
UW11889,0,0,0,0,0,0,1,Ford,Tourneo Custom,2.0 TDCi,Orange,2020,Bus,Leder,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0-7d
LW92750,0,0,0,0,0,1,0,Volkswagen,Tiguan,1.5 TSI,Black,2019,SUV,Stoff,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0-7d
LJ81841,0,1,0,0,0,0,0,Smart,forfour,1.0,Black,2018,Limousine,Stoff,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,65-80d
FW19233,1,0,0,0,0,0,0,Citroen,DS3,1.6 Blue-HDi,White,2015,Limousine,Stoff,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,35-50d
KJ44355,0,0,0,0,1,0,0,BMW,1er,118i,White,2019,Limousine,Stoff,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0-7d
NF48762,0,0,0,0,1,0,0,Kia,Sportage,1.6 GDI,Gray,2018,SUV,Stoff,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,65-80d
DL73582,0,1,0,0,0,0,0,Volkswagen,Golf VII,1.6 TDI,Gray,2014,Limousine,Stoff,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,7-15d
NL37359,0,0,0,1,0,0,0,Mercedes-Benz,CLA-Klasse,CLA 220 d,Black,2014,Limousine,Teilleder,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0-7d
UV53206,0,0,0,1,0,0,0,Ford,S-Max,2.0 TDCi,Red,2015,Van,Leder,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0-7d
GN11545,0,0,0,1,0,0,0,Opel,Mokka X,1.6 CDTI DPF,Silver,2019,SUV,Stoff,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,15-25d
HG24406,0,0,1,0,0,0,0,Ford,Tourneo,1.0 EcoBoost,White,2015,Kombi,Stoff,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
CZ82748,0,0,0,0,0,1,0,Mercedes-Benz,C-Klasse,C 200,Black,2016,Coupe,Alcantara,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,15-25d
NB13756,0,1,0,0,0,0,0,Toyota,Yaris,1.33 Dual VVT-i,Gray,2015,Limousine,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,35-50d
UC13867,0,1,0,0,0,0,0,Nissan,Juke,1.6,Gray,2013,SUV,Stoff,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,25-35d
GT54579,0,0,0,0,1,0,0,Mercedes-Benz,CLA-Klasse,CLA 180,Black,2017,Limousine,Teilleder,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,15-25d
VP43153,0,1,0,0,0,0,0,Volkswagen,Polo,1.2 TSI,Black,2016,Limousine,Stoff,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,7-15d
FW84168,0,1,0,0,0,0,0,Renault,Captur,0.9 Energy,Black,2016,SUV,Stoff,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
SB35270,0,0,1,0,0,0,0,Opel,Insignia,2.0 CDTI,Gray,2017,Kombi,Stoff,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,100+
EP77447,0,0,0,0,0,1,0,Mercedes-Benz,E-Klasse,E 350 CGI,Gray,2013,Limousine,Leder,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,35-50d
ZC82384,0,0,0,0,0,1,0,Toyota,Yaris Cross,1.5 Hybrid,Gray,2022,SUV,Stoff,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0-7d
SR29981,0,0,0,1,0,0,0,Renault,Clio,1.6 TCe Energy,Black,2016,Limousine,Stoff,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,7-15d
JH43345,0,0,0,0,0,1,0,Volkswagen,T-Roc,2.0 TSI,Black,2018,SUV,Teilleder,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0-7d
