dates,cars_sold,cars_online,avg_buyprice,bookmarks
2021-07-06,30,1423,16419,677
2021-07-07,32,1421,16514,570
2021-07-08,25,1395,16443,574
2021-07-09,26,1410,16514,442
2021-07-10,16,1379,16514,548
2021-07-11,11,1362,16562,630
2021-07-12,31,1347,16633,597
2021-07-13,35,1330,16690,574
2021-07-14,36,1328,16700,792
2021-07-15,31,1319,16658,517
2021-07-16,31,1344,16584,555
2021-07-17,22,1320,16655,726
2021-07-18,11,1298,16695,735
2021-07-19,30,1290,16748,607
2021-07-20,34,1282,16740,581
2021-07-21,27,1316,16632,475
2021-07-22,30,1340,16725,779
2021-07-23,25,1374,16702,716
2021-07-24,21,1363,16728,540
2021-07-25,11,1339,16778,871
2021-07-26,27,1334,16872,785
2021-07-27,24,1327,16933,687
2021-07-28,31,1327,16949,696
2021-07-29,23,1336,16959,700
2021-07-30,34,1369,16980,542
2021-07-31,19,1354,17083,816
2021-08-01,11,1332,17105,776
2021-08-02,29,1315,17083,832
2021-08-03,39,1320,17179,722
2021-08-04,38,1367,17190,726
2021-08-05,30,1387,17149,807
2021-08-06,32,1394,17219,705
2021-08-07,28,1361,17352,835
2021-08-08,11,1337,17345,997
2021-08-09,32,1333,17368,680
2021-08-10,35,1330,17481,956
2021-08-11,32,1337,17550,566
2021-08-12,22,1545,17117,736
2021-08-13,30,1569,17144,507
2021-08-14,30,1547,17177,618
2021-08-15,11,1523,17212,905
2021-08-16,39,1504,17287,896
2021-08-17,33,1514,17420,774
2021-08-18,29,1522,17429,960
2021-08-19,23,1553,17378,757
2021-08-20,28,1630,17443,722
2021-08-21,14,1637,17476,702
2021-08-22,17,1623,17479,923
2021-08-23,38,1635,17562,845
2021-08-24,32,1659,17556,829
2021-08-25,27,1692,17686,578
2021-08-26,41,1704,17775,1014
2021-08-27,29,1731,17707,846
2021-08-28,18,1729,17776,570
2021-08-29,5,1721,17790,1096
2021-08-30,39,1722,17721,812
2021-08-31,36,1748,17700,791
2021-09-01,39,1760,17755,695
2021-09-02,26,1797,17586,671
2021-09-03,38,1813,17492,609
2021-09-04,19,1785,17539,674
2021-09-05,15,1764,17568,820
2021-09-06,46,1800,17555,776
2021-09-07,47,1905,17687,951
2021-09-08,37,1946,17718,737
2021-09-09,40,2012,17453,833
2021-09-10,53,2110,17488,906
2021-09-11,29,2083,17529,981
2021-09-12,12,2055,17546,1023
2021-09-13,53,2057,17561,804
2021-09-14,38,2036,17592,790
2021-09-15,36,2061,17597,1087
2021-09-16,37,2114,17549,778
2021-09-17,47,2171,17477,830
2021-09-18,31,2145,17562,824
2021-09-19,15,2117,17596,932
2021-09-20,51,2128,17571,1023
2021-09-21,40,2170,17483,909
2021-09-22,42,2195,17557,902
2021-09-23,36,2217,17557,821
2021-09-24,47,2257,17532,777
2021-09-25,31,2236,17505,917
2021-09-26,21,2202,17563,1027
2021-09-27,40,2210,17549,834
2021-09-28,51,2249,17544,1071
2021-09-29,41,2287,17500,1004
2021-09-30,36,2303,17479,722
2021-10-01,37,2337,17456,870
2021-10-02,34,2289,17516,704
2021-10-03,31,2242,17619,1183
2021-10-04,46,2282,17649,766
2021-10-05,64,2300,17664,1064
2021-10-06,47,2333,17755,1134
2021-10-07,49,2411,17785,1031
2021-10-08,52,2453,17675,1012
2021-10-09,40,2402,17626,966
2021-10-10,29,2359,17702,1468
2021-10-11,58,2382,17727,1235
2021-10-12,59,2417,17698,1311
2021-10-13,55,2422,17694,1372
2021-10-14,75,2440,17736,1197
2021-10-15,45,2467,17652,1125
2021-10-16,41,2417,17684,1649
2021-10-17,21,2378,17707,1582
2021-10-18,43,2363,17668,1121
2021-10-19,57,2438,17676,1313
2021-10-20,56,2590,17754,1322
2021-10-21,56,2732,17717,1466
2021-10-22,54,2840,17700,1357
2021-10-23,47,2795,17729,1378
2021-10-24,10,2765,17747,1475
2021-10-25,67,2761,17763,1330
2021-10-26,63,2765,17744,1694
2021-10-27,68,2766,17801,1521
2021-10-28,51,2758,17807,1535
2021-10-29,60,2748,17784,1423
2021-10-30,43,2700,17835,1935
2021-10-31,27,2653,17830,1730
2021-11-01,65,2659,17902,2209
2021-11-02,75,2670,17970,1739
2021-11-03,60,2735,17907,1754
2021-11-04,65,2775,17919,1533
2021-11-05,59,2827,17917,1526
2021-11-06,47,2846,17991,1712
2021-11-07,28,2801,18015,1771
2021-11-08,68,2807,18031,1491
2021-11-09,62,2825,18058,1523
2021-11-10,70,2839,18009,1245
2021-11-11,50,2870,18022,1361
2021-11-12,56,2901,17950,1511
2021-11-13,53,2872,18024,1912
2021-11-14,25,2830,18077,2059
2021-11-15,74,2800,18153,1559
2021-11-16,65,2795,18198,1759
2021-11-17,62,2832,18184,1414
2021-11-18,64,2832,18207,1145
2021-11-19,46,2873,18238,1536
2021-11-20,34,2893,18288,1519
2021-11-21,26,2857,18340,1779
2021-11-22,67,2881,18403,1915
2021-11-23,70,2914,18416,1546
2021-11-24,64,2952,18412,1561
2021-11-25,56,2984,18386,1834
2021-11-26,44,3040,18407,1357
2021-11-27,54,3011,18484,1530
2021-11-28,21,2974,18533,1696
2021-11-29,68,2981,18512,1559
2021-11-30,66,3027,18557,1492
2021-12-01,48,3032,18557,1410
2021-12-02,58,3076,18621,1417
2021-12-03,46,3103,18624,1303
2021-12-04,40,3106,18665,1837
2021-12-05,30,3069,18715,1929
2021-12-06,57,3033,18751,1593
2021-12-07,59,3034,18767,1856
2021-12-08,61,3034,18806,1815
2021-12-09,44,3126,18665,2019
2021-12-10,60,3158,18639,1486
2021-12-11,41,3162,18688,1996
2021-12-12,26,3130,18721,1966
2021-12-13,64,3064,18797,1606
2021-12-14,49,3108,18838,1612
2021-12-15,61,3211,18878,1584
2021-12-16,58,3245,18917,1450
2021-12-17,34,3310,18885,1633
2021-12-18,36,3316,18909,1547
2021-12-19,20,3306,18953,1878
2021-12-20,52,3287,19024,1188
2021-12-21,51,3320,18977,1434
2021-12-22,33,3394,18960,1621
2021-12-23,31,3414,18967,1385
2021-12-24,26,3395,18970,1012
2021-12-25,13,3374,18990,1693
2021-12-26,18,3347,19007,1813
2021-12-27,47,3318,19049,1982
2021-12-28,62,3355,19093,2158
2021-12-29,59,3324,19132,2403
2021-12-30,63,3363,19216,1926
