dates,cars_sold,cars_online,avg_buyprice,bookmarks
2023-03-03,55,1234,16783,2147
2023-03-04,38,1274,16617,2081
2023-03-05,36,1263,16632,2229
2023-03-06,66,1182,16781,1944
2023-03-07,55,1190,16597,2056
2023-03-08,47,1213,16460,1894
2023-03-09,18,1249,16383,1864
2023-03-10,30,1335,16358,1948
2023-03-11,17,1443,16286,2002
2023-03-12,1,1476,16256,2212
2023-03-13,46,1429,16283,2090
2023-03-14,53,1463,16300,2234
2023-03-15,54,1483,16273,2206
2023-03-16,50,1504,16224,2114
2023-03-17,48,1523,16138,1985
2023-03-18,16,1583,16037,1985
2023-03-19,0,1596,16042,2325
2023-03-20,77,1515,16141,2683
2023-03-21,80,1483,16202,2118
2023-03-22,60,1494,16174,2093
2023-03-23,55,1487,16030,2118
2023-03-24,41,1573,15899,2029
2023-03-25,10,1635,15736,2226
2023-03-26,1,1657,15748,2004
2023-03-27,76,1572,15791,2213
2023-03-28,46,1586,15800,2160
2023-03-29,67,1587,15839,2310
2023-03-30,61,1581,15789,2238
2023-03-31,53,1628,15660,1986
2023-04-01,16,1703,15571,1907
2023-04-02,0,1734,15564,2104
2023-04-03,61,1672,15593,1857
2023-04-04,57,1666,15506,1839
2023-04-05,58,1668,15551,1920
2023-04-06,47,1687,15488,1716
2023-04-07,0,1755,15408,2510
2023-04-08,24,1730,15434,1800
2023-04-09,0,1751,15523,1546
2023-04-10,0,1751,15523,2031
2023-04-11,73,1676,15542,2092
2023-04-12,74,1682,15375,2490
2023-04-13,68,1699,15463,2269
2023-04-14,60,1702,15493,2371
2023-04-15,26,1752,15464,1919
2023-04-16,0,1767,15504,2263
2023-04-17,72,1702,15533,2241
2023-04-18,63,1688,15407,2339
2023-04-19,65,1676,15391,1885
2023-04-20,78,1668,15323,1875
2023-04-21,74,1733,15326,2149
2023-04-22,21,1834,15206,1803
2023-04-23,0,1872,15255,2171
2023-04-24,78,1800,15292,2630
2023-04-25,79,1789,15230,2855
2023-04-26,73,1797,15197,2397
2023-04-27,51,1842,15167,2375
2023-04-28,66,1916,15305,2616
2023-04-29,16,1985,15252,2279
2023-04-30,0,1985,15248,2217
2023-05-01,0,1985,15248,2289
2023-05-02,75,1926,15284,2341
2023-05-03,83,1885,15320,2520
2023-05-04,53,1900,15266,2094
2023-05-05,67,1899,15263,2223
2023-05-06,20,1960,15231,2071
2023-05-07,0,1988,15261,2303
2023-05-08,93,1899,15265,2252
2023-05-09,64,1870,15198,2279
2023-05-10,54,1878,15125,2548
2023-05-11,61,1883,15047,2068
2023-05-12,59,1895,15014,2203
2023-05-13,14,1966,14929,1758
2023-05-14,0,2020,14966,2130
2023-05-15,88,1939,14999,2277
2023-05-16,52,1997,14861,2339
2023-05-17,54,2026,14852,2082
2023-05-18,0,2105,14814,2037
2023-05-19,77,2024,14796,2036
2023-05-20,8,2072,14774,1986
2023-05-21,0,2081,14791,1844
2023-05-22,73,2021,14744,2109
2023-05-23,79,1987,14677,2282
2023-05-24,52,1998,14567,2606
2023-05-25,51,2032,14462,2129
2023-05-26,46,2058,14444,1827
2023-05-27,12,2102,14465,1718
2023-05-28,0,2118,14460,1813
2023-05-29,0,2118,14460,2108
2023-05-30,91,2029,14420,2220
2023-05-31,59,2057,14403,2038
2023-06-01,52,2042,14357,1858
2023-06-02,44,2066,14319,1809
2023-06-03,17,2109,14283,1655
2023-06-04,0,2142,14297,1872
2023-06-05,67,2088,14246,2016
2023-06-06,57,2104,14162,1761
2023-06-07,68,2103,14141,1928
2023-06-08,60,2130,14175,2194
2023-06-09,44,2140,14229,1796
2023-06-10,15,2216,14190,1327
2023-06-11,0,2253,14199,1714
2023-06-12,77,2188,14145,1838
2023-06-13,70,2209,14199,1625
2023-06-14,48,2233,14196,1680
2023-06-15,56,2246,14152,1672
2023-06-16,50,2291,14095,1732
2023-06-17,20,2369,14043,1734
2023-06-18,0,2415,14063,1878
2023-06-19,48,2379,14097,1835
2023-06-20,72,2382,14180,2019
2023-06-21,41,2421,14122,1983
2023-06-22,57,2449,14132,1794
2023-06-23,54,2474,14180,1991
2023-06-24,23,2534,14181,1935
2023-06-25,0,2582,14189,1931
2023-06-26,65,2528,14195,1813
2023-06-27,62,2521,14160,2032
2023-06-28,46,2544,14153,1765
2023-06-29,46,2567,14237,2355
2023-06-30,45,2583,14259,2197
2023-07-01,34,2649,14266,2088
2023-07-02,0,2680,14271,1959
2023-07-03,63,2607,14280,1986
2023-07-04,96,2599,14328,2096
2023-07-05,47,2626,14373,2000
2023-07-06,54,2615,14318,1794
2023-07-07,70,2641,14331,1745
2023-07-08,19,2725,14351,1716
2023-07-09,0,2758,14352,1888
2023-07-10,60,2706,14361,2151
2023-07-11,64,2701,14357,1816
2023-07-12,59,2716,14330,2080
2023-07-13,61,2742,14326,2267
2023-07-14,54,2754,14376,1930
2023-07-15,24,2799,14407,1773
2023-07-16,1,2831,14406,1743
2023-07-17,78,2749,14465,2148
2023-07-18,78,2726,14474,2347
2023-07-19,67,2753,14456,2060
2023-07-20,57,2780,14464,2068
2023-07-21,59,2817,14446,2237
2023-07-22,15,2885,14488,2381
2023-07-23,0,2902,14500,1999
2023-07-24,74,2823,14523,2128
2023-07-25,93,2777,14584,2414
2023-07-26,70,2776,14647,2148
2023-07-27,51,2808,14618,2206
2023-07-28,40,2861,14631,1926
2023-07-29,12,3007,14631,2056
2023-07-30,0,3050,14662,2145
2023-07-31,80,2966,14686,2067
2023-08-01,72,2948,14696,2055
2023-08-02,63,2947,14730,2089
2023-08-03,62,2956,14767,2127
2023-08-04,41,2989,14805,2090
2023-08-05,19,3053,14848,1808
2023-08-06,0,3083,14857,2058
2023-08-07,84,3000,14923,2450
2023-08-08,74,3000,14912,2233
2023-08-09,68,3011,14940,2205
2023-08-10,47,3045,14921,2031
2023-08-11,52,3068,14954,2069
2023-08-12,32,3118,14954,2087
2023-08-13,0,3156,14960,2175
2023-08-14,87,3068,14999,2705
2023-08-15,70,3097,15058,2490
2023-08-16,79,3045,15084,2896
2023-08-17,63,3039,15103,2414
2023-08-18,78,3057,15168,2420
2023-08-19,11,3131,15184,2660
2023-08-20,0,3176,15220,2378
2023-08-21,101,3077,15236,2521
2023-08-22,88,3078,15289,2740
2023-08-23,74,3087,15295,2845
2023-08-24,59,3103,15255,2635
2023-08-25,60,3108,15341,2924
2023-08-26,18,3184,15367,2549
2023-08-27,0,3221,15367,2484
2023-08-28,105,3124,15440,2718
2023-08-29,81,3113,15492,2664
2023-08-30,92,3098,15531,2956
2023-08-31,70,3128,15565,2754
2023-09-01,74,3146,15606,2598
2023-09-02,16,3201,15614,2410
2023-09-03,0,3249,15634,2637
2023-09-04,138,3111,15698,2478
2023-09-05,85,3074,15684,2664
2023-09-06,69,3090,15694,2599
2023-09-07,75,3082,15724,2796
2023-09-08,77,3078,15729,2635
2023-09-09,27,3163,15697,2404
2023-09-10,0,3223,15706,2789
2023-09-11,106,3104,15758,2725
2023-09-12,89,3081,15778,2952
2023-09-13,64,3098,15817,2967
2023-09-14,92,3097,15809,2521
2023-09-15,81,3154,15829,2810
2023-09-16,28,3227,15832,2636
2023-09-17,4,3258,15862,2823
2023-09-18,81,3165,15910,2700
2023-09-19,83,3152,15867,2677
2023-09-20,72,3203,15835,2884
2023-09-21,59,3241,15858,2797
2023-09-22,81,3285,15880,2522
2023-09-23,29,3346,15891,2432
2023-09-24,0,3385,15898,2863
2023-09-25,87,3300,15937,2802
2023-09-26,73,3297,15977,2519
2023-09-27,84,3309,15966,2557
2023-09-28,72,3331,15981,2767
2023-09-29,70,3367,15949,2459
2023-09-30,39,3450,15872,2306
2023-10-01,0,3496,15844,2354
2023-10-02,77,3409,15862,2623
2023-10-03,1,3489,15850,2990
2023-10-04,138,3371,15892,2751
2023-10-05,68,3389,15934,2709
2023-10-06,61,3425,15880,2466
2023-10-07,15,3498,15828,2525
2023-10-08,0,3530,15819,2556
2023-10-09,108,3427,15856,2503
2023-10-10,86,3419,15807,2207
2023-10-11,64,3442,15769,2568
2023-10-12,71,3457,15754,2508
2023-10-13,72,3501,15723,2459
2023-10-14,29,3603,15670,2379
2023-10-15,0,3659,15654,2179
2023-10-16,77,3584,15664,2634
2023-10-17,72,3612,15686,2549
2023-10-18,65,3654,15683,2633
2023-10-19,69,3694,15688,2716
2023-10-20,58,3738,15691,2679
2023-10-21,35,3810,15658,2537
2023-10-22,0,3836,15660,3354
2023-10-23,91,3774,15742,2783
2023-10-24,79,3807,15666,2845
2023-10-25,91,3805,15672,2862
2023-10-26,70,3832,15672,2607
2023-10-27,58,3849,15629,2622
2023-10-28,13,3933,15600,2765
2023-10-29,0,3954,15598,3341
2023-10-30,85,3873,15608,2880
2023-10-31,50,3896,15600,3103
2023-11-01,92,3870,15634,3343
2023-11-02,70,3888,15606,2880
2023-11-03,60,3913,15586,2719
2023-11-04,50,3947,15540,2885
2023-11-05,0,4001,15538,3314
2023-11-06,116,3898,15575,2921
2023-11-07,79,3909,15550,3194
2023-11-08,81,3898,15535,2813
2023-11-09,99,3910,15521,3433
2023-11-10,88,3944,15529,2744
2023-11-11,33,4044,15510,3098
2023-11-12,0,4064,15530,2997
2023-11-13,119,3962,15531,3147
2023-11-14,108,3946,15554,3009
2023-11-15,89,3925,15490,3136
2023-11-16,77,3965,15439,2962
2023-11-17,79,3992,15394,2931
2023-11-18,26,4069,15368,3003
2023-11-19,0,4088,15368,2775
2023-11-20,119,3990,15387,3042
2023-11-21,86,3985,15361,3017
2023-11-22,103,3971,15327,2815
2023-11-23,90,4012,15318,3063
2023-11-24,76,4036,15318,2957
2023-11-25,23,4110,15257,2874
2023-11-26,0,4160,15257,3126
2023-11-27,92,4063,15305,2922
2023-11-28,92,4072,15281,2911
2023-11-29,93,4082,15259,2982
2023-11-30,80,4079,15256,2898
2023-12-01,78,4111,15189,2628
2023-12-02,25,4191,15176,2668
2023-12-03,0,4214,15175,3184
2023-12-04,97,4117,15223,2841
2023-12-05,105,4104,15261,3061
2023-12-06,102,4084,15248,2854
2023-12-07,83,4111,15217,2770
2023-12-08,59,4152,15154,2567
2023-12-09,35,4214,15131,2781
2023-12-10,0,4219,15137,2954
2023-12-11,60,4163,15140,3333
2023-12-12,58,4187,15112,2971
2023-12-13,83,4201,15090,2694
2023-12-14,68,4219,15107,2759
2023-12-15,56,4241,15084,2633
2023-12-16,31,4281,15051,2640
2023-12-17,0,4312,15062,2585
2023-12-18,76,4252,15080,3028
2023-12-19,67,4275,15035,4003
2023-12-20,66,4287,14997,2585
2023-12-21,71,4303,14946,2854
2023-12-22,76,4324,14911,2580
2023-12-23,16,4406,14850,2406
2023-12-24,0,4424,14856,2089
2023-12-25,0,4425,14855,2336
2023-12-26,0,4425,14855,2294
2023-12-27,98,4328,14857,2827
2023-12-28,61,4315,14850,3126
2023-12-29,78,4293,14875,2528
2023-12-30,26,4314,14864,2467
2023-12-31,0,4338,14882,1936
2024-01-01,0,4337,14882,2111
2024-01-02,70,4276,14874,2567
2024-01-03,74,4242,14832,3120
2024-01-04,108,4162,14798,3556
2024-01-05,117,4097,14789,3151
2024-01-06,35,4102,14805,2939
2024-01-07,0,4126,14801,2946
2024-01-08,85,4059,14811,2670
2024-01-09,78,4024,14696,3006
2024-01-10,103,3958,14644,3203
2024-01-11,93,3973,14623,2938
2024-01-12,85,4035,14593,2553
2024-01-13,31,4077,14595,2997
2024-01-14,0,4142,14563,2997
2024-01-15,58,4099,14584,3207
2024-01-16,93,4075,14607,2868
2024-01-17,89,4056,14544,3301
2024-01-18,75,4096,14521,3134
2024-01-19,73,4148,14501,3086
2024-01-20,26,4243,14520,3455
2024-01-21,0,4278,14536,3088
2024-01-22,87,4190,14545,2881
2024-01-23,85,4164,14542,2869
2024-01-24,81,4164,14486,3107
2024-01-25,86,4152,14435,3085
2024-01-26,59,4249,14445,2803
2024-01-27,26,4327,14436,3205
2024-01-28,0,4373,14454,3026
2024-01-29,97,4281,14458,3184
2024-01-30,98,4275,14475,3184
2024-01-31,91,4316,14492,3452
2024-02-01,90,4316,14451,3209
2024-02-02,78,4326,14432,3038
2024-02-03,24,4398,14445,3503
2024-02-04,0,4430,14459,3385
2024-02-05,82,4342,14465,3195
2024-02-06,112,4263,14416,3217
2024-02-07,87,4229,14436,3000
2024-02-08,90,4283,14444,3205
2024-02-09,73,4341,14445,2999
2024-02-10,38,4392,14458,2993
2024-02-11,0,4428,14456,3229
2024-02-12,82,4359,14435,3675
2024-02-13,82,4335,14450,3242
2024-02-14,85,4334,14475,3065
2024-02-15,89,4333,14448,3529
2024-02-16,86,4352,14448,3082
2024-02-17,12,4457,14454,3366
2024-02-18,0,4491,14470,3270
2024-02-19,102,4411,14468,2843
2024-02-20,116,4366,14417,3187
2024-02-21,131,4334,14397,3086
2024-02-22,81,4396,14395,3521
2024-02-23,83,4392,14439,3102
2024-02-24,17,4495,14434,3373
2024-02-25,0,4530,14425,3298
2024-02-26,107,4428,14443,3283
2024-02-27,98,4407,14439,3386
2024-02-28,79,4419,14427,3499
2024-02-29,90,4438,14418,2986
2024-03-01,74,4486,14460,3175
2024-03-02,36,4557,14463,3168
2024-03-03,0,4585,14453,3376
2024-03-04,86,4503,14440,3376
2024-03-05,99,4482,14439,3208
2024-03-06,106,4454,14430,3555
2024-03-07,76,4494,14438,3320
2024-03-08,50,4512,14446,3083
2024-03-09,11,4552,14436,3072
2024-03-10,0,4589,14433,3743
2024-03-11,89,4536,14451,3113
2024-03-12,122,4514,14419,3346
2024-03-13,81,4541,14409,3392
2024-03-14,71,4582,14404,3332
2024-03-15,58,4601,14360,3208
2024-03-16,44,4624,14355,3133
2024-03-17,0,4647,14351,3439
2024-03-18,100,4564,14363,3487
2024-03-19,86,4544,14386,3040
2024-03-20,90,4537,14368,3036
2024-03-21,86,4534,14329,3416
2024-03-22,100,4542,14289,2944
2024-03-23,42,4598,14269,2459
2024-03-24,0,4629,14261,2915
2024-03-25,93,4554,14256,3066
2024-03-26,105,4537,14247,3016
2024-03-27,67,4596,14217,3092
2024-03-28,70,4610,14197,2998
2024-03-29,0,4667,14194,3434
2024-03-30,43,4613,14174,2489
2024-03-31,0,4645,14159,2656
2024-04-01,0,4645,14159,3055
2024-04-02,93,4556,14160,3246
2024-04-03,111,4489,14182,3285
2024-04-04,108,4445,14182,3314
2024-04-05,93,4461,14206,3124
2024-04-06,35,4532,14226,2808
2024-04-07,0,4564,14230,3096
2024-04-08,110,4453,14210,3001
2024-04-09,115,4382,14218,3290
2024-04-10,94,4376,14259,3096
2024-04-11,109,4372,14271,3192
2024-04-12,82,4453,14275,3124
2024-04-13,50,4494,14283,2546
2024-04-14,0,4519,14284,3286
2024-04-15,96,4444,14290,3348
2024-04-16,123,4379,14276,3350
2024-04-17,99,4344,14280,3495
2024-04-18,104,4331,14315,3261
2024-04-19,83,4382,14369,3339
2024-04-20,46,4450,14403,3595
2024-04-21,0,4480,14402,3659
